STATE,DISTRICT,TAHSIL,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,SUB-DISTT
33,8,,0,0,0,DISTRICT,Salem,Total,736562,3016346,1563633,1452713,351859,190129,161730,475738,244391,231347,103921,52693,51228,1734442,1021772,712670,1281904,541861,740043,1454645,942939,511706,1279846,874647,405199,285371,174023,111348,281799,146712,135087,121353,80144,41209,591323,473768,117555,174799,68292,106507,15867,4790,11077,106102,36075,70027,12908,3294,9614,39922,24133,15789,1561701,620694,941007,0.0
33,8,,0,0,0,DISTRICT,Salem,Rural,405123,1626162,852453,773709,195606,108031,87575,288559,149374,139185,98722,49988,48734,819312,506149,313163,806850,346304,460546,883025,524259,358766,753225,476815,276410,253111,153298,99813,228865,117379,111486,53332,34724,18608,217917,171414,46503,129800,47444,82356,14274,4192,10082,88171,29200,58971,7298,1899,5399,20057,12153,7904,743137,328194,414943,0.0
33,8,,0,0,0,DISTRICT,Salem,Urban,331439,1390184,711180,679004,156253,82098,74155,187179,95017,92162,5199,2705,2494,915130,515623,399507,475054,195557,279497,571620,418680,152940,526621,397832,128789,32260,20725,11535,52934,29333,23601,68021,45420,22601,373406,302354,71052,44999,20848,24151,1593,598,995,17931,6875,11056,5610,1395,4215,19865,11980,7885,818564,292500,526064,0.0
33,8,,0,0,0,TALUK,Mettur,Total,93404,378337,200736,177601,43608,24548,19060,45842,23939,21903,10353,5378,4975,213943,129471,84472,164394,71265,93129,179681,119029,60652,155705,108864,46841,37620,23200,14420,34479,18764,15715,15571,11023,4548,68035,55877,12158,23976,10165,13811,3151,1060,2091,12826,4397,8429,1804,465,1339,6195,4243,1952,198656,81707,116949,1.0
33,8,,0,0,0,TALUK,Mettur,Rural,53947,214731,115906,98825,25714,14986,10728,26618,14034,12584,8770,4575,4195,105446,67206,38240,109285,48700,60585,115633,70518,45115,97731,63816,33915,33475,20515,12960,29470,15631,13839,6426,4496,1930,28360,23174,5186,17902,6702,11200,2960,965,1995,11061,3611,7450,1213,300,913,2668,1826,842,99098,45388,53710,1.0
33,8,,0,0,0,TALUK,Mettur,Urban,39457,163606,84830,78776,17894,9562,8332,19224,9905,9319,1583,803,780,108497,62265,46232,55109,22565,32544,64048,48511,15537,57974,45048,12926,4145,2685,1460,5009,3133,1876,9145,6527,2618,39675,32703,6972,6074,3463,2611,191,95,96,1765,786,979,591,165,426,3527,2417,1110,99558,36319,63239,1.0
33,8,,636500,0,0,VILLAGE,Kaveripuram ,Rural,4790,17889,9865,8024,1976,1189,787,1559,827,732,169,94,75,8066,5378,2688,9823,4487,5336,8263,5723,2540,7724,5579,2145,1978,1460,518,4223,2827,1396,247,182,65,1276,1110,166,539,144,395,147,22,125,326,94,232,22,4,18,44,24,20,9626,4142,5484,1.0
33,8,,636600,0,0,VILLAGE,Singiripatti,Rural,1062,3771,1929,1842,374,198,176,1073,547,526,172,80,92,1779,1096,683,1992,833,1159,2268,1250,1018,1955,1190,765,759,528,231,922,467,455,19,11,8,255,184,71,313,60,253,203,31,172,90,20,70,2,0,2,18,9,9,1503,679,824,1.0
33,8,,636700,0,0,VILLAGE,Dinnappatti ,Rural,1848,6353,3358,2995,608,353,255,1247,642,605,952,478,474,3012,1918,1094,3341,1440,1901,3924,2169,1755,3603,2053,1550,1260,707,553,1557,770,787,23,13,10,763,563,200,321,116,205,18,7,11,292,102,190,5,2,3,6,5,1,2429,1189,1240,1.0
33,8,,636900,0,0,VILLAGE,Gonur,Rural,4121,16691,9248,7443,2129,1276,853,1451,791,660,0,0,0,9215,5828,3387,7476,3420,4056,7602,5157,2445,6606,4764,1842,2695,1592,1103,993,663,330,89,55,34,2829,2454,375,996,393,603,136,17,119,593,141,452,9,3,6,258,232,26,9089,4091,4998,1.0
