STATE,DISTRICT,TAHSIL,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,SUB-DISTT
33,23,,0,0,0,DISTRICT,Sivaganga,Total,267888,1155356,566947,588409,132891,68062,64829,188857,92590,96267,1083,536,547,738000,414755,323245,417356,152192,265164,513502,316419,197083,408015,272437,135578,166271,101152,65119,79857,41449,38408,9577,5038,4539,152310,124798,27512,105487,43982,61505,21866,9285,12581,63852,23321,40531,3424,926,2498,16345,10450,5895,641854,250528,391326,0.0
33,23,,0,0,0,DISTRICT,Sivaganga,Rural,193484,829272,405093,424179,95620,48807,46813,159256,77886,81370,375,190,185,491768,283769,207999,337504,121324,216180,409281,232148,177133,311590,192863,118727,162958,98468,64490,76455,39125,37330,7031,3592,3439,65146,51678,13468,97691,39285,58406,21378,9126,12252,62223,22438,39785,2950,803,2147,11140,6918,4222,419991,172945,247046,0.0
33,23,,0,0,0,DISTRICT,Sivaganga,Urban,74404,326084,161854,164230,37271,19255,18016,29601,14704,14897,708,346,362,246232,130986,115246,79852,30868,48984,104221,84271,19950,96425,79574,16851,3313,2684,629,3402,2324,1078,2546,1446,1100,87164,73120,14044,7796,4697,3099,488,159,329,1629,883,746,474,123,351,5205,3532,1673,221863,77583,144280,0.0
33,23,,0,0,0,TALUK,Tirupathur,Total,56543,240716,117579,123137,28131,14416,13715,36458,17777,18681,66,36,30,144065,81983,62082,96651,35596,61055,113480,67283,46197,87476,55968,31508,37573,22703,14870,19707,10289,9418,2414,1139,1275,27782,21837,5945,26004,11315,14689,5011,1984,3027,14923,5854,9069,1028,247,781,5042,3230,1812,127236,50296,76940,1.0
33,23,,0,0,0,TALUK,Tirupathur,Rural,46062,194610,94773,99837,22830,11643,11187,30462,14836,15626,48,25,23,110990,64171,46819,83620,30602,53018,97660,55109,42551,73370,44754,28616,36408,21771,14637,19134,9933,9201,1959,887,1072,15869,12163,3706,24290,10355,13935,4637,1883,2754,14598,5673,8925,971,229,742,4084,2570,1514,96950,39664,57286,1.0
33,23,,0,0,0,TALUK,Tirupathur,Urban,10481,46106,22806,23300,5301,2773,2528,5996,2941,3055,18,11,7,33075,17812,15263,13031,4994,8037,15820,12174,3646,14106,11214,2892,1165,932,233,573,356,217,455,252,203,11913,9674,2239,1714,960,754,374,101,273,325,181,144,57,18,39,958,660,298,30286,10632,19654,1.0
33,23,,1313300,0,0,VILLAGE,Musundapatti ,Rural,628,2622,1212,1410,419,206,213,468,199,269,0,0,0,1104,672,432,1518,540,978,1560,721,839,1454,693,761,1094,543,551,275,92,183,18,10,8,67,48,19,106,28,78,20,7,13,82,19,63,0,0,0,4,2,2,1062,491,571,1.0
33,23,,1313400,0,0,VILLAGE,Kulathupatti ,Rural,402,1910,953,957,254,117,137,264,129,135,0,0,0,991,601,390,919,352,567,1108,582,526,964,522,442,500,265,235,235,116,119,15,8,7,214,133,81,144,60,84,24,15,9,82,18,64,3,2,1,35,25,10,802,371,431,1.0
33,23,,1313500,0,0,VILLAGE,Valasaipatti,Rural,605,2769,1338,1431,367,177,190,365,183,182,0,0,0,1414,868,546,1355,470,885,1364,745,619,1320,730,590,989,563,426,225,91,134,25,14,11,81,62,19,44,15,29,12,3,9,21,8,13,9,2,7,2,2,0,1405,593,812,1.0
33,23,,1313600,0,0,VILLAGE,Dharmappatti ,Rural,578,2739,1357,1382,367,191,176,245,120,125,0,0,0,1359,877,482,1380,480,900,1490,797,693,1090,594,496,534,295,239,445,211,234,9,6,3,102,82,20,400,203,197,6,3,3,391,200,191,0,0,0,3,0,3,1249,560,689,1.0
33,23,,1313700,0,0,VILLAGE,Karisalpatti ,Rural,602,2833,1348,1485,403,190,213,389,188,201,0,0,0,1502,875,627,1331,473,858,1268,748,520,1187,717,470,338,212,126,526,258,268,37,15,22,286,232,54,81,31,50,5,3,2,51,13,38,1,0,1,24,15,9,1565,600,965,1.0
