STATE,DISTRICT,TAHSIL,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,SUB-DISTT
33,11,,0,0,0,DISTRICT,The Nilgiris,Total,182682,762141,378351,383790,85860,43383,42477,238014,117792,120222,28373,14014,14359,541099,296573,244526,221042,81778,139264,343385,207563,135822,310064,190856,119208,11410,7818,3592,38775,21275,17500,1656,836,820,258223,160927,97296,33321,16707,16614,1679,898,781,8956,3971,4985,474,164,310,22212,11674,10538,418756,170788,247968,0.0
33,11,,0,0,0,DISTRICT,The Nilgiris,Rural,76543,307532,151874,155658,34632,17601,17031,85485,42423,43062,19600,9753,9847,202668,113834,88834,104864,38040,66824,155861,86090,69771,139711,78619,61092,8209,5384,2825,25331,13593,11738,877,415,462,105294,59227,46067,16150,7471,8679,1435,763,672,5721,2368,3353,273,95,178,8721,4245,4476,151671,65784,85887,0.0
33,11,,0,0,0,DISTRICT,The Nilgiris,Urban,106139,454609,226477,228132,51228,25782,25446,152529,75369,77160,8773,4261,4512,338431,182739,155692,116178,43738,72440,187524,121473,66051,170353,112237,58116,3201,2434,767,13444,7682,5762,779,421,358,152929,101700,51229,17171,9236,7935,244,135,109,3235,1603,1632,201,69,132,13491,7429,6062,267085,105004,162081,0.0
33,11,,0,0,0,TALUK,Panthalur,Total,25333,117157,58228,58929,16204,8276,7928,46044,22882,23162,8857,4374,4483,81697,44177,37520,35460,14051,21409,51862,30468,21394,44430,26886,17544,2050,1545,505,4854,2704,2150,346,189,157,37180,22448,14732,7432,3582,3850,423,214,209,1199,541,658,155,49,106,5655,2778,2877,65295,27760,37535,1.0
33,11,,0,0,0,TALUK,Panthalur,Rural,16530,75320,37357,37963,10161,5170,4991,21664,10757,10907,7541,3724,3817,51888,27990,23898,23432,9367,14065,33211,19902,13309,27588,17224,10364,1894,1433,461,3902,2202,1700,291,145,146,21501,13444,8057,5623,2678,2945,385,199,186,1074,490,584,130,38,92,4034,1951,2083,42109,17455,24654,1.0
33,11,,0,0,0,TALUK,Panthalur,Urban,8803,41837,20871,20966,6043,3106,2937,24380,12125,12255,1316,650,666,29809,16187,13622,12028,4684,7344,18651,10566,8085,16842,9662,7180,156,112,44,952,502,450,55,44,11,15679,9004,6675,1809,904,905,38,15,23,125,51,74,25,11,14,1621,827,794,23186,10305,12881,1.0
33,11,,783200,0,0,VILLAGE,Erumad,Rural,2775,12635,6262,6373,1694,859,835,1218,606,612,1957,967,990,8728,4651,4077,3907,1611,2296,6056,3640,2416,5080,3304,1776,532,386,146,675,403,272,90,30,60,3783,2485,1298,976,336,640,63,30,33,162,54,108,26,2,24,725,250,475,6579,2622,3957,1.0
33,11,,783300,0,0,VILLAGE,Munnanad,Rural,1936,8270,4126,4144,1084,546,538,560,282,278,1861,906,955,5471,2944,2527,2799,1182,1617,3508,2468,1040,3273,2349,924,599,501,98,1090,619,471,37,20,17,1547,1209,338,235,119,116,24,15,9,190,94,96,1,0,1,20,10,10,4762,1658,3104,1.0
33,11,,783400,0,0,VILLAGE,Nelliyalam ,Rural,4177,20395,10112,10283,2826,1430,1396,5739,2864,2875,1360,678,682,14031,7551,6480,6364,2561,3803,8340,5012,3328,7188,4376,2812,251,176,75,909,503,406,57,43,14,5971,3654,2317,1152,636,516,166,90,76,121,68,53,28,13,15,837,465,372,12055,5100,6955,1.0
33,11,,783500,0,0,VILLAGE,Cherangode,Rural,7642,34020,16857,17163,4557,2335,2222,14147,7005,7142,2363,1173,1190,23658,12844,10814,10362,4013,6349,15307,8782,6525,12047,7195,4852,512,370,142,1228,677,551,107,52,55,10200,6096,4104,3260,1587,1673,132,64,68,601,274,327,75,23,52,2452,1226,1226,18713,8075,10638,1.0
33,11,,41101000,0,0,TOWN,Nelliyalam (TP),Urban,8803,41837,20871,20966,6043,3106,2937,24380,12125,12255,1316,650,666,29809,16187,13622,12028,4684,7344,18651,10566,8085,16842,9662,7180,156,112,44,952,502,450,55,44,11,15679,9004,6675,1809,904,905,38,15,23,125,51,74,25,11,14,1621,827,794,23186,10305,12881,1.0
33,11,,41101000,1,0,WARD,Nelliyalam (TP) - Ward No.1,Urban,565,2604,1283,1321,379,199,180,1148,562,586,211,101,110,1759,940,819,845,343,502,1353,727,626,953,524,429,53,45,8,96,52,44,9,6,3,795,421,374,400,203,197,31,12,19,75,30,45,9,4,5,285,157,128,1251,556,695,1.0
33,11,,41101000,2,0,WARD,Nelliyalam (TP) - Ward No.2,Urban,306,1551,747,804,170,79,91,1425,684,741,0,0,0,1064,596,468,487,151,336,664,333,331,647,323,324,0,0,0,0,0,0,1,1,0,646,322,324,17,10,7,0,0,0,0,0,0,0,0,0,17,10,7,887,414,473,1.0
33,11,,41101000,3,0,WARD,Nelliyalam (TP) - Ward No.3,Urban,901,4426,2244,2182,616,309,307,3133,1593,1540,73,39,34,3230,1810,1420,1196,434,762,2010,1111,899,1796,998,798,18,14,4,3,2,1,8,7,1,1767,975,792,214,113,101,0,0,0,0,0,0,0,0,0,214,113,101,2416,1133,1283,1.0
33,11,,41101000,4,0,WARD,Nelliyalam (TP) - Ward No.4,Urban,614,2837,1443,1394,428,240,188,1668,837,831,57,29,28,2038,1112,926,799,331,468,1423,787,636,1398,775,623,2,1,1,10,7,3,2,2,0,1384,765,619,25,12,13,0,0,0,2,1,1,1,0,1,22,11,11,1414,656,758,1.0
