STATE,DISTRICT,TAHSIL,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,SUB-DISTT
33,25,,0,0,0,DISTRICT,Theni  *,Total,272033,1093950,552986,540964,126127,66705,59422,211800,107109,104691,1686,855,831,692797,398150,294647,401153,154836,246317,520280,318282,201998,473708,298060,175648,50436,33390,17046,245989,129061,116928,10959,5581,5378,166324,130028,36296,46572,20222,26350,2229,873,1356,31716,12058,19658,1363,312,1051,11264,6979,4285,573670,234704,338966,0
33,25,,0,0,0,DISTRICT,Theni  *,Rural,126951,502109,255152,246957,58756,31425,27331,116509,59274,57235,1046,531,515,293208,174522,118686,208901,80630,128271,272426,150701,121725,247071,140696,106375,38429,23932,14497,151338,75567,75771,5182,2605,2577,52122,38592,13530,25355,10005,15350,1896,743,1153,20255,7607,12648,610,150,460,2594,1505,1089,229683,104451,125232,0
33,25,,0,0,0,DISTRICT,Theni  *,Urban,145082,591841,297834,294007,67371,35280,32091,95291,47835,47456,640,324,316,399589,223628,175961,192252,74206,118046,247854,167581,80273,226637,157364,69273,12007,9458,2549,94651,53494,41157,5777,2976,2801,114202,91436,22766,21217,10217,11000,333,130,203,11461,4451,7010,753,162,591,8670,5474,3196,343987,130253,213734,0
33,25,,0,0,0,TALUK,Bodinayakanur,Total,41884,167718,84484,83234,18560,9790,8770,25021,12709,12312,759,376,383,105221,60450,44771,62497,24034,38463,81463,49540,31923,76631,47552,29079,6949,4856,2093,40325,20791,19534,1449,825,624,27908,21080,6828,4832,1988,2844,153,78,75,3167,1145,2022,68,17,51,1444,748,696,86255,34944,51311,1
33,25,,0,0,0,TALUK,Bodinayakanur,Rural,17030,65786,33311,32475,7321,3869,3452,11662,5985,5677,686,338,348,37182,22396,14786,28604,10915,17689,37210,20532,16678,36093,20176,15917,3818,2468,1350,22815,11251,11564,677,359,318,8783,6098,2685,1117,356,761,98,36,62,835,235,600,32,8,24,152,77,75,28576,12779,15797,1
33,25,,0,0,0,TALUK,Bodinayakanur,Urban,24854,101932,51173,50759,11239,5921,5318,13359,6724,6635,73,38,35,68039,38054,29985,33893,13119,20774,44253,29008,15245,40538,27376,13162,3131,2388,743,17510,9540,7970,772,466,306,19125,14982,4143,3715,1632,2083,55,42,13,2332,910,1422,36,9,27,1292,671,621,57679,22165,35514,1
33,25,,1423700,0,0,VILLAGE,Kottagudi,Rural,557,1912,981,931,230,109,121,582,290,292,122,62,60,1024,630,394,888,351,537,1177,647,530,1122,615,507,15,10,5,407,212,195,4,4,0,696,389,307,55,32,23,3,2,1,11,6,5,1,1,0,40,23,17,735,334,401,1
33,25,,1423800,0,0,VILLAGE,Bodi Hill North,Rural,510,1356,685,671,46,24,22,8,5,3,92,46,46,542,322,220,814,363,451,1221,619,602,1220,619,601,45,25,20,470,253,217,1,1,0,704,340,364,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,135,66,69,1
33,25,,1423900,0,0,VILLAGE,Ahamalai,Rural,542,1638,857,781,162,66,96,111,62,49,48,25,23,758,494,264,880,363,517,1310,705,605,1305,701,604,33,17,16,22,12,10,0,0,0,1250,672,578,5,4,1,0,0,0,0,0,0,0,0,0,5,4,1,328,152,176,1
33,25,,1424000,0,0,VILLAGE,Kodangipatti ,Rural,2822,11128,5680,5448,1290,682,608,1536,802,734,60,31,29,6622,3955,2667,4506,1725,2781,5949,3482,2467,5693,3424,2269,825,637,188,3257,1582,1675,93,59,34,1518,1146,372,256,58,198,5,1,4,240,51,189,1,1,0,10,5,5,5179,2198,2981,1
33,25,,1424100,0,0,VILLAGE,Meenakshipuram (Bodi) ,Rural,508,1960,1025,935,242,141,101,90,50,40,0,0,0,1125,666,459,835,359,476,1103,584,519,1088,582,506,83,59,24,838,415,423,20,9,11,147,99,48,15,2,13,1,0,1,14,2,12,0,0,0,0,0,0,857,441,416,1
