STATE,DISTRICT,TAHSIL,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,SUB-DISTT
33,4,,0,0,0,DISTRICT,Vellore,Total,756365,3477317,1741083,1736234,432180,222454,209726,714054,354551,359503,63040,31860,31180,2203552,1245076,958476,1273765,496007,777758,1427180,951805,475375,1172645,840826,331819,232840,165213,67627,232731,131138,101593,136491,73952,62539,570583,470523,100060,254535,110979,143556,18554,7835,10719,157965,60573,97392,25499,6548,18951,52517,36023,16494,2050137,789278,1260859,0.0
33,4,,0,0,0,DISTRICT,Vellore,Rural,483383,2169319,1088090,1081229,276534,143033,133501,505677,251749,253928,58237,29455,28782,1276373,741671,534702,892946,346419,546527,982222,611919,370303,763676,519723,243953,223974,158030,65944,214433,120110,94323,80523,43360,37163,244746,198223,46523,218546,92196,126350,17803,7503,10300,146953,56262,90691,19459,5040,14419,34331,23391,10940,1187097,476171,710926,0.0
33,4,,0,0,0,DISTRICT,Vellore,Urban,272982,1307998,652993,655005,155646,79421,76225,208377,102802,105575,4803,2405,2398,927179,503405,423774,380819,149588,231231,444958,339886,105072,408969,321103,87866,8866,7183,1683,18298,11028,7270,55968,30592,25376,325837,272300,53537,35989,18783,17206,751,332,419,11012,4311,6701,6040,1508,4532,18186,12632,5554,863040,313107,549933,0.0
33,4,,0,0,0,TALUK,Gudiyatham,Total,80144,378674,189039,189635,49114,25174,23940,99387,49346,50041,2553,1269,1284,230027,130283,99744,148647,58756,89891,162673,105022,57651,135423,93054,42369,15604,11750,3854,31340,17609,13731,27807,14146,13661,60672,49549,11123,27250,11968,15282,982,426,556,15470,6438,9032,3973,725,3248,6825,4379,2446,216001,84017,131984,1.0
33,4,,0,0,0,TALUK,Gudiyatham,Rural,51854,237060,118555,118505,31134,15969,15165,74568,37135,37433,2489,1237,1252,137145,79106,58039,99915,39449,60466,109527,67872,41655,85833,57700,28133,15243,11466,3777,30500,17116,13384,10909,5898,5011,29181,23220,5961,23694,10172,13522,973,418,555,15014,6227,8787,2749,446,2303,4958,3081,1877,127533,50683,76850,1.0
33,4,,0,0,0,TALUK,Gudiyatham,Urban,28290,141614,70484,71130,17980,9205,8775,24819,12211,12608,64,32,32,92882,51177,41705,48732,19307,29425,53146,37150,15996,49590,35354,14236,361,284,77,840,493,347,16898,8248,8650,31491,26329,5162,3556,1796,1760,9,8,1,456,211,245,1224,279,945,1867,1298,569,88468,33334,55134,1.0
33,4,,174100,0,0,VILLAGE,Aravatla,Rural,700,3402,1719,1683,513,253,260,1045,515,530,200,97,103,1445,868,577,1957,851,1106,2000,1002,998,1519,864,655,370,339,31,849,308,541,188,134,54,112,83,29,481,138,343,4,2,2,344,96,248,88,15,73,45,25,20,1402,717,685,1.0
33,4,,174300,0,0,VILLAGE,Mordana,Rural,464,2045,1065,980,307,158,149,784,423,361,121,60,61,911,591,320,1134,474,660,1003,618,385,991,611,380,142,99,43,719,408,311,14,10,4,116,94,22,12,7,5,0,0,0,10,5,5,0,0,0,2,2,0,1042,447,595,1.0
33,4,,174600,0,0,VILLAGE,Danakondapalli,Rural,692,2915,1439,1476,425,212,213,1222,613,609,363,183,180,1449,881,568,1466,558,908,1520,868,652,840,643,197,262,204,58,183,134,49,30,19,11,365,286,79,680,225,455,90,33,57,519,159,360,13,1,12,58,32,26,1395,571,824,1.0
33,4,,174800,0,0,VILLAGE,Viludonapaliam,Rural,444,2055,1054,1001,216,117,99,629,319,310,52,32,20,1220,705,515,835,349,486,1080,676,404,1075,675,400,397,284,113,573,309,264,14,8,6,91,74,17,5,1,4,4,1,3,1,0,1,0,0,0,0,0,0,975,378,597,1.0
