STATE,DISTRICT,TAHSIL,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,SUB-DISTT
33,26,,0,0,0,DISTRICT,Virudhunagar,Total,447889,1751301,870376,880925,209147,106803,102344,332297,164930,167367,2357,1158,1199,1136574,641062,495512,614727,229314,385413,881803,517681,364122,802521,488935,313586,79429,48226,31203,153228,74737,78491,43975,14589,29386,525889,351383,174506,79282,28746,50536,6183,2414,3769,44420,14891,29529,5806,767,5039,22873,10674,12199,869498,352695,516803,0.0
33,26,,0,0,0,DISTRICT,Virudhunagar,Rural,249950,973956,482626,491330,120187,61424,58763,239324,118805,120519,953,485,468,586525,339594,246931,387431,143032,244399,526860,286442,240418,464630,264052,200578,74557,44858,29699,126771,60821,65950,16462,5462,11000,246840,152911,93929,62230,22390,39840,5940,2333,3607,40320,13336,26984,2511,442,2069,13459,6279,7180,447096,196184,250912,0.0
33,26,,0,0,0,DISTRICT,Virudhunagar,Urban,197939,777345,387750,389595,88960,45379,43581,92973,46125,46848,1404,673,731,550049,301468,248581,227296,86282,141014,354943,231239,123704,337891,224883,113008,4872,3368,1504,26457,13916,12541,27513,9127,18386,279049,198472,80577,17052,6356,10696,243,81,162,4100,1555,2545,3295,325,2970,9414,4395,5019,422402,156511,265891,0.0
33,26,,0,0,0,TALUK,Rajapalayam,Total,82670,307959,153529,154430,34934,17986,16948,64988,32005,32983,999,486,513,203551,114048,89503,104408,39481,64927,143008,91805,51203,133037,88447,44590,6751,4534,2217,29376,14383,14993,10014,3013,7001,86896,66517,20379,9971,3358,6613,547,192,355,5319,1601,3718,1096,100,996,3009,1465,1544,164951,61724,103227,1.0
33,26,,0,0,0,TALUK,Rajapalayam,Rural,40553,149269,74223,75046,17986,9318,8668,43402,21401,22001,584,301,283,92093,52419,39674,57176,21804,35372,76627,44487,32140,69732,42278,27454,5939,3841,2098,22366,10640,11726,4336,1352,2984,37091,26445,10646,6895,2209,4686,529,181,348,4311,1231,3080,454,61,393,1601,736,865,72642,29736,42906,1.0
33,26,,0,0,0,TALUK,Rajapalayam,Urban,42117,158690,79306,79384,16948,8668,8280,21586,10604,10982,415,185,230,111458,61629,49829,47232,17677,29555,66381,47318,19063,63305,46169,17136,812,693,119,7010,3743,3267,5678,1661,4017,49805,40072,9733,3076,1149,1927,18,11,7,1008,370,638,642,39,603,1408,729,679,92309,31988,60321,1.0
33,26,,1433600,0,0,VILLAGE,Vadakku Venganallur ,Rural,465,1751,885,866,203,110,93,871,439,432,0,0,0,1146,635,511,605,250,355,786,503,283,770,497,273,56,44,12,360,189,171,7,0,7,347,264,83,16,6,10,14,6,8,0,0,0,1,0,1,1,0,1,965,382,583,1.0
33,26,,1433700,0,0,VILLAGE,Sammandapuram  ,Rural,303,1173,590,583,127,60,67,334,163,171,9,5,4,988,516,472,185,74,111,386,333,53,380,327,53,10,7,3,7,6,1,3,2,1,360,312,48,6,6,0,0,0,0,0,0,0,0,0,0,6,6,0,787,257,530,1.0
33,26,,1434100,0,0,VILLAGE,Melapattamkarisalkulam,Rural,1316,4939,2484,2455,609,294,315,2433,1215,1218,4,3,1,3241,1790,1451,1698,694,1004,2061,1428,633,1704,1237,467,88,54,34,371,197,174,8,6,2,1237,980,257,357,191,166,13,4,9,209,101,108,6,3,3,129,83,46,2878,1056,1822,1.0
33,26,,1434200,0,0,VILLAGE,Kothankulam  ,Rural,1026,4013,1991,2022,508,268,240,1444,712,732,0,0,0,2293,1310,983,1720,681,1039,2017,1173,844,2007,1168,839,121,73,48,542,229,313,20,15,5,1324,851,473,10,5,5,2,1,1,4,1,3,1,0,1,3,3,0,1996,818,1178,1.0
