STATE,DISTRICT,TAHSIL,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,SUB-DISTT
33,1,,0,0,0,DISTRICT,Thiruvallur,Total,633033,2754756,1397407,1357349,329761,168476,161285,600858,301316,299542,37858,18880,18978,1865707,1047763,817944,889049,349644,539405,1037097,768717,268380,850994,664944,186050,79159,60478,18681,158833,94447,64386,39476,24205,15271,573526,485814,87712,186103,103773,82330,9369,4465,4904,96101,43491,52610,10869,3692,7177,69764,52125,17639,1717659,628690,1088969,0.0
33,1,,0,0,0,DISTRICT,Thiruvallur,Rural,289593,1254674,629052,625622,158575,80920,77655,400496,200050,200446,28885,14466,14419,736374,427393,308981,518300,201659,316641,533464,354775,178689,398763,286816,111947,73300,56306,16994,149034,87882,61152,21999,13799,8200,154430,128829,25601,134701,67959,66742,8641,4132,4509,91570,41335,50235,7218,2522,4696,27272,19970,7302,721210,274277,446933,0.0
33,1,,0,0,0,DISTRICT,Thiruvallur,Urban,343440,1500082,768355,731727,171186,87556,83630,200362,101266,99096,8973,4414,4559,1129333,620370,508963,370749,147985,222764,503633,413942,89691,452231,378128,74103,5859,4172,1687,9799,6565,3234,17477,10406,7071,419096,356985,62111,51402,35814,15588,728,333,395,4531,2156,2375,3651,1170,2481,42492,32155,10337,996449,354413,642036,0.0
33,2,,0,0,0,DISTRICT,Chennai,Total,962213,4343645,2219539,2124106,433340,219720,213620,598110,301835,296275,6728,3368,3360,3336695,1799981,1536714,1006950,419558,587392,1488364,1201152,287212,1380757,1126429,254328,15149,7356,7793,5849,4508,1341,25836,15614,10222,1333923,1098951,234972,107607,74723,32884,2026,736,1290,1233,795,438,5156,2250,2906,99192,70942,28250,2855281,1018387,1836894,0.0
33,2,,0,0,0,DISTRICT,Chennai,Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
33,2,,0,0,0,DISTRICT,Chennai,Urban,962213,4343645,2219539,2124106,433340,219720,213620,598110,301835,296275,6728,3368,3360,3336695,1799981,1536714,1006950,419558,587392,1488364,1201152,287212,1380757,1126429,254328,15149,7356,7793,5849,4508,1341,25836,15614,10222,1333923,1098951,234972,107607,74723,32884,2026,736,1290,1233,795,438,5156,2250,2906,99192,70942,28250,2855281,1018387,1836894,0.0
33,3,,0,0,0,DISTRICT,Kancheepuram,Total,653241,2877468,1457242,1420226,337259,171997,165262,721989,362097,359892,26508,13267,13241,1952198,1088943,863255,925270,368299,556971,1144929,804154,340775,916295,687754,228541,113591,82017,31574,169970,96268,73702,53232,35126,18106,579502,474343,105159,228634,116400,112234,13199,6352,6847,135811,59461,76350,11704,4046,7658,67920,46541,21379,1732539,653088,1079451,0.0
33,3,,0,0,0,DISTRICT,Kancheepuram,Rural,302497,1342502,676095,666407,165701,84496,81205,496932,249258,247674,18062,9066,8996,791700,457846,333854,550802,218249,332553,605612,382095,223517,438778,303768,135010,105136,75903,29233,154292,86481,67811,23185,14879,8306,156165,126505,29660,166834,78327,88507,11948,5733,6215,122982,52951,70031,6419,2449,3970,25485,17194,8291,736890,294000,442890,0.0
33,3,,0,0,0,DISTRICT,Kancheepuram,Urban,350744,1534966,781147,753819,171558,87501,84057,225057,112839,112218,8446,4201,4245,1160498,631097,529401,374468,150050,224418,539317,422059,117258,477517,383986,93531,8455,6114,2341,15678,9787,5891,30047,20247,9800,423337,347838,75499,61800,38073,23727,1251,619,632,12829,6510,6319,5285,1597,3688,42435,29347,13088,995649,359088,636561,0.0
33,4,,0,0,0,DISTRICT,Vellore,Total,756365,3477317,1741083,1736234,432180,222454,209726,714054,354551,359503,63040,31860,31180,2203552,1245076,958476,1273765,496007,777758,1427180,951805,475375,1172645,840826,331819,232840,165213,67627,232731,131138,101593,136491,73952,62539,570583,470523,100060,254535,110979,143556,18554,7835,10719,157965,60573,97392,25499,6548,18951,52517,36023,16494,2050137,789278,1260859,0.0
33,4,,0,0,0,DISTRICT,Vellore,Rural,483383,2169319,1088090,1081229,276534,143033,133501,505677,251749,253928,58237,29455,28782,1276373,741671,534702,892946,346419,546527,982222,611919,370303,763676,519723,243953,223974,158030,65944,214433,120110,94323,80523,43360,37163,244746,198223,46523,218546,92196,126350,17803,7503,10300,146953,56262,90691,19459,5040,14419,34331,23391,10940,1187097,476171,710926,0.0
33,4,,0,0,0,DISTRICT,Vellore,Urban,272982,1307998,652993,655005,155646,79421,76225,208377,102802,105575,4803,2405,2398,927179,503405,423774,380819,149588,231231,444958,339886,105072,408969,321103,87866,8866,7183,1683,18298,11028,7270,55968,30592,25376,325837,272300,53537,35989,18783,17206,751,332,419,11012,4311,6701,6040,1508,4532,18186,12632,5554,863040,313107,549933,0.0
33,5,,0,0,0,DISTRICT,Dharmapuri,Total,638305,2856300,1473597,1382703,386575,206829,179746,416951,212136,204815,59549,30520,29029,1516221,906943,609278,1340079,566654,773425,1413250,853190,560060,1188366,774899,413467,510631,324605,186026,300068,153014,147054,25267,12235,13032,352400,285045,67355,224884,78291,146593,33693,10351,23342,149273,46073,103200,9075,2109,6966,32843,19758,13085,1443050,620407,822643,0.0
33,5,,0,0,0,DISTRICT,Dharmapuri,Rural,536698,2400354,1240122,1160232,327661,176194,151467,363285,185061,178224,57763,29592,28171,1204910,733162,471748,1195444,506960,688484,1239729,724253,515476,1030730,652396,378334,499513,316666,182847,285722,145016,140706,18621,9097,9524,226874,181617,45257,208999,71857,137142,32957,10012,22945,142886,44242,98644,7646,1778,5868,25510,15825,9685,1160625,515869,644756,0.0
33,5,,0,0,0,DISTRICT,Dharmapuri,Urban,101607,455946,233475,222471,58914,30635,28279,53666,27075,26591,1786,928,858,311311,173781,137530,144635,59694,84941,173521,128937,44584,157636,122503,35133,11118,7939,3179,14346,7998,6348,6646,3138,3508,125526,103428,22098,15885,6434,9451,736,339,397,6387,1831,4556,1429,331,1098,7333,3933,3400,282425,104538,177887,0.0
33,6,,0,0,0,DISTRICT,Tiruvannamalai,Total,489055,2186125,1095859,1090266,261295,134155,127140,467532,233572,233960,72760,36928,35832,1297151,761403,535748,888974,334456,554518,1064783,633166,431617,829944,547334,282610,323995,217747,106248,246478,121808,124670,43922,31183,12739,215549,176596,38953,234839,85832,149007,21441,8474,12967,177096,57648,119448,10801,2767,8034,25501,16943,8558,1121342,462693,658649,0.0
33,6,,0,0,0,DISTRICT,Tiruvannamalai,Rural,403794,1785364,895738,889626,215438,110801,104637,412993,206740,206253,69198,35129,34069,1014930,605600,409330,770434,290138,480296,924770,526621,398149,706786,448964,257822,316486,212092,104394,234428,115298,119130,33589,23680,9909,122283,97894,24389,217984,77657,140327,20774,8223,12551,169835,55073,114762,9229,2378,6851,18146,11983,6163,860594,369117,491477,0.0
33,6,,0,0,0,DISTRICT,Tiruvannamalai,Urban,85261,400761,200121,200640,45857,23354,22503,54539,26832,27707,3562,1799,1763,282221,155803,126418,118540,44318,74222,140013,106545,33468,123158,98370,24788,7509,5655,1854,12050,6510,5540,10333,7503,2830,93266,78702,14564,16855,8175,8680,667,251,416,7261,2575,4686,1572,389,1183,7355,4960,2395,260748,93576,167172,0.0
33,7,,0,0,0,DISTRICT,Viluppuram,Total,635210,2960373,1492442,1467931,373175,190257,182918,810931,408234,402697,63920,32294,31626,1650528,977374,673154,1309845,515068,794777,1445177,857530,587647,1125229,734088,391141,410706,279897,130809,430756,228566,202190,26131,15494,10637,257636,210131,47505,319948,123442,196506,31148,12796,18352,252633,89810,162823,8548,2623,5925,27619,18213,9406,1515196,634912,880284,0.0
33,7,,0,0,0,DISTRICT,Viluppuram,Rural,544609,2533456,1277415,1256041,323451,165048,158403,740441,373085,367356,61687,31149,30538,1347727,809944,537783,1185729,467471,718258,1297445,743524,553921,995268,629152,366116,402715,273668,129047,412394,217450,194944,22469,13316,9153,157690,124718,32972,302177,114372,187805,30413,12524,17889,243939,86276,157663,7687,2387,5300,20138,13185,6953,1236011,533891,702120,0.0
33,7,,0,0,0,DISTRICT,Viluppuram,Urban,90601,426917,215027,211890,49724,25209,24515,70490,35149,35341,2233,1145,1088,302801,167430,135371,124116,47597,76519,147732,114006,33726,129961,104936,25025,7991,6229,1762,18362,11116,7246,3662,2178,1484,99946,85413,14533,17771,9070,8701,735,272,463,8694,3534,5160,861,236,625,7481,5028,2453,279185,101021,178164,0.0
33,8,,0,0,0,DISTRICT,Salem,Total,736562,3016346,1563633,1452713,351859,190129,161730,475738,244391,231347,103921,52693,51228,1734442,1021772,712670,1281904,541861,740043,1454645,942939,511706,1279846,874647,405199,285371,174023,111348,281799,146712,135087,121353,80144,41209,591323,473768,117555,174799,68292,106507,15867,4790,11077,106102,36075,70027,12908,3294,9614,39922,24133,15789,1561701,620694,941007,0.0
33,8,,0,0,0,DISTRICT,Salem,Rural,405123,1626162,852453,773709,195606,108031,87575,288559,149374,139185,98722,49988,48734,819312,506149,313163,806850,346304,460546,883025,524259,358766,753225,476815,276410,253111,153298,99813,228865,117379,111486,53332,34724,18608,217917,171414,46503,129800,47444,82356,14274,4192,10082,88171,29200,58971,7298,1899,5399,20057,12153,7904,743137,328194,414943,0.0
33,8,,0,0,0,DISTRICT,Salem,Urban,331439,1390184,711180,679004,156253,82098,74155,187179,95017,92162,5199,2705,2494,915130,515623,399507,475054,195557,279497,571620,418680,152940,526621,397832,128789,32260,20725,11535,52934,29333,23601,68021,45420,22601,373406,302354,71052,44999,20848,24151,1593,598,995,17931,6875,11056,5610,1395,4215,19865,11980,7885,818564,292500,526064,0.0
33,9,,0,0,0,DISTRICT,Namakkal   *,Total,394378,1493462,759551,733911,152685,80809,71876,280776,143014,137762,51416,26039,25377,903802,526412,377390,589660,233139,356521,842640,489002,353638,770940,463412,307528,171838,95385,76453,222900,102783,120117,45201,23304,21897,331001,241940,89061,71700,25590,46110,6879,2495,4384,42859,13488,29371,5337,1135,4202,16625,8472,8153,650822,270549,380273,0.0
33,9,,0,0,0,DISTRICT,Namakkal   *,Rural,255827,948230,482365,465865,95993,51150,44843,212849,108271,104578,50454,25552,24902,538212,320242,217970,410018,162123,247895,574408,314478,259930,517549,294734,222815,156896,86782,70114,184296,83480,100816,24608,12515,12093,151749,111957,39792,56859,19744,37115,6419,2315,4104,36467,11123,25344,3724,786,2938,10249,5520,4729,373822,167887,205935,0.0
33,9,,0,0,0,DISTRICT,Namakkal   *,Urban,138551,545232,277186,268046,56692,29659,27033,67927,34743,33184,962,487,475,365590,206170,159420,179642,71016,108626,268232,174524,93708,253391,168678,84713,14942,8603,6339,38604,19303,19301,20593,10789,9804,179252,129983,49269,14841,5846,8995,460,180,280,6392,2365,4027,1613,349,1264,6376,2952,3424,277000,102662,174338,0.0
33,10,,0,0,0,DISTRICT,Erode,Total,698405,2581500,1309278,1272222,252843,130377,122466,422204,213312,208892,17693,8933,8760,1521955,887907,634048,1059545,421371,638174,1434405,870598,563807,1317991,830689,487302,280072,167369,112703,411010,207875,203135,68201,35807,32394,558708,419638,139070,116414,39909,76505,11247,3246,8001,69960,21786,48174,8138,1520,6618,27069,13357,13712,1147095,438680,708415,0.0
33,10,,0,0,0,DISTRICT,Erode,Rural,383467,1387537,705436,682101,135499,70135,65364,273677,138667,135010,15120,7573,7547,726792,440042,286750,660745,265394,395351,850983,482352,368631,770155,456189,313966,227496,135068,92428,300455,151894,148561,38754,20562,18192,203450,148665,54785,80828,26163,54665,9706,2825,6881,53961,16580,37381,5044,968,4076,12117,5790,6327,536554,223084,313470,0.0
33,10,,0,0,0,DISTRICT,Erode,Urban,314938,1193963,603842,590121,117344,60242,57102,148527,74645,73882,2573,1360,1213,795163,447865,347298,398800,155977,242823,583422,388246,195176,547836,374500,173336,52576,32301,20275,110555,55981,54574,29447,15245,14202,355258,270973,84285,35586,13746,21840,1541,421,1120,15999,5206,10793,3094,552,2542,14952,7567,7385,610541,215596,394945,0.0
33,11,,0,0,0,DISTRICT,The Nilgiris,Total,182682,762141,378351,383790,85860,43383,42477,238014,117792,120222,28373,14014,14359,541099,296573,244526,221042,81778,139264,343385,207563,135822,310064,190856,119208,11410,7818,3592,38775,21275,17500,1656,836,820,258223,160927,97296,33321,16707,16614,1679,898,781,8956,3971,4985,474,164,310,22212,11674,10538,418756,170788,247968,0.0
33,11,,0,0,0,DISTRICT,The Nilgiris,Rural,76543,307532,151874,155658,34632,17601,17031,85485,42423,43062,19600,9753,9847,202668,113834,88834,104864,38040,66824,155861,86090,69771,139711,78619,61092,8209,5384,2825,25331,13593,11738,877,415,462,105294,59227,46067,16150,7471,8679,1435,763,672,5721,2368,3353,273,95,178,8721,4245,4476,151671,65784,85887,0.0
33,11,,0,0,0,DISTRICT,The Nilgiris,Urban,106139,454609,226477,228132,51228,25782,25446,152529,75369,77160,8773,4261,4512,338431,182739,155692,116178,43738,72440,187524,121473,66051,170353,112237,58116,3201,2434,767,13444,7682,5762,779,421,358,152929,101700,51229,17171,9236,7935,244,135,109,3235,1603,1632,201,69,132,13491,7429,6062,267085,105004,162081,0.0
33,12,,0,0,0,DISTRICT,Coimbatore,Total,1095354,4271856,2176031,2095825,445317,226868,218449,630675,315869,314806,29103,14738,14365,2945278,1648814,1296464,1326578,527217,799361,1977612,1375765,601847,1828629,1308312,520317,172107,112410,59697,336548,180461,156087,67696,44059,23637,1252278,971382,280896,148983,67453,81530,8494,2613,5881,62355,22358,39997,7118,1715,5403,71016,40767,30249,2294244,800266,1493978,0.0
33,12,,0,0,0,DISTRICT,Coimbatore,Rural,387696,1451653,734699,716954,152849,77850,74999,310714,156044,154670,19559,9880,9679,847250,493911,353339,604403,240788,363615,784914,486181,298733,710534,457903,252631,148134,96324,51810,258237,136374,121863,29827,17978,11849,274336,207227,67109,74380,28278,46102,7003,2124,4879,46555,15675,30880,2938,653,2285,17884,9826,8058,666739,248518,418221,0.0
33,12,,0,0,0,DISTRICT,Coimbatore,Urban,707658,2820203,1441332,1378871,292468,149018,143450,319961,159825,160136,9544,4858,4686,2098028,1154903,943125,722175,286429,435746,1192698,889584,303114,1118095,850409,267686,23973,16086,7887,78311,44087,34224,37869,26081,11788,977942,764155,213787,74603,39175,35428,1491,489,1002,15800,6683,9117,4180,1062,3118,53132,30941,22191,1627505,551748,1075757,0.0
33,13,,0,0,0,DISTRICT,Dindigul,Total,465179,1923014,968137,954877,218918,113408,105510,376170,189066,187104,6484,3320,3164,1181746,681698,500048,741268,286439,454829,973332,585146,388186,841893,530726,311167,183218,111908,71310,313195,155386,157809,25180,13231,11949,320300,250201,70099,131439,54420,77019,10132,4026,6106,91395,34035,57360,4800,1175,3625,25112,15184,9928,949682,382991,566691,0.0
33,13,,0,0,0,DISTRICT,Dindigul,Rural,305862,1249762,629073,620689,144007,74984,69023,269809,135694,134115,3512,1773,1739,710461,421948,288513,539301,207125,332176,699276,390469,308807,590967,347099,243868,167659,101876,65783,263184,129277,133907,14593,7320,7273,145531,108626,36905,108309,43370,64939,9345,3739,5606,80472,29721,50751,3612,938,2674,14880,8972,5908,550486,238604,311882,0.0
33,13,,0,0,0,DISTRICT,Dindigul,Urban,159317,673252,339064,334188,74911,38424,36487,106361,53372,52989,2972,1547,1425,471285,259750,211535,201967,79314,122653,274056,194677,79379,250926,183627,67299,15559,10032,5527,50011,26109,23902,10587,5911,4676,174769,141575,33194,23130,11050,12080,787,287,500,10923,4314,6609,1188,237,951,10232,6212,4020,399196,144387,254809,0.0
33,14,,0,0,0,DISTRICT,Karur  *,Total,237716,935686,465538,470148,103279,53523,49756,190260,94194,96066,1450,711,739,566728,328103,238625,368958,137435,231523,496464,293582,202882,445450,276628,168822,100875,62733,38142,152993,70688,82305,18228,9622,8606,173354,133585,39769,51014,16954,34060,3978,1248,2730,35152,10481,24671,2484,394,2090,9400,4831,4569,439222,171956,267266,0.0
33,14,,0,0,0,DISTRICT,Karur  *,Rural,158856,624430,310922,313508,69555,36075,33480,144327,71518,72809,1075,533,542,345850,206907,138943,278580,104015,174565,360074,200013,160061,321395,187440,133955,92638,57104,35534,130036,58950,71086,12815,7002,5813,85906,64384,21522,38679,12573,26106,3684,1117,2567,28998,8684,20314,1244,247,997,4753,2525,2228,264356,110909,153447,0.0
33,14,,0,0,0,DISTRICT,Karur  *,Urban,78860,311256,154616,156640,33724,17448,16276,45933,22676,23257,375,178,197,220878,121196,99682,90378,33420,56958,136390,93569,42821,124055,89188,34867,8237,5629,2608,22957,11738,11219,5413,2620,2793,87448,69201,18247,12335,4381,7954,294,131,163,6154,1797,4357,1240,147,1093,4647,2306,2341,174866,61047,113819,0.0
33,15,,0,0,0,DISTRICT,Tiruchirappalli,Total,569487,2418366,1208534,1209832,270043,138162,131881,399493,197917,201576,18912,9596,9316,1673478,926354,747124,744888,282180,462708,1064521,687814,376707,927788,629457,298331,203874,126694,77180,245875,121030,124845,36676,19160,17516,441363,362573,78790,136733,58357,78376,13244,5726,7518,89842,32186,57656,4922,1354,3568,28725,19091,9634,1353845,520720,833125,0.0
33,15,,0,0,0,DISTRICT,Tiruchirappalli,Rural,307602,1279204,638617,640587,151661,78055,73606,261417,129181,132236,14383,7324,7059,787843,455246,332597,491361,183371,307990,671320,381223,290097,563050,338788,224262,193651,118979,74672,214904,103619,111285,21560,11307,10253,132935,104883,28052,108270,42435,65835,12877,5545,7332,79939,28051,51888,3112,910,2202,12342,7929,4413,607884,257394,350490,0.0
33,15,,0,0,0,DISTRICT,Tiruchirappalli,Urban,261885,1139162,569917,569245,118382,60107,58275,138076,68736,69340,4529,2272,2257,885635,471108,414527,253527,98809,154718,393201,306591,86610,364738,290669,74069,10223,7715,2508,30971,17411,13560,15116,7853,7263,308428,257690,50738,28463,15922,12541,367,181,186,9903,4135,5768,1810,444,1366,16383,11162,5221,745961,263326,482635,0.0
33,16,,0,0,0,DISTRICT,Perambalur  *,Total,121176,493646,246141,247505,60478,31224,29254,149145,73866,75279,3307,1708,1599,286197,167406,118791,207449,78735,128714,265707,142647,123060,222600,127564,95036,119181,67610,51571,60558,27424,33134,3558,2125,1433,39303,30405,8898,43107,15083,28024,6781,2321,4460,32018,10325,21693,1040,265,775,3268,2172,1096,227939,103494,124445,0.0
33,16,,0,0,0,DISTRICT,Perambalur  *,Rural,102834,414426,206807,207619,51422,26597,24825,128590,63753,64837,2768,1423,1345,230818,137385,93433,183608,69422,114186,234818,122573,112245,194654,108964,85690,112089,63282,48807,52149,23086,29063,3171,1862,1309,27245,20734,6511,40164,13609,26555,6701,2296,4405,29932,9449,20483,1001,250,751,2530,1614,916,179608,84234,95374,0.0
33,16,,0,0,0,DISTRICT,Perambalur  *,Urban,18342,79220,39334,39886,9056,4627,4429,20555,10113,10442,539,285,254,55379,30021,25358,23841,9313,14528,30889,20074,10815,27946,18600,9346,7092,4328,2764,8409,4338,4071,387,263,124,12058,9671,2387,2943,1474,1469,80,25,55,2086,876,1210,39,15,24,738,558,180,48331,19260,29071,0.0
33,17,,0,0,0,DISTRICT,Ariyalur  *,Total,165569,695524,346763,348761,89099,45726,43373,151220,75326,75894,8529,4228,4301,388605,232385,156220,306919,114378,192541,345891,201196,144695,251606,167679,83927,97135,69827,27308,88517,48591,39926,16104,9590,6514,49850,39671,10179,94285,33517,60768,14201,5893,8308,70506,23263,47243,3654,805,2849,5924,3556,2368,349633,145567,204066,0.0
33,17,,0,0,0,DISTRICT,Ariyalur  *,Rural,148019,616539,307670,308869,79379,40789,38590,140236,69792,70444,7907,3926,3981,334760,202879,131881,281779,104791,176988,318210,180383,137827,228607,149248,79359,95000,68045,26955,85144,46160,38984,13447,7750,5697,35016,27293,7723,89603,31135,58468,14019,5782,8237,68222,22128,46094,3111,713,2398,4251,2512,1739,298329,127287,171042,0.0
33,17,,0,0,0,DISTRICT,Ariyalur  *,Urban,17550,78985,39093,39892,9720,4937,4783,10984,5534,5450,622,302,320,53845,29506,24339,25140,9587,15553,27681,20813,6868,22999,18431,4568,2135,1782,353,3373,2431,942,2657,1840,817,14834,12378,2456,4682,2382,2300,182,111,71,2284,1135,1149,543,92,451,1673,1044,629,51304,18280,33024,0.0
33,18,,0,0,0,DISTRICT,Cuddalore,Total,511400,2285395,1150908,1134487,284964,145645,139319,634479,318713,315766,11773,5920,5853,1420488,820726,599762,864907,330182,534725,973066,636911,336155,729764,527108,202656,163445,118921,44524,266458,157357,109101,20485,12794,7691,279376,238036,41340,243302,109803,133499,22430,10868,11562,182746,77008,105738,9972,2519,7453,28154,19408,8746,1312329,513997,798332,0.0
33,18,,0,0,0,DISTRICT,Cuddalore,Rural,348113,1531034,771786,759248,196493,100390,96103,514729,259264,255465,7241,3641,3600,872343,521901,350442,658691,249885,408806,729741,439746,289995,514015,347093,166922,155889,112428,43461,240581,139919,100662,12496,7623,4873,105049,87123,17926,215726,92653,123073,21626,10336,11290,171103,70797,100306,8373,1950,6423,14624,9570,5054,801293,332040,469253,0.0
33,18,,0,0,0,DISTRICT,Cuddalore,Urban,163287,754361,379122,375239,88471,45255,43216,119750,59449,60301,4532,2279,2253,548145,298825,249320,206216,80297,125919,243325,197165,46160,215749,180015,35734,7556,6493,1063,25877,17438,8439,7989,5171,2818,174327,150913,23414,27576,17150,10426,804,532,272,11643,6211,5432,1599,569,1030,13530,9838,3692,511036,181957,329079,0.0
33,19,,0,0,0,DISTRICT,Nagapattinam  *,Total,343613,1488839,739074,749765,183346,93396,89950,441231,219933,221298,3420,1734,1686,996580,548142,448438,492259,190932,301327,586734,410135,176599,468754,350045,118709,61426,51307,10119,219427,138221,81206,8425,5224,3201,179476,155293,24183,117980,60090,57890,10584,5632,4952,89341,42371,46970,3035,1170,1865,15020,10917,4103,902105,328939,573166,0.0
33,19,,0,0,0,DISTRICT,Nagapattinam  *,Rural,271827,1158557,576010,582547,145063,73820,71243,399441,199346,200095,1618,824,794,751618,418324,333294,406939,157686,249253,480892,324511,156381,374849,271772,103077,57449,47930,9519,209258,131133,78125,6440,4039,2401,101702,88670,13032,106043,52739,53304,9955,5215,4740,82917,38855,44062,2684,1040,1644,10487,7629,2858,677665,251499,426166,0.0
33,19,,0,0,0,DISTRICT,Nagapattinam  *,Urban,71786,330282,163064,167218,38283,19576,18707,41790,20587,21203,1802,910,892,244962,129818,115144,85320,33246,52074,105842,85624,20218,93905,78273,15632,3977,3377,600,10169,7088,3081,1985,1185,800,77774,66623,11151,11937,7351,4586,629,417,212,6424,3516,2908,351,130,221,4533,3288,1245,224440,77440,147000,0.0
33,20,,0,0,0,DISTRICT,Thiruvarur,Total,275395,1169474,580784,588690,140099,71115,68984,378314,188682,189632,2673,1310,1363,788302,435421,352881,381172,145363,235809,491003,331530,159473,386956,282611,104345,61965,52224,9741,199580,122933,76647,7090,4493,2597,118321,102961,15360,104047,48919,55128,7639,4262,3377,84208,36926,47282,2443,708,1735,9757,7023,2734,678471,249254,429217,0.0
33,20,,0,0,0,DISTRICT,Thiruvarur,Rural,222615,932231,463502,468729,113326,57571,55755,342530,171053,171477,971,493,478,608297,340202,268095,323934,123300,200634,414288,269734,144554,320502,226819,93683,59154,49721,9433,188828,115619,73209,5701,3656,2045,66819,57823,8996,93786,42915,50871,7327,4038,3289,77975,33757,44218,2097,600,1497,6387,4520,1867,517943,193768,324175,0.0
33,20,,0,0,0,DISTRICT,Thiruvarur,Urban,52780,237243,117282,119961,26773,13544,13229,35784,17629,18155,1702,817,885,180005,95219,84786,57238,22063,35175,76715,61796,14919,66454,55792,10662,2811,2503,308,10752,7314,3438,1389,837,552,51502,45138,6364,10261,6004,4257,312,224,88,6233,3169,3064,346,108,238,3370,2503,867,160528,55486,105042,0.0
