STATE,DISTRICT,TAHSIL,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,SUB-DISTT
33,1,,0,0,0,DISTRICT,Thiruvallur,Total,633033,2754756,1397407,1357349,329761,168476,161285,600858,301316,299542,37858,18880,18978,1865707,1047763,817944,889049,349644,539405,1037097,768717,268380,850994,664944,186050,79159,60478,18681,158833,94447,64386,39476,24205,15271,573526,485814,87712,186103,103773,82330,9369,4465,4904,96101,43491,52610,10869,3692,7177,69764,52125,17639,1717659,628690,1088969,0.0
33,1,,0,0,0,DISTRICT,Thiruvallur,Rural,289593,1254674,629052,625622,158575,80920,77655,400496,200050,200446,28885,14466,14419,736374,427393,308981,518300,201659,316641,533464,354775,178689,398763,286816,111947,73300,56306,16994,149034,87882,61152,21999,13799,8200,154430,128829,25601,134701,67959,66742,8641,4132,4509,91570,41335,50235,7218,2522,4696,27272,19970,7302,721210,274277,446933,0.0
33,1,,0,0,0,DISTRICT,Thiruvallur,Urban,343440,1500082,768355,731727,171186,87556,83630,200362,101266,99096,8973,4414,4559,1129333,620370,508963,370749,147985,222764,503633,413942,89691,452231,378128,74103,5859,4172,1687,9799,6565,3234,17477,10406,7071,419096,356985,62111,51402,35814,15588,728,333,395,4531,2156,2375,3651,1170,2481,42492,32155,10337,996449,354413,642036,0.0
33,1,,0,0,0,TALUK,Gummidipoondi,Total,37330,159598,80486,79112,20220,10336,9884,40205,20172,20033,3617,1758,1859,88640,52296,36344,70958,28190,42768,68242,46397,21845,51518,38617,12901,10391,8277,2114,17601,11021,6580,2673,1695,978,20853,17624,3229,16724,7780,8944,1469,676,793,11438,4827,6611,782,174,608,3035,2103,932,91356,34089,57267,1.0
33,1,,0,0,0,TALUK,Gummidipoondi,Rural,33605,143402,71979,71423,18073,9198,8875,38408,19222,19186,3434,1666,1768,77345,45779,31566,66057,26200,39857,62501,41704,20797,46596,34413,12183,10163,8090,2073,17453,10912,6541,2596,1654,942,16384,13757,2627,15905,7291,8614,1463,672,791,11190,4694,6496,729,152,577,2523,1773,750,80901,30275,50626,1.0
33,1,,0,0,0,TALUK,Gummidipoondi,Urban,3725,16196,8507,7689,2147,1138,1009,1797,950,847,183,92,91,11295,6517,4778,4901,1990,2911,5741,4693,1048,4922,4204,718,228,187,41,148,109,39,77,41,36,4469,3867,602,819,489,330,6,4,2,248,133,115,53,22,31,512,330,182,10455,3814,6641,1.0
33,1,,0,0,0,TALUK,Ponneri,Total,76809,331406,166078,165328,40253,20225,20028,105538,52546,52992,6177,3097,3080,207055,117042,90013,124351,49036,75315,125341,92819,32522,98171,77391,20780,9694,8022,1672,29926,19263,10663,2963,1849,1114,55588,48257,7331,27170,15428,11742,1429,771,658,16926,8674,8252,1135,309,826,7680,5674,2006,206065,73259,132806,2.0
33,1,,0,0,0,TALUK,Ponneri,Rural,56659,241290,120718,120572,30047,15096,14951,83801,41792,42009,5232,2622,2610,142395,81393,61002,98895,39325,59570,97138,68964,28174,72712,55410,17302,9298,7687,1611,28031,17881,10150,1721,1010,711,33662,28832,4830,24426,13554,10872,1373,740,633,16467,8382,8085,968,263,705,5618,4169,1449,144152,51754,92398,2.0
33,1,,0,0,0,TALUK,Ponneri,Urban,20150,90116,45360,44756,10206,5129,5077,21737,10754,10983,945,475,470,64660,35649,29011,25456,9711,15745,28203,23855,4348,25459,21981,3478,396,335,61,1895,1382,513,1242,839,403,21926,19425,2501,2744,1874,870,56,31,25,459,292,167,167,46,121,2062,1505,557,61913,21505,40408,2.0
33,1,,0,0,0,TALUK,Uthukkottai,Total,31346,130919,65035,65884,16594,8423,8171,42608,21227,21381,3705,1814,1891,70360,41310,29050,60559,23725,36834,63854,38608,25246,55197,34883,20314,11011,8033,2978,31304,16586,14718,2300,1432,868,10582,8832,1750,8657,3725,4932,370,124,246,7302,2944,4358,208,77,131,777,580,197,67065,26427,40638,3.0
33,1,,0,0,0,TALUK,Uthukkottai,Rural,28881,120293,59762,60531,15271,7755,7516,41302,20599,20703,3388,1652,1736,63421,37405,26016,56872,22357,34515,59867,35656,24211,51832,32242,19590,10808,7850,2958,30411,16076,14335,2217,1396,821,8396,6920,1476,8035,3414,4621,367,123,244,6807,2718,4089,175,67,108,686,506,180,60426,24106,36320,3.0
33,1,,0,0,0,TALUK,Uthukkottai,Urban,2465,10626,5273,5353,1323,668,655,1306,628,678,317,162,155,6939,3905,3034,3687,1368,2319,3987,2952,1035,3365,2641,724,203,183,20,893,510,383,83,36,47,2186,1912,274,622,311,311,3,1,2,495,226,269,33,10,23,91,74,17,6639,2321,4318,3.0
33,1,,0,0,0,TALUK,Tiruttani,Total,42835,185782,93352,92430,23532,12081,11451,47602,23991,23611,6180,3100,3080,106598,63032,43566,79184,30320,48864,80162,52311,27851,61664,44118,17546,13050,10004,3046,21712,12494,9218,3429,2034,1395,23473,19586,3887,18498,8193,10305,809,381,428,14469,5738,8731,695,204,491,2525,1870,655,105620,41041,64579,4.0
33,1,,0,0,0,TALUK,Tiruttani,Rural,34259,147468,73976,73492,19049,9743,9306,43097,21700,21397,4947,2502,2445,79642,47928,31714,67826,26048,41778,67269,42159,25110,50001,34602,15399,12689,9724,2965,20565,11822,8743,2730,1625,1105,14017,11431,2586,17268,7557,9711,802,380,422,14038,5583,8455,529,162,367,1899,1432,467,80199,31817,48382,4.0
33,1,,0,0,0,TALUK,Tiruttani,Urban,8576,38314,19376,18938,4483,2338,2145,4505,2291,2214,1233,598,635,26956,15104,11852,11358,4272,7086,12893,10152,2741,11663,9516,2147,361,280,81,1147,672,475,699,409,290,9456,8155,1301,1230,636,594,7,1,6,431,155,276,166,42,124,626,438,188,25421,9224,16197,4.0
33,1,,0,0,0,TALUK,Pallipattu,Total,39496,183361,92460,90901,24922,12899,12023,38272,19244,19028,4507,2302,2205,104076,63082,40994,79285,29378,49907,83673,50919,32754,67129,44539,22590,15532,10935,4597,19180,10548,8632,15890,9859,6031,16527,13197,3330,16544,6380,10164,1368,554,814,9857,3750,6107,3227,786,2441,2092,1290,802,99688,41541,58147,5.0
33,1,,0,0,0,TALUK,Pallipattu,Rural,32082,146608,73864,72744,19305,10022,9283,34439,17349,17090,4265,2180,2085,81642,49533,32109,64966,24331,40635,67355,40842,26513,52682,34943,17739,15092,10582,4510,17920,9822,8098,7372,4800,2572,12298,9739,2559,14673,5899,8774,1340,537,803,9592,3671,5921,1949,555,1394,1792,1136,656,79253,33022,46231,5.0
33,1,,0,0,0,TALUK,Pallipattu,Urban,7414,36753,18596,18157,5617,2877,2740,3833,1895,1938,242,122,120,22434,13549,8885,14319,5047,9272,16318,10077,6241,14447,9596,4851,440,353,87,1260,726,534,8518,5059,3459,4229,3458,771,1871,481,1390,28,17,11,265,79,186,1278,231,1047,300,154,146,20435,8519,11916,5.0
33,1,,0,0,0,TALUK,Thiruvallur,Total,74359,325034,162795,162239,39641,20240,19401,107318,53511,53807,5784,2891,2893,207991,117757,90234,117043,45038,72005,129575,88807,40768,90444,68238,22206,10844,8967,1877,29257,17723,11534,4503,2808,1695,45840,38740,7100,39131,20569,18562,1880,1004,876,27511,12952,14559,2305,997,1308,7435,5616,1819,195459,73988,121471,6.0
33,1,,0,0,0,TALUK,Thiruvallur,Rural,60118,262226,131006,131220,32709,16703,16006,97618,48618,49000,5335,2681,2654,160679,91914,68765,101547,39092,62455,109303,72148,37155,72110,52705,19405,10672,8820,1852,28574,17255,11319,3996,2492,1504,28868,24138,4730,37193,19443,17750,1865,996,869,27158,12813,14345,1991,958,1033,6179,4676,1503,152923,58858,94065,6.0
33,1,,0,0,0,TALUK,Thiruvallur,Urban,14241,62808,31789,31019,6932,3537,3395,9700,4893,4807,449,210,239,47312,25843,21469,15496,5946,9550,20272,16659,3613,18334,15533,2801,172,147,25,683,468,215,507,316,191,16972,14602,2370,1938,1126,812,15,8,7,353,139,214,314,39,275,1256,940,316,42536,15130,27406,6.0
33,1,,0,0,0,TALUK,Poonamallee,Total,97757,431758,220625,211133,49415,25376,24039,89977,45216,44761,3781,1885,1896,321420,176898,144522,110338,43727,66611,144981,116713,28268,125781,103939,21842,2940,2393,547,5948,3971,1977,2571,1571,1000,114322,96004,18318,19200,12774,6426,835,385,450,4085,2273,1812,664,275,389,13616,9841,3775,286777,103912,182865,7.0
33,1,,0,0,0,TALUK,Poonamallee,Rural,18325,81907,41172,40735,10531,5413,5118,29723,14806,14917,887,457,430,54767,30397,24370,27140,10775,16365,30001,22495,7506,23995,18910,5085,1692,1420,272,3627,2386,1241,539,352,187,18137,14752,3385,6006,3585,2421,641,285,356,2738,1573,1165,203,69,134,2424,1658,766,51906,18677,33229,7.0
33,1,,0,0,0,TALUK,Poonamallee,Urban,79432,349851,179453,170398,38884,19963,18921,60254,30410,29844,2894,1428,1466,266653,146501,120152,83198,32952,50246,114980,94218,20762,101786,85029,16757,1248,973,275,2321,1585,736,2032,1219,813,96185,81252,14933,13194,9189,4005,194,100,94,1347,700,647,461,206,255,11192,8183,3009,234871,85235,149636,7.0
33,1,,0,0,0,TALUK,Ambattur,Total,233101,1006898,516576,490322,115184,58896,56288,129338,65409,63929,4107,2033,2074,759567,416346,343221,247331,100230,147101,341269,282143,59126,301090,253219,47871,5697,3847,1850,3905,2841,1064,5147,2957,2190,286341,243574,42767,40179,28924,11255,1209,570,639,4513,2333,2180,1853,870,983,32604,25151,7453,665629,234433,431196,8.0
33,1,,0,0,0,TALUK,Ambattur,Rural,25664,111480,56575,54905,13590,6990,6600,32108,15964,16144,1397,706,691,76483,43044,33439,34997,13531,21466,40030,30807,9223,28835,23591,5244,2886,2133,753,2453,1728,725,828,470,358,22668,19260,3408,11195,7216,3979,790,399,391,3580,1901,1679,674,296,378,6151,4620,1531,71450,25768,45682,8.0
33,1,,0,0,0,TALUK,Ambattur,Urban,207437,895418,460001,435417,101594,51906,49688,97230,49445,47785,2710,1327,1383,683084,373302,309782,212334,86699,125635,301239,251336,49903,272255,229628,42627,2811,1714,1097,1452,1113,339,4319,2487,1832,263673,224314,39359,28984,21708,7276,419,171,248,933,432,501,1179,574,605,26453,20531,5922,594179,208665,385514,8.0
33,2,,0,0,0,DISTRICT,Chennai,Total,962213,4343645,2219539,2124106,433340,219720,213620,598110,301835,296275,6728,3368,3360,3336695,1799981,1536714,1006950,419558,587392,1488364,1201152,287212,1380757,1126429,254328,15149,7356,7793,5849,4508,1341,25836,15614,10222,1333923,1098951,234972,107607,74723,32884,2026,736,1290,1233,795,438,5156,2250,2906,99192,70942,28250,2855281,1018387,1836894,0.0
33,2,,0,0,0,DISTRICT,Chennai,Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
33,2,,0,0,0,DISTRICT,Chennai,Urban,962213,4343645,2219539,2124106,433340,219720,213620,598110,301835,296275,6728,3368,3360,3336695,1799981,1536714,1006950,419558,587392,1488364,1201152,287212,1380757,1126429,254328,15149,7356,7793,5849,4508,1341,25836,15614,10222,1333923,1098951,234972,107607,74723,32884,2026,736,1290,1233,795,438,5156,2250,2906,99192,70942,28250,2855281,1018387,1836894,0.0
33,3,,0,0,0,DISTRICT,Kancheepuram,Total,653241,2877468,1457242,1420226,337259,171997,165262,721989,362097,359892,26508,13267,13241,1952198,1088943,863255,925270,368299,556971,1144929,804154,340775,916295,687754,228541,113591,82017,31574,169970,96268,73702,53232,35126,18106,579502,474343,105159,228634,116400,112234,13199,6352,6847,135811,59461,76350,11704,4046,7658,67920,46541,21379,1732539,653088,1079451,0.0
33,3,,0,0,0,DISTRICT,Kancheepuram,Rural,302497,1342502,676095,666407,165701,84496,81205,496932,249258,247674,18062,9066,8996,791700,457846,333854,550802,218249,332553,605612,382095,223517,438778,303768,135010,105136,75903,29233,154292,86481,67811,23185,14879,8306,156165,126505,29660,166834,78327,88507,11948,5733,6215,122982,52951,70031,6419,2449,3970,25485,17194,8291,736890,294000,442890,0.0
33,3,,0,0,0,DISTRICT,Kancheepuram,Urban,350744,1534966,781147,753819,171558,87501,84057,225057,112839,112218,8446,4201,4245,1160498,631097,529401,374468,150050,224418,539317,422059,117258,477517,383986,93531,8455,6114,2341,15678,9787,5891,30047,20247,9800,423337,347838,75499,61800,38073,23727,1251,619,632,12829,6510,6319,5285,1597,3688,42435,29347,13088,995649,359088,636561,0.0
33,3,,0,0,0,TALUK,Sriperumbudur,Total,71392,316918,160377,156541,40534,20704,19830,112321,56094,56227,2765,1366,1399,204525,116344,88181,112393,44033,68360,128121,89169,38952,94250,70386,23864,9523,7193,2330,18715,11513,7202,6486,3931,2555,59526,47749,11777,33871,18783,15088,1199,729,470,18941,9504,9437,2980,1247,1733,10751,7303,3448,188797,71208,117589,1.0
33,3,,0,0,0,TALUK,Sriperumbudur,Rural,54626,241679,122415,119264,31219,15973,15246,91839,45898,45941,2383,1175,1208,152912,87618,65294,88767,34797,53970,99221,67748,31473,71000,52345,18655,9157,6934,2223,17287,10487,6800,4225,2535,1690,40331,32389,7942,28221,15403,12818,1139,687,452,17527,8621,8906,1977,894,1083,7578,5201,2377,142458,54667,87791,1.0
33,3,,0,0,0,TALUK,Sriperumbudur,Urban,16766,75239,37962,37277,9315,4731,4584,20482,10196,10286,382,191,191,51613,28726,22887,23626,9236,14390,28900,21421,7479,23250,18041,5209,366,259,107,1428,1026,402,2261,1396,865,19195,15360,3835,5650,3380,2270,60,42,18,1414,883,531,1003,353,650,3173,2102,1071,46339,16541,29798,1.0
33,3,,0,0,0,TALUK,Tambaram,Total,226720,979085,500575,478510,109031,55662,53369,133959,67471,66488,4152,2092,2060,757921,409709,348212,221164,90866,130298,333969,267218,66751,303465,246284,57181,3653,2315,1338,3290,2366,924,5005,3039,1966,291517,238564,52953,30504,20934,9570,795,350,445,1411,925,486,883,369,514,27415,19290,8125,645116,233357,411759,2.0
33,3,,0,0,0,TALUK,Tambaram,Rural,16181,71821,36940,34881,8928,4589,4339,12351,6213,6138,441,232,209,50167,27995,22172,21654,8945,12709,23024,19061,3963,19742,16603,3139,1167,894,273,1353,998,355,383,257,126,16839,14454,2385,3282,2458,824,287,162,125,623,422,201,77,36,41,2295,1838,457,48797,17879,30918,2.0
33,3,,0,0,0,TALUK,Tambaram,Urban,210539,907264,463635,443629,100103,51073,49030,121608,61258,60350,3711,1860,1851,707754,381714,326040,199510,81921,117589,310945,248157,62788,283723,229681,54042,2486,1421,1065,1937,1368,569,4622,2782,1840,274678,224110,50568,27222,18476,8746,508,188,320,788,503,285,806,333,473,25120,17452,7668,596319,215478,380841,2.0
33,3,,0,0,0,TALUK,Chengalpattu,Total,91390,412289,209310,202979,48594,24698,23896,116248,57995,58253,5218,2590,2628,278318,156257,122061,133971,53053,80918,155698,111651,44047,121006,92706,28300,17404,12461,4943,18031,10898,7133,4207,2619,1588,81364,66728,14636,34692,18945,15747,3150,1388,1762,15886,7625,8261,1829,717,1112,13827,9215,4612,256591,97659,158932,3.0
33,3,,0,0,0,TALUK,Chengalpattu,Rural,48874,221301,111739,109562,27246,13881,13365,81320,40706,40614,3309,1644,1665,134252,77196,57056,87049,34543,52506,92558,61242,31316,67086,48542,18544,16391,11671,4720,16131,9680,6451,2633,1594,1039,31931,25597,6334,25472,12700,12772,2949,1278,1671,14231,6584,7647,1142,388,754,7150,4450,2700,128743,50497,78246,3.0
33,3,,0,0,0,TALUK,Chengalpattu,Urban,42516,190988,97571,93417,21348,10817,10531,34928,17289,17639,1909,946,963,144066,79061,65005,46922,18510,28412,63140,50409,12731,53920,44164,9756,1013,790,223,1900,1218,682,1574,1025,549,49433,41131,8302,9220,6245,2975,201,110,91,1655,1041,614,687,329,358,6677,4765,1912,127848,47162,80686,3.0
33,3,,0,0,0,TALUK,Kancheepuram,Total,93747,418115,209855,208260,49370,25224,24146,83715,41881,41834,3432,1732,1700,272138,153162,118976,145977,56693,89284,180698,122104,58594,157505,112274,45231,16639,12003,4636,38613,19697,18916,30052,20713,9339,72201,59861,12340,23193,9830,13363,737,340,397,14146,5290,8856,2906,713,2193,5404,3487,1917,237417,87751,149666,4.0
33,3,,0,0,0,TALUK,Kancheepuram,Rural,47607,212504,106254,106250,26683,13568,13115,69831,34968,34863,2690,1362,1328,122483,71509,50974,90021,34745,55276,102703,62468,40235,86256,55809,30447,15791,11334,4457,37003,18777,18226,10360,6984,3376,23102,18714,4388,16447,6659,9788,645,300,345,13269,4956,8313,903,342,561,1630,1061,569,109801,43786,66015,4.0
33,3,,0,0,0,TALUK,Kancheepuram,Urban,46140,205611,103601,102010,22687,11656,11031,13884,6913,6971,742,370,372,149655,81653,68002,55956,21948,34008,77995,59636,18359,71249,56465,14784,848,669,179,1610,920,690,19692,13729,5963,49099,41147,7952,6746,3171,3575,92,40,52,877,334,543,2003,371,1632,3774,2426,1348,127616,43965,83651,4.0
33,3,,0,0,0,TALUK,Uthiramerur,Total,31231,136865,68734,68131,15866,8091,7775,42829,21678,21151,2214,1129,1085,79298,46252,33046,57567,22482,35085,67211,39549,27662,50797,33198,17599,18476,12788,5688,20663,11305,9358,1493,1148,345,10165,7957,2208,16414,6351,10063,1251,592,659,13652,4874,8778,306,94,212,1205,791,414,69654,29185,40469,5.0
33,3,,0,0,0,TALUK,Uthiramerur,Rural,25996,113209,56832,56377,13256,6723,6533,39614,19989,19625,2119,1073,1046,63585,37363,26222,49624,19469,30155,57218,33164,24054,42821,27760,15061,16847,11612,5235,17683,9709,7974,1343,1053,290,6948,5386,1562,14397,5404,8993,1164,556,608,12035,4182,7853,283,85,198,915,581,334,55991,23668,32323,5.0
33,3,,0,0,0,TALUK,Uthiramerur,Urban,5235,23656,11902,11754,2610,1368,1242,3215,1689,1526,95,56,39,15713,8889,6824,7943,3013,4930,9993,6385,3608,7976,5438,2538,1629,1176,453,2980,1596,1384,150,95,55,3217,2571,646,2017,947,1070,87,36,51,1617,692,925,23,9,14,290,210,80,13663,5517,8146,5.0
33,3,,0,0,0,TALUK,Tirukalukundram,Total,39858,173070,87366,85704,20611,10473,10138,46002,23261,22741,3257,1606,1651,109492,62478,47014,63578,24888,38690,73337,50095,23242,56289,42396,13893,11374,8676,2698,14779,8642,6137,2237,1476,761,27899,23602,4297,17048,7699,9349,1295,558,737,11984,4869,7115,789,191,598,2980,2081,899,99733,37271,62462,6.0
33,3,,0,0,0,TALUK,Tirukalukundram,Rural,26639,116109,58429,57680,14141,7218,6923,36829,18594,18235,2228,1109,1119,67384,39175,28209,48725,19254,29471,53325,34152,19173,38453,27593,10860,10793,8190,2603,13457,7819,5638,1069,639,430,13134,10945,2189,14872,6559,8313,1248,536,712,11438,4644,6794,343,94,249,1843,1285,558,62784,24277,38507,6.0
33,3,,0,0,0,TALUK,Tirukalukundram,Urban,13219,56961,28937,28024,6470,3255,3215,9173,4667,4506,1029,497,532,42108,23303,18805,14853,5634,9219,20012,15943,4069,17836,14803,3033,581,486,95,1322,823,499,1168,837,331,14765,12657,2108,2176,1140,1036,47,22,25,546,225,321,446,97,349,1137,796,341,36949,12994,23955,6.0
33,3,,0,0,0,TALUK,Maduranthakam,Total,57363,254845,127784,127061,30444,15491,14953,100446,50557,49889,3687,1857,1830,149719,86108,63611,105126,41676,63450,117798,72314,45484,88947,59780,29167,23739,16867,6872,38614,21556,17058,2267,1336,931,24327,20021,4306,28851,12534,16317,2337,1116,1221,22460,8804,13656,855,282,573,3199,2332,867,137047,55470,81577,7.0
33,3,,0,0,0,TALUK,Maduranthakam,Rural,46585,205391,102974,102417,24683,12544,12139,89892,45233,44659,3219,1628,1591,115282,66953,48329,90109,36021,54088,99304,58790,40514,74435,48282,26153,22808,16077,6731,35363,19562,15801,1806,1011,795,14458,11632,2826,24869,10508,14361,2219,1040,1179,20022,7861,12161,745,248,497,1883,1359,524,106087,44184,61903,7.0
33,3,,0,0,0,TALUK,Maduranthakam,Urban,10778,49454,24810,24644,5761,2947,2814,10554,5324,5230,468,229,239,34437,19155,15282,15017,5655,9362,18494,13524,4970,14512,11498,3014,931,790,141,3251,1994,1257,461,325,136,9869,8389,1480,3982,2026,1956,118,76,42,2438,943,1495,110,34,76,1316,973,343,30960,11286,19674,7.0
33,3,,0,0,0,TALUK,Cheyyur,Total,41540,186281,93241,93040,22809,11654,11155,86469,43160,43309,1783,895,888,100787,58633,42154,85494,34608,50886,88097,52054,36043,44036,30730,13306,12783,9714,3069,17265,10291,6974,1485,864,621,12503,9861,2642,44061,21324,22737,2435,1279,1156,37331,17570,19761,1156,433,723,3139,2042,1097,98184,41187,56997,8.0
33,3,,0,0,0,TALUK,Cheyyur,Rural,35989,160488,80512,79976,19545,10000,9545,75256,37657,37599,1673,843,830,85635,50037,35598,74853,30475,44378,78259,45470,32789,38985,26834,12151,12182,9191,2991,16015,9449,6566,1366,806,560,9422,7388,2034,39274,18636,20638,2297,1174,1123,33837,15681,18156,949,362,587,2191,1419,772,82229,35042,47187,8.0
33,3,,0,0,0,TALUK,Cheyyur,Urban,5551,25793,12729,13064,3264,1654,1610,11213,5503,5710,110,52,58,15152,8596,6556,10641,4133,6508,9838,6584,3254,5051,3896,1155,601,523,78,1250,842,408,119,58,61,3081,2473,608,4787,2688,2099,138,105,33,3494,1889,1605,207,71,136,948,623,325,15955,6145,9810,8.0
33,4,,0,0,0,DISTRICT,Vellore,Total,756365,3477317,1741083,1736234,432180,222454,209726,714054,354551,359503,63040,31860,31180,2203552,1245076,958476,1273765,496007,777758,1427180,951805,475375,1172645,840826,331819,232840,165213,67627,232731,131138,101593,136491,73952,62539,570583,470523,100060,254535,110979,143556,18554,7835,10719,157965,60573,97392,25499,6548,18951,52517,36023,16494,2050137,789278,1260859,0.0
33,4,,0,0,0,DISTRICT,Vellore,Rural,483383,2169319,1088090,1081229,276534,143033,133501,505677,251749,253928,58237,29455,28782,1276373,741671,534702,892946,346419,546527,982222,611919,370303,763676,519723,243953,223974,158030,65944,214433,120110,94323,80523,43360,37163,244746,198223,46523,218546,92196,126350,17803,7503,10300,146953,56262,90691,19459,5040,14419,34331,23391,10940,1187097,476171,710926,0.0
33,4,,0,0,0,DISTRICT,Vellore,Urban,272982,1307998,652993,655005,155646,79421,76225,208377,102802,105575,4803,2405,2398,927179,503405,423774,380819,149588,231231,444958,339886,105072,408969,321103,87866,8866,7183,1683,18298,11028,7270,55968,30592,25376,325837,272300,53537,35989,18783,17206,751,332,419,11012,4311,6701,6040,1508,4532,18186,12632,5554,863040,313107,549933,0.0
33,4,,0,0,0,TALUK,Gudiyatham,Total,80144,378674,189039,189635,49114,25174,23940,99387,49346,50041,2553,1269,1284,230027,130283,99744,148647,58756,89891,162673,105022,57651,135423,93054,42369,15604,11750,3854,31340,17609,13731,27807,14146,13661,60672,49549,11123,27250,11968,15282,982,426,556,15470,6438,9032,3973,725,3248,6825,4379,2446,216001,84017,131984,1.0
33,4,,0,0,0,TALUK,Gudiyatham,Rural,51854,237060,118555,118505,31134,15969,15165,74568,37135,37433,2489,1237,1252,137145,79106,58039,99915,39449,60466,109527,67872,41655,85833,57700,28133,15243,11466,3777,30500,17116,13384,10909,5898,5011,29181,23220,5961,23694,10172,13522,973,418,555,15014,6227,8787,2749,446,2303,4958,3081,1877,127533,50683,76850,1.0
33,4,,0,0,0,TALUK,Gudiyatham,Urban,28290,141614,70484,71130,17980,9205,8775,24819,12211,12608,64,32,32,92882,51177,41705,48732,19307,29425,53146,37150,15996,49590,35354,14236,361,284,77,840,493,347,16898,8248,8650,31491,26329,5162,3556,1796,1760,9,8,1,456,211,245,1224,279,945,1867,1298,569,88468,33334,55134,1.0
