STATE,DISTRICT,TAHSIL,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,SUB-DISTT
33,17,,0,0,0,TALUK,Udayarpalayam,Total,83463,358467,178938,179529,45517,23294,22223,76549,38374,38175,6644,3310,3334,203853,121062,82791,154614,57876,96738,176930,104027,72903,126159,84936,41223,47005,32970,14035,43590,25999,17591,12202,7416,4786,23362,18551,4811,50771,19091,31680,7039,3141,3898,38212,13603,24609,2639,556,2083,2881,1791,1090,181537,74911,106626,2.0
33,17,,0,0,0,TALUK,Udayarpalayam,Rural,72218,307304,153910,153394,39220,20113,19107,68330,34239,34091,6060,3026,3034,169839,102535,67304,137465,51375,86090,158412,90713,67699,111147,73290,37857,45140,31432,13708,40791,24039,16752,9685,5664,4021,15531,12155,3376,47265,17423,29842,6871,3040,3831,36321,12688,23633,2141,470,1671,1932,1225,707,148892,63197,85695,2.0
33,17,,0,0,0,TALUK,Udayarpalayam,Urban,11245,51163,25028,26135,6297,3181,3116,8219,4135,4084,584,284,300,34014,18527,15487,17149,6501,10648,18518,13314,5204,15012,11646,3366,1865,1538,327,2799,1960,839,2517,1752,765,7831,6396,1435,3506,1668,1838,168,101,67,1891,915,976,498,86,412,949,566,383,32645,11714,20931,2.0
33,17,,949800,0,0,VILLAGE,Olaiyur,Rural,659,2717,1357,1360,380,195,185,736,372,364,349,179,170,1519,909,610,1198,448,750,1467,834,633,1208,764,444,295,250,45,684,373,311,73,19,54,156,122,34,259,70,189,107,30,77,136,31,105,6,1,5,10,8,2,1250,523,727,2.0
33,17,,949900,0,0,VILLAGE,Authukurichi  ,Rural,1290,5540,2766,2774,828,415,413,2321,1157,1164,14,8,6,2747,1727,1020,2793,1039,1754,2940,1620,1320,2305,1378,927,964,680,284,1145,571,574,38,6,32,158,121,37,635,242,393,28,9,19,594,225,369,3,0,3,10,8,2,2600,1146,1454,2.0
33,17,,950000,0,0,VILLAGE,Sriraman,Rural,318,1431,716,715,212,108,104,415,212,203,0,0,0,764,476,288,667,240,427,760,442,318,231,203,28,144,130,14,32,24,8,4,4,0,51,45,6,529,239,290,20,15,5,495,214,281,2,1,1,12,9,3,671,274,397,2.0
33,17,,950100,0,0,VILLAGE,Rangiyam,Rural,388,1727,845,882,243,122,121,432,211,221,0,0,0,963,561,402,764,284,480,833,481,352,302,275,27,81,78,3,144,140,4,3,2,1,74,55,19,531,206,325,175,101,74,333,100,233,17,1,16,6,4,2,894,364,530,2.0
33,17,,950300,0,0,VILLAGE,Siluvaicheri ,Rural,513,2277,1143,1134,352,178,174,327,164,163,332,175,157,1052,666,386,1225,477,748,1044,647,397,109,99,10,47,47,0,3,3,0,1,0,1,58,49,9,935,548,387,45,39,6,873,493,380,0,0,0,17,16,1,1233,496,737,2.0
33,17,,950400,0,0,VILLAGE,Alagapuram,Rural,1175,5105,2539,2566,676,328,348,1079,525,554,0,0,0,2518,1583,935,2587,956,1631,2280,1524,756,836,755,81,678,645,33,52,29,23,5,3,2,101,78,23,1444,769,675,193,171,22,1203,586,617,38,4,34,10,8,2,2825,1015,1810,2.0
33,17,,950500,0,0,VILLAGE,Silumbur (North),Rural,278,1309,666,643,227,108,119,576,283,293,87,48,39,607,415,192,702,251,451,582,356,226,233,225,8,190,186,4,9,7,2,1,1,0,33,31,2,349,131,218,14,1,13,325,127,198,9,2,7,1,1,0,727,310,417,2.0
