STATE,DISTRICT,TAHSIL,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,SUB-DISTT
33,12,,0,0,0,TALUK,Coimbatore North,Total,90847,349225,178347,170878,34808,17845,16963,43416,21706,21710,3842,1950,1892,247035,137526,109509,102190,40821,61369,153905,110197,43708,138664,102356,36308,7028,5026,2002,16448,9355,7093,4185,2424,1761,111003,85551,25452,15241,7841,7400,577,215,362,5509,2313,3196,549,195,354,8606,5118,3488,195320,68150,127170,5.0
33,12,,0,0,0,TALUK,Coimbatore North,Rural,22439,84185,42481,41704,8726,4491,4235,15048,7556,7492,3675,1860,1815,49638,28483,21155,34547,13998,20549,42241,27221,15020,37491,25069,12422,4856,3513,1343,10003,5453,4550,934,533,401,21698,15570,6128,4750,2152,2598,412,170,242,3068,1286,1782,123,52,71,1147,644,503,41944,15260,26684,5.0
33,12,,0,0,0,TALUK,Coimbatore North,Urban,68408,265040,135866,129174,26082,13354,12728,28368,14150,14218,167,90,77,197397,109043,88354,67643,26823,40820,111664,82976,28688,101173,77287,23886,2172,1513,659,6445,3902,2543,3251,1891,1360,89305,69981,19324,10491,5689,4802,165,45,120,2441,1027,1414,426,143,283,7459,4474,2985,153376,52890,100486,5.0
33,12,,803900,0,0,VILLAGE,Bilichi,Rural,2572,9464,4791,4673,993,486,507,1698,861,837,0,0,0,5423,3142,2281,4041,1649,2392,4804,3191,1613,3635,2564,1071,827,606,221,843,478,365,21,15,6,1944,1465,479,1169,627,542,75,31,44,989,526,463,13,7,6,92,63,29,4660,1600,3060,5.0
33,12,,804000,0,0,VILLAGE,Vellamadai,Rural,1686,6131,3083,3048,603,309,294,669,337,332,0,0,0,3148,1816,1332,2983,1267,1716,3505,2010,1495,3075,1814,1261,420,270,150,1484,705,779,22,11,11,1149,828,321,430,196,234,26,9,17,290,128,162,4,1,3,110,58,52,2626,1073,1553,5.0
33,12,,804100,0,0,VILLAGE,Kondayampalayam,Rural,1464,5377,2671,2706,567,280,287,1065,522,543,0,0,0,3191,1800,1391,2186,871,1315,2984,1819,1165,2718,1799,919,210,168,42,1260,684,576,41,30,11,1207,917,290,266,20,246,9,1,8,228,8,220,2,0,2,27,11,16,2393,852,1541,5.0
33,12,,804200,0,0,VILLAGE,Agraharasamakulam ,Rural,1036,3879,1969,1910,401,206,195,1383,710,673,0,0,0,1967,1188,779,1912,781,1131,1892,1278,614,1789,1245,544,97,88,9,931,611,320,70,5,65,691,541,150,103,33,70,14,6,8,47,13,34,7,1,6,35,13,22,1987,691,1296,5.0
33,12,,804300,0,0,VILLAGE,Naickenpalayam,Rural,1407,5253,2662,2591,609,313,296,1404,718,686,863,449,414,3069,1795,1274,2184,867,1317,2638,1659,979,2603,1649,954,291,223,68,855,452,403,20,11,9,1437,963,474,35,10,25,7,2,5,5,4,1,6,1,5,17,3,14,2615,1003,1612,5.0
33,12,,804400,0,0,VILLAGE,Thadagam R.F.,Rural,126,450,226,224,38,23,15,9,4,5,0,0,0,292,167,125,158,59,99,213,148,65,210,148,62,36,31,5,61,32,29,1,0,1,112,85,27,3,0,3,0,0,0,1,0,1,2,0,2,0,0,0,237,78,159,5.0
33,12,,804500,0,0,VILLAGE,Anaikatti (North),Rural,416,1627,842,785,151,83,68,7,4,3,1259,645,614,579,345,234,1048,497,551,1071,576,495,844,480,364,202,122,80,148,76,72,8,5,3,486,277,209,227,96,131,15,7,8,120,41,79,4,1,3,88,47,41,556,266,290,5.0
