STATE,DISTRICT,TAHSIL,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,SUB-DISTT
33,12,,0,0,0,TALUK,Coimbatore South,Total,324979,1332789,681758,651031,133485,67967,65518,137956,69250,68706,4853,2433,2420,1017215,554773,462442,315574,126985,188589,529432,405954,123478,494052,386327,107725,16943,10795,6148,39907,22051,17856,18280,13764,4516,418922,339717,79205,35380,19627,15753,1193,447,746,9895,4531,5364,1747,485,1262,22545,14164,8381,803357,275804,527553,6.0
33,12,,0,0,0,TALUK,Coimbatore South,Rural,24344,96456,49346,47110,10180,5228,4952,19075,9579,9496,2766,1389,1377,59097,34156,24941,37359,15190,22169,47094,30084,17010,40728,27017,13711,7720,5051,2669,16011,8373,7638,801,487,314,16196,13106,3090,6366,3067,3299,384,189,195,4675,2127,2548,189,47,142,1118,704,414,49362,19262,30100,6.0
33,12,,0,0,0,TALUK,Coimbatore South,Urban,300635,1236333,632412,603921,123305,62739,60566,118881,59671,59210,2087,1044,1043,958118,520617,437501,278215,111795,166420,482338,375870,106468,453324,359310,94014,9223,5744,3479,23896,13678,10218,17479,13277,4202,402726,326611,76115,29014,16560,12454,809,258,551,5220,2404,2816,1558,438,1120,21427,13460,7967,753995,256542,497453,6.0
33,12,,805500,0,0,VILLAGE,Boluvampatti (Block I),Rural,50,144,77,67,16,8,8,0,0,0,144,77,67,45,31,14,99,46,53,111,58,53,111,58,53,0,0,0,110,57,53,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,19,14,6.0
33,12,,805600,0,0,VILLAGE,Thennammanallur,Rural,1242,4496,2262,2234,471,250,221,1357,697,660,0,0,0,2667,1535,1132,1829,727,1102,2310,1472,838,2224,1440,784,438,304,134,1043,554,489,23,12,11,720,570,150,86,32,54,5,3,2,58,19,39,10,2,8,13,8,5,2186,790,1396,6.0
33,12,,805700,0,0,VILLAGE,Devarayapuram,Rural,1420,5766,2865,2901,578,271,307,1149,572,577,0,0,0,3244,1859,1385,2522,1006,1516,2976,1833,1143,2461,1575,886,627,422,205,1075,555,520,40,28,12,719,570,149,515,258,257,22,10,12,451,221,230,12,7,5,30,20,10,2790,1032,1758,6.0
33,12,,805800,0,0,VILLAGE,Jagirnaickenpalyam,Rural,344,1291,638,653,121,60,61,347,167,180,0,0,0,785,442,343,506,196,310,713,407,306,535,337,198,186,109,77,238,131,107,9,8,1,102,89,13,178,70,108,14,6,8,150,58,92,6,2,4,8,4,4,578,231,347,6.0
33,12,,805900,0,0,VILLAGE,Vellaimalaipattinam,Rural,756,2939,1509,1430,319,181,138,709,350,359,0,0,0,1708,992,716,1231,517,714,1747,941,806,1529,861,668,352,213,139,901,446,455,48,30,18,228,172,56,218,80,138,10,4,6,174,54,120,7,3,4,27,19,8,1192,568,624,6.0
33,12,,806000,0,0,VILLAGE,Narasipuram,Rural,573,2285,1183,1102,282,155,127,417,207,210,0,0,0,1380,821,559,905,362,543,1400,771,629,1232,713,519,192,122,70,809,423,386,76,44,32,155,124,31,168,58,110,7,2,5,139,51,88,8,0,8,14,5,9,885,412,473,6.0
33,12,,806200,0,0,VILLAGE,Madavarayapuram,Rural,1558,8390,4709,3681,696,387,309,404,227,177,630,320,310,6106,3760,2346,2284,949,1335,2830,2021,809,2045,1514,531,391,292,99,454,297,157,30,22,8,1170,903,267,785,507,278,82,57,25,612,391,221,10,5,5,81,54,27,5560,2688,2872,6.0
33,12,,806300,0,0,VILLAGE,Ikkaraibooluvampatti,Rural,1924,7307,3668,3639,801,391,410,1403,711,692,1176,590,586,3919,2273,1646,3388,1395,1993,3895,2225,1670,3069,1811,1258,465,284,181,1821,924,897,90,53,37,693,550,143,826,414,412,5,4,1,774,384,390,8,0,8,39,26,13,3412,1443,1969,6.0
33,12,,806400,0,0,VILLAGE,Madampatti,Rural,1669,6434,3089,3345,653,336,317,714,355,359,18,9,9,3848,2037,1811,2586,1052,1534,3411,2019,1392,2925,1822,1103,736,464,272,1275,642,633,66,38,28,848,678,170,486,197,289,59,34,25,344,133,211,48,7,41,35,23,12,3023,1070,1953,6.0
33,12,,806500,0,0,VILLAGE,Theethipalayam,Rural,1698,6626,3384,3242,755,401,354,977,491,486,0,0,0,4438,2537,1901,2188,847,1341,3141,2101,1040,2922,2008,914,485,331,154,1022,542,480,23,15,8,1392,1120,272,219,93,126,15,5,10,155,53,102,0,0,0,49,35,14,3485,1283,2202,6.0
33,12,,806600,0,0,VILLAGE,Perur Chettipalayam,Rural,3409,12932,6616,6316,1448,748,700,2394,1212,1182,0,0,0,8441,4755,3686,4491,1861,2630,5653,3983,1670,4132,3198,934,152,118,34,768,407,361,95,53,42,3117,2620,497,1521,785,736,48,17,31,1029,520,509,57,10,47,387,238,149,7279,2633,4646,6.0
33,12,,807200,0,0,VILLAGE,Mavuthampathi,Rural,735,2839,1454,1385,304,170,134,68,34,34,629,300,329,1534,870,664,1305,584,721,1463,964,499,1263,938,325,379,299,80,601,403,198,19,10,9,264,226,38,200,26,174,6,0,6,188,23,165,3,2,1,3,1,2,1376,490,886,6.0
33,12,,807300,0,0,VILLAGE,Pichanur,Rural,1452,5748,2868,2880,582,277,305,1467,736,731,130,69,61,3219,1841,1378,2529,1027,1502,2922,1846,1076,2645,1691,954,426,305,121,1427,766,661,38,25,13,754,595,159,277,155,122,22,14,8,196,96,100,3,2,1,56,43,13,2826,1022,1804,6.0
