STATE,DISTRICT,TAHSIL,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,SUB-DISTT
33,12,,0,0,0,TALUK,Palladam,Total,105374,393171,200709,192462,41937,21228,20709,70324,35327,34997,137,70,67,254851,146661,108190,138320,54048,84272,197750,132147,65603,184160,126443,57717,22429,14000,8429,35566,18331,17235,12216,7620,4596,113949,86492,27457,13590,5704,7886,1000,347,653,4764,1412,3352,1032,212,820,6794,3733,3061,195421,68562,126859,4.0
33,12,,0,0,0,TALUK,Palladam,Rural,64659,238601,121728,116873,25411,12858,12553,47810,24046,23764,76,41,35,145643,85387,60256,92958,36341,56617,128111,81955,46156,119017,78344,40673,20609,12789,7820,30381,15400,14981,8017,4741,3276,60010,45414,14596,9094,3611,5483,873,301,572,3891,1081,2810,514,100,414,3816,2129,1687,110490,39773,70717,4.0
33,12,,0,0,0,TALUK,Palladam,Urban,40715,154570,78981,75589,16526,8370,8156,22514,11281,11233,61,29,32,109208,61274,47934,45362,17707,27655,69639,50192,19447,65143,48099,17044,1820,1211,609,5185,2931,2254,4199,2879,1320,53939,41078,12861,4496,2093,2403,127,46,81,873,331,542,518,112,406,2978,1604,1374,84931,28789,56142,4.0
33,12,,798500,0,0,VILLAGE,Paduvampalli,Rural,1089,3904,1995,1909,424,218,206,1133,575,558,7,4,3,1966,1176,790,1938,819,1119,2138,1346,792,2030,1317,713,541,351,190,709,396,313,82,44,38,698,526,172,108,29,79,10,1,9,78,23,55,4,0,4,16,5,11,1766,649,1117,4.0
33,12,,798600,0,0,VILLAGE,Kaduvettipalayam,Rural,717,2481,1253,1228,215,103,112,381,189,192,0,0,0,1406,863,543,1075,390,685,1423,898,525,1163,868,295,333,251,82,311,190,121,15,7,8,504,420,84,260,30,230,19,3,16,204,12,192,3,2,1,34,13,21,1058,355,703,4.0
33,12,,798700,0,0,VILLAGE,Kittampalayam,Rural,734,2836,1430,1406,354,163,191,577,296,281,0,0,0,1612,974,638,1224,456,768,1474,964,510,1447,957,490,286,156,130,272,140,132,99,56,43,790,605,185,27,7,20,4,1,3,16,5,11,1,1,0,6,0,6,1362,466,896,4.0
33,12,,798800,0,0,VILLAGE,Semmandampalayam,Rural,1354,5117,2575,2542,561,292,269,1293,649,644,0,0,0,3073,1787,1286,2044,788,1256,2691,1760,931,2448,1664,784,372,224,148,467,243,224,93,56,37,1516,1141,375,243,96,147,13,2,11,100,14,86,14,4,10,116,76,40,2426,815,1611,4.0
33,12,,798900,0,0,VILLAGE,Kaniyur,Rural,2245,8281,4404,3877,921,448,473,1325,653,672,3,2,1,5415,3323,2092,2866,1081,1785,4042,2861,1181,3972,2818,1154,326,213,113,424,193,231,241,161,80,2981,2251,730,70,43,27,2,0,2,8,2,6,3,1,2,57,40,17,4239,1543,2696,4.0
33,12,,799000,0,0,VILLAGE,Arasur,Rural,2365,8689,4611,4078,894,418,476,996,503,493,3,2,1,6155,3683,2472,2534,928,1606,4227,3100,1127,4187,3078,1109,340,235,105,487,294,193,69,45,24,3291,2504,787,40,22,18,9,3,6,5,2,3,0,0,0,26,17,9,4462,1511,2951,4.0
33,12,,799100,0,0,VILLAGE,Neelambur ,Rural,3923,14467,7439,7028,1470,721,749,3057,1518,1539,5,3,2,9701,5593,4108,4766,1846,2920,6800,4937,1863,6536,4811,1725,491,346,145,1184,610,574,131,81,50,4730,3774,956,264,126,138,44,13,31,128,63,65,15,4,11,77,46,31,7667,2502,5165,4.0
33,12,,799200,0,0,VILLAGE,Mylampatti,Rural,458,1619,815,804,168,90,78,378,179,199,0,0,0,911,536,375,708,279,429,759,519,240,707,504,203,46,37,9,219,123,96,25,9,16,417,335,82,52,15,37,5,0,5,18,4,14,15,0,15,14,11,3,860,296,564,4.0
33,12,,799300,0,0,VILLAGE,Irugur ,Rural,1741,6329,3333,2996,711,392,319,582,293,289,0,0,0,4645,2632,2013,1684,701,983,2809,2129,680,2689,2061,628,121,97,24,77,49,28,46,27,19,2445,1888,557,120,68,52,14,7,7,34,17,17,2,1,1,70,43,27,3520,1204,2316,4.0
33,12,,799400,0,0,VILLAGE,Rasipalayam,Rural,1071,3792,1914,1878,342,175,167,673,338,335,0,0,0,2463,1474,989,1329,440,889,1962,1230,732,1820,1213,607,112,79,33,260,116,144,174,76,98,1274,942,332,142,17,125,8,4,4,77,2,75,24,0,24,33,11,22,1830,684,1146,4.0
33,12,,799500,0,0,VILLAGE,K.Madapur,Rural,1158,4469,2244,2225,511,257,254,1303,658,645,0,0,0,2782,1628,1154,1687,616,1071,2229,1501,728,2135,1448,687,156,115,41,369,155,214,41,18,23,1569,1160,409,94,53,41,8,2,6,73,45,28,2,0,2,11,6,5,2240,743,1497,4.0
33,12,,799600,0,0,VILLAGE,Poomalur,Rural,1600,6058,3115,2943,745,382,363,1294,658,636,0,0,0,3263,1967,1296,2795,1148,1647,2947,2144,803,2911,2140,771,287,199,88,535,305,230,35,21,14,2054,1615,439,36,4,32,12,1,11,17,2,15,0,0,0,7,1,6,3111,971,2140,4.0
33,12,,799700,0,0,VILLAGE,velampalayam,Rural,642,2424,1223,1201,317,168,149,353,183,170,3,2,1,1184,709,475,1240,514,726,1409,821,588,1318,802,516,472,239,233,227,90,137,32,25,7,587,448,139,91,19,72,6,1,5,59,11,48,1,0,1,25,7,18,1015,402,613,4.0
