STATE,DISTRICT,TAHSIL,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,SUB-DISTT
33,12,,0,0,0,TALUK,Pollachi,Total,143304,544194,273055,271139,56675,28819,27856,94620,47013,47607,7570,3811,3759,344359,193739,150620,199835,79316,120519,271328,175735,95593,246612,166010,80602,36587,24468,12119,88537,46944,41593,8742,5438,3304,112746,89160,23586,24716,9725,14991,1257,356,901,16151,5657,10494,942,234,708,6366,3478,2888,272866,97320,175546,7.0
33,12,,0,0,0,TALUK,Pollachi,Rural,84276,314055,157560,156495,32940,16718,16222,65708,32721,32987,3763,1881,1882,182995,105501,77494,131060,52059,79001,172248,103970,68278,155524,98068,57456,32772,21677,11095,67124,35108,32016,5551,3487,2064,50077,37796,12281,16724,5902,10822,1170,327,843,12319,4088,8231,504,123,381,2731,1364,1367,141807,53590,88217,7.0
33,12,,0,0,0,TALUK,Pollachi,Urban,59028,230139,115495,114644,23735,12101,11634,28912,14292,14620,3807,1930,1877,161364,88238,73126,68775,27257,41518,99080,71765,27315,91088,67942,23146,3815,2791,1024,21413,11836,9577,3191,1951,1240,62669,51364,11305,7992,3823,4169,87,29,58,3832,1569,2263,438,111,327,3635,2114,1521,131059,43730,87329,7.0
33,12,,808300,0,0,VILLAGE,Arasampalayam,Rural,842,3079,1515,1564,339,170,169,742,362,380,0,0,0,1732,1004,728,1347,511,836,1787,1050,737,1770,1045,725,507,294,213,562,228,334,65,50,15,636,473,163,17,5,12,1,1,0,10,2,8,1,0,1,5,2,3,1292,465,827,7.0
33,12,,808400,0,0,VILLAGE,Panappatti,Rural,815,3110,1612,1498,337,180,157,568,294,274,0,0,0,1828,1103,725,1282,509,773,1736,1061,675,1719,1056,663,807,470,337,480,261,219,25,15,10,407,310,97,17,5,12,4,1,3,10,2,8,0,0,0,3,2,1,1374,551,823,7.0
33,12,,808500,0,0,VILLAGE,Mettubavi,Rural,670,2226,1142,1084,227,122,105,224,115,109,8,4,4,1237,795,442,989,347,642,1425,795,630,1355,781,574,856,481,375,288,144,144,6,4,2,205,152,53,70,14,56,31,3,28,34,8,26,0,0,0,5,3,2,801,347,454,7.0
33,12,,808600,0,0,VILLAGE,Vadasithur ,Rural,1458,5395,2640,2755,604,287,317,858,417,441,0,0,0,3167,1801,1366,2228,839,1389,2659,1698,961,2424,1598,826,616,448,168,748,385,363,104,59,45,956,706,250,235,100,135,36,25,11,149,43,106,6,2,4,44,30,14,2736,942,1794,7.0
33,12,,808700,0,0,VILLAGE,Kondampatty,Rural,726,3073,1306,1767,320,141,179,596,212,384,0,0,0,2010,886,1124,1063,420,643,1281,805,476,511,345,166,114,76,38,245,153,92,12,10,2,140,106,34,770,460,310,6,3,3,560,335,225,3,1,2,201,121,80,1792,501,1291,7.0
33,12,,808800,0,0,VILLAGE,Solavampalayam,Rural,1430,5393,2760,2633,620,290,330,1207,609,598,0,0,0,3111,1848,1263,2282,912,1370,2892,1792,1100,2695,1751,944,491,289,202,800,380,420,55,38,17,1349,1044,305,197,41,156,19,4,15,153,24,129,3,1,2,22,12,10,2501,968,1533,7.0
33,12,,808900,0,0,VILLAGE,Vadaputhur,Rural,1193,4594,2307,2287,504,248,256,546,267,279,4,1,3,2934,1684,1250,1660,623,1037,2220,1498,722,2184,1492,692,536,364,172,723,365,358,48,31,17,877,732,145,36,6,30,12,0,12,15,1,14,1,0,1,8,5,3,2374,809,1565,7.0
