STATE,DISTRICT,TAHSIL,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,SUB-DISTT
33,12,,0,0,0,TALUK,Valparai,Total,24235,95107,46961,48146,10769,5421,5348,51661,25197,26464,1217,622,595,67735,37268,30467,27372,9693,17679,48552,25338,23214,40943,21525,19418,291,151,140,434,223,211,166,109,57,40052,21042,19010,7609,3813,3796,51,30,21,277,138,139,38,19,19,7243,3626,3617,46555,21623,24932,9.0
33,12,,0,0,0,TALUK,Valparai,Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0
33,12,,0,0,0,TALUK,Valparai,Urban,24235,95107,46961,48146,10769,5421,5348,51661,25197,26464,1217,622,595,67735,37268,30467,27372,9693,17679,48552,25338,23214,40943,21525,19418,291,151,140,434,223,211,166,109,57,40052,21042,19010,7609,3813,3796,51,30,21,277,138,139,38,19,19,7243,3626,3617,46555,21623,24932,9.0
33,12,,41279000,0,0,TOWN,Valparai (TP),Urban,24235,95107,46961,48146,10769,5421,5348,51661,25197,26464,1217,622,595,67735,37268,30467,27372,9693,17679,48552,25338,23214,40943,21525,19418,291,151,140,434,223,211,166,109,57,40052,21042,19010,7609,3813,3796,51,30,21,277,138,139,38,19,19,7243,3626,3617,46555,21623,24932,9.0
33,12,,41279000,1,0,WARD,Valparai (TP) - Ward No.1,Urban,1004,3638,1890,1748,391,185,206,1656,858,798,38,15,23,2680,1538,1142,958,352,606,1782,1049,733,1620,966,654,12,6,6,156,81,75,1,1,0,1451,878,573,162,83,79,0,0,0,9,5,4,0,0,0,153,78,75,1856,841,1015,9.0
33,12,,41279000,2,0,WARD,Valparai (TP) - Ward No.2,Urban,1170,4393,2170,2223,523,256,267,1696,843,853,3,2,1,3197,1765,1432,1196,405,791,2282,1146,1136,2089,1024,1065,3,3,0,3,0,3,2,0,2,2081,1021,1060,193,122,71,0,0,0,4,2,2,0,0,0,189,120,69,2111,1024,1087,9.0
33,12,,41279000,3,0,WARD,Valparai (TP) - Ward No.3,Urban,1125,4468,2136,2332,576,282,294,2762,1303,1459,3,1,2,2969,1639,1330,1499,497,1002,2300,1018,1282,1597,698,899,2,1,1,6,5,1,2,2,0,1587,690,897,703,320,383,6,4,2,2,2,0,3,3,0,692,311,381,2168,1118,1050,9.0
33,12,,41279000,4,0,WARD,Valparai (TP) - Ward No.4,Urban,1024,4091,1963,2128,457,236,221,2655,1254,1401,14,4,10,2898,1561,1337,1193,402,791,2235,1072,1163,2119,1016,1103,4,1,3,4,3,1,9,6,3,2102,1006,1096,116,56,60,0,0,0,0,0,0,1,1,0,115,55,60,1856,891,965,9.0
33,12,,41279000,5,0,WARD,Valparai (TP) - Ward No.5,Urban,1287,5280,2609,2671,618,305,313,3807,1864,1943,1,1,0,3806,2100,1706,1474,509,965,2750,1390,1360,2390,1214,1176,28,16,12,20,10,10,2,2,0,2340,1186,1154,360,176,184,19,12,7,3,3,0,2,1,1,336,160,176,2530,1219,1311,9.0
33,12,,41279000,6,0,WARD,Valparai (TP) - Ward No.6,Urban,1178,4791,2413,2378,517,276,241,2984,1501,1483,174,83,91,3247,1840,1407,1544,573,971,2470,1276,1194,1831,986,845,56,32,24,123,61,62,25,14,11,1627,879,748,639,290,349,12,10,2,232,115,117,6,4,2,389,161,228,2321,1137,1184,9.0
33,12,,41279000,7,0,WARD,Valparai (TP) - Ward No.7,Urban,989,3673,1835,1838,357,193,164,1297,643,654,6,3,3,2756,1485,1271,917,350,567,1930,1006,924,1523,793,730,12,6,6,1,0,1,12,7,5,1498,780,718,407,213,194,2,0,2,0,0,0,2,2,0,403,211,192,1743,829,914,9.0
33,12,,41279000,8,0,WARD,Valparai (TP) - Ward No.8,Urban,1195,4854,2377,2477,548,275,273,2554,1227,1327,4,3,1,3697,1951,1746,1157,426,731,2151,1208,943,1899,1090,809,2,0,2,7,6,1,16,8,8,1874,1076,798,252,118,134,0,0,0,1,0,1,2,1,1,249,117,132,2703,1169,1534,9.0
33,12,,41279000,9,0,WARD,Valparai (TP) - Ward No.9,Urban,1655,6828,3441,3387,795,400,395,2482,1199,1283,84,51,33,4817,2673,2144,2011,768,1243,2940,1935,1005,2295,1558,737,7,3,4,5,3,2,26,15,11,2257,1537,720,645,377,268,5,1,4,19,8,11,3,0,3,618,368,250,3888,1506,2382,9.0
33,12,,41279000,10,0,WARD,Valparai (TP) - Ward No.10,Urban,976,3779,1922,1857,358,182,176,763,375,388,2,0,2,3000,1630,1370,779,292,487,1653,1025,628,1458,918,540,0,0,0,0,0,0,4,2,2,1454,916,538,195,107,88,0,0,0,0,0,0,0,0,0,195,107,88,2126,897,1229,9.0
33,12,,41279000,11,0,WARD,Valparai (TP) - Ward No.11,Urban,930,3705,1843,1862,366,179,187,1809,892,917,0,0,0,2769,1522,1247,936,321,615,1763,880,883,1624,814,810,3,3,0,8,4,4,0,0,0,1613,807,806,139,66,73,1,0,1,0,0,0,0,0,0,138,66,72,1942,963,979,9.0
33,12,,41279000,12,0,WARD,Valparai (TP) - Ward No.12,Urban,876,3707,1846,1861,504,252,252,2462,1216,1246,0,0,0,2505,1416,1089,1202,430,772,1815,914,901,1779,901,878,1,0,1,0,0,0,3,3,0,1775,898,877,36,13,23,0,0,0,0,0,0,3,1,2,33,12,21,1892,932,960,9.0
33,12,,41279000,13,0,WARD,Valparai (TP) - Ward No.13,Urban,1236,5061,2472,2589,614,322,292,3397,1665,1732,0,0,0,3641,1958,1683,1420,514,906,2569,1265,1304,2260,1094,1166,1,1,0,0,0,0,2,2,0,2257,1091,1166,309,171,138,0,0,0,0,0,0,1,0,1,308,171,137,2492,1207,1285,9.0
33,12,,41279000,14,0,WARD,Valparai (TP) - Ward No.14,Urban,1313,4929,2377,2552,581,291,290,2968,1424,1544,472,237,235,3239,1829,1410,1690,548,1142,2799,1363,1436,2381,1163,1218,145,70,75,3,2,1,14,11,3,2219,1080,1139,418,200,218,0,0,0,0,0,0,4,3,1,414,197,217,2130,1014,1116,9.0
33,12,,41279000,15,0,WARD,Valparai (TP) - Ward No.15,Urban,1285,5272,2613,2659,599,318,281,3629,1815,1814,3,2,1,3884,2115,1769,1388,498,890,2712,1376,1336,2443,1237,1206,4,2,2,0,0,0,8,7,1,2431,1228,1203,269,139,130,1,0,1,0,0,0,0,0,0,268,139,129,2560,1237,1323,9.0
33,12,,41279000,16,0,WARD,Valparai (TP) - Ward No.16,Urban,1039,3949,1973,1976,387,195,192,1531,769,762,16,6,10,2917,1596,1321,1032,377,655,2268,1149,1119,1906,975,931,2,2,0,1,1,0,0,0,0,1903,972,931,362,174,188,1,1,0,0,0,0,2,0,2,359,173,186,1681,824,857,9.0
33,12,,41279000,17,0,WARD,Valparai (TP) - Ward No.17,Urban,1281,4939,2379,2560,575,277,298,2951,1376,1575,113,64,49,3373,1822,1551,1566,557,1009,2503,1306,1197,1892,991,901,5,2,3,5,1,4,6,4,2,1876,984,892,611,315,296,2,1,1,0,0,0,0,0,0,609,314,295,2436,1073,1363,9.0
33,12,,41279000,18,0,WARD,Valparai (TP) - Ward No.18,Urban,1108,4240,2069,2171,507,257,250,3177,1532,1645,116,65,51,2852,1582,1270,1388,487,901,2345,1176,1169,1757,890,867,0,0,0,40,23,17,7,6,1,1710,861,849,588,286,302,0,0,0,3,1,2,3,1,2,582,284,298,1895,893,1002,9.0
33,12,,41279000,19,0,WARD,Valparai (TP) - Ward No.19,Urban,1339,5238,2596,2642,540,266,274,2745,1335,1410,23,12,11,3944,2176,1768,1294,420,874,2828,1467,1361,2343,1221,1122,3,2,1,51,23,28,25,17,8,2264,1179,1085,485,246,239,2,1,1,4,2,2,6,2,4,473,241,232,2410,1129,1281,9.0
33,12,,41279000,20,0,WARD,Valparai (TP) - Ward No.20,Urban,996,3735,1815,1920,420,214,206,1859,908,951,108,54,54,2555,1387,1168,1180,428,752,2080,1070,1010,1589,833,756,1,1,0,1,0,1,0,0,0,1587,832,755,491,237,254,0,0,0,0,0,0,0,0,0,491,237,254,1655,745,910,9.0
33,12,,41279000,21,0,WARD,Valparai (TP) - Ward No.21,Urban,1229,4537,2222,2315,536,260,276,2477,1198,1279,37,19,18,2989,1683,1306,1548,539,1009,2377,1247,1130,2148,1143,1005,0,0,0,0,0,0,2,2,0,2146,1141,1005,229,104,125,0,0,0,0,0,0,0,0,0,229,104,125,2160,975,1185,9.0
