STATE,DISTRICT,TAHSIL,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,SUB-DISTT
33,18,,0,0,0,TALUK,Chidambaram,Total,91026,409047,204264,204783,49763,25296,24467,117599,58753,58846,3475,1775,1700,271359,151560,119799,137688,52704,84984,164535,113016,51519,117819,89929,27890,17932,14990,2942,43992,28454,15538,4306,2750,1556,51589,43735,7854,46716,23087,23629,3684,2099,1585,35883,16845,19038,1713,500,1213,5436,3643,1793,244512,91248,153264,3.0
33,18,,0,0,0,TALUK,Chidambaram,Rural,64660,282599,142341,140258,35434,17975,17459,102171,51517,50654,2142,1103,1039,177273,102168,75105,105326,40173,65153,123651,80459,43192,82157,60389,21768,16686,13876,2810,39703,25408,14295,1684,983,701,24084,20122,3962,41494,20070,21424,3542,2004,1538,33888,15892,17996,1357,396,961,2707,1778,929,158948,61882,97066,3.0
33,18,,0,0,0,TALUK,Chidambaram,Urban,26366,126448,61923,64525,14329,7321,7008,15428,7236,8192,1333,672,661,94086,49392,44694,32362,12531,19831,40884,32557,8327,35662,29540,6122,1246,1114,132,4289,3046,1243,2622,1767,855,27505,23613,3892,5222,3017,2205,142,95,47,1995,953,1042,356,104,252,2729,1865,864,85564,29366,56198,3.0
33,18,,990000,0,0,VILLAGE,Kathazhai,Rural,409,1638,844,794,178,90,88,208,102,106,0,0,0,943,578,365,695,266,429,888,495,393,242,210,32,102,99,3,58,44,14,5,0,5,77,67,10,646,285,361,15,6,9,558,255,303,23,4,19,50,20,30,750,349,401,3.0
33,18,,990100,0,0,VILLAGE,Velayamadevi kilpathi,Rural,584,2346,1190,1156,289,150,139,845,419,426,0,0,0,1386,823,563,960,367,593,1083,656,427,1057,646,411,259,230,29,629,288,341,8,4,4,161,124,37,26,10,16,3,2,1,19,5,14,0,0,0,4,3,1,1263,534,729,3.0
33,18,,990200,0,0,VILLAGE,Turinjikollai,Rural,398,1636,816,820,183,89,94,306,157,149,0,0,0,983,560,423,653,256,397,919,477,442,545,425,120,239,207,32,231,157,74,13,9,4,62,52,10,374,52,322,41,5,36,316,40,276,5,2,3,12,5,7,717,339,378,3.0
33,18,,990300,0,0,VILLAGE,Pinnalur,Rural,576,2375,1192,1183,278,141,137,1771,889,882,23,11,12,1422,834,588,953,358,595,1024,630,394,249,216,33,31,29,2,112,96,16,11,10,1,95,81,14,775,414,361,14,9,5,697,370,327,7,7,0,57,28,29,1351,562,789,3.0
33,18,,990400,0,0,VILLAGE,Kulakudi,Rural,353,1681,838,843,222,118,104,482,236,246,0,0,0,950,557,393,731,281,450,660,492,168,405,370,35,182,172,10,130,113,17,10,10,0,83,75,8,255,122,133,5,1,4,237,115,122,10,6,4,3,0,3,1021,346,675,3.0
33,18,,990500,0,0,VILLAGE,Ellaikudi,Rural,131,547,284,263,65,38,27,267,130,137,0,0,0,278,182,96,269,102,167,315,179,136,315,179,136,96,65,31,204,104,100,5,3,2,10,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232,105,127,3.0
33,18,,990600,0,0,VILLAGE,Kummadimulai,Rural,403,1653,873,780,191,99,92,682,357,325,0,0,0,959,578,381,694,295,399,860,551,309,775,521,254,356,265,91,350,199,151,21,14,7,48,43,5,85,30,55,14,6,8,60,17,43,3,1,2,8,6,2,793,322,471,3.0
