STATE,DISTRICT,TAHSIL,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,SUB-DISTT
33,18,,0,0,0,TALUK,Cuddalore,Total,111576,505869,255692,250177,60935,31224,29711,118942,59506,59436,1835,924,911,323858,183747,140111,182011,71945,110066,196333,138563,57770,153495,116881,36614,17878,14088,3790,47842,29175,18667,6455,4384,2071,81320,69234,12086,42838,21682,21156,2596,1423,1173,30988,14598,16390,2393,697,1696,6861,4964,1897,309536,117129,192407,2.0
33,18,,0,0,0,TALUK,Cuddalore,Rural,63066,282261,142998,139263,36144,18558,17586,92016,46290,45726,797,408,389,159681,94292,65389,122580,48706,73874,125297,80578,44719,88638,62997,25641,16226,12733,3493,43062,25892,17170,3710,2608,1102,25640,21764,3876,36659,17581,19078,2471,1330,1141,29100,13497,15603,1920,519,1401,3168,2235,933,156964,62420,94544,2.0
33,18,,0,0,0,TALUK,Cuddalore,Urban,48510,223608,112694,110914,24791,12666,12125,26926,13216,13710,1038,516,522,164177,89455,74722,59431,23239,36192,71036,57985,13051,64857,53884,10973,1652,1355,297,4780,3283,1497,2745,1776,969,55680,47470,8210,6179,4101,2078,125,93,32,1888,1101,787,473,178,295,3693,2729,964,152572,54709,97863,2.0
33,18,,978800,0,0,VILLAGE,Melakuppam,Rural,246,1093,536,557,126,65,61,0,0,0,0,0,0,799,430,369,294,106,188,519,354,165,460,350,110,96,89,7,154,80,74,8,3,5,202,178,24,59,4,55,2,0,2,43,2,41,10,1,9,4,1,3,574,182,392,2.0
33,18,,978900,0,0,VILLAGE,Nallathur,Rural,864,3853,1956,1897,500,254,246,1040,516,524,0,0,0,2317,1374,943,1536,582,954,1906,1185,721,1373,948,425,148,136,12,811,450,361,8,7,1,406,355,51,533,237,296,17,11,6,448,171,277,14,11,3,54,44,10,1947,771,1176,2.0
33,18,,979000,0,0,VILLAGE,Thukkanampakkam,Rural,575,2621,1335,1286,309,161,148,693,350,343,0,0,0,1535,901,634,1086,434,652,1059,831,228,916,718,198,226,207,19,397,245,152,3,1,2,290,265,25,143,113,30,93,73,20,35,31,4,2,0,2,13,9,4,1562,504,1058,2.0
33,18,,979100,0,0,VILLAGE,Tennambakkam,Rural,317,1503,758,745,163,93,70,476,234,242,0,0,0,774,466,308,729,292,437,697,434,263,197,179,18,46,46,0,23,19,4,5,3,2,123,111,12,500,255,245,17,12,5,446,215,231,8,3,5,29,25,4,806,324,482,2.0
33,18,,979200,0,0,VILLAGE,Chellancheri,Rural,672,2874,1430,1444,409,209,200,1247,597,650,3,2,1,1690,1000,690,1184,430,754,1231,844,387,1071,797,274,141,126,15,651,429,222,23,22,1,256,220,36,160,47,113,2,1,1,142,41,101,6,0,6,10,5,5,1643,586,1057,2.0
33,18,,979300,0,0,VILLAGE,Pudukkadai,Rural,372,1555,761,794,240,120,120,1070,530,540,0,0,0,766,433,333,789,328,461,702,425,277,307,224,83,145,105,40,29,15,14,12,6,6,121,98,23,395,201,194,8,5,3,372,183,189,0,0,0,15,13,2,853,336,517,2.0
33,18,,979400,0,0,VILLAGE,Vadapuram kilpadi,Rural,184,792,388,404,80,40,40,20,8,12,18,8,10,577,312,265,215,76,139,298,239,59,205,186,19,37,36,1,62,53,9,20,19,1,86,78,8,93,53,40,18,16,2,64,27,37,0,0,0,11,10,1,494,149,345,2.0
33,18,,979500,0,0,VILLAGE,Kilinjikuppam,Rural,1292,5823,2946,2877,684,352,332,895,442,453,3,1,2,3333,1985,1348,2490,961,1529,2924,1741,1183,2314,1439,875,267,209,58,1328,720,608,78,45,33,641,465,176,610,302,308,68,34,34,388,189,199,41,12,29,113,67,46,2899,1205,1694,2.0
33,18,,979600,0,0,VILLAGE,Singirikkudi,Rural,425,1974,1004,970,253,134,119,895,451,444,0,0,0,1181,686,495,793,318,475,636,533,103,605,518,87,8,6,2,225,196,29,13,8,5,359,308,51,31,15,16,2,0,2,1,1,0,11,5,6,17,9,8,1338,471,867,2.0
33,18,,979700,0,0,VILLAGE,Madalpattu,Rural,1060,4891,2454,2437,660,320,340,2873,1426,1447,0,0,0,2917,1688,1229,1974,766,1208,1918,1388,530,1668,1251,417,155,141,14,945,628,317,34,15,19,534,467,67,250,137,113,1,1,0,226,122,104,4,0,4,19,14,5,2973,1066,1907,2.0
33,18,,979800,0,0,VILLAGE,Kil Alinjipattu,Rural,304,1343,675,668,180,87,93,641,306,335,0,0,0,648,381,267,695,294,401,538,367,171,435,338,97,28,24,4,232,155,77,1,1,0,174,158,16,103,29,74,5,1,4,89,22,67,0,0,0,9,6,3,805,308,497,2.0
33,18,,979900,0,0,VILLAGE,Nagappanur,Rural,83,348,182,166,52,34,18,276,147,129,0,0,0,131,75,56,217,107,110,97,90,7,97,90,7,4,4,0,73,68,5,0,0,0,20,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,92,159,2.0
33,18,,980000,0,0,VILLAGE,Melalinjippattu,Rural,279,1235,596,639,165,80,85,625,294,331,0,0,0,671,362,309,564,234,330,511,327,184,83,71,12,57,53,4,0,0,0,0,0,0,26,18,8,428,256,172,5,4,1,335,174,161,7,4,3,81,74,7,724,269,455,2.0
33,18,,980100,0,0,VILLAGE,Udalappattu,Rural,88,376,189,187,54,30,24,0,0,0,0,0,0,227,135,92,149,54,95,168,115,53,166,113,53,24,23,1,82,43,39,0,0,0,60,47,13,2,2,0,0,0,0,1,1,0,0,0,0,1,1,0,208,74,134,2.0
