STATE,DISTRICT,TAHSIL,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,SUB-DISTT
33,18,,0,0,0,TALUK,Kattumannarkoil,Total,54083,242696,122305,120391,30724,15559,15165,83967,42207,41760,1037,529,508,156882,89632,67250,85814,32673,53141,112512,70083,42429,74477,51935,22542,17648,13758,3890,38031,22965,15066,1743,986,757,17055,14226,2829,38035,18148,19887,2977,1621,1356,30977,14564,16413,1426,316,1110,2655,1647,1008,130184,52222,77962,4.0
33,18,,0,0,0,TALUK,Kattumannarkoil,Rural,44232,194461,98197,96264,24685,12529,12156,76603,38532,38071,885,453,432,123648,71421,52227,70813,26776,44037,95962,57168,38794,61516,41325,20191,16375,12650,3725,34360,20406,13954,1454,792,662,9327,7477,1850,34446,15843,18603,2730,1430,1300,28867,13283,15584,1287,249,1038,1562,881,681,98499,41029,57470,4.0
33,18,,0,0,0,TALUK,Kattumannarkoil,Urban,9851,48235,24108,24127,6039,3030,3009,7364,3675,3689,152,76,76,33234,18211,15023,15001,5897,9104,16550,12915,3635,12961,10610,2351,1273,1108,165,3671,2559,1112,289,194,95,7728,6749,979,3589,2305,1284,247,191,56,2110,1281,829,139,67,72,1093,766,327,31685,11193,20492,4.0
33,18,,1007700,0,0,VILLAGE,Anandagudi,Rural,208,856,429,427,99,48,51,183,89,94,0,0,0,618,350,268,238,79,159,514,259,255,407,226,181,193,115,78,176,79,97,5,4,1,33,28,5,107,33,74,44,20,24,54,8,46,4,1,3,5,4,1,342,170,172,4.0
33,18,,1007800,0,0,VILLAGE,Kokkarasanpettai,Rural,270,1221,627,594,164,91,73,466,245,221,232,118,114,645,410,235,576,217,359,656,364,292,639,357,282,123,85,38,483,244,239,3,2,1,30,26,4,17,7,10,4,2,2,11,4,7,1,0,1,1,1,0,565,263,302,4.0
33,18,,1007900,0,0,VILLAGE,Madhalirmanickam  ,Rural,510,2057,1067,990,255,151,104,881,447,434,6,4,2,1251,764,487,806,303,503,1224,659,565,1172,643,529,505,290,215,583,291,292,12,7,5,72,55,17,52,16,36,4,3,1,44,12,32,2,0,2,2,1,1,833,408,425,4.0
33,18,,1008000,0,0,VILLAGE,Sathamangalam,Rural,87,423,234,189,55,38,17,42,21,21,0,0,0,247,160,87,176,74,102,227,132,95,15,12,3,4,3,1,0,0,0,0,0,0,11,9,2,212,120,92,193,115,78,15,1,14,0,0,0,4,4,0,196,102,94,4.0
33,18,,1008100,0,0,VILLAGE,Kunamangalam,Rural,406,1632,782,850,203,104,99,1112,529,583,0,0,0,772,460,312,860,322,538,885,475,410,813,443,370,107,69,38,597,286,311,3,0,3,106,88,18,72,32,40,18,8,10,46,20,26,1,0,1,7,4,3,747,307,440,4.0
33,18,,1008200,0,0,VILLAGE,Kallippadi,Rural,264,1279,649,630,152,83,69,522,270,252,0,0,0,768,437,331,511,212,299,665,367,298,650,362,288,129,113,16,481,218,263,13,10,3,27,21,6,15,5,10,0,0,0,10,3,7,3,1,2,2,1,1,614,282,332,4.0
33,18,,1008300,0,0,VILLAGE,Ayankilpuliyangudi,Rural,17,67,36,31,4,2,2,0,0,0,0,0,0,55,33,22,12,3,9,32,18,14,32,18,14,1,1,0,25,11,14,1,1,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,18,17,4.0
33,18,,1008400,0,0,VILLAGE,Sriputhur,Rural,634,2616,1340,1276,310,164,146,564,288,276,0,0,0,1461,887,574,1155,453,702,1407,787,620,542,360,182,302,210,92,135,80,55,5,1,4,100,69,31,865,427,438,66,46,20,676,346,330,82,9,73,41,26,15,1209,553,656,4.0
33,18,,1008500,0,0,VILLAGE,Srineduncheri,Rural,517,2219,1133,1086,276,144,132,1021,522,499,5,2,3,1207,720,487,1012,413,599,1334,681,653,396,322,74,272,237,35,17,9,8,32,18,14,75,58,17,938,359,579,12,10,2,545,310,235,349,16,333,32,23,9,885,452,433,4.0
33,18,,1008600,0,0,VILLAGE,Gudalaiyathur,Rural,289,1158,586,572,139,68,71,461,230,231,0,0,0,758,451,307,400,135,265,608,358,250,383,343,40,141,114,27,182,176,6,2,1,1,58,52,6,225,15,210,20,4,16,204,10,194,1,1,0,0,0,0,550,228,322,4.0
33,18,,1008700,0,0,VILLAGE,Kavalagudi,Rural,525,2229,1122,1107,272,133,139,772,373,399,12,6,6,1322,813,509,907,309,598,1243,691,552,661,382,279,91,70,21,488,245,243,24,15,9,58,52,6,582,309,273,151,92,59,412,201,211,5,3,2,14,13,1,986,431,555,4.0
