STATE,DISTRICT,TAHSIL,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,SUB-DISTT
33,5,,0,0,0,TALUK,Dharmapuri,Total,84969,375118,194304,180814,48911,26810,22101,36650,18743,17907,3193,1647,1546,212059,125772,86287,163059,68532,94527,180433,109241,71192,151634,99806,51828,54826,34838,19988,29384,13928,15456,4299,2152,2147,63125,48888,14237,28799,9435,19364,3741,1020,2721,19343,5646,13697,1675,371,1304,4040,2398,1642,194685,85063,109622,9.0
33,5,,0,0,0,TALUK,Dharmapuri,Rural,70344,310622,161661,148961,41339,22863,18476,32821,16831,15990,3120,1606,1514,165152,100161,64991,145470,61500,83970,156319,91398,64921,128274,82310,45964,54096,34332,19764,28955,13695,15260,2655,1381,1274,42568,32902,9666,28045,9088,18957,3717,1010,2707,19273,5623,13650,1469,314,1155,3586,2141,1445,154303,70263,84040,9.0
33,5,,0,0,0,TALUK,Dharmapuri,Urban,14625,64496,32643,31853,7572,3947,3625,3829,1912,1917,73,41,32,46907,25611,21296,17589,7032,10557,24114,17843,6271,23360,17496,5864,730,506,224,429,233,196,1644,771,873,20557,15986,4571,754,347,407,24,10,14,70,23,47,206,57,149,454,257,197,40382,14800,25582,9.0
33,5,,365900,0,0,VILLAGE,Mookkanahalli,Rural,938,4611,2363,2248,662,368,294,52,24,28,0,0,0,2325,1440,885,2286,923,1363,2615,1352,1263,2337,1271,1066,1188,631,557,370,147,223,37,17,20,742,476,266,278,81,197,19,6,13,206,65,141,4,2,2,49,8,41,1996,1011,985,9.0
33,5,,366000,0,0,VILLAGE,Palavadi,Rural,873,3878,2013,1865,489,277,212,398,201,197,0,0,0,2103,1280,823,1775,733,1042,2279,1187,1092,1398,1062,336,633,521,112,482,317,165,19,10,9,264,214,50,881,125,756,281,42,239,558,64,494,1,0,1,41,19,22,1599,826,773,9.0
33,5,,366100,0,0,VILLAGE,Kadagathur,Rural,1010,4505,2290,2215,618,348,270,207,106,101,0,0,0,2601,1557,1044,1904,733,1171,2420,1353,1067,2118,1288,830,776,490,286,312,138,174,134,10,124,896,650,246,302,65,237,12,1,11,231,41,190,2,0,2,57,23,34,2085,937,1148,9.0
33,5,,366200,0,0,VILLAGE,Naduhalli,Rural,894,3904,2013,1891,590,341,249,44,20,24,0,0,0,1956,1180,776,1948,833,1115,1604,1121,483,1412,1025,387,546,398,148,396,218,178,6,3,3,464,406,58,192,96,96,12,4,8,110,33,77,6,2,4,64,57,7,2300,892,1408,9.0
33,5,,366300,0,0,VILLAGE,Nallanahalli,Rural,1017,4814,2456,2358,739,419,320,306,149,157,0,0,0,2476,1498,978,2338,958,1380,2378,1391,987,2258,1376,882,738,438,300,699,319,380,27,16,11,794,603,191,120,15,105,4,2,2,103,9,94,2,1,1,11,3,8,2436,1065,1371,9.0
33,5,,366400,0,0,VILLAGE,Konanginaickanahalli,Rural,770,3509,1837,1672,475,280,195,958,470,488,0,0,0,2057,1222,835,1452,615,837,1633,946,687,1119,716,403,576,361,215,232,124,108,7,5,2,304,226,78,514,230,284,9,7,2,401,154,247,6,2,4,98,67,31,1876,891,985,9.0
33,5,,366500,0,0,VILLAGE,Vellalapatti,Rural,839,3852,2052,1800,570,334,236,1003,539,464,7,3,4,1665,1055,610,2187,997,1190,2047,1128,919,1364,842,522,705,408,297,426,240,186,19,14,5,214,180,34,683,286,397,8,2,6,649,273,376,2,0,2,24,11,13,1805,924,881,9.0
33,5,,366600,0,0,VILLAGE,Andihalli,Rural,617,2618,1356,1262,313,176,137,38,19,19,0,0,0,1185,743,442,1433,613,820,1317,754,563,1237,729,508,676,408,268,387,187,200,9,4,5,165,130,35,80,25,55,11,7,4,55,9,46,3,0,3,11,9,2,1301,602,699,9.0
33,5,,366700,0,0,VILLAGE,Krishnapuram,Rural,991,4599,2373,2226,603,329,274,423,218,205,0,0,0,2501,1529,972,2098,844,1254,2277,1316,961,2055,1284,771,824,481,343,741,407,334,66,48,18,424,348,76,222,32,190,22,10,12,152,16,136,39,1,38,9,5,4,2322,1057,1265,9.0
33,5,,366800,0,0,VILLAGE,Pulidikarai,Rural,791,3536,1883,1653,463,266,197,688,371,317,0,0,0,1765,1145,620,1771,738,1033,1865,1081,784,1661,1059,602,746,468,278,557,283,274,23,15,8,335,293,42,204,22,182,4,1,3,99,16,83,95,1,94,6,4,2,1671,802,869,9.0
33,5,,366900,0,0,VILLAGE,Kondampatti,Rural,868,3755,1932,1823,522,274,248,467,233,234,0,0,0,1751,1083,668,2004,849,1155,2035,1075,960,1616,963,653,1090,672,418,263,72,191,10,7,3,253,212,41,419,112,307,55,18,37,291,57,234,7,1,6,66,36,30,1720,857,863,9.0
33,5,,367000,0,0,VILLAGE,Kuppur,Rural,1130,5038,2615,2423,744,390,354,669,341,328,0,0,0,2748,1687,1061,2290,928,1362,2792,1501,1291,2493,1413,1080,1272,693,579,565,230,335,30,17,13,626,473,153,299,88,211,83,34,49,154,32,122,5,1,4,57,21,36,2246,1114,1132,9.0
33,5,,367100,0,0,VILLAGE,Haledharmapuri ,Rural,1010,4311,2224,2087,615,320,295,10,4,6,0,0,0,2308,1412,896,2003,812,1191,1731,1252,479,1657,1242,415,245,201,44,106,43,63,15,5,10,1291,993,298,74,10,64,15,2,13,13,0,13,5,0,5,41,8,33,2580,972,1608,9.0
33,5,,367200,0,0,VILLAGE,A.Reddihalli,Rural,1005,4577,2340,2237,641,336,305,873,448,425,0,0,0,2225,1357,868,2352,983,1369,2541,1436,1105,2448,1389,1059,230,191,39,518,148,370,206,19,187,1494,1031,463,93,47,46,6,4,2,33,9,24,3,0,3,51,34,17,2036,904,1132,9.0
33,5,,367300,0,0,VILLAGE,Pappinaickanahalli,Rural,723,3334,1736,1598,506,291,215,266,130,136,0,0,0,1668,1065,603,1666,671,995,1793,966,827,1623,922,701,434,318,116,617,138,479,13,4,9,559,462,97,170,44,126,19,3,16,109,14,95,4,0,4,38,27,11,1541,770,771,9.0
33,5,,367400,0,0,VILLAGE,Adagapadi,Rural,1764,7660,3907,3753,1119,579,540,2,1,1,0,0,0,3513,2203,1310,4147,1704,2443,3973,2247,1726,3090,1906,1184,1441,1012,429,1003,360,643,18,12,6,628,522,106,883,341,542,34,10,24,736,265,471,38,8,30,75,58,17,3687,1660,2027,9.0
33,5,,367500,0,0,VILLAGE,Dhalavaihalli ,Rural,1305,6196,3211,2985,881,485,396,267,139,128,6,3,3,2950,1810,1140,3246,1401,1845,3589,1983,1606,2677,1890,787,1080,772,308,674,395,279,41,33,8,882,690,192,912,93,819,460,24,436,367,27,340,7,2,5,78,40,38,2607,1228,1379,9.0
33,5,,367600,0,0,VILLAGE,Somenahalli,Rural,839,3837,1986,1851,502,283,219,471,242,229,0,0,0,1724,1092,632,2113,894,1219,2080,1092,988,1651,1012,639,796,440,356,57,21,36,29,15,14,769,536,233,429,80,349,87,18,69,254,40,214,17,4,13,71,18,53,1757,894,863,9.0
33,5,,367700,0,0,VILLAGE,Pangunatham ,Rural,1552,7054,3687,3367,1112,606,506,184,100,84,0,0,0,2794,1828,966,4260,1859,2401,3977,2114,1863,3050,1789,1261,1476,868,608,114,34,80,52,41,11,1408,846,562,927,325,602,11,9,2,743,233,510,40,15,25,133,68,65,3077,1573,1504,9.0
33,5,,367800,0,0,VILLAGE,Konangihalli,Rural,1326,5959,3113,2846,702,408,294,913,474,439,0,0,0,3153,1956,1197,2806,1157,1649,3595,1942,1653,2978,1723,1255,1859,1049,810,659,301,358,50,21,29,410,352,58,617,219,398,111,54,57,409,123,286,33,8,25,64,34,30,2364,1171,1193,9.0
33,5,,367900,0,0,VILLAGE,Kumbalapadi,Rural,343,1592,827,765,280,156,124,8,3,5,0,0,0,522,342,180,1070,485,585,979,491,488,751,438,313,402,209,193,62,26,36,2,1,1,285,202,83,228,53,175,75,22,53,98,14,84,3,0,3,52,17,35,613,336,277,9.0
33,5,,368000,0,0,VILLAGE,Nathathahalli,Rural,1367,6494,3406,3088,905,532,373,692,360,332,4,3,1,3282,1974,1308,3212,1432,1780,3205,1844,1361,2784,1696,1088,840,534,306,459,190,269,16,9,7,1469,963,506,421,148,273,67,8,59,275,98,177,6,0,6,73,42,31,3289,1562,1727,9.0
33,5,,368100,0,0,VILLAGE,Thadangam,Rural,1645,7091,3599,3492,893,467,426,969,459,510,239,124,115,4497,2489,2008,2594,1110,1484,2813,1926,887,2694,1872,822,399,243,156,739,370,369,5,3,2,1551,1256,295,119,54,65,9,3,6,4,2,2,14,0,14,92,49,43,4278,1673,2605,9.0
33,5,,368200,0,0,VILLAGE,Virupatchipuram ,Rural,2883,12091,6159,5932,1280,668,612,1506,762,744,68,32,36,9096,4953,4143,2995,1206,1789,4037,3065,972,3813,3000,813,206,150,56,445,291,154,75,44,31,3087,2515,572,224,65,159,6,2,4,43,11,32,94,2,92,81,50,31,8054,3094,4960,9.0
33,5,,368300,0,0,VILLAGE,Vellegoundan Palayam ,Rural,4300,18515,9577,8938,2094,1073,1021,2354,1218,1136,79,40,39,13851,7711,6140,4664,1866,2798,6474,5003,1471,6213,4891,1322,418,275,143,144,83,61,118,61,57,5533,4472,1061,261,112,149,56,18,38,24,3,21,21,2,19,160,89,71,12041,4574,7467,9.0
33,5,,368400,0,0,VILLAGE,Settikarai,Rural,1408,6248,3212,3036,873,466,407,410,198,212,26,14,12,3209,1911,1298,3039,1301,1738,3177,1943,1234,2677,1776,901,782,521,261,702,282,420,36,12,24,1157,961,196,500,167,333,21,3,18,330,66,264,13,2,11,136,96,40,3071,1269,1802,9.0
