STATE,DISTRICT,TAHSIL,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,SUB-DISTT
33,5,,0,0,0,TALUK,Harur,Total,48210,208131,107162,100969,26790,14411,12379,60638,31076,29562,11696,5988,5708,108292,64833,43459,99839,42329,57510,108895,62682,46213,96758,58796,37962,43385,25914,17471,30299,15099,15200,1578,810,768,21496,16973,4523,12137,3886,8251,2117,682,1435,8373,2345,6028,325,71,254,1322,788,534,99236,44480,54756,7.0
33,5,,0,0,0,TALUK,Harur,Rural,40841,175775,90790,84985,22747,12286,10461,53670,27551,26119,11564,5923,5641,87398,53141,34257,88377,37649,50728,96069,53642,42427,85261,50009,35252,41324,24366,16958,27886,13804,14082,1335,646,689,14716,11193,3523,10808,3633,7175,2087,674,1413,7434,2269,5165,243,57,186,1044,633,411,79706,37148,42558,7.0
33,5,,0,0,0,TALUK,Harur,Urban,7369,32356,16372,15984,4043,2125,1918,6968,3525,3443,132,65,67,20894,11692,9202,11462,4680,6782,12826,9040,3786,11497,8787,2710,2061,1548,513,2413,1295,1118,243,164,79,6780,5780,1000,1329,253,1076,30,8,22,939,76,863,82,14,68,278,155,123,19530,7332,12198,7.0
33,5,,338000,0,0,VILLAGE,Bannikulam,Rural,478,1968,1009,959,253,146,107,67,34,33,0,0,0,895,547,348,1073,462,611,1187,608,579,1179,603,576,742,379,363,308,129,179,3,1,2,126,94,32,8,5,3,6,4,2,2,1,1,0,0,0,0,0,0,781,401,380,7.0
33,5,,338100,0,0,VILLAGE,Irumathur,Rural,1049,4611,2396,2215,634,345,289,487,258,229,0,0,0,2251,1370,881,2360,1026,1334,2454,1368,1086,1231,969,262,812,698,114,156,61,95,10,6,4,253,204,49,1223,399,824,330,138,192,679,202,477,91,13,78,123,46,77,2157,1028,1129,7.0
33,5,,338200,0,0,VILLAGE,Kokkarapatty,Rural,943,3897,2019,1878,488,280,208,50,25,25,82,44,38,1879,1148,731,2018,871,1147,2266,1201,1065,1938,1102,836,1098,714,384,480,138,342,115,52,63,245,198,47,328,99,229,47,14,33,259,70,189,3,1,2,19,14,5,1631,818,813,7.0
33,5,,338300,0,0,VILLAGE,Kelavalli,Rural,827,3398,1804,1594,425,234,191,264,132,132,0,0,0,1841,1153,688,1557,651,906,1741,1066,675,1735,1063,672,1097,681,416,517,287,230,6,5,1,115,90,25,6,3,3,0,0,0,5,3,2,1,0,1,0,0,0,1657,738,919,7.0
33,5,,338400,0,0,VILLAGE,Ichambadi,Rural,913,3927,2111,1816,464,265,199,1154,613,541,11,8,3,2022,1277,745,1905,834,1071,1996,1210,786,1950,1195,755,763,460,303,867,485,382,1,0,1,319,250,69,46,15,31,3,1,2,26,8,18,0,0,0,17,6,11,1931,901,1030,7.0
33,5,,338500,0,0,VILLAGE,Agraharam,Rural,675,3030,1552,1478,372,199,173,904,463,441,106,54,52,1606,960,646,1424,592,832,1452,822,630,1329,795,534,727,458,269,499,256,243,15,9,6,88,72,16,123,27,96,12,4,8,104,18,86,1,1,0,6,4,2,1578,730,848,7.0
33,5,,338600,0,0,VILLAGE,Ettipatty,Rural,56,263,137,126,35,18,17,84,45,39,0,0,0,117,68,49,146,69,77,144,76,68,135,73,62,110,60,50,23,11,12,0,0,0,2,2,0,9,3,6,6,1,5,3,2,1,0,0,0,0,0,0,119,61,58,7.0
33,5,,338700,0,0,VILLAGE,Gettupatty,Rural,76,319,149,170,49,22,27,13,7,6,0,0,0,157,86,71,162,63,99,174,88,86,114,81,33,45,28,17,13,3,10,0,0,0,56,50,6,60,7,53,3,0,3,49,4,45,0,0,0,8,3,5,145,61,84,7.0
33,5,,338800,0,0,VILLAGE,Samandahalli,Rural,686,2917,1497,1420,354,198,156,970,477,493,0,0,0,1722,1014,708,1195,483,712,1548,863,685,1459,833,626,783,415,368,332,159,173,4,1,3,340,258,82,89,30,59,17,6,11,42,8,34,1,0,1,29,16,13,1369,634,735,7.0
33,5,,338900,0,0,VILLAGE,Singilipatty,Rural,106,525,271,254,83,42,41,523,270,253,0,0,0,246,147,99,279,124,155,306,159,147,225,115,110,56,30,26,153,80,73,2,0,2,14,5,9,81,44,37,2,1,1,78,42,36,1,1,0,0,0,0,219,112,107,7.0
33,5,,339000,0,0,VILLAGE,Kuttapatty,Rural,115,572,286,286,89,48,41,558,278,280,0,0,0,295,183,112,277,103,174,324,162,162,319,161,158,45,23,22,219,98,121,0,0,0,55,40,15,5,1,4,0,0,0,3,0,3,0,0,0,2,1,1,248,124,124,7.0
33,5,,339100,0,0,VILLAGE,Kilomorappur,Rural,254,913,479,434,95,51,44,137,72,65,0,0,0,450,284,166,463,195,268,504,282,222,503,282,221,300,160,140,161,87,74,8,7,1,34,28,6,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,409,197,212,7.0
33,5,,339200,0,0,VILLAGE,Thippampatti,Rural,5,32,18,14,6,4,2,0,0,0,0,0,0,19,12,7,13,6,7,18,8,10,18,8,10,18,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,10,4,7.0
33,5,,339300,0,0,VILLAGE,Tamaleripatti,Rural,152,627,310,317,67,37,30,16,8,8,19,12,7,336,188,148,291,122,169,373,203,170,277,146,131,263,138,125,5,1,4,0,0,0,9,7,2,96,57,39,6,2,4,60,31,29,0,0,0,30,24,6,254,107,147,7.0
33,5,,339400,0,0,VILLAGE,Pariayapatti,Rural,296,1307,675,632,164,89,75,1093,558,535,0,0,0,725,440,285,582,235,347,729,387,342,424,234,190,154,88,66,214,105,109,0,0,0,56,41,15,305,153,152,0,0,0,297,147,150,2,1,1,6,5,1,578,288,290,7.0
33,5,,339500,0,0,VILLAGE,Kurumbapatty,Rural,52,198,100,98,22,12,10,0,0,0,0,0,0,107,66,41,91,34,57,104,56,48,104,56,48,78,37,41,9,2,7,1,1,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,44,50,7.0
33,5,,339600,0,0,VILLAGE,Ganapathipatty,Rural,128,551,286,265,67,39,28,252,127,125,0,0,0,246,141,105,305,145,160,306,158,148,237,121,116,67,35,32,123,62,61,8,4,4,39,20,19,69,37,32,25,15,10,42,20,22,1,1,0,1,1,0,245,128,117,7.0
33,5,,339700,0,0,VILLAGE,Kuruthampatty,Rural,120,599,307,292,77,37,40,9,4,5,0,0,0,335,206,129,264,101,163,393,205,188,306,165,141,249,122,127,21,12,9,0,0,0,36,31,5,87,40,47,13,8,5,73,32,41,1,0,1,0,0,0,206,102,104,7.0
33,5,,339800,0,0,VILLAGE,Kangavembu,Rural,204,883,451,432,105,47,58,2,1,1,0,0,0,504,306,198,379,145,234,572,306,266,572,306,266,321,176,145,175,88,87,14,5,9,62,37,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311,145,166,7.0
33,5,,339900,0,0,VILLAGE,Ilaiyampatty,Rural,148,609,305,304,64,30,34,34,18,16,0,0,0,376,226,150,233,79,154,367,199,168,336,179,157,287,148,139,13,5,8,1,0,1,35,26,9,31,20,11,0,0,0,3,1,2,3,1,2,25,18,7,242,106,136,7.0
33,5,,340000,0,0,VILLAGE,Pappinayakkenvalasai,Rural,120,454,262,192,67,47,20,0,0,0,0,0,0,263,165,98,191,97,94,287,145,142,256,132,124,209,107,102,33,17,16,12,7,5,2,1,1,31,13,18,9,4,5,18,6,12,0,0,0,4,3,1,167,117,50,7.0
33,5,,340100,0,0,VILLAGE,Kumrampatty,Rural,197,859,443,416,132,70,62,584,301,283,0,0,0,432,269,163,427,174,253,460,245,215,452,244,208,84,42,42,252,118,134,2,0,2,114,84,30,8,1,7,0,0,0,8,1,7,0,0,0,0,0,0,399,198,201,7.0
33,5,,340200,0,0,VILLAGE,Ittalapatti,Rural,122,515,277,238,71,41,30,0,0,0,0,0,0,257,164,93,258,113,145,315,165,150,315,165,150,165,80,85,93,40,53,5,3,2,52,42,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,112,88,7.0
