STATE,DISTRICT,TAHSIL,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,SUB-DISTT
33,5,,0,0,0,TALUK,Palakkodu,Total,67555,301580,156054,145526,41952,23046,18906,27669,14099,13570,1440,757,683,144113,88067,56046,157467,67987,89480,155536,89938,65598,130962,81501,49461,61637,38031,23606,39496,20203,19293,2403,1259,1144,27426,22008,5418,24574,8437,16137,2948,1070,1878,18016,5363,12653,657,177,480,2953,1827,1126,146044,66116,79928,4.0
33,5,,0,0,0,TALUK,Palakkodu,Rural,58583,260701,135392,125309,36728,20351,16377,25345,12953,12392,1412,741,671,119175,73969,45206,141526,61423,80103,138861,78057,60804,115800,70134,45666,59975,36727,23248,37273,18959,18314,1438,753,685,17114,13695,3419,23061,7923,15138,2915,1058,1857,17346,5229,12117,425,142,283,2375,1494,881,121840,57335,64505,4.0
33,5,,0,0,0,TALUK,Palakkodu,Urban,8972,40879,20662,20217,5224,2695,2529,2324,1146,1178,28,16,12,24938,14098,10840,15941,6564,9377,16675,11881,4794,15162,11367,3795,1662,1304,358,2223,1244,979,965,506,459,10312,8313,1999,1513,514,999,33,12,21,670,134,536,232,35,197,578,333,245,24204,8781,15423,4.0
33,5,,306300,0,0,VILLAGE,Panjapalli,Rural,1305,5997,3066,2931,865,450,415,788,407,381,266,146,120,2752,1662,1090,3245,1404,1841,3023,1741,1282,2843,1689,1154,1086,687,399,1338,658,680,16,11,5,403,333,70,180,52,128,22,3,19,142,42,100,8,2,6,8,5,3,2974,1325,1649,4.0
33,5,,306400,0,0,VILLAGE,Periyanur,Rural,471,2127,1116,1011,316,193,123,265,140,125,42,15,27,917,588,329,1210,528,682,1123,620,503,1107,614,493,446,269,177,534,248,286,5,3,2,122,94,28,16,6,10,3,1,2,6,2,4,3,0,3,4,3,1,1004,496,508,4.0
33,5,,306500,0,0,VILLAGE,Namandahalli,Rural,619,2994,1564,1430,422,229,193,340,176,164,102,56,46,1294,850,444,1700,714,986,1644,892,752,1412,797,615,840,524,316,483,207,276,3,2,1,86,64,22,232,95,137,8,4,4,216,85,131,0,0,0,8,6,2,1350,672,678,4.0
33,5,,306600,0,0,VILLAGE,Chinnagowndanahalli,Rural,293,1485,778,707,244,133,111,39,21,18,32,20,12,425,291,134,1060,487,573,984,505,479,983,505,478,469,252,217,466,223,243,6,0,6,42,30,12,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,501,273,228,4.0
33,5,,306700,0,0,VILLAGE,Chudanur,Rural,506,2313,1181,1132,346,186,160,340,167,173,16,9,7,841,521,320,1472,660,812,1237,680,557,1103,610,493,639,372,267,373,171,202,6,2,4,85,65,20,134,70,64,2,1,1,106,47,59,0,0,0,26,22,4,1076,501,575,4.0
33,5,,306800,0,0,VILLAGE,Gummanur,Rural,528,2281,1193,1088,313,175,138,445,245,200,26,13,13,1189,735,454,1092,458,634,1171,694,477,1139,678,461,643,378,265,326,182,144,14,8,6,156,110,46,32,16,16,5,2,3,10,4,6,5,3,2,12,7,5,1110,499,611,4.0
33,5,,306900,0,0,VILLAGE,Jittandahalli   ,Rural,1176,5331,2725,2606,833,449,384,826,424,402,48,24,24,2115,1328,787,3216,1397,1819,2827,1623,1204,2259,1415,844,1590,987,603,450,251,199,25,13,12,194,164,30,568,208,360,94,23,71,438,165,273,7,1,6,29,19,10,2504,1102,1402,4.0
