STATE,DISTRICT,TAHSIL,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,SUB-DISTT
33,5,,0,0,0,TALUK,Pennagaram,Total,45493,194882,102269,92613,27560,15644,11916,21206,11103,10103,3555,1842,1713,92348,57245,35103,102534,45024,57510,101953,58247,43706,86963,52908,34055,44455,26128,18327,20566,9856,10710,1607,865,742,20335,16059,4276,14990,5339,9651,2263,802,1461,10537,3296,7241,361,119,242,1829,1122,707,92929,44022,48907,10.0
33,5,,0,0,0,TALUK,Pennagaram,Rural,39461,168300,88576,79724,24104,13766,10338,18533,9737,8796,3380,1756,1624,75399,47493,27906,92901,41083,51818,90796,50653,40143,77496,46078,31418,43369,25396,17973,19533,9278,10255,678,405,273,13916,10999,2917,13300,4575,8725,2070,715,1355,9622,2942,6680,249,102,147,1359,816,543,77504,37923,39581,10.0
33,5,,0,0,0,TALUK,Pennagaram,Urban,6032,26582,13693,12889,3456,1878,1578,2673,1366,1307,175,86,89,16949,9752,7197,9633,3941,5692,11157,7594,3563,9467,6830,2637,1086,732,354,1033,578,455,929,460,469,6419,5060,1359,1690,764,926,193,87,106,915,354,561,112,17,95,470,306,164,15425,6099,9326,10.0
33,5,,372500,0,0,VILLAGE,Pikkili,Rural,1544,7286,3809,3477,1235,678,557,336,169,167,129,66,63,2417,1571,846,4869,2238,2631,4441,2343,2098,3250,1844,1406,2438,1383,1055,640,334,306,2,2,0,170,125,45,1191,499,692,135,63,72,983,395,588,10,0,10,63,41,22,2845,1466,1379,10.0
33,5,,372600,0,0,VILLAGE,Panaikulam  ,Rural,1256,5626,2887,2739,811,431,380,264,141,123,5,1,4,2559,1519,1040,3067,1368,1699,2918,1613,1305,2223,1432,791,1060,725,335,904,498,406,10,6,4,249,203,46,695,181,514,130,4,126,557,172,385,0,0,0,8,5,3,2708,1274,1434,10.0
33,5,,372700,0,0,VILLAGE,Madehalli   ,Rural,899,3916,1971,1945,532,291,241,0,0,0,0,0,0,1625,982,643,2291,989,1302,2091,1170,921,1685,1049,636,1074,685,389,439,219,220,21,15,6,151,130,21,406,121,285,75,21,54,272,76,196,7,6,1,52,18,34,1825,801,1024,10.0
33,5,,372800,0,0,VILLAGE,Andarahalli,Rural,140,624,324,300,91,57,34,0,0,0,0,0,0,244,150,94,380,174,206,397,198,199,397,198,199,156,81,75,230,107,123,0,0,0,11,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,126,101,10.0
33,5,,372900,0,0,VILLAGE,Pallipatti,Rural,147,609,323,286,95,55,40,6,2,4,0,0,0,324,205,119,285,118,167,345,184,161,345,184,161,185,99,86,124,59,65,3,2,1,33,24,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264,139,125,10.0
33,5,,373000,0,0,VILLAGE,Velampatti,Rural,273,1125,579,546,164,82,82,0,0,0,0,0,0,572,341,231,553,238,315,629,333,296,600,320,280,249,124,125,206,105,101,8,4,4,137,87,50,29,13,16,2,0,2,17,8,9,1,1,0,9,4,5,496,246,250,10.0
33,5,,373100,0,0,VILLAGE,Kariappanahalli,Rural,166,705,350,355,108,61,47,37,15,22,0,0,0,241,138,103,464,212,252,405,208,197,394,202,192,352,188,164,30,5,25,0,0,0,12,9,3,11,6,5,0,0,0,5,1,4,1,1,0,5,4,1,300,142,158,10.0
