STATE,DISTRICT,TAHSIL,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,SUB-DISTT
33,13,,0,0,0,TALUK,Dindigul,Total,169955,715005,358864,356141,81393,42229,39164,122910,61563,61347,823,405,418,464903,261841,203062,250102,97023,153079,331164,209983,121181,289382,191727,97655,41110,25590,15520,91088,45688,45400,12588,6793,5795,144596,113656,30940,41782,18256,23526,2458,1048,1410,26980,10434,16546,1450,371,1079,10894,6403,4491,383841,148881,234960,5.0
33,13,,0,0,0,TALUK,Dindigul,Rural,93583,390820,196091,194729,46378,24224,22154,83084,41542,41542,552,262,290,229577,133567,96010,161243,62524,98719,202196,116471,85725,170526,102868,67658,34953,21762,13191,76584,38251,38333,4564,2275,2289,54425,40580,13845,31670,13603,18067,1990,899,1091,22609,8766,13843,944,255,689,6127,3683,2444,188624,79620,109004,5.0
33,13,,0,0,0,TALUK,Dindigul,Urban,76372,324185,162773,161412,35015,18005,17010,39826,20021,19805,271,143,128,235326,128274,107052,88859,34499,54360,128968,93512,35456,118856,88859,29997,6157,3828,2329,14504,7437,7067,8024,4518,3506,90171,73076,17095,10112,4653,5459,468,149,319,4371,1668,2703,506,116,390,4767,2720,2047,195217,69261,125956,5.0
33,13,,850800,0,0,VILLAGE,Sullerumbu,Rural,1111,4417,2206,2211,451,249,202,702,351,351,0,0,0,2401,1429,972,2016,777,1239,2912,1557,1355,2406,1369,1037,1035,530,505,566,271,295,24,14,10,781,554,227,506,188,318,73,28,45,360,123,237,12,5,7,61,32,29,1505,649,856,5.0
33,13,,850900,0,0,VILLAGE,Gurunathanaickenur ,Rural,911,3707,1856,1851,351,191,160,582,298,284,0,0,0,2125,1276,849,1582,580,1002,2333,1250,1083,2263,1233,1030,864,456,408,1035,466,569,12,9,3,352,302,50,70,17,53,2,0,2,63,13,50,2,1,1,3,3,0,1374,606,768,5.0
33,13,,851100,0,0,VILLAGE,Palakkanuthu  ,Rural,2216,8871,4501,4370,892,499,393,1601,841,760,0,0,0,5279,3167,2112,3592,1334,2258,5742,3019,2723,5595,2979,2616,1310,715,595,2613,1210,1403,477,119,358,1195,935,260,147,40,107,8,1,7,112,31,81,14,0,14,13,8,5,3129,1482,1647,5.0
33,13,,851200,0,0,VILLAGE,Nilamalakottai,Rural,564,2225,1126,1099,217,124,93,245,119,126,0,0,0,1251,748,503,974,378,596,1449,751,698,1343,714,629,432,256,176,792,377,415,18,8,10,101,73,28,106,37,69,24,13,11,61,14,47,3,1,2,18,9,9,776,375,401,5.0
33,13,,851300,0,0,VILLAGE,K.Pudukottai,Rural,516,2191,1082,1109,215,121,94,356,190,166,0,0,0,1305,740,565,886,342,544,1340,712,628,1325,708,617,522,269,253,490,216,274,25,13,12,288,210,78,15,4,11,8,4,4,6,0,6,0,0,0,1,0,1,851,370,481,5.0
33,13,,851400,0,0,VILLAGE,Alagupatti,Rural,642,2772,1355,1417,304,146,158,1041,507,534,65,28,37,1518,901,617,1254,454,800,1765,908,857,1722,898,824,486,252,234,1084,522,562,20,13,7,132,111,21,43,10,33,12,2,10,30,7,23,0,0,0,1,1,0,1007,447,560,5.0
33,13,,851500,0,0,VILLAGE,Silvarpatti,Rural,1580,7419,3830,3589,882,481,401,2302,1190,1112,1,1,0,4433,2655,1778,2986,1175,1811,3987,2171,1816,3640,2068,1572,1012,605,407,1723,775,948,11,4,7,894,684,210,347,103,244,32,13,19,294,82,212,3,0,3,18,8,10,3432,1659,1773,5.0
33,13,,851600,0,0,VILLAGE,Kothapulli,Rural,1059,4719,2310,2409,538,267,271,1141,546,595,0,0,0,2424,1425,999,2295,885,1410,2681,1485,1196,2631,1467,1164,772,442,330,1223,547,676,9,6,3,627,472,155,50,18,32,10,2,8,18,6,12,2,0,2,20,10,10,2038,825,1213,5.0
33,13,,851700,0,0,VILLAGE,Kamachipuram,Rural,1180,4684,2328,2356,528,278,250,479,241,238,0,0,0,2438,1482,956,2246,846,1400,2915,1511,1404,2500,1379,1121,957,524,433,953,420,533,41,24,17,549,411,138,415,132,283,54,20,34,282,71,211,27,10,17,52,31,21,1769,817,952,5.0
33,13,,851800,0,0,VILLAGE,Tettupatti  ,Rural,2038,7773,3981,3792,841,442,399,1519,781,738,0,0,0,4074,2503,1571,3699,1478,2221,4550,2430,2120,3782,2213,1569,984,638,346,2355,1217,1138,29,17,12,414,341,73,768,217,551,9,5,4,748,203,545,2,1,1,9,8,1,3223,1551,1672,5.0
33,13,,851900,0,0,VILLAGE,Mangarai,Rural,716,2867,1396,1471,330,153,177,770,381,389,0,0,0,1580,956,624,1287,440,847,1893,958,935,1501,840,661,665,344,321,571,286,285,51,40,11,214,170,44,392,118,274,12,9,3,366,101,265,8,3,5,6,5,1,974,438,536,5.0
33,13,,852000,0,0,VILLAGE,Ammapatti,Rural,459,1819,934,885,182,95,87,136,73,63,0,0,0,1137,688,449,682,246,436,1016,563,453,993,555,438,245,142,103,500,218,282,19,12,7,229,183,46,23,8,15,5,2,3,14,2,12,0,0,0,4,4,0,803,371,432,5.0
33,13,,852100,0,0,VILLAGE,Kuthathupatti,Rural,1955,8143,4087,4056,960,486,474,1602,775,827,0,0,0,4812,2800,2012,3331,1287,2044,4318,2440,1878,3836,2257,1579,946,580,366,1829,916,913,79,41,38,982,720,262,482,183,299,31,10,21,327,99,228,7,0,7,117,74,43,3825,1647,2178,5.0
33,13,,852200,0,0,VILLAGE,Settinaickenpatti ,Rural,2944,12390,6114,6276,1474,741,733,3551,1752,1799,0,0,0,8414,4627,3787,3976,1487,2489,4379,3266,1113,3723,2915,808,333,266,67,421,279,142,219,146,73,2750,2224,526,656,351,305,31,10,21,250,90,160,46,17,29,329,234,95,8011,2848,5163,5.0
33,13,,852300,0,0,VILLAGE,Alakkuvaroatti,Rural,335,1379,671,708,157,77,80,562,273,289,0,0,0,693,408,285,686,263,423,651,411,240,493,346,147,98,68,30,59,24,35,9,3,6,327,251,76,158,65,93,23,7,16,58,11,47,18,3,15,59,44,15,728,260,468,5.0
33,13,,852400,0,0,VILLAGE,Silapadi  ,Rural,4315,17938,9266,8672,1952,1029,923,4598,2328,2270,59,29,30,12129,6903,5226,5809,2363,3446,6778,4948,1830,5708,4353,1355,313,232,81,636,366,270,144,95,49,4615,3660,955,1070,595,475,49,12,37,292,80,212,54,21,33,675,482,193,11160,4318,6842,5.0
