STATE,DISTRICT,TAHSIL,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,SUB-DISTT
33,13,,0,0,0,TALUK,Kodaikanal,Total,24587,100645,51338,49307,12013,6112,5901,15772,7860,7912,2014,1025,989,66793,38015,28778,33852,13323,20529,51799,31115,20684,47392,29333,18059,10282,6413,3869,17242,8966,8276,632,294,338,19236,13660,5576,4407,1782,2625,579,136,443,2009,732,1277,222,60,162,1597,854,743,48846,20223,28623,6.0
33,13,,0,0,0,TALUK,Kodaikanal,Rural,14601,58203,29752,28451,7232,3673,3559,9863,4980,4883,1528,785,743,34522,20565,13957,23681,9187,14494,34741,19242,15499,32114,18329,13785,9786,6035,3751,14853,7604,7249,471,220,251,7004,4470,2534,2627,913,1714,529,117,412,1299,436,863,176,54,122,623,306,317,23462,10510,12952,6.0
33,13,,0,0,0,TALUK,Kodaikanal,Urban,9986,42442,21586,20856,4781,2439,2342,5909,2880,3029,486,240,246,32271,17450,14821,10171,4136,6035,17058,11873,5185,15278,11004,4274,496,378,118,2389,1362,1027,161,74,87,12232,9190,3042,1780,869,911,50,19,31,710,296,414,46,6,40,974,548,426,25384,9713,15671,6.0
33,13,,860100,0,0,VILLAGE,Kookkal,Rural,1315,5335,2746,2589,797,414,383,1488,758,730,111,61,50,2836,1794,1042,2499,952,1547,3308,1752,1556,3173,1700,1473,1571,922,649,1457,676,781,27,14,13,118,88,30,135,52,83,17,10,7,103,36,67,6,3,3,9,3,6,2027,994,1033,6.0
33,13,,860200,0,0,VILLAGE,Vilpatti ,Rural,2172,8854,4488,4366,1037,485,552,1310,640,670,144,81,63,5699,3337,2362,3155,1151,2004,5034,2920,2114,3941,2453,1488,1127,760,367,1813,1014,799,91,56,35,910,623,287,1093,467,626,188,43,145,460,155,305,69,37,32,376,232,144,3820,1568,2252,6.0
33,13,,860300,0,0,VILLAGE,Vadagounchi,Rural,973,3838,1958,1880,494,267,227,381,195,186,315,161,154,2141,1244,897,1697,714,983,2425,1298,1127,2386,1285,1101,895,488,407,1198,637,561,24,10,14,269,150,119,39,13,26,4,3,1,25,8,17,6,1,5,4,1,3,1413,660,753,6.0
33,13,,860400,0,0,VILLAGE,Pachalur,Rural,531,1843,928,915,187,94,93,496,248,248,50,25,25,989,577,412,854,351,503,1188,667,521,1174,663,511,366,242,124,479,262,217,8,5,3,321,154,167,14,4,10,8,3,5,2,0,2,1,0,1,3,1,2,655,261,394,6.0
33,13,,860500,0,0,VILLAGE,Periyur,Rural,884,3402,1748,1654,422,220,202,1212,617,595,1,1,0,2065,1214,851,1337,534,803,2180,1208,972,2134,1194,940,330,234,96,1668,866,802,17,5,12,119,89,30,46,14,32,3,2,1,23,9,14,18,1,17,2,2,0,1222,540,682,6.0
33,13,,860600,0,0,VILLAGE,Thandigudi,Rural,863,3291,1659,1632,380,193,187,451,225,226,65,31,34,2255,1275,980,1036,384,652,1951,1070,881,1852,1027,825,220,166,54,1329,660,669,54,15,39,249,186,63,99,43,56,4,2,2,62,25,37,11,1,10,22,15,7,1340,589,751,6.0
33,13,,860700,0,0,VILLAGE,Kodaikanal ,Rural,521,2407,1340,1067,284,169,115,933,492,441,0,0,0,1723,1041,682,684,299,385,1045,686,359,979,654,325,99,64,35,465,280,185,37,26,11,378,284,94,66,32,34,5,5,0,42,16,26,2,1,1,17,10,7,1362,654,708,6.0
33,13,,860800,0,0,VILLAGE,Poombarai  ,Rural,1073,4456,2251,2205,574,257,317,652,328,324,0,0,0,2599,1602,997,1857,649,1208,2566,1468,1098,2514,1455,1059,1607,945,662,763,400,363,30,17,13,114,93,21,52,13,39,34,6,28,14,6,8,3,0,3,1,1,0,1890,783,1107,6.0
33,13,,860900,0,0,VILLAGE,Mannavanur,Rural,1437,5927,2980,2947,767,401,366,660,331,329,5,2,3,2797,1723,1074,3130,1257,1873,3687,1951,1736,3350,1803,1547,1891,1083,808,1290,621,669,39,17,22,130,82,48,337,148,189,29,15,14,283,124,159,21,6,15,4,3,1,2240,1029,1211,6.0
33,13,,861000,0,0,VILLAGE,Poondi,Rural,903,3994,2065,1929,562,287,275,189,107,82,56,29,27,1965,1239,726,2029,826,1203,2398,1290,1108,1918,1218,700,990,707,283,791,399,392,16,11,5,121,101,20,480,72,408,195,16,179,239,44,195,20,2,18,26,10,16,1596,775,821,6.0
33,13,,861100,0,0,VILLAGE,Vellagavi,Rural,234,907,480,427,87,51,36,0,0,0,144,75,69,580,346,234,327,134,193,593,329,264,588,325,263,321,177,144,211,114,97,2,2,0,54,32,22,5,4,1,1,1,0,3,2,1,0,0,0,1,1,0,314,151,163,6.0
33,13,,861200,0,0,VILLAGE,Adukkam,Rural,762,3165,1609,1556,403,202,201,428,223,205,320,155,165,2044,1157,887,1121,452,669,1481,964,517,1459,959,500,22,15,7,577,321,256,4,2,2,856,621,235,22,5,17,0,0,0,15,3,12,4,1,3,3,1,2,1684,645,1039,6.0
33,13,,861300,0,0,VILLAGE,Kamanur,Rural,1117,4094,2116,1978,449,226,223,576,279,297,59,28,31,2709,1633,1076,1385,483,902,2722,1416,1306,2704,1409,1295,210,141,69,1588,759,829,73,11,62,833,498,335,18,7,11,2,2,0,13,4,9,2,0,2,1,1,0,1372,700,672,6.0
33,13,,861400,0,0,VILLAGE,Kilakkuchettipatti,Rural,919,3433,1743,1690,398,195,203,566,290,276,167,88,79,1979,1196,783,1454,547,907,2255,1192,1063,2145,1176,969,124,83,41,1101,549,552,38,23,15,882,521,361,110,16,94,6,1,5,13,4,9,10,1,9,81,10,71,1178,551,627,6.0
33,13,,861500,0,0,VILLAGE,Poolathur ,Rural,897,3257,1641,1616,391,212,179,521,247,274,91,48,43,2141,1187,954,1116,454,662,1908,1031,877,1797,1008,789,13,8,5,123,46,77,11,6,5,1650,948,702,111,23,88,33,8,25,2,0,2,3,0,3,73,15,58,1349,610,739,6.0
33,13,,41323000,0,0,TOWN,Pannaikadu (TP),Urban,2407,9473,4781,4692,1045,527,518,1121,538,583,341,155,186,6751,3702,3049,2722,1079,1643,4889,2773,2116,4125,2493,1632,336,265,71,1771,962,809,56,15,41,1962,1251,711,764,280,484,35,12,23,516,201,315,9,1,8,204,66,138,4584,2008,2576,6.0
33,13,,41323000,1,0,WARD,Pannaikadu (TP) - Ward No.1,Urban,156,712,261,451,91,27,64,71,0,71,25,0,25,549,216,333,163,45,118,331,169,162,329,168,161,58,39,19,143,54,89,3,0,3,125,75,50,2,1,1,0,0,0,2,1,1,0,0,0,0,0,0,381,92,289,6.0
33,13,,41323000,2,0,WARD,Pannaikadu (TP) - Ward No.2,Urban,153,585,304,281,63,32,31,0,0,0,0,0,0,476,258,218,109,46,63,299,182,117,244,176,68,57,48,9,109,66,43,3,3,0,75,59,16,55,6,49,17,2,15,22,0,22,0,0,0,16,4,12,286,122,164,6.0
33,13,,41323000,3,0,WARD,Pannaikadu (TP) - Ward No.3,Urban,153,572,281,291,45,21,24,0,0,0,0,0,0,469,245,224,103,36,67,317,176,141,161,111,50,18,14,4,95,59,36,0,0,0,48,38,10,156,65,91,7,3,4,139,56,83,0,0,0,10,6,4,255,105,150,6.0
33,13,,41323000,4,0,WARD,Pannaikadu (TP) - Ward No.4,Urban,158,595,310,285,55,34,21,0,0,0,0,0,0,421,237,184,174,73,101,345,191,154,219,158,61,22,18,4,108,69,39,6,4,2,83,67,16,126,33,93,1,1,0,97,26,71,1,1,0,27,5,22,250,119,131,6.0
33,13,,41323000,5,0,WARD,Pannaikadu (TP) - Ward No.5,Urban,120,484,235,249,59,33,26,410,198,212,0,0,0,226,122,104,258,113,145,300,147,153,288,144,144,0,0,0,220,89,131,1,0,1,67,55,12,12,3,9,0,0,0,9,2,7,0,0,0,3,1,2,184,88,96,6.0
33,13,,41323000,6,0,WARD,Pannaikadu (TP) - Ward No.6,Urban,157,599,293,306,53,30,23,0,0,0,0,0,0,448,239,209,151,54,97,291,172,119,291,172,119,29,27,2,132,57,75,0,0,0,130,88,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308,121,187,6.0
33,13,,41323000,7,0,WARD,Pannaikadu (TP) - Ward No.7,Urban,183,689,348,341,67,38,29,0,0,0,0,0,0,495,267,228,194,81,113,291,194,97,287,191,96,53,49,4,144,70,74,0,0,0,90,72,18,4,3,1,0,0,0,1,1,0,0,0,0,3,2,1,398,154,244,6.0
33,13,,41323000,8,0,WARD,Pannaikadu (TP) - Ward No.8,Urban,121,441,222,219,49,23,26,9,2,7,0,0,0,319,177,142,122,45,77,247,152,95,237,147,90,17,13,4,111,58,53,3,1,2,106,75,31,10,5,5,0,0,0,0,0,0,1,0,1,9,5,4,194,70,124,6.0
33,13,,41323000,9,0,WARD,Pannaikadu (TP) - Ward No.9,Urban,141,506,257,249,51,25,26,0,0,0,0,0,0,369,206,163,137,51,86,287,161,126,275,156,119,8,6,2,95,48,47,12,1,11,160,101,59,12,5,7,0,0,0,4,4,0,5,0,5,3,1,2,219,96,123,6.0
33,13,,41323000,10,0,WARD,Pannaikadu (TP) - Ward No.10,Urban,161,579,302,277,55,35,20,0,0,0,0,0,0,465,258,207,114,44,70,369,197,172,365,194,171,1,1,0,11,5,6,15,0,15,338,188,150,4,3,1,0,0,0,0,0,0,0,0,0,4,3,1,210,105,105,6.0
33,13,,41323000,11,0,WARD,Pannaikadu (TP) - Ward No.11,Urban,148,602,305,297,79,38,41,550,279,271,0,0,0,394,233,161,208,72,136,368,186,182,358,184,174,7,2,5,62,31,31,0,0,0,289,151,138,10,2,8,0,0,0,2,0,2,0,0,0,8,2,6,234,119,115,6.0
