STATE,DISTRICT,TAHSIL,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,SUB-DISTT
33,13,,0,0,0,TALUK,Oddanchatram,Total,46468,168065,84237,83828,15617,8111,7506,33799,16888,16911,166,84,82,98568,59020,39548,69497,25217,44280,102846,56915,45931,92968,53381,39587,34740,19458,15282,34393,15438,18955,2096,1048,1048,21739,17437,4302,9878,3534,6344,1289,527,762,6879,2155,4724,349,96,253,1361,756,605,65219,27322,37897,2.0
33,13,,0,0,0,TALUK,Oddanchatram,Rural,40281,143933,72095,71838,13030,6825,6205,29533,14757,14776,165,83,82,81849,49779,32070,62084,22316,39768,93273,49626,43647,83940,46294,37646,34068,19083,14985,33054,14718,18336,1993,989,1004,14825,11504,3321,9333,3332,6001,1267,522,745,6702,2125,4577,304,95,209,1060,590,470,50660,22469,28191,2.0
33,13,,0,0,0,TALUK,Oddanchatram,Urban,6187,24132,12142,11990,2587,1286,1301,4266,2131,2135,1,1,0,16719,9241,7478,7413,2901,4512,9573,7289,2284,9028,7087,1941,672,375,297,1339,720,619,103,59,44,6914,5933,981,545,202,343,22,5,17,177,30,147,45,1,44,301,166,135,14559,4853,9706,2.0
33,13,,834400,0,0,VILLAGE,Appanuthu,Rural,300,1105,563,542,92,42,50,295,149,146,0,0,0,648,413,235,457,150,307,833,434,399,832,434,398,576,307,269,247,119,128,0,0,0,9,8,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,272,129,143,2.0
33,13,,834500,0,0,VILLAGE,Paruthiyur,Rural,353,1266,624,642,132,60,72,450,214,236,0,0,0,647,403,244,619,221,398,840,449,391,828,442,386,370,214,156,383,168,215,18,18,0,57,42,15,12,7,5,4,2,2,8,5,3,0,0,0,0,0,0,426,175,251,2.0
33,13,,834600,0,0,VILLAGE,Palappampatti,Rural,304,1030,523,507,93,47,46,252,127,125,0,0,0,574,365,209,456,158,298,698,359,339,594,319,275,393,209,184,80,41,39,20,8,12,101,61,40,104,40,64,1,0,1,79,31,48,0,0,0,24,9,15,332,164,168,2.0
33,13,,834700,0,0,VILLAGE,Poosaripatti,Rural,570,1963,969,994,204,88,116,376,189,187,0,0,0,1105,681,424,858,288,570,1213,664,549,806,564,242,250,172,78,174,120,54,52,16,36,330,256,74,407,100,307,62,33,29,277,41,236,24,3,21,44,23,21,750,305,445,2.0
33,13,,834800,0,0,VILLAGE,Appayampatti,Rural,409,1508,756,752,118,50,68,183,89,94,0,0,0,828,537,291,680,219,461,1077,560,517,712,409,303,456,245,211,41,18,23,11,9,2,204,137,67,365,151,214,160,73,87,165,59,106,6,4,2,34,15,19,431,196,235,2.0
33,13,,834900,0,0,VILLAGE,Koothampoodi,Rural,1154,3984,1954,2030,329,157,172,620,309,311,0,0,0,2147,1356,791,1837,598,1239,2921,1449,1472,2872,1446,1426,1715,841,874,695,294,401,159,89,70,303,222,81,49,3,46,9,1,8,35,2,33,4,0,4,1,0,1,1063,505,558,2.0
33,13,,835000,0,0,VILLAGE,M.Athappampatti,Rural,455,1431,708,723,67,41,26,281,140,141,16,10,6,717,428,289,714,280,434,1076,538,538,1070,534,536,438,230,208,573,263,310,24,15,9,35,26,9,6,4,2,0,0,0,5,4,1,1,0,1,0,0,0,355,170,185,2.0
33,13,,835100,0,0,VILLAGE,Markampatti,Rural,527,1934,934,1000,221,136,85,289,129,160,0,0,0,1213,660,553,721,274,447,879,569,310,763,553,210,139,74,65,76,28,48,22,14,8,526,437,89,116,16,100,2,1,1,76,3,73,21,2,19,17,10,7,1055,365,690,2.0
33,13,,835200,0,0,VILLAGE,Ellapatti,Rural,483,1673,849,824,114,65,49,457,228,229,0,0,0,979,590,389,694,259,435,1234,618,616,1214,611,603,699,357,342,440,211,229,3,0,3,72,43,29,20,7,13,1,0,1,13,3,10,0,0,0,6,4,2,439,231,208,2.0
33,13,,835300,0,0,VILLAGE,Chinnkampatti,Rural,555,2135,1065,1070,160,88,72,240,113,127,0,0,0,1227,734,493,908,331,577,1362,729,633,1146,653,493,564,338,226,332,134,198,13,8,5,237,173,64,216,76,140,3,2,1,188,63,125,1,0,1,24,11,13,773,336,437,2.0
33,13,,835400,0,0,VILLAGE,I.Vadipatti,Rural,479,1620,789,831,106,48,58,516,246,270,0,0,0,947,552,395,673,237,436,1090,582,508,920,520,400,403,243,160,425,201,224,13,13,0,79,63,16,170,62,108,23,12,11,140,45,95,0,0,0,7,5,2,530,207,323,2.0
33,13,,835500,0,0,VILLAGE,Kondarangi Keeranur,Rural,872,2885,1475,1410,241,117,124,555,262,293,0,0,0,1716,1066,650,1169,409,760,2060,1081,979,2058,1081,977,998,538,460,841,383,458,13,6,7,206,154,52,2,0,2,1,0,1,1,0,1,0,0,0,0,0,0,825,394,431,2.0
33,13,,835600,0,0,VILLAGE,Kariyampatti,Rural,1071,3712,1880,1832,330,186,144,683,346,337,0,0,0,2007,1258,749,1705,622,1083,2639,1320,1319,2492,1268,1224,1129,602,527,758,280,478,60,21,39,545,365,180,147,52,95,45,28,17,85,16,69,3,0,3,14,8,6,1073,560,513,2.0
33,13,,835700,0,0,VILLAGE,Kallimandayam,Rural,1609,5906,3002,2904,481,277,204,1066,524,542,0,0,0,3415,2020,1395,2491,982,1509,3642,2055,1587,3487,2002,1485,1478,910,568,1413,674,739,73,46,27,523,372,151,155,53,102,65,21,44,26,8,18,26,14,12,38,10,28,2264,947,1317,2.0
33,13,,835800,0,0,VILLAGE,Porulur,Rural,1126,3931,2039,1892,352,197,155,873,457,416,0,0,0,2260,1425,835,1671,614,1057,2624,1422,1202,2556,1397,1159,1385,741,644,868,410,458,26,19,7,277,227,50,68,25,43,3,1,2,63,22,41,0,0,0,2,2,0,1307,617,690,2.0
33,13,,835900,0,0,VILLAGE,Appipalayam,Rural,256,903,453,450,65,33,32,228,112,116,0,0,0,463,290,173,440,163,277,662,351,311,656,351,305,428,232,196,170,77,93,35,23,12,23,19,4,6,0,6,0,0,0,6,0,6,0,0,0,0,0,0,241,102,139,2.0
33,13,,836000,0,0,VILLAGE,Pungamuthur,Rural,304,1038,530,508,94,43,51,229,116,113,0,0,0,649,394,255,389,136,253,762,402,360,704,386,318,368,200,168,268,137,131,16,9,7,52,40,12,58,16,42,21,10,11,34,5,29,0,0,0,3,1,2,276,128,148,2.0
33,13,,836100,0,0,VILLAGE,Kothayam,Rural,1047,3728,1912,1816,313,166,147,891,458,433,0,0,0,2143,1338,805,1585,574,1011,2581,1328,1253,2515,1304,1211,1332,706,626,899,406,493,25,16,9,259,176,83,66,24,42,10,3,7,49,15,34,1,0,1,6,6,0,1147,584,563,2.0
