STATE,DISTRICT,TAHSIL,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,SUB-DISTT
33,13,,0,0,0,TALUK,Palani,Total,67005,266000,133822,132178,29167,14966,14201,70924,35641,35283,962,498,464,165461,94880,70581,100539,38942,61597,129873,81341,48532,119152,76657,42495,20054,12494,7560,45187,22575,22612,3338,1838,1500,50573,39750,10823,10721,4684,6037,806,254,552,6841,2681,4160,555,111,444,2519,1638,881,136127,52481,83646,1.0
33,13,,0,0,0,TALUK,Palani,Rural,37592,144696,72703,71993,15942,8164,7778,40092,20133,19959,187,92,95,83782,49206,34576,60914,23497,37417,80743,46243,34500,72179,42623,29556,18024,10976,7048,30591,14775,15816,2149,1210,939,21415,15662,5753,8564,3620,4944,713,213,500,6192,2451,3741,261,65,196,1398,891,507,63953,26460,37493,1.0
33,13,,0,0,0,TALUK,Palani,Urban,29413,121304,61119,60185,13225,6802,6423,30832,15508,15324,775,406,369,81679,45674,36005,39625,15445,24180,49130,35098,14032,46973,34034,12939,2030,1518,512,14596,7800,6796,1189,628,561,29158,24088,5070,2157,1064,1093,93,41,52,649,230,419,294,46,248,1121,747,374,72174,26021,46153,1.0
33,13,,828800,0,0,VILLAGE,Kottathurai,Rural,919,3335,1638,1697,331,183,148,472,227,245,0,0,0,2034,1185,849,1301,453,848,1858,1038,820,1433,911,522,590,343,247,368,163,205,73,43,30,402,362,40,425,127,298,51,13,38,300,98,202,57,3,54,17,13,4,1477,600,877,1.0
33,13,,828900,0,0,VILLAGE,Mettupatti,Rural,301,1081,544,537,98,49,49,300,156,144,0,0,0,591,360,231,490,184,306,820,421,399,818,421,397,451,252,199,272,127,145,5,2,3,90,40,50,2,0,2,0,0,0,2,0,2,0,0,0,0,0,0,261,123,138,1.0
33,13,,829000,0,0,VILLAGE,Velampatti,Rural,384,1402,715,687,152,79,73,297,153,144,0,0,0,698,442,256,704,273,431,985,522,463,973,519,454,531,268,263,222,99,123,34,15,19,186,137,49,12,3,9,0,0,0,8,1,7,0,0,0,4,2,2,417,193,224,1.0
33,13,,829100,0,0,VILLAGE,Melkaraipatti,Rural,959,3445,1737,1708,335,173,162,820,420,400,0,0,0,2093,1280,813,1352,457,895,2176,1206,970,1850,1120,730,612,410,202,702,347,355,209,85,124,327,278,49,326,86,240,107,24,83,181,44,137,6,1,5,32,17,15,1269,531,738,1.0
33,13,,829200,0,0,VILLAGE,Rajampatti,Rural,900,3266,1633,1633,335,189,146,520,262,258,0,0,0,1497,900,597,1769,733,1036,2218,1153,1065,2017,1087,930,745,404,341,978,475,503,65,46,19,229,162,67,201,66,135,97,40,57,73,19,54,22,2,20,9,5,4,1048,480,568,1.0
33,13,,829300,0,0,VILLAGE,Muthunaickenpatti,Rural,619,2257,1120,1137,253,128,125,631,319,312,0,0,0,1236,747,489,1021,373,648,1341,747,594,1318,745,573,300,189,111,557,225,332,12,8,4,449,323,126,23,2,21,0,0,0,15,1,14,1,0,1,7,1,6,916,373,543,1.0
33,13,,829400,0,0,VILLAGE,Midapadi,Rural,581,2141,1060,1081,226,107,119,448,231,217,0,0,0,1319,768,551,822,292,530,1281,728,553,1016,635,381,293,173,120,234,101,133,26,16,10,463,345,118,265,93,172,20,4,16,212,68,144,5,3,2,28,18,10,860,332,528,1.0
33,13,,829500,0,0,VILLAGE,Pushpathur,Rural,1975,7448,3794,3654,883,459,424,1073,545,528,0,0,0,4540,2667,1873,2908,1127,1781,3997,2522,1475,3833,2463,1370,399,239,160,1152,543,609,48,19,29,2234,1662,572,164,59,105,10,4,6,83,20,63,25,7,18,46,28,18,3451,1272,2179,1.0
33,13,,829600,0,0,VILLAGE,Kolumakondan,Rural,426,1666,847,819,178,86,92,309,153,156,0,0,0,997,625,372,669,222,447,1046,594,452,1042,594,448,314,232,82,458,157,301,151,114,37,119,91,28,4,0,4,0,0,0,4,0,4,0,0,0,0,0,0,620,253,367,1.0
33,13,,829700,0,0,VILLAGE,Kovilammapatti,Rural,265,1019,502,517,130,65,65,240,119,121,0,0,0,507,302,205,512,200,312,399,306,93,399,306,93,167,143,24,154,97,57,3,3,0,75,63,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,620,196,424,1.0
33,13,,829800,0,0,VILLAGE,Korikadavu,Rural,606,2499,1279,1220,267,141,126,1688,847,841,0,0,0,1408,840,568,1091,439,652,1300,702,598,935,517,418,95,60,35,563,245,318,9,7,2,268,205,63,365,185,180,10,4,6,344,173,171,1,1,0,10,7,3,1199,577,622,1.0
