STATE,DISTRICT,TAHSIL,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,SUB-DISTT
33,10,,0,0,0,TALUK,Dharapuram,Total,77871,278783,139509,139274,24751,12575,12176,60575,30357,30218,809,412,397,167586,97784,69802,111197,41725,69472,163103,94304,68799,142983,86412,56571,46821,26939,19882,48138,23904,24234,3971,2182,1789,44053,33387,10666,20120,7892,12228,1752,472,1280,14338,5349,8989,809,250,559,3221,1821,1400,115680,45205,70475,7.0
33,10,,0,0,0,TALUK,Dharapuram,Rural,47523,162321,81578,80743,13982,7277,6705,40595,20483,20112,281,141,140,88186,53935,34251,74135,27643,46492,108798,58071,50727,96773,53790,42983,40998,22958,18040,36954,17705,19249,2980,1617,1363,15841,11510,4331,12025,4281,7744,1288,340,948,9175,3220,5955,492,170,322,1070,551,519,53523,23507,30016,7.0
33,10,,0,0,0,TALUK,Dharapuram,Urban,30348,116462,57931,58531,10769,5298,5471,19980,9874,10106,528,271,257,79400,43849,35551,37062,14082,22980,54305,36233,18072,46210,32622,13588,5823,3981,1842,11184,6199,4985,991,565,426,28212,21877,6335,8095,3611,4484,464,132,332,5163,2129,3034,317,80,237,2151,1270,881,62157,21698,40459,7.0
33,10,,777000,0,0,VILLAGE,Kokkampalayam,Rural,668,2397,1209,1188,225,119,106,494,252,242,6,3,3,1088,644,444,1309,565,744,1793,947,846,1652,931,721,1027,563,464,457,258,199,77,40,37,91,70,21,141,16,125,14,1,13,117,13,104,5,0,5,5,2,3,604,262,342,7.0
33,10,,777100,0,0,VILLAGE,Jothiampatti,Rural,397,1391,681,710,140,65,75,0,0,0,0,0,0,739,420,319,652,261,391,968,508,460,958,504,454,581,298,283,315,158,157,4,0,4,58,48,10,10,4,6,3,0,3,4,1,3,0,0,0,3,3,0,423,173,250,7.0
33,10,,777200,0,0,VILLAGE,Surianallur,Rural,1495,5119,2592,2527,460,223,237,1228,614,614,0,0,0,2806,1700,1106,2313,892,1421,3254,1774,1480,3113,1733,1380,1069,617,452,1300,658,642,62,32,30,682,426,256,141,41,100,44,9,35,19,1,18,12,10,2,66,21,45,1865,818,1047,7.0
33,10,,777300,0,0,VILLAGE,Kolumangali,Rural,549,1823,972,851,116,60,56,336,185,151,0,0,0,1038,663,375,785,309,476,1241,701,540,1229,699,530,626,355,271,392,211,181,37,17,20,174,116,58,12,2,10,4,2,2,7,0,7,1,0,1,0,0,0,582,271,311,7.0
33,10,,777400,0,0,VILLAGE,Sirukinar,Rural,683,2198,1100,1098,183,104,79,361,177,184,0,0,0,1250,789,461,948,311,637,1526,794,732,1468,782,686,756,392,364,416,180,236,20,10,10,276,200,76,58,12,46,5,1,4,26,10,16,1,0,1,26,1,25,672,306,366,7.0
33,10,,777500,0,0,VILLAGE,Ponganthurai,Rural,444,1510,774,736,124,75,49,210,108,102,0,0,0,873,523,350,637,251,386,1033,579,454,791,468,323,634,362,272,56,25,31,19,9,10,82,72,10,242,111,131,5,1,4,186,74,112,42,30,12,9,6,3,477,195,282,7.0
33,10,,777600,0,0,VILLAGE,Mambadi,Rural,756,2670,1351,1319,208,107,101,274,128,146,0,0,0,1558,980,578,1112,371,741,1938,1041,897,1712,984,728,792,484,308,577,278,299,24,11,13,319,211,108,226,57,169,64,17,47,116,19,97,9,0,9,37,21,16,732,310,422,7.0
33,10,,777700,0,0,VILLAGE,Thurambadi,Rural,875,2973,1471,1502,225,110,115,707,351,356,0,0,0,1555,950,605,1418,521,897,1950,1090,860,1927,1083,844,895,471,424,613,309,304,24,15,9,395,288,107,23,7,16,2,0,2,18,6,12,0,0,0,3,1,2,1023,381,642,7.0
33,10,,777800,0,0,VILLAGE,Mulayampoondi,Rural,923,3255,1642,1613,249,129,120,946,480,466,0,0,0,1835,1076,759,1420,566,854,2421,1240,1181,2210,1151,1059,1045,539,506,784,349,435,20,9,11,361,254,107,211,89,122,2,1,1,198,82,116,1,0,1,10,6,4,834,402,432,7.0
33,10,,777900,0,0,VILLAGE,Puduppai,Rural,747,2464,1254,1210,224,126,98,342,176,166,4,2,2,1501,895,606,963,359,604,1661,880,781,1492,804,688,422,225,197,197,88,109,224,102,122,649,389,260,169,76,93,7,2,5,147,66,81,4,3,1,11,5,6,803,374,429,7.0
33,10,,778000,0,0,VILLAGE,Erasinampalayam,Rural,554,1844,951,893,130,77,53,475,237,238,0,0,0,1051,643,408,793,308,485,1309,711,598,1171,689,482,525,315,210,301,146,155,66,49,17,279,179,100,138,22,116,19,3,16,100,15,85,13,2,11,6,2,4,535,240,295,7.0
33,10,,778100,0,0,VILLAGE,Thattaravaluvu,Rural,516,1770,870,900,138,80,58,409,208,201,7,4,3,1058,637,421,712,233,479,1200,624,576,1190,623,567,463,272,191,412,140,272,11,1,10,304,210,94,10,1,9,0,0,0,4,0,4,0,0,0,6,1,5,570,246,324,7.0
33,10,,778200,0,0,VILLAGE,Punjaithalaiyur,Rural,461,1504,735,769,107,58,49,289,140,149,0,0,0,796,474,322,708,261,447,979,540,439,976,539,437,260,156,104,511,223,288,15,6,9,190,154,36,3,1,2,0,0,0,2,1,1,0,0,0,1,0,1,525,195,330,7.0
33,10,,778300,0,0,VILLAGE,Senathypathypalayam,Rural,489,1535,729,806,98,47,51,266,124,142,0,0,0,822,496,326,713,233,480,1067,539,528,1014,524,490,398,213,185,464,211,253,25,6,19,127,94,33,53,15,38,17,5,12,23,4,19,1,1,0,12,5,7,468,190,278,7.0
33,10,,778400,0,0,VILLAGE,Nanjaithalaiyur,Rural,210,717,373,344,42,23,19,0,0,0,0,0,0,489,318,171,228,55,173,362,211,151,150,107,43,79,55,24,2,0,2,1,0,1,68,52,16,212,104,108,8,3,5,190,91,99,1,1,0,13,9,4,355,162,193,7.0
33,10,,778500,0,0,VILLAGE,Sundakkampalayam,Rural,339,1170,608,562,101,54,47,299,166,133,0,0,0,630,414,216,540,194,346,848,423,425,841,419,422,209,106,103,544,245,299,4,1,3,84,67,17,7,4,3,0,0,0,3,1,2,0,0,0,4,3,1,322,185,137,7.0
33,10,,778600,0,0,VILLAGE,Velampoondi,Rural,748,2355,1149,1206,186,94,92,496,260,236,0,0,0,1370,806,564,985,343,642,1568,816,752,1544,809,735,576,297,279,798,389,409,18,11,7,152,112,40,24,7,17,6,1,5,16,6,10,1,0,1,1,0,1,787,333,454,7.0
33,10,,778700,0,0,VILLAGE,Arikkaranvalasu,Rural,815,2530,1239,1291,184,101,83,697,355,342,0,0,0,1492,871,621,1038,368,670,1859,936,923,1759,877,882,670,329,341,801,343,458,32,18,14,256,187,69,100,59,41,5,2,3,66,35,31,5,1,4,24,21,3,671,303,368,7.0
33,10,,778800,0,0,VILLAGE,Edakkalpadi,Rural,330,1066,532,534,83,40,43,92,46,46,0,0,0,646,403,243,420,129,291,692,377,315,629,357,272,320,174,146,115,41,74,30,20,10,164,122,42,63,20,43,1,0,1,59,20,39,0,0,0,3,0,3,374,155,219,7.0
