STATE,DISTRICT,TAHSIL,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,SUB-DISTT
33,10,,0,0,0,TALUK,Gobichettipalayam,Total,100751,361201,181854,179347,34347,17525,16822,60628,30625,30003,1555,793,762,201922,117993,83929,159279,63861,95418,211446,123128,88318,192710,118533,74177,38032,24017,14015,82465,42158,40307,10820,5972,4848,61393,46386,15007,18736,4595,14141,2664,415,2249,11044,2262,8782,1290,168,1122,3738,1750,1988,149755,58726,91029,3.0
33,10,,0,0,0,TALUK,Gobichettipalayam,Rural,59316,207689,105069,102620,19949,10211,9738,40458,20449,20009,1244,626,618,106862,64334,42528,100827,40735,60092,130551,72755,57796,117702,69959,47743,29551,18520,11031,55890,28646,27244,6013,3244,2769,26248,19549,6699,12849,2796,10053,2329,338,1991,7546,1416,6130,830,99,731,2144,943,1201,77138,32314,44824,3.0
33,10,,0,0,0,TALUK,Gobichettipalayam,Urban,41435,153512,76785,76727,14398,7314,7084,20170,10176,9994,311,167,144,95060,53659,41401,58452,23126,35326,80895,50373,30522,75008,48574,26434,8481,5497,2984,26575,13512,13063,4807,2728,2079,35145,26837,8308,5887,1799,4088,335,77,258,3498,846,2652,460,69,391,1594,807,787,72617,26412,46205,3.0
33,10,,750500,0,0,VILLAGE,Pullappanaickenpalayam,Rural,802,2931,1498,1433,297,164,133,448,221,227,114,60,54,1314,770,544,1617,728,889,1762,1024,738,1738,1018,720,191,124,67,1089,576,513,41,15,26,417,303,114,24,6,18,2,1,1,13,2,11,2,0,2,7,3,4,1169,474,695,3.0
33,10,,750600,0,0,VILLAGE,Arrakkankottaigramam,Rural,871,3217,1687,1530,325,169,156,434,235,199,130,67,63,1533,948,585,1684,739,945,2080,1196,884,1801,1158,643,373,253,120,957,530,427,17,8,9,454,367,87,279,38,241,6,2,4,248,18,230,1,0,1,24,18,6,1137,491,646,3.0
33,10,,750700,0,0,VILLAGE,Kongarpalayam,Rural,1640,5956,2934,3022,601,296,305,1323,648,675,205,98,107,2902,1710,1192,3054,1224,1830,4089,2137,1952,3943,2097,1846,973,547,426,2320,1122,1198,80,43,37,570,385,185,146,40,106,27,10,17,100,19,81,3,2,1,16,9,7,1867,797,1070,3.0
33,10,,750800,0,0,VILLAGE,Kavandampalayam,Rural,585,2106,1070,1036,210,91,119,457,230,227,8,5,3,820,496,324,1286,574,712,1351,805,546,1326,800,526,417,290,127,805,435,370,20,11,9,84,64,20,25,5,20,2,0,2,20,4,16,1,0,1,2,1,1,755,265,490,3.0
33,10,,750900,0,0,VILLAGE,Punjaithuraipalayam,Rural,2209,8312,4305,4007,793,402,391,844,402,442,171,87,84,4670,2855,1815,3642,1450,2192,4998,2755,2243,4801,2695,2106,707,428,279,2979,1399,1580,47,26,21,1068,842,226,197,60,137,10,1,9,154,43,111,9,3,6,24,13,11,3314,1550,1764,3.0
33,10,,751000,0,0,VILLAGE,Kondayampalayam,Rural,2042,6988,3477,3511,689,339,350,1031,521,510,0,0,0,3737,2169,1568,3251,1308,1943,4209,2331,1878,4053,2316,1737,384,265,119,2553,1283,1270,213,105,108,903,663,240,156,15,141,11,1,10,102,11,91,17,1,16,26,2,24,2779,1146,1633,3.0
33,10,,751100,0,0,VILLAGE,Kanakampalayam,Rural,1744,6181,3087,3094,633,306,327,1425,717,708,281,129,152,3202,1921,1281,2979,1166,1813,3880,2094,1786,3795,2058,1737,961,519,442,1681,813,868,515,228,287,638,498,140,85,36,49,7,4,3,27,10,17,24,7,17,27,15,12,2301,993,1308,3.0
