STATE,DISTRICT,TAHSIL,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,SUB-DISTT
33,10,,0,0,0,TALUK,Kangeyam,Total,55652,196892,99505,97387,17922,9217,8705,36943,18638,18305,59,29,30,116084,68451,47633,80808,31054,49754,123356,70507,52849,116256,68121,48135,29762,16275,13487,30635,14531,16104,6839,3305,3534,49020,34010,15010,7100,2386,4714,891,302,589,2940,823,2117,767,143,624,2502,1118,1384,73536,28998,44538,6.0
33,10,,0,0,0,TALUK,Kangeyam,Rural,35263,122316,61817,60499,10685,5482,5203,27054,13651,13403,29,13,16,66186,40020,26166,56130,21797,34333,82635,44629,38006,77091,42698,34393,27322,14817,12505,26043,12218,13825,3873,1867,2006,19853,13796,6057,5544,1931,3613,856,288,568,2594,791,1803,577,119,458,1517,733,784,39681,17188,22493,6.0
33,10,,0,0,0,TALUK,Kangeyam,Urban,20389,74576,37688,36888,7237,3735,3502,9889,4987,4902,30,16,14,49898,28431,21467,24678,9257,15421,40721,25878,14843,39165,25423,13742,2440,1458,982,4592,2313,2279,2966,1438,1528,29167,20214,8953,1556,455,1101,35,14,21,346,32,314,190,24,166,985,385,600,33855,11810,22045,6.0
33,10,,773100,0,0,VILLAGE,Kathanganni,Rural,617,2215,1129,1086,214,111,103,548,271,277,0,0,0,1151,722,429,1064,407,657,1531,829,702,1386,806,580,614,327,287,288,109,179,1,0,1,483,370,113,145,23,122,74,7,67,4,0,4,0,0,0,67,16,51,684,300,384,6.0
33,10,,773200,0,0,VILLAGE,Ganapathipalayam,Rural,289,996,505,491,72,39,33,190,95,95,0,0,0,583,372,211,413,133,280,637,375,262,608,372,236,194,164,30,182,94,88,18,8,10,214,106,108,29,3,26,12,2,10,1,0,1,4,0,4,12,1,11,359,130,229,6.0
33,10,,773300,0,0,VILLAGE,Thammareddipalayam,Rural,240,880,436,444,76,38,38,239,114,125,0,0,0,513,307,206,367,129,238,603,306,297,578,302,276,182,97,85,173,75,98,2,0,2,221,130,91,25,4,21,6,2,4,13,1,12,2,0,2,4,1,3,277,130,147,6.0
33,10,,773400,0,0,VILLAGE,Maravapalayam,Rural,835,2782,1418,1364,227,136,91,688,355,333,0,0,0,1497,921,576,1285,497,788,1970,1050,920,1957,1046,911,754,383,371,691,297,394,28,10,18,484,356,128,13,4,9,1,0,1,6,1,5,2,0,2,4,3,1,812,368,444,6.0
33,10,,773500,0,0,VILLAGE,Peranjervali,Rural,918,3361,1715,1646,279,145,134,695,346,349,0,0,0,1604,995,609,1757,720,1037,2392,1267,1125,2355,1251,1104,809,425,384,787,376,411,152,70,82,607,380,227,37,16,21,6,3,3,13,3,10,2,0,2,16,10,6,969,448,521,6.0
33,10,,773600,0,0,VILLAGE,Naalroad,Rural,804,2916,1499,1417,273,147,126,871,457,414,0,0,0,1424,872,552,1492,627,865,1931,1040,891,1633,923,710,554,328,226,715,342,373,57,29,28,307,224,83,298,117,181,55,24,31,156,59,97,31,11,20,56,23,33,985,459,526,6.0
33,10,,773700,0,0,VILLAGE,Marudurai,Rural,670,2318,1178,1140,202,100,102,302,156,146,0,0,0,1260,768,492,1058,410,648,1713,887,826,1427,804,623,686,381,305,404,202,202,183,108,75,154,113,41,286,83,203,72,22,50,121,33,88,59,12,47,34,16,18,605,291,314,6.0
33,10,,773800,0,0,VILLAGE,Nathakadaiyur,Rural,1973,7074,3539,3535,673,340,333,1094,563,531,10,4,6,4523,2609,1914,2551,930,1621,4468,2450,2018,4003,2246,1757,749,424,325,834,380,454,787,370,417,1633,1072,561,465,204,261,31,11,20,240,89,151,80,31,49,114,73,41,2606,1089,1517,6.0
33,10,,773900,0,0,VILLAGE,Mullipuram,Rural,215,767,390,377,78,39,39,214,113,101,0,0,0,215,130,85,552,260,292,511,273,238,510,273,237,187,91,96,303,168,135,0,0,0,20,14,6,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,256,117,139,6.0
