STATE,DISTRICT,TAHSIL,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,SUB-DISTT
33,10,,0,0,0,TALUK,Perundurai,Total,89763,326782,165959,160823,32024,16643,15381,53160,26997,26163,38,21,17,190916,113343,77573,135866,52616,83250,187708,113070,74638,176339,109073,67266,34533,20052,14481,40393,20230,20163,11881,6177,5704,89532,62614,26918,11369,3997,7372,939,316,623,5628,1685,3943,885,133,752,3917,1863,2054,139074,52889,86185,4.0
33,10,,0,0,0,TALUK,Perundurai,Rural,56489,203836,104132,99704,20039,10351,9688,39559,20119,19440,12,9,3,111454,68258,43196,92382,35874,56508,122213,71974,50239,114490,69356,45134,27738,16134,11604,30881,15481,15400,7658,4230,3428,48213,33511,14702,7723,2618,5105,843,286,557,3884,1106,2778,558,78,480,2438,1148,1290,81623,32158,49465,4.0
33,10,,0,0,0,TALUK,Perundurai,Urban,33274,122946,61827,61119,11985,6292,5693,13601,6878,6723,26,12,14,79462,45085,34377,43484,16742,26742,65495,41096,24399,61849,39717,22132,6795,3918,2877,9512,4749,4763,4223,1947,2276,41319,29103,12216,3646,1379,2267,96,30,66,1744,579,1165,327,55,272,1479,715,764,57451,20731,36720,4.0
33,10,,756500,0,0,VILLAGE,Pudupalayam,Rural,340,1144,568,576,112,60,52,205,113,92,0,0,0,555,350,205,589,218,371,784,406,378,783,405,378,185,91,94,227,100,127,169,66,103,202,148,54,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,360,162,198,4.0
33,10,,756600,0,0,VILLAGE,Mettupalayam,Rural,139,503,253,250,43,25,18,0,0,0,0,0,0,282,176,106,221,77,144,320,170,150,317,168,149,201,107,94,51,22,29,4,2,2,61,37,24,3,2,1,0,0,0,2,1,1,0,0,0,1,1,0,183,83,100,4.0
33,10,,756700,0,0,VILLAGE,Nalligoundanpalayam,Rural,250,930,474,456,91,48,43,402,206,196,0,0,0,458,287,171,472,187,285,677,359,318,676,359,317,128,85,43,359,152,207,60,15,45,129,107,22,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,253,115,138,4.0
33,10,,756800,0,0,VILLAGE,Komaragoundanpalayam,Rural,159,624,315,309,55,29,26,115,58,57,0,0,0,332,192,140,292,123,169,413,245,168,410,245,165,131,91,40,174,77,97,13,2,11,92,75,17,3,0,3,1,0,1,1,0,1,0,0,0,1,0,1,211,70,141,4.0
33,10,,756900,0,0,VILLAGE,Kurichi,Rural,233,803,426,377,69,36,33,199,106,93,0,0,0,320,212,108,483,214,269,547,303,244,508,293,215,239,131,108,164,78,86,3,2,1,102,82,20,39,10,29,3,1,2,12,2,10,0,0,0,24,7,17,256,123,133,4.0
33,10,,757000,0,0,VILLAGE,Nettichipalayam,Rural,157,524,262,262,51,31,20,76,42,34,0,0,0,251,145,106,273,117,156,220,165,55,217,164,53,15,14,1,88,54,34,24,19,5,90,77,13,3,1,2,0,0,0,1,0,1,2,1,1,0,0,0,304,97,207,4.0
33,10,,757100,0,0,VILLAGE,Setti Kuttai,Rural,201,669,346,323,71,37,34,95,49,46,0,0,0,297,173,124,372,173,199,345,249,96,317,247,70,67,67,0,137,91,46,2,1,1,111,88,23,28,2,26,0,0,0,9,0,9,9,0,9,10,2,8,324,97,227,4.0
33,10,,757200,0,0,VILLAGE,Valayapalayam,Rural,218,747,387,360,58,31,27,54,29,25,0,0,0,433,269,164,314,118,196,520,282,238,147,134,13,52,51,1,19,11,8,1,1,0,75,71,4,373,148,225,44,40,4,245,64,181,35,1,34,49,43,6,227,105,122,4.0
33,10,,757300,0,0,VILLAGE,Ganapathipalayam,Rural,236,836,416,420,77,34,43,178,95,83,0,0,0,368,213,155,468,203,265,522,310,212,515,307,208,191,113,78,213,105,108,0,0,0,111,89,22,7,3,4,2,1,1,4,2,2,0,0,0,1,0,1,314,106,208,4.0
33,10,,757400,0,0,VILLAGE,Thoranavavi,Rural,618,2151,1091,1060,163,90,73,330,163,167,0,0,0,1055,611,444,1096,480,616,1477,833,644,1455,827,628,760,427,333,474,259,215,25,13,12,196,128,68,22,6,16,3,0,3,9,2,7,1,0,1,9,4,5,674,258,416,4.0
33,10,,757500,0,0,VILLAGE,Madathupalayam,Rural,228,733,374,359,55,27,28,227,124,103,0,0,0,395,243,152,338,131,207,331,243,88,324,242,82,24,20,4,98,58,40,5,5,0,197,159,38,7,1,6,0,0,0,6,1,5,0,0,0,1,0,1,402,131,271,4.0
33,10,,757600,0,0,VILLAGE,Vettaiankinar,Rural,399,1452,737,715,109,61,48,12,4,8,0,0,0,751,458,293,701,279,422,1115,563,552,1023,530,493,449,224,225,396,196,200,39,14,25,139,96,43,92,33,59,8,4,4,32,11,21,26,4,22,26,14,12,337,174,163,4.0
33,10,,757700,0,0,VILLAGE,Sungakarampalayam,Rural,52,190,98,92,18,8,10,0,0,0,0,0,0,93,60,33,97,38,59,140,70,70,127,69,58,85,52,33,8,5,3,15,2,13,19,10,9,13,1,12,0,0,0,0,0,0,12,1,11,1,0,1,50,28,22,4.0
33,10,,757800,0,0,VILLAGE,Thingalur,Rural,1198,4262,2119,2143,421,201,220,784,381,403,0,0,0,2429,1427,1002,1833,692,1141,2352,1448,904,1977,1254,723,349,232,117,440,178,262,56,15,41,1132,829,303,375,194,181,8,3,5,113,53,60,10,2,8,244,136,108,1910,671,1239,4.0
33,10,,757900,0,0,VILLAGE,Karukkapalayam,Rural,478,1634,862,772,119,63,56,336,173,163,0,0,0,797,493,304,837,369,468,1187,668,519,1083,632,451,344,186,158,547,302,245,9,3,6,183,141,42,104,36,68,5,2,3,13,4,9,15,3,12,71,27,44,447,194,253,4.0
