STATE,DISTRICT,TAHSIL,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,SUB-DISTT
33,3,,0,0,0,TALUK,Tambaram,Total,226720,979085,500575,478510,109031,55662,53369,133959,67471,66488,4152,2092,2060,757921,409709,348212,221164,90866,130298,333969,267218,66751,303465,246284,57181,3653,2315,1338,3290,2366,924,5005,3039,1966,291517,238564,52953,30504,20934,9570,795,350,445,1411,925,486,883,369,514,27415,19290,8125,645116,233357,411759,2.0
33,3,,0,0,0,TALUK,Tambaram,Rural,16181,71821,36940,34881,8928,4589,4339,12351,6213,6138,441,232,209,50167,27995,22172,21654,8945,12709,23024,19061,3963,19742,16603,3139,1167,894,273,1353,998,355,383,257,126,16839,14454,2385,3282,2458,824,287,162,125,623,422,201,77,36,41,2295,1838,457,48797,17879,30918,2.0
33,3,,0,0,0,TALUK,Tambaram,Urban,210539,907264,463635,443629,100103,51073,49030,121608,61258,60350,3711,1860,1851,707754,381714,326040,199510,81921,117589,310945,248157,62788,283723,229681,54042,2486,1421,1065,1937,1368,569,4622,2782,1840,274678,224110,50568,27222,18476,8746,508,188,320,788,503,285,806,333,473,25120,17452,7668,596319,215478,380841,2.0
33,3,,81700,0,0,VILLAGE,Cowl Bazaar ,Rural,265,1270,635,635,142,74,68,5,4,1,0,0,0,960,515,445,310,120,190,447,351,96,442,348,94,93,82,11,46,37,9,18,6,12,285,223,62,5,3,2,2,2,0,2,1,1,0,0,0,1,0,1,823,284,539,2.0
33,3,,81800,0,0,VILLAGE,Kadaperi ,Rural,470,2220,1119,1101,152,79,73,399,200,199,13,7,6,1949,1019,930,271,100,171,625,544,81,577,508,69,9,7,2,1,0,1,0,0,0,567,501,66,48,36,12,6,5,1,0,0,0,0,0,0,42,31,11,1595,575,1020,2.0
33,3,,81900,0,0,VILLAGE,Nanmangalam,Rural,745,3323,1707,1616,431,204,227,69,33,36,0,0,0,2418,1360,1058,905,347,558,1043,878,165,1014,860,154,164,133,31,29,21,8,50,38,12,771,668,103,29,18,11,12,7,5,3,1,2,4,2,2,10,8,2,2280,829,1451,2.0
33,3,,82000,0,0,VILLAGE,Koilambakkam,Rural,2145,9277,4746,4531,1294,682,612,699,368,331,10,6,4,5792,3226,2566,3485,1520,1965,3100,2600,500,2809,2390,419,155,124,31,41,27,14,45,31,14,2568,2208,360,291,210,81,78,61,17,63,45,18,12,8,4,138,96,42,6177,2146,4031,2.0
33,3,,82100,0,0,VILLAGE,Medavakkam,Rural,1918,8444,4357,4087,1150,603,547,870,450,420,118,67,51,5882,3289,2593,2562,1068,1494,2812,2342,470,2558,2185,373,142,114,28,62,47,15,56,38,18,2298,1986,312,254,157,97,50,15,35,13,7,6,11,4,7,180,131,49,5632,2015,3617,2.0
33,3,,82200,0,0,VILLAGE,Karapakkam,Rural,937,3795,1962,1833,454,216,238,499,247,252,0,0,0,2741,1557,1184,1054,405,649,1247,1065,182,1161,1000,161,43,38,5,99,77,22,37,16,21,982,869,113,86,65,21,9,6,3,11,9,2,2,1,1,64,49,15,2548,897,1651,2.0
33,3,,82300,0,0,VILLAGE,Perumbakkam,Rural,589,2630,1299,1331,365,178,187,1270,622,648,0,0,0,1759,955,804,871,344,527,864,707,157,472,421,51,25,23,2,16,15,1,9,7,2,422,376,46,392,286,106,0,0,0,196,133,63,5,1,4,191,152,39,1766,592,1174,2.0
33,3,,82400,0,0,VILLAGE,Vengavasal,Rural,2003,8892,4503,4389,1004,527,477,2457,1191,1266,0,0,0,6891,3688,3203,2001,815,1186,2855,2269,586,2587,2090,497,57,36,21,272,207,65,42,25,17,2216,1822,394,268,179,89,21,11,10,58,34,24,18,5,13,171,129,42,6037,2234,3803,2.0
33,3,,82500,0,0,VILLAGE,Tiruvancheri,Rural,151,638,321,317,90,49,41,114,57,57,0,0,0,451,245,206,187,76,111,215,174,41,197,171,26,10,7,3,4,4,0,1,1,0,182,159,23,18,3,15,16,3,13,0,0,0,0,0,0,2,0,2,423,147,276,2.0
33,3,,82600,0,0,VILLAGE,Mudichur,Rural,818,3673,1896,1777,413,213,200,727,357,370,11,7,4,2771,1526,1245,902,370,532,1175,958,217,1128,919,209,59,41,18,68,42,26,61,56,5,940,780,160,47,39,8,2,1,1,2,2,0,2,0,2,41,36,5,2498,938,1560,2.0
33,3,,82700,0,0,VILLAGE,Kasbapuram,Rural,130,603,297,306,83,49,34,0,0,0,0,0,0,357,202,155,246,95,151,192,163,29,153,141,12,33,33,0,11,9,2,1,1,0,108,98,10,39,22,17,0,0,0,10,1,9,0,0,0,29,21,8,411,134,277,2.0
33,3,,82800,0,0,VILLAGE,Vengapakkam,Rural,246,1142,594,548,164,95,69,1030,540,490,0,0,0,653,399,254,489,195,294,378,312,66,347,291,56,3,3,0,36,26,10,0,0,0,308,262,46,31,21,10,0,0,0,8,2,6,0,0,0,23,19,4,764,282,482,2.0
33,3,,82900,0,0,VILLAGE,Agaramthen,Rural,258,1222,627,595,153,77,76,690,352,338,22,10,12,603,343,260,619,284,335,301,271,30,245,223,22,23,21,2,7,7,0,1,0,1,214,195,19,56,48,8,3,3,0,33,27,6,0,0,0,20,18,2,921,356,565,2.0
33,3,,83000,0,0,VILLAGE,Kovilancheri,Rural,121,572,297,275,69,34,35,25,12,13,0,0,0,342,200,142,230,97,133,188,152,36,172,140,32,28,25,3,75,53,22,2,1,1,67,61,6,16,12,4,1,1,0,4,0,4,2,2,0,9,9,0,384,145,239,2.0
33,3,,83100,0,0,VILLAGE,Madurapakkam,Rural,171,727,357,370,87,39,48,4,3,1,37,16,21,505,278,227,222,79,143,259,190,69,224,180,44,7,5,2,79,53,26,3,2,1,135,120,15,35,10,25,0,0,0,13,3,10,0,0,0,22,7,15,468,167,301,2.0
33,3,,83200,0,0,VILLAGE,Sittalapakkam,Rural,743,3298,1669,1629,459,238,221,1224,625,599,97,50,47,2053,1133,920,1245,536,709,1172,902,270,940,754,186,27,22,5,333,236,97,3,3,0,577,493,84,232,148,84,17,8,9,93,60,33,7,3,4,115,77,38,2126,767,1359,2.0
33,3,,83300,0,0,VILLAGE,Moolacheri,Rural,179,770,394,376,114,62,52,80,42,38,86,45,41,426,241,185,344,153,191,312,215,97,280,196,84,102,59,43,7,6,1,3,2,1,168,129,39,32,19,13,15,6,9,0,0,0,2,1,1,15,12,3,458,179,279,2.0
33,3,,83400,0,0,VILLAGE,Ottiambakkam,Rural,203,811,402,409,119,55,64,118,71,47,6,2,4,592,320,272,219,82,137,305,223,82,300,222,78,14,9,5,33,19,14,14,8,6,239,186,53,5,1,4,1,0,1,0,0,0,1,1,0,3,0,3,506,179,327,2.0
33,3,,83500,0,0,VILLAGE,Arasankalani,Rural,119,527,264,263,70,37,33,330,158,172,0,0,0,332,184,148,195,80,115,141,127,14,69,64,5,3,3,0,0,0,0,0,0,0,66,61,5,72,63,9,4,4,0,24,21,3,1,1,0,43,37,6,386,137,249,2.0
33,3,,83600,0,0,VILLAGE,Semmanjeri,Rural,600,2564,1323,1241,351,183,168,31,9,22,8,4,4,1696,990,706,868,333,535,841,720,121,442,398,44,38,36,2,72,64,8,5,4,1,327,294,33,399,322,77,22,15,7,56,47,9,8,5,3,313,255,58,1723,603,1120,2.0
33,3,,83700,0,0,VILLAGE,Uthandi,Rural,3370,15423,8171,7252,1764,895,869,1710,872,838,33,18,15,10994,6325,4669,4429,1846,2583,4552,3898,654,3625,3102,523,132,73,59,62,48,14,32,18,14,3399,2963,436,927,796,131,28,14,14,34,29,5,2,2,0,863,751,112,10871,4273,6598,2.0
33,3,,40306000,0,0,TOWN,Nandambakkam (TP),Urban,2312,9343,4752,4591,945,473,472,1273,653,620,55,25,30,7405,3982,3423,1938,770,1168,3557,2687,870,3181,2441,740,38,8,30,4,3,1,58,23,35,3081,2407,674,376,246,130,21,3,18,4,3,1,21,11,10,330,229,101,5786,2065,3721,2.0
33,3,,40306000,1,0,WARD,Nandambakkam (TP) - Ward No.1,Urban,88,428,212,216,39,22,17,9,2,7,0,0,0,321,176,145,107,36,71,169,125,44,136,119,17,3,2,1,0,0,0,0,0,0,133,117,16,33,6,27,8,1,7,0,0,0,0,0,0,25,5,20,259,87,172,2.0
33,3,,40306000,2,0,WARD,Nandambakkam (TP) - Ward No.2,Urban,171,714,372,342,73,46,27,18,11,7,0,0,0,578,307,271,136,65,71,258,212,46,102,72,30,15,3,12,0,0,0,12,10,2,75,59,16,156,140,16,0,0,0,2,1,1,15,11,4,139,128,11,456,160,296,2.0
33,3,,40306000,3,0,WARD,Nandambakkam (TP) - Ward No.3,Urban,182,731,350,381,93,43,50,45,23,22,0,0,0,561,291,270,170,59,111,262,208,54,261,208,53,0,0,0,2,1,1,1,0,1,258,207,51,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,469,142,327,2.0
33,3,,40306000,4,0,WARD,Nandambakkam (TP) - Ward No.4,Urban,190,792,420,372,75,39,36,97,60,37,0,0,0,603,345,258,189,75,114,246,216,30,231,204,27,0,0,0,0,0,0,0,0,0,231,204,27,15,12,3,0,0,0,0,0,0,0,0,0,15,12,3,546,204,342,2.0
33,3,,40306000,5,0,WARD,Nandambakkam (TP) - Ward No.5,Urban,83,363,183,180,39,17,22,36,20,16,3,1,2,275,152,123,88,31,57,143,116,27,142,115,27,0,0,0,0,0,0,0,0,0,142,115,27,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,220,67,153,2.0
33,3,,40306000,6,0,WARD,Nandambakkam (TP) - Ward No.6,Urban,139,577,296,281,71,27,44,57,30,27,0,0,0,385,237,148,192,59,133,287,196,91,281,195,86,0,0,0,0,0,0,16,4,12,265,191,74,6,1,5,0,0,0,0,0,0,2,0,2,4,1,3,290,100,190,2.0
