STATE,DISTRICT,TAHSIL,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,SUB-DISTT
33,3,,0,0,0,TALUK,Uthiramerur,Total,31231,136865,68734,68131,15866,8091,7775,42829,21678,21151,2214,1129,1085,79298,46252,33046,57567,22482,35085,67211,39549,27662,50797,33198,17599,18476,12788,5688,20663,11305,9358,1493,1148,345,10165,7957,2208,16414,6351,10063,1251,592,659,13652,4874,8778,306,94,212,1205,791,414,69654,29185,40469,5.0
33,3,,0,0,0,TALUK,Uthiramerur,Rural,25996,113209,56832,56377,13256,6723,6533,39614,19989,19625,2119,1073,1046,63585,37363,26222,49624,19469,30155,57218,33164,24054,42821,27760,15061,16847,11612,5235,17683,9709,7974,1343,1053,290,6948,5386,1562,14397,5404,8993,1164,556,608,12035,4182,7853,283,85,198,915,581,334,55991,23668,32323,5.0
33,3,,0,0,0,TALUK,Uthiramerur,Urban,5235,23656,11902,11754,2610,1368,1242,3215,1689,1526,95,56,39,15713,8889,6824,7943,3013,4930,9993,6385,3608,7976,5438,2538,1629,1176,453,2980,1596,1384,150,95,55,3217,2571,646,2017,947,1070,87,36,51,1617,692,925,23,9,14,290,210,80,13663,5517,8146,5.0
33,3,,120100,0,0,VILLAGE,Sethupattu,Rural,171,772,376,396,97,51,46,216,106,110,0,0,0,454,267,187,318,109,209,400,216,184,183,178,5,47,47,0,90,86,4,4,4,0,42,41,1,217,38,179,2,1,1,187,34,153,3,0,3,25,3,22,372,160,212,5.0
33,3,,120200,0,0,VILLAGE,Perunagar,Rural,1111,4931,2510,2421,612,337,275,1830,939,891,114,50,64,2805,1647,1158,2126,863,1263,2673,1543,1130,1929,1232,697,218,150,68,845,463,382,183,110,73,683,509,174,744,311,433,38,11,27,584,241,343,35,14,21,87,45,42,2258,967,1291,5.0
33,3,,120300,0,0,VILLAGE,Hanumanthandalam,Rural,287,1182,571,611,129,63,66,265,125,140,30,14,16,668,414,254,514,157,357,508,323,185,485,315,170,225,160,65,173,86,87,13,11,2,74,58,16,23,8,15,12,3,9,5,1,4,2,1,1,4,3,1,674,248,426,5.0
33,3,,120400,0,0,VILLAGE,Melpakkam,Rural,131,524,243,281,55,25,30,59,28,31,20,9,11,235,128,107,289,115,174,304,155,149,304,155,149,133,78,55,95,40,55,1,1,0,75,36,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,88,132,5.0
33,3,,120500,0,0,VILLAGE,Silambakkam,Rural,86,403,209,194,44,26,18,0,0,0,0,0,0,176,111,65,227,98,129,206,105,101,204,104,100,135,71,64,65,31,34,0,0,0,4,2,2,2,1,1,1,1,0,1,0,1,0,0,0,0,0,0,197,104,93,5.0
33,3,,120600,0,0,VILLAGE,Vengaram,Rural,36,159,85,74,15,9,6,59,33,26,0,0,0,85,55,30,74,30,44,83,56,27,83,56,27,47,30,17,19,12,7,1,1,0,16,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,29,47,5.0
33,3,,120700,0,0,VILLAGE,Ozhugarai,Rural,295,1267,642,625,153,81,72,466,247,219,0,0,0,675,408,267,592,234,358,731,389,342,250,146,104,197,122,75,33,10,23,0,0,0,20,14,6,481,243,238,72,57,15,403,180,223,0,0,0,6,6,0,536,253,283,5.0
33,3,,120800,0,0,VILLAGE,Karuveppampoondi,Rural,326,1444,723,721,172,89,83,701,361,340,0,0,0,809,480,329,635,243,392,719,417,302,626,379,247,190,145,45,351,158,193,1,0,1,84,76,8,93,38,55,4,3,1,84,31,53,0,0,0,5,4,1,725,306,419,5.0
33,3,,120900,0,0,VILLAGE,Vengacheri,Rural,162,709,352,357,92,54,38,6,3,3,40,17,23,399,230,169,310,122,188,396,229,167,341,198,143,141,90,51,51,14,37,3,3,0,146,91,55,55,31,24,16,13,3,12,2,10,0,0,0,27,16,11,313,123,190,5.0
33,3,,121000,0,0,VILLAGE,Kannikulam,Rural,147,638,327,311,73,43,30,359,177,182,9,6,3,394,229,165,244,98,146,233,181,52,229,179,50,51,46,5,136,98,38,2,2,0,40,33,7,4,2,2,0,0,0,4,2,2,0,0,0,0,0,0,405,146,259,5.0
33,3,,121100,0,0,VILLAGE,Adavapakkam,Rural,165,697,357,340,84,37,47,412,212,200,14,8,6,247,154,93,450,203,247,497,250,247,493,250,243,119,61,58,368,183,185,0,0,0,6,6,0,4,0,4,0,0,0,4,0,4,0,0,0,0,0,0,200,107,93,5.0
33,3,,121200,0,0,VILLAGE,Irumaram,Rural,44,202,97,105,37,17,20,202,97,105,0,0,0,74,44,30,128,53,75,52,49,3,3,2,1,0,0,0,0,0,0,0,0,0,3,2,1,49,47,2,33,33,0,15,13,2,0,0,0,1,1,0,150,48,102,5.0
33,3,,121300,0,0,VILLAGE,Sembulam,Rural,38,157,76,81,8,5,3,49,20,29,0,0,0,86,52,34,71,24,47,119,57,62,119,57,62,43,19,24,71,36,35,0,0,0,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,19,19,5.0
33,3,,121400,0,0,VILLAGE,Kavampair,Rural,144,616,322,294,52,22,30,310,163,147,21,11,10,254,166,88,362,156,206,436,228,208,436,228,208,124,67,57,303,154,149,0,0,0,9,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,94,86,5.0
33,3,,121500,0,0,VILLAGE,Neyyadivakkam,Rural,300,1286,643,643,142,81,61,621,290,331,43,22,21,727,421,306,559,222,337,408,291,117,212,132,80,44,31,13,101,50,51,1,1,0,66,50,16,196,159,37,114,104,10,47,28,19,3,1,2,32,26,6,878,352,526,5.0
33,3,,121600,0,0,VILLAGE,Vayalakkavoor,Rural,309,1329,656,673,199,98,101,701,357,344,0,0,0,664,403,261,665,253,412,680,371,309,550,364,186,179,136,43,305,173,132,10,10,0,56,45,11,130,7,123,0,0,0,130,7,123,0,0,0,0,0,0,649,285,364,5.0
33,3,,121700,0,0,VILLAGE,Pullampakkam,Rural,172,789,387,402,99,63,36,562,278,284,20,11,9,281,158,123,508,229,279,411,208,203,93,89,4,83,81,2,4,4,0,3,1,2,3,3,0,318,119,199,1,1,0,301,112,189,5,0,5,11,6,5,378,179,199,5.0
