STATE,DISTRICT,TAHSIL,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,SUB-DISTT
33,30,,0,0,0,TALUK,Thovala,Total,27290,110719,55057,55662,11609,5926,5683,12381,6188,6193,690,360,330,85132,44101,41031,25587,10956,14631,39075,30245,8830,32955,26470,6485,1649,1492,157,9955,7895,2060,1355,587,768,19996,16496,3500,6120,3775,2345,150,101,49,3442,2114,1328,644,185,459,1884,1375,509,71644,24812,46832,3.0
33,30,,0,0,0,TALUK,Thovala,Rural,13838,56014,27813,28201,5858,2983,2875,6831,3370,3461,589,310,279,43067,22241,20826,12947,5572,7375,20206,15159,5047,16896,13230,3666,1142,1028,114,5841,4570,1271,824,337,487,9089,7295,1794,3310,1929,1381,107,72,35,1879,1091,788,471,140,331,853,626,227,35808,12654,23154,3.0
33,30,,0,0,0,TALUK,Thovala,Urban,13452,54705,27244,27461,5751,2943,2808,5550,2818,2732,101,50,51,42065,21860,20205,12640,5384,7256,18869,15086,3783,16059,13240,2819,507,464,43,4114,3325,789,531,250,281,10907,9201,1706,2810,1846,964,43,29,14,1563,1023,540,173,45,128,1031,749,282,35836,12158,23678,3.0
33,30,,1628000,0,0,VILLAGE,Veerapuli R.F.,Rural,72,240,121,119,33,18,15,0,0,0,223,113,110,140,74,66,100,47,53,142,86,56,14,7,7,1,0,1,1,1,0,0,0,0,12,6,6,128,79,49,0,0,0,128,79,49,0,0,0,0,0,0,98,35,63,3.0
33,30,,1628500,0,0,VILLAGE,Ananthapuram ,Rural,1194,4635,2349,2286,452,231,221,380,193,187,0,0,0,3711,1944,1767,924,405,519,1929,1461,468,1887,1451,436,152,142,10,1131,790,341,26,15,11,578,504,74,42,10,32,1,0,1,33,7,26,3,0,3,5,3,2,2706,888,1818,3.0
33,30,,1628600,0,0,VILLAGE,Azhagiapandipuram  ,Rural,744,2807,1407,1400,311,165,146,273,136,137,0,0,0,1993,1037,956,814,370,444,1101,778,323,958,735,223,24,22,2,738,575,163,21,9,12,175,129,46,143,43,100,4,0,4,112,26,86,3,0,3,24,17,7,1706,629,1077,3.0
33,30,,1628700,0,0,VILLAGE,Derisanamcope ,Rural,1369,5349,2639,2710,578,277,301,804,376,428,0,0,0,4086,2110,1976,1263,529,734,1873,1496,377,1608,1361,247,133,124,9,793,668,125,37,19,18,645,550,95,265,135,130,7,1,6,191,103,88,11,1,10,56,30,26,3476,1143,2333,3.0
33,30,,1628800,0,0,VILLAGE,Arumanalloor  ,Rural,2185,9200,4522,4678,966,492,474,395,191,204,251,129,122,6761,3480,3281,2439,1042,1397,3268,2458,810,3066,2390,676,73,63,10,990,888,102,21,11,10,1982,1428,554,202,68,134,7,6,1,131,41,90,19,0,19,45,21,24,5932,2064,3868,3.0
33,30,,1629000,0,0,VILLAGE,Chiramadam,Rural,354,1302,671,631,107,59,48,1,1,0,0,0,0,1065,556,509,237,115,122,430,370,60,407,367,40,68,64,4,174,154,20,5,5,0,160,144,16,23,3,20,6,1,5,12,0,12,0,0,0,5,2,3,872,301,571,3.0
33,30,,1629100,0,0,VILLAGE,Esanthimangalam  ,Rural,547,2112,1023,1089,232,107,125,255,127,128,0,0,0,1550,786,764,562,237,325,806,574,232,773,567,206,9,9,0,414,290,124,21,8,13,329,260,69,33,7,26,2,0,2,16,3,13,5,1,4,10,3,7,1306,449,857,3.0
