STATE,DISTRICT,TAHSIL,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,SUB-DISTT
33,14,,0,0,0,TALUK,Karur,Total,98891,373528,186707,186821,38843,20166,18677,66749,33056,33693,249,131,118,249695,141873,107822,123833,44834,78999,185181,118662,66519,164885,111504,53381,19744,11865,7879,31911,14610,17301,7662,3762,3900,105568,81267,24301,20296,7158,13138,958,350,608,11621,3532,8089,1583,178,1405,6134,3098,3036,188347,68045,120302,2.0
33,14,,0,0,0,TALUK,Karur,Rural,44242,162698,80714,81984,16838,8779,8059,37422,18507,18915,181,94,87,97210,57244,39966,65488,23470,42018,91651,52856,38795,78579,48256,30323,16072,9450,6622,22253,9700,12553,3403,1628,1775,36851,27478,9373,13072,4600,8472,881,330,551,9308,2919,6389,533,67,466,2350,1284,1066,71047,27858,43189,2.0
33,14,,0,0,0,TALUK,Karur,Urban,54649,210830,105993,104837,22005,11387,10618,29327,14549,14778,68,37,31,152485,84629,67856,58345,21364,36981,93530,65806,27724,86306,63248,23058,3672,2415,1257,9658,4910,4748,4259,2134,2125,68717,53789,14928,7224,2558,4666,77,20,57,2313,613,1700,1050,111,939,3784,1814,1970,117300,40187,77113,2.0
33,14,,871400,0,0,VILLAGE,Vettamangalam (west),Rural,1341,4430,2161,2269,439,228,211,740,352,388,0,0,0,2600,1546,1054,1830,615,1215,2806,1473,1333,2705,1436,1269,569,328,241,1103,441,662,111,47,64,922,620,302,101,37,64,7,3,4,48,6,42,4,0,4,42,28,14,1624,688,936,2.0
33,14,,871500,0,0,VILLAGE,Vettamangalam (East),Rural,1060,3593,1773,1820,321,170,151,626,304,322,0,0,0,1960,1214,746,1633,559,1074,2325,1216,1109,1921,1033,888,913,500,413,472,181,291,52,30,22,484,322,162,404,183,221,3,1,2,358,147,211,3,2,1,40,33,7,1268,557,711,2.0
33,14,,871600,0,0,VILLAGE,Kombupalayam,Rural,507,1715,867,848,118,56,62,215,124,91,0,0,0,1192,720,472,523,147,376,1007,525,482,998,523,475,275,140,135,512,216,296,3,0,3,208,167,41,9,2,7,1,1,0,8,1,7,0,0,0,0,0,0,708,342,366,2.0
33,14,,871700,0,0,VILLAGE,Thirukkattuthurai,Rural,864,2979,1465,1514,249,122,127,407,209,198,0,0,0,1951,1110,841,1028,355,673,1715,973,742,1412,808,604,250,179,71,693,302,391,36,12,24,433,315,118,303,165,138,1,1,0,222,101,121,7,1,6,73,62,11,1264,492,772,2.0
33,14,,871800,0,0,VILLAGE,Nanjaipugalur,Rural,672,2573,1235,1338,254,131,123,257,118,139,0,0,0,1718,964,754,855,271,584,1340,786,554,1334,784,550,56,39,17,779,383,396,70,23,47,429,339,90,6,2,4,0,0,0,1,0,1,3,1,2,2,1,1,1233,449,784,2.0
33,14,,871900,0,0,VILLAGE,N.Kadambankurichi,Rural,151,568,290,278,68,29,39,55,27,28,0,0,0,443,247,196,125,43,82,231,177,54,229,177,52,5,4,1,11,8,3,3,2,1,210,163,47,2,0,2,0,0,0,2,0,2,0,0,0,0,0,0,337,113,224,2.0
33,14,,872000,0,0,VILLAGE,P.Kadambankurichi,Rural,1061,3749,1898,1851,363,200,163,704,365,339,0,0,0,2044,1285,759,1705,613,1092,2389,1267,1122,1928,1108,820,582,309,273,791,324,467,93,61,32,462,414,48,461,159,302,76,18,58,333,111,222,11,3,8,41,27,14,1360,631,729,2.0
33,14,,872100,0,0,VILLAGE,Nanniyur,Rural,1290,4618,2266,2352,451,224,227,878,427,451,1,0,1,2560,1561,999,2058,705,1353,2843,1523,1320,2604,1440,1164,617,351,266,1310,563,747,67,29,38,610,497,113,239,83,156,4,2,2,209,68,141,10,3,7,16,10,6,1775,743,1032,2.0
33,14,,872200,0,0,VILLAGE,Kuppuchipalayam,Rural,2143,8172,4066,4106,852,460,392,2224,1100,1124,54,30,24,4755,2823,1932,3417,1243,2174,4430,2575,1855,4157,2498,1659,685,421,264,1797,823,974,175,122,53,1500,1132,368,273,77,196,2,1,1,239,66,173,9,0,9,23,10,13,3742,1491,2251,2.0
33,14,,872300,0,0,VILLAGE,Vangal,Rural,192,712,352,360,86,41,45,5,3,2,0,0,0,458,260,198,254,92,162,353,204,149,347,202,145,13,11,2,200,87,113,9,3,6,125,101,24,6,2,4,1,1,0,5,1,4,0,0,0,0,0,0,359,148,211,2.0
33,14,,872400,0,0,VILLAGE,Nerur North,Rural,1721,5904,2832,3072,589,283,306,2900,1386,1514,15,7,8,3490,2068,1422,2414,764,1650,3391,1824,1567,3302,1800,1502,474,319,155,1886,786,1100,38,22,16,904,673,231,89,24,65,3,0,3,60,9,51,8,1,7,18,14,4,2513,1008,1505,2.0
33,14,,872500,0,0,VILLAGE,Nerur South,Rural,1305,4703,2330,2373,468,232,236,591,289,302,0,0,0,3040,1774,1266,1663,556,1107,2842,1552,1290,2620,1478,1142,296,187,109,1412,700,712,186,30,156,726,561,165,222,74,148,28,8,20,98,30,68,14,3,11,82,33,49,1861,778,1083,2.0
33,14,,872600,0,0,VILLAGE,Achamapuram,Rural,370,1305,610,695,127,72,55,50,23,27,0,0,0,811,430,381,494,180,314,732,394,338,696,392,304,49,40,9,421,202,219,15,6,9,211,144,67,36,2,34,24,1,23,7,0,7,4,0,4,1,1,0,573,216,357,2.0
33,14,,872700,0,0,VILLAGE,Somur,Rural,941,3450,1740,1710,341,168,173,1512,748,764,0,0,0,1828,1123,705,1622,617,1005,2085,1158,927,1856,1074,782,256,166,90,874,422,452,65,30,35,661,456,205,229,84,145,2,1,1,186,63,123,8,1,7,33,19,14,1365,582,783,2.0
33,14,,872800,0,0,VILLAGE,Koyamballi,Rural,785,2839,1400,1439,291,155,136,1019,501,518,0,0,0,1791,1002,789,1048,398,650,1737,934,803,1270,830,440,242,134,108,422,250,172,150,75,75,456,371,85,467,104,363,6,1,5,426,91,335,11,3,8,24,9,15,1102,466,636,2.0
33,14,,872900,0,0,VILLAGE,Panchamadevi,Rural,1737,6439,3185,3254,804,415,389,1728,848,880,3,2,1,4068,2347,1721,2371,838,1533,3112,2049,1063,2787,1989,798,246,143,103,337,192,145,164,101,63,2040,1553,487,325,60,265,2,0,2,57,8,49,94,3,91,172,49,123,3327,1136,2191,2.0
33,14,,873000,0,0,VILLAGE,Minnampalli,Rural,768,2685,1331,1354,235,129,106,533,259,274,0,0,0,1508,957,551,1177,374,803,1639,896,743,1587,886,701,389,217,172,377,130,247,119,61,58,702,478,224,52,10,42,6,2,4,28,2,26,11,2,9,7,4,3,1046,435,611,2.0
33,14,,873100,0,0,VILLAGE,Manmangalam,Rural,1521,5288,2621,2667,540,280,260,1305,650,655,0,0,0,2996,1836,1160,2292,785,1507,3224,1756,1468,3163,1732,1431,594,292,302,984,364,620,127,47,80,1458,1029,429,61,24,37,2,0,2,9,2,7,3,0,3,47,22,25,2064,865,1199,2.0
33,14,,873200,0,0,VILLAGE,Athur,Rural,1302,4701,2303,2398,479,230,249,964,478,486,0,0,0,2528,1556,972,2173,747,1426,2910,1595,1315,2449,1405,1044,406,259,147,235,78,157,125,48,77,1683,1020,663,461,190,271,62,33,29,174,47,127,42,9,33,183,101,82,1791,708,1083,2.0
33,14,,873300,0,0,VILLAGE,Andankoil(West),Rural,944,3538,1735,1803,345,168,177,333,161,172,4,2,2,2275,1302,973,1263,433,830,1854,1151,703,1471,1051,420,303,202,101,150,83,67,59,33,26,959,733,226,383,100,283,38,13,25,240,64,176,45,2,43,60,21,39,1684,584,1100,2.0
33,14,,873400,0,0,VILLAGE,Kadaparai,Rural,1502,5675,2829,2846,698,346,352,1013,503,510,0,0,0,3445,2027,1418,2230,802,1428,2747,1755,992,2465,1705,760,164,97,67,195,91,104,438,248,190,1668,1269,399,282,50,232,2,1,1,81,19,62,53,2,51,146,28,118,2928,1074,1854,2.0
33,14,,873500,0,0,VILLAGE,Senapiratti ,Rural,3919,15083,7674,7409,1732,939,793,2725,1375,1350,48,28,20,10741,5907,4834,4342,1767,2575,6646,4703,1943,6259,4571,1688,306,190,116,472,185,287,215,86,129,5266,4110,1156,387,132,255,15,4,11,143,47,96,81,4,77,148,77,71,8437,2971,5466,2.0
33,14,,873600,0,0,VILLAGE,Melapalayam,Rural,660,2355,1151,1204,227,121,106,990,493,497,0,0,0,1318,781,537,1037,370,667,1434,763,671,1161,727,434,191,137,54,436,189,247,18,6,12,516,395,121,273,36,237,4,1,3,252,30,222,6,0,6,11,5,6,921,388,533,2.0
33,14,,873700,0,0,VILLAGE,Emur,Rural,512,1946,979,967,184,100,84,496,254,242,0,0,0,1067,667,400,879,312,567,1282,702,580,1043,639,404,291,175,116,270,108,162,47,11,36,435,345,90,239,63,176,11,1,10,192,45,147,6,1,5,30,16,14,664,277,387,2.0
33,14,,873800,0,0,VILLAGE,Thirumanilaiyur ,Rural,117,424,220,204,69,36,33,93,50,43,0,0,0,276,161,115,148,59,89,215,130,85,194,123,71,4,4,0,3,0,3,8,4,4,179,115,64,21,7,14,0,0,0,10,4,6,2,0,2,9,3,6,209,90,119,2.0
33,14,,873900,0,0,VILLAGE,Andankoil  East,Rural,3487,13254,6714,6540,1694,874,820,2553,1250,1303,34,15,19,8959,5104,3855,4295,1610,2685,6232,4275,1957,6031,4194,1837,251,153,98,638,307,331,263,73,190,4879,3661,1218,201,81,120,7,4,3,58,24,34,24,1,23,112,52,60,7022,2439,4583,2.0
33,14,,874000,0,0,VILLAGE,Karuppampalayam,Rural,561,2078,1012,1066,235,134,101,393,192,201,0,0,0,1243,708,535,835,304,531,1001,627,374,894,554,340,177,132,45,168,58,110,78,39,39,471,325,146,107,73,34,20,16,4,21,8,13,7,5,2,59,44,15,1077,385,692,2.0
33,14,,874100,0,0,VILLAGE,Appipalayam,Rural,716,2569,1295,1274,285,159,126,593,284,309,0,0,0,1380,841,539,1189,454,735,1498,870,628,1203,711,492,337,194,143,426,175,251,15,5,10,425,337,88,295,159,136,44,18,26,102,35,67,3,2,1,146,104,42,1071,425,646,2.0
33,14,,874200,0,0,VILLAGE,Pallapalayam,Rural,886,3092,1541,1551,266,146,120,1914,964,950,7,4,3,1769,1060,709,1323,481,842,1960,1000,960,1953,997,956,552,363,189,1104,411,693,8,3,5,289,220,69,7,3,4,0,0,0,7,3,4,0,0,0,0,0,0,1132,541,591,2.0
33,14,,874300,0,0,VILLAGE,Thalapatti,Rural,795,2943,1463,1480,304,165,139,518,274,244,0,0,0,1527,933,594,1416,530,886,1810,983,827,1532,856,676,556,268,288,357,137,220,49,33,16,570,418,152,278,127,151,16,1,15,192,68,124,3,0,3,67,58,9,1133,480,653,2.0
33,14,,874400,0,0,VILLAGE,Puthambur,Rural,481,1688,844,844,171,100,71,369,190,179,0,0,0,959,592,367,729,252,477,1017,535,482,859,468,391,150,88,62,250,56,194,9,4,5,450,320,130,158,67,91,68,32,36,72,27,45,3,0,3,15,8,7,671,309,362,2.0
33,14,,874500,0,0,VILLAGE,Kakkavadi,Rural,442,1529,754,775,122,67,55,264,133,131,0,0,0,574,325,249,955,429,526,1093,572,521,559,342,217,285,150,135,16,9,7,3,1,2,255,182,73,534,230,304,51,24,27,381,143,238,8,3,5,94,60,34,436,182,254,2.0
33,14,,874600,0,0,VILLAGE,Manavadi,Rural,820,2845,1372,1473,209,105,104,1069,514,555,12,4,8,1651,1003,648,1194,369,825,1984,983,1001,1635,905,730,304,186,118,727,288,439,24,18,6,580,413,167,349,78,271,8,0,8,313,65,248,0,0,0,28,13,15,861,389,472,2.0
33,14,,874700,0,0,VILLAGE,Jegadabi,Rural,1585,6318,3194,3124,685,368,317,1705,856,849,0,0,0,2930,1828,1102,3388,1366,2022,3818,2151,1667,2905,1827,1078,1120,622,498,548,341,207,120,46,74,1117,818,299,913,324,589,27,12,15,778,268,510,1,1,0,107,43,64,2500,1043,1457,2.0
33,14,,874800,0,0,VILLAGE,Vellianai(north),Rural,1823,6833,3428,3405,688,360,328,1667,825,842,3,2,1,4359,2540,1819,2474,888,1586,3744,2215,1529,2579,1748,831,633,411,222,377,188,189,104,54,50,1465,1095,370,1165,467,698,66,29,37,995,388,607,14,3,11,90,47,43,3089,1213,1876,2.0
33,14,,874900,0,0,VILLAGE,Mookanankurichi,Rural,1879,7305,3425,3880,643,339,304,1444,717,727,0,0,0,4195,2384,1811,3110,1041,2069,4235,2358,1877,3703,2242,1461,1312,729,583,668,267,401,92,45,47,1631,1201,430,532,116,416,61,15,46,431,91,340,11,3,8,29,7,22,3070,1067,2003,2.0
33,14,,875000,0,0,VILLAGE,Paganatham,Rural,1097,4215,2091,2124,382,190,192,686,328,358,0,0,0,2141,1355,786,2074,736,1338,2526,1412,1114,1199,752,447,589,333,256,192,93,99,23,11,12,395,315,80,1327,660,667,107,61,46,908,385,523,13,5,8,299,209,90,1689,679,1010,2.0
