STATE,DISTRICT,TAHSIL,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,SUB-DISTT
33,14,,0,0,0,TALUK,Krishnarayapuram,Total,30134,124611,62437,62174,15313,7982,7331,29811,14762,15049,566,265,301,67805,40553,27252,56806,21884,34922,67303,38332,28971,59895,36003,23892,15666,10499,5167,30933,15258,15675,1077,699,378,12219,9547,2672,7408,2329,5079,775,238,537,5748,1657,4091,208,61,147,677,373,304,57308,24105,33203,3.0
33,14,,0,0,0,TALUK,Krishnarayapuram,Rural,25833,107526,53943,53583,13268,6885,6383,26526,13147,13379,369,175,194,57752,34799,22953,49774,19144,30630,58511,33118,25393,52044,31030,21014,14073,9501,4572,27219,13221,13998,893,584,309,9859,7724,2135,6467,2088,4379,705,224,481,5073,1524,3549,180,57,123,509,283,226,49015,20825,28190,3.0
33,14,,0,0,0,TALUK,Krishnarayapuram,Urban,4301,17085,8494,8591,2045,1097,948,3285,1615,1670,197,90,107,10053,5754,4299,7032,2740,4292,8792,5214,3578,7851,4973,2878,1593,998,595,3714,2037,1677,184,115,69,2360,1823,537,941,241,700,70,14,56,675,133,542,28,4,24,168,90,78,8293,3280,5013,3.0
33,14,,875300,0,0,VILLAGE,Balarajapuram,Rural,1435,5438,2736,2702,613,338,275,1775,889,886,0,0,0,3317,2000,1317,2121,736,1385,2949,1776,1173,2758,1747,1011,630,383,247,1075,516,559,47,26,21,1006,822,184,191,29,162,0,0,0,160,9,151,0,0,0,31,20,11,2489,960,1529,3.0
33,14,,875400,0,0,VILLAGE,Renganathapuram (North) ,Rural,864,3114,1531,1583,342,169,173,2031,993,1038,35,13,22,1866,1085,781,1248,446,802,1661,937,724,1527,929,598,223,171,52,1105,595,510,29,21,8,170,142,28,134,8,126,5,3,2,124,4,120,2,0,2,3,1,2,1453,594,859,3.0
33,14,,875500,0,0,VILLAGE,Renganathapuram (South),Rural,669,2452,1220,1232,246,123,123,1888,942,946,0,0,0,1424,855,569,1028,365,663,1835,905,930,1823,898,925,606,284,322,979,441,538,30,15,15,208,158,50,12,7,5,3,2,1,9,5,4,0,0,0,0,0,0,617,315,302,3.0
33,14,,875600,0,0,VILLAGE,Mayanur ,Rural,1175,4766,2388,2378,557,280,277,1912,957,955,20,12,8,3100,1797,1303,1666,591,1075,2145,1373,772,1996,1321,675,177,106,71,518,253,265,67,32,35,1234,930,304,149,52,97,23,7,16,64,19,45,19,2,17,43,24,19,2621,1015,1606,3.0
33,14,,875700,0,0,VILLAGE,Thirukkampuliyur,Rural,1416,5692,2844,2848,684,351,333,897,433,464,0,0,0,3346,1985,1361,2346,859,1487,2903,1710,1193,2762,1697,1065,476,380,96,1821,934,887,15,9,6,450,374,76,141,13,128,10,1,9,120,8,112,1,0,1,10,4,6,2789,1134,1655,3.0
33,14,,875800,0,0,VILLAGE,Manavasi,Rural,682,2598,1282,1316,333,175,158,1221,593,628,215,101,114,1482,879,603,1116,403,713,1401,822,579,1351,800,551,343,198,145,435,171,264,50,42,8,523,389,134,50,22,28,2,0,2,29,10,19,7,5,2,12,7,5,1197,460,737,3.0
33,14,,875900,0,0,VILLAGE,Sithalavai,Rural,876,3439,1701,1738,377,198,179,659,330,329,0,0,0,1970,1198,772,1469,503,966,2152,1099,1053,2125,1090,1035,792,395,397,713,228,485,15,14,1,605,453,152,27,9,18,2,1,1,19,4,15,0,0,0,6,4,2,1287,602,685,3.0
33,14,,876000,0,0,VILLAGE,Kammanallur ,Rural,526,2144,1034,1110,284,144,140,826,393,433,2,1,1,1405,767,638,739,267,472,1041,586,455,1033,580,453,141,90,51,668,347,321,9,4,5,215,139,76,8,6,2,2,2,0,2,1,1,1,0,1,3,3,0,1103,448,655,3.0
33,14,,876100,0,0,VILLAGE,Mahadhanapuram(North) ,Rural,1310,5202,2553,2649,576,294,282,1938,913,1025,0,0,0,3339,1889,1450,1863,664,1199,2529,1513,1016,2274,1482,792,132,112,20,1381,762,619,55,37,18,706,571,135,255,31,224,160,3,157,80,20,60,0,0,0,15,8,7,2673,1040,1633,3.0
33,14,,876200,0,0,VILLAGE,Chinthalavadi,Rural,2167,8743,4467,4276,1062,567,495,1587,809,778,0,0,0,5399,3200,2199,3344,1267,2077,4349,2643,1706,3704,2374,1330,377,320,57,2453,1392,1061,103,60,43,771,602,169,645,269,376,2,2,0,582,230,352,27,15,12,34,22,12,4394,1824,2570,3.0
