STATE,DISTRICT,TAHSIL,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,SUB-DISTT
33,24,,0,0,0,TALUK,Madurai North,Total,81266,348925,177120,171805,40861,21111,19750,56969,28655,28314,1441,765,676,245893,136186,109707,103032,40934,62098,141762,98210,43552,115209,84669,30540,8426,5851,2575,25963,15191,10772,5796,2945,2851,75024,60682,14342,26553,13541,13012,1177,673,504,19535,9237,10298,901,360,541,4940,3271,1669,207163,78910,128253,2.0
33,24,,0,0,0,TALUK,Madurai North,Rural,40675,176124,89001,87123,22240,11572,10668,43505,21853,21652,237,118,119,111219,63437,47782,64905,25564,39341,80423,50655,29768,57577,39272,18305,7576,5299,2277,22925,13204,9721,2105,1063,1042,24971,19706,5265,22846,11383,11463,1087,617,470,18665,8823,9842,688,302,386,2406,1641,765,95701,38346,57355,2.0
33,24,,0,0,0,TALUK,Madurai North,Urban,40591,172801,88119,84682,18621,9539,9082,13464,6802,6662,1204,647,557,134674,72749,61925,38127,15370,22757,61339,47555,13784,57632,45397,12235,850,552,298,3038,1987,1051,3691,1882,1809,50053,40976,9077,3707,2158,1549,90,56,34,870,414,456,213,58,155,2534,1630,904,111462,40564,70898,2.0
33,24,,1373700,0,0,VILLAGE,Kadavur,Rural,112,614,344,270,64,34,30,183,114,69,0,0,0,457,286,171,157,58,99,186,139,47,45,39,6,0,0,0,2,0,2,0,0,0,43,39,4,141,100,41,8,8,0,120,79,41,0,0,0,13,13,0,428,205,223,2.0
33,24,,1373900,0,0,VILLAGE,Naickanpatti,Rural,246,1150,608,542,200,110,90,15,10,5,0,0,0,504,343,161,646,265,381,522,330,192,384,278,106,152,103,49,112,83,29,14,8,6,106,84,22,138,52,86,22,8,14,98,33,65,6,3,3,12,8,4,628,278,350,2.0
33,24,,1374000,0,0,VILLAGE,Poyyakaraipatti,Rural,429,2017,1023,994,333,165,168,345,157,188,0,0,0,843,513,330,1174,510,664,907,557,350,611,337,274,95,51,44,465,250,215,16,10,6,35,26,9,296,220,76,17,12,5,256,189,67,0,0,0,23,19,4,1110,466,644,2.0
33,24,,1374100,0,0,VILLAGE,Manjampatti,Rural,416,1918,970,948,273,128,145,814,415,399,0,0,0,1110,660,450,808,310,498,799,516,283,715,483,232,48,29,19,509,340,169,15,8,7,143,106,37,84,33,51,2,2,0,66,25,41,2,0,2,14,6,8,1119,454,665,2.0
33,24,,1374200,0,0,VILLAGE,Chatrapatti,Rural,634,2833,1338,1495,373,183,190,400,199,201,0,0,0,1637,887,750,1196,451,745,1286,785,501,449,361,88,77,69,8,71,59,12,17,10,7,284,223,61,837,424,413,8,6,2,741,370,371,30,13,17,58,35,23,1547,553,994,2.0
33,24,,1374300,0,0,VILLAGE,Malaipatti,Rural,276,1167,577,590,159,80,79,311,162,149,0,0,0,773,451,322,394,126,268,542,331,211,53,41,12,0,0,0,2,1,1,0,0,0,51,40,11,489,290,199,32,30,2,423,226,197,2,2,0,32,32,0,625,246,379,2.0
33,24,,1374400,0,0,VILLAGE,Poolampatti,Rural,159,668,324,344,84,44,40,168,77,91,0,0,0,462,255,207,206,69,137,273,195,78,192,165,27,41,36,5,47,39,8,0,0,0,104,90,14,81,30,51,5,2,3,57,20,37,0,0,0,19,8,11,395,129,266,2.0
33,24,,1374500,0,0,VILLAGE,Velichinatham,Rural,425,1743,890,853,223,110,113,501,249,252,96,48,48,1137,663,474,606,227,379,752,476,276,728,467,261,47,43,4,581,352,229,13,8,5,87,64,23,24,9,15,0,0,0,19,8,11,2,1,1,3,0,3,991,414,577,2.0
33,24,,1374600,0,0,VILLAGE,Chinnapatti,Rural,332,1409,709,700,148,83,65,0,0,0,0,0,0,1061,592,469,348,117,231,683,431,252,592,400,192,63,45,18,357,215,142,8,4,4,164,136,28,91,31,60,0,0,0,76,25,51,4,0,4,11,6,5,726,278,448,2.0
33,24,,1374700,0,0,VILLAGE,Kallandhiri,Rural,1251,5382,2650,2732,705,352,353,1051,518,533,0,0,0,3239,1913,1326,2143,737,1406,2955,1653,1302,2129,1276,853,636,385,251,1048,525,523,41,30,11,404,336,68,826,377,449,20,10,10,734,326,408,18,6,12,54,35,19,2427,997,1430,2.0
33,24,,1374900,0,0,VILLAGE,Mangulam ,Rural,826,3784,1920,1864,500,276,224,1125,571,554,0,0,0,2328,1334,994,1456,586,870,1935,1105,830,454,319,135,104,73,31,135,70,65,32,21,11,183,155,28,1481,786,695,55,35,20,1295,661,634,49,28,21,82,62,20,1849,815,1034,2.0
33,24,,1375000,0,0,VILLAGE,Meenakshipuram,Rural,362,1532,796,736,235,127,108,955,487,468,0,0,0,720,451,269,812,345,467,735,438,297,66,41,25,8,7,1,6,3,3,7,5,2,45,26,19,669,397,272,11,10,1,556,334,222,14,8,6,88,45,43,797,358,439,2.0
33,24,,1375100,0,0,VILLAGE,Savalakkarayan,Rural,6,25,14,11,2,0,2,0,0,0,0,0,0,11,8,3,14,6,8,13,8,5,13,8,5,0,0,0,13,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,6,2.0
33,24,,1375300,0,0,VILLAGE,Velliyankundram,Rural,461,1835,947,888,239,132,107,226,120,106,0,0,0,1092,649,443,743,298,445,817,583,234,692,507,185,85,59,26,357,229,128,24,19,5,226,200,26,125,76,49,1,1,0,105,63,42,7,2,5,12,10,2,1018,364,654,2.0
33,24,,1375400,0,0,VILLAGE,Appanthirupathi,Rural,209,856,416,440,104,47,57,50,23,27,0,0,0,532,302,230,324,114,210,344,241,103,105,91,14,1,1,0,6,4,2,1,1,0,97,85,12,239,150,89,0,0,0,233,146,87,2,1,1,4,3,1,512,175,337,2.0
33,24,,1375500,0,0,VILLAGE,Andaman,Rural,100,465,236,229,61,30,31,179,88,91,0,0,0,314,183,131,151,53,98,216,156,60,216,156,60,26,26,0,148,94,54,0,0,0,42,36,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,80,169,2.0
33,24,,1375600,0,0,VILLAGE,Mathur,Rural,315,1479,772,707,176,101,75,211,108,103,0,0,0,1003,581,422,476,191,285,481,366,115,310,269,41,67,63,4,135,111,24,10,9,1,98,86,12,171,97,74,15,4,11,107,62,45,29,17,12,20,14,6,998,406,592,2.0
33,24,,1375700,0,0,VILLAGE,Pilluseri,Rural,95,408,209,199,72,36,36,98,46,52,0,0,0,219,133,86,189,76,113,200,126,74,200,126,74,70,43,27,100,61,39,0,0,0,30,22,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,83,125,2.0
33,24,,1375800,0,0,VILLAGE,Porusupatti,Rural,323,1487,782,705,160,94,66,207,109,98,0,0,0,957,564,393,530,218,312,874,463,411,323,181,142,77,48,29,183,82,101,4,4,0,59,47,12,551,282,269,7,4,3,515,266,249,7,4,3,22,8,14,613,319,294,2.0
33,24,,1375900,0,0,VILLAGE,Chettikulam,Rural,70,333,202,131,30,22,8,196,125,71,0,0,0,231,156,75,102,46,56,96,78,18,89,78,11,0,0,0,47,40,7,0,0,0,42,38,4,7,0,7,1,0,1,6,0,6,0,0,0,0,0,0,237,124,113,2.0
33,24,,1376000,0,0,VILLAGE,Periyapatti,Rural,158,708,362,346,92,48,44,65,37,28,0,0,0,465,245,220,243,117,126,196,159,37,186,154,32,21,17,4,80,71,9,2,2,0,83,64,19,10,5,5,1,0,1,7,3,4,0,0,0,2,2,0,512,203,309,2.0
33,24,,1376100,0,0,VILLAGE,Kavanur,Rural,259,1062,536,526,134,75,59,390,185,205,0,0,0,766,405,361,296,131,165,471,303,168,244,199,45,76,54,22,42,32,10,22,21,1,104,92,12,227,104,123,48,8,40,150,79,71,7,2,5,22,15,7,591,233,358,2.0
33,24,,1376200,0,0,VILLAGE,Therkupethampatti,Rural,132,606,311,295,89,41,48,294,151,143,0,0,0,366,215,151,240,96,144,290,170,120,93,81,12,21,20,1,9,7,2,0,0,0,63,54,9,197,89,108,0,0,0,186,83,103,1,0,1,10,6,4,316,141,175,2.0
33,24,,1376300,0,0,VILLAGE,Siruvalai,Rural,230,1090,545,545,135,69,66,442,214,228,0,0,0,639,365,274,451,180,271,566,314,252,235,185,50,39,37,2,88,65,23,9,5,4,99,78,21,331,129,202,6,3,3,304,110,194,5,2,3,16,14,2,524,231,293,2.0
33,24,,1376400,0,0,VILLAGE,Chellanagoundanpatti,Rural,98,416,206,210,37,18,19,165,75,90,0,0,0,252,153,99,164,53,111,216,115,101,165,95,70,24,15,9,123,66,57,0,0,0,18,14,4,51,20,31,1,0,1,46,17,29,0,0,0,4,3,1,200,91,109,2.0
33,24,,1376500,0,0,VILLAGE,Ariyur,Rural,195,807,403,404,132,73,59,220,98,122,0,0,0,454,275,179,353,128,225,431,234,197,424,231,193,92,66,26,291,139,152,1,0,1,40,26,14,7,3,4,1,0,1,5,3,2,0,0,0,1,0,1,376,169,207,2.0
33,24,,1376600,0,0,VILLAGE,Ambalathadi,Rural,312,1362,680,682,182,87,95,867,428,439,0,0,0,814,467,347,548,213,335,789,412,377,147,83,64,76,37,39,44,26,18,6,4,2,21,16,5,642,329,313,83,49,34,520,254,266,12,5,7,27,21,6,573,268,305,2.0
33,24,,1376700,0,0,VILLAGE,Vittankulam,Rural,256,1061,561,500,131,70,61,0,0,0,0,0,0,699,427,272,362,134,228,571,351,220,555,345,210,124,76,48,247,108,139,3,2,1,181,159,22,16,6,10,1,0,1,15,6,9,0,0,0,0,0,0,490,210,280,2.0
33,24,,1376800,0,0,VILLAGE,Vairavanatham,Rural,100,438,218,220,56,28,28,147,73,74,0,0,0,260,143,117,178,75,103,313,168,145,83,62,21,74,57,17,4,3,1,2,1,1,3,1,2,230,106,124,6,4,2,224,102,122,0,0,0,0,0,0,125,50,75,2.0
33,24,,1376900,0,0,VILLAGE,Vayalur  ,Rural,267,1108,548,560,164,84,80,465,230,235,0,0,0,665,362,303,443,186,257,611,317,294,244,157,87,67,42,25,78,44,34,19,10,9,80,61,19,367,160,207,31,16,15,292,121,171,28,11,17,16,12,4,497,231,266,2.0
33,24,,1377000,0,0,VILLAGE,Kulamangalam,Rural,1068,4614,2342,2272,600,327,273,2007,1015,992,0,0,0,2806,1610,1196,1808,732,1076,2327,1396,931,1397,986,411,524,334,190,579,427,152,53,33,20,241,192,49,930,410,520,27,8,19,854,371,483,13,10,3,36,21,15,2287,946,1341,2.0
33,24,,1377100,0,0,VILLAGE,Karuvanur,Rural,325,1401,689,712,217,108,109,863,424,439,0,0,0,842,472,370,559,217,342,676,370,306,314,270,44,20,20,0,170,145,25,9,8,1,115,97,18,362,100,262,8,2,6,334,86,248,1,1,0,19,11,8,725,319,406,2.0
33,24,,1377200,0,0,VILLAGE,Mandikulam,Rural,183,848,425,423,96,51,45,250,128,122,0,0,0,592,329,263,256,96,160,273,209,64,119,108,11,43,41,2,29,27,2,8,7,1,39,33,6,154,101,53,2,2,0,152,99,53,0,0,0,0,0,0,575,216,359,2.0
