STATE,DISTRICT,TAHSIL,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,SUB-DISTT
33,24,,0,0,0,TALUK,Peraiyur,Total,47951,186839,94151,92688,20939,11001,9938,42371,21618,20753,271,148,123,106109,64038,42071,80730,30113,50617,98057,54133,43924,80329,46746,33583,21435,12672,8763,37792,18399,19393,2836,1480,1356,18266,14195,4071,17728,7387,10341,1184,523,661,13945,5470,8475,538,200,338,2061,1194,867,88782,40018,48764,5.0
33,24,,0,0,0,TALUK,Peraiyur,Rural,39942,153679,77260,76419,17210,9087,8123,39576,20217,19359,259,142,117,85091,51892,33199,68588,25368,43220,84356,44740,39616,68761,38430,30331,20051,11826,8225,33934,16104,17830,2435,1243,1192,12341,9257,3084,15595,6310,9285,1013,427,586,12746,4894,7852,449,183,266,1387,806,581,69323,32520,36803,5.0
33,24,,0,0,0,TALUK,Peraiyur,Urban,8009,33160,16891,16269,3729,1914,1815,2795,1401,1394,12,6,6,21018,12146,8872,12142,4745,7397,13701,9393,4308,11568,8316,3252,1384,846,538,3858,2295,1563,401,237,164,5925,4938,987,2133,1077,1056,171,96,75,1199,576,623,89,17,72,674,388,286,19459,7498,11961,5.0
33,24,,1401000,0,0,VILLAGE,Elumalai RF,Rural,17,60,30,30,15,6,9,6,3,3,54,27,27,6,3,3,54,27,27,34,19,15,34,19,15,0,0,0,30,15,15,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,11,15,5.0
33,24,,1401100,0,0,VILLAGE,Peryampatti,Rural,484,1953,965,988,231,113,118,447,221,226,0,0,0,1077,669,408,876,296,580,1140,632,508,873,537,336,288,191,97,433,225,208,40,28,12,112,93,19,267,95,172,9,6,3,227,77,150,18,3,15,13,9,4,813,333,480,5.0
33,24,,1401200,0,0,VILLAGE,Uthapuram,Rural,1123,4198,2071,2127,482,246,236,1658,853,805,0,0,0,2092,1275,817,2106,796,1310,2254,1222,1032,2163,1185,978,421,261,160,1452,709,743,65,42,23,225,173,52,91,37,54,3,2,1,68,25,43,7,1,6,13,9,4,1944,849,1095,5.0
33,24,,1401300,0,0,VILLAGE,E. Kottaipatti,Rural,574,2166,1142,1024,193,116,77,1220,655,565,0,0,0,1150,734,416,1016,408,608,1051,590,461,893,486,407,183,119,64,614,303,311,11,5,6,85,59,26,158,104,54,20,9,11,133,92,41,4,2,2,1,1,0,1115,552,563,5.0
33,24,,1401400,0,0,VILLAGE,Tadayampatti,Rural,645,2459,1313,1146,254,162,92,799,446,353,0,0,0,1288,809,479,1171,504,667,1595,807,788,240,189,51,161,134,27,17,6,11,2,2,0,60,47,13,1355,618,737,16,9,7,1326,602,724,8,5,3,5,2,3,864,506,358,5.0
33,24,,1401500,0,0,VILLAGE,Manibamettupatti,Rural,13,65,35,30,13,9,4,0,0,0,0,0,0,34,20,14,31,15,16,23,13,10,10,8,2,8,6,2,1,1,0,0,0,0,1,1,0,13,5,8,4,2,2,9,3,6,0,0,0,0,0,0,42,22,20,5.0
33,24,,1401600,0,0,VILLAGE,Vannankulam,Rural,82,285,140,145,17,8,9,27,15,12,0,0,0,144,94,50,141,46,95,197,95,102,34,29,5,25,21,4,3,2,1,0,0,0,6,6,0,163,66,97,9,2,7,149,62,87,1,0,1,4,2,2,88,45,43,5.0
