STATE,DISTRICT,TAHSIL,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,SUB-DISTT
33,19,,0,0,0,TALUK,Kilvelur,Total,31152,127580,62588,64992,16680,8406,8274,48620,24021,24599,61,29,32,82910,45721,37189,44670,16867,27803,55365,35258,20107,48937,32751,16186,6186,5079,1107,28479,16033,12446,822,522,300,13450,11117,2333,6428,2507,3921,756,388,368,4545,1558,2987,249,69,180,878,492,386,72215,27330,44885,5.0
33,19,,0,0,0,TALUK,Kilvelur,Rural,27178,110004,54104,55900,14514,7335,7179,45340,22383,22957,50,24,26,70647,39282,31365,39357,14822,24535,49454,30836,18618,43385,28522,14863,5942,4872,1070,27348,15265,12083,678,432,246,9417,7953,1464,6069,2314,3755,744,378,366,4415,1505,2910,223,62,161,687,369,318,60550,23268,37282,5.0
33,19,,0,0,0,TALUK,Kilvelur,Urban,3974,17576,8484,9092,2166,1071,1095,3280,1638,1642,11,5,6,12263,6439,5824,5313,2045,3268,5911,4422,1489,5552,4229,1323,244,207,37,1131,768,363,144,90,54,4033,3164,869,359,193,166,12,10,2,130,53,77,26,7,19,191,123,68,11665,4062,7603,5.0
33,19,,1086900,0,0,VILLAGE,Vengidangal,Rural,337,1304,661,643,195,119,76,992,502,490,0,0,0,801,454,347,503,207,296,659,338,321,658,337,321,64,57,7,556,254,302,1,0,1,37,26,11,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,645,323,322,5.0
33,19,,1087000,0,0,VILLAGE,Okkur,Rural,507,2065,1037,1028,301,163,138,1340,673,667,0,0,0,1306,737,569,759,300,459,1183,619,564,1024,533,491,28,18,10,868,422,446,25,3,22,103,90,13,159,86,73,48,38,10,101,41,60,0,0,0,10,7,3,882,418,464,5.0
33,19,,1087100,0,0,VILLAGE,Vadagarai,Rural,310,1266,608,658,194,93,101,838,397,441,0,0,0,743,410,333,523,198,325,623,355,268,623,355,268,27,24,3,526,274,252,4,2,2,66,55,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,643,253,390,5.0
33,19,,1087200,0,0,VILLAGE,Kohur,Rural,383,1561,789,772,231,121,110,830,412,418,0,0,0,965,567,398,596,222,374,777,469,308,777,469,308,114,96,18,569,294,275,4,3,1,90,76,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,784,320,464,5.0
33,19,,1087300,0,0,VILLAGE,Anaimangalam,Rural,354,1466,741,725,194,96,98,659,333,326,0,0,0,999,567,432,467,174,293,730,420,310,724,416,308,79,60,19,590,316,274,3,0,3,52,40,12,6,4,2,1,1,0,4,2,2,0,0,0,1,1,0,736,321,415,5.0
33,19,,1087400,0,0,VILLAGE,Kurumanangudi,Rural,280,1122,537,585,165,71,94,674,323,351,0,0,0,672,385,287,450,152,298,580,323,257,578,322,256,54,36,18,425,203,222,12,6,6,87,77,10,2,1,1,0,0,0,0,0,0,0,0,0,2,1,1,542,214,328,5.0
33,19,,1087500,0,0,VILLAGE,Eravancheri,Rural,435,1738,840,898,249,120,129,1106,532,574,1,1,0,1159,627,532,579,213,366,928,524,404,922,522,400,141,92,49,673,343,330,7,4,3,101,83,18,6,2,4,0,0,0,5,2,3,0,0,0,1,0,1,810,316,494,5.0
33,19,,1087600,0,0,VILLAGE,agarakadambanur,Rural,737,3131,1528,1603,435,205,230,1746,857,889,34,16,18,2068,1125,943,1063,403,660,1201,810,391,1151,782,369,99,67,32,810,508,302,19,13,6,223,194,29,50,28,22,4,1,3,33,15,18,0,0,0,13,12,1,1930,718,1212,5.0
33,19,,1087700,0,0,VILLAGE,Vadakkuveli,Rural,157,642,306,336,85,37,48,405,183,222,0,0,0,364,195,169,278,111,167,344,190,154,337,184,153,20,14,6,300,159,141,1,0,1,16,11,5,7,6,1,0,0,0,1,0,1,1,1,0,5,5,0,298,116,182,5.0
33,19,,1087800,0,0,VILLAGE,Thurukkanangudi,Rural,220,897,432,465,102,56,46,238,116,122,0,0,0,680,342,338,217,90,127,378,266,112,376,265,111,80,63,17,232,148,84,18,14,4,46,40,6,2,1,1,0,0,0,2,1,1,0,0,0,0,0,0,519,166,353,5.0
33,19,,1087900,0,0,VILLAGE,Thirukkanangudi Agaram,Rural,177,705,341,364,113,55,58,660,323,337,0,0,0,402,227,175,303,114,189,353,183,170,351,183,168,9,5,4,319,159,160,2,2,0,21,17,4,2,0,2,0,0,0,2,0,2,0,0,0,0,0,0,352,158,194,5.0
33,19,,1088000,0,0,VILLAGE,Kurukkathi,Rural,379,1618,769,849,201,91,110,511,257,254,0,0,0,1064,573,491,554,196,358,603,409,194,521,389,132,35,27,8,198,105,93,82,74,8,206,183,23,82,20,62,4,0,4,45,11,34,18,1,17,15,8,7,1015,360,655,5.0
33,19,,1088100,0,0,VILLAGE,Athipuliyur,Rural,833,3599,1760,1839,413,208,205,969,464,505,10,4,6,2639,1424,1215,960,336,624,1456,991,465,1103,796,307,177,132,45,497,334,163,39,31,8,390,299,91,353,195,158,140,75,65,142,69,73,8,3,5,63,48,15,2143,769,1374,5.0
33,19,,1088200,0,0,VILLAGE,Koothur,Rural,518,2409,1150,1259,325,169,156,831,416,415,0,0,0,1690,873,817,719,277,442,881,604,277,812,585,227,85,62,23,447,255,192,2,2,0,278,266,12,69,19,50,5,2,3,55,8,47,0,0,0,9,9,0,1528,546,982,5.0
33,19,,1088300,0,0,VILLAGE,Pattamangalam,Rural,388,1632,841,791,191,98,93,853,440,413,0,0,0,1044,602,442,588,239,349,851,524,327,690,500,190,105,79,26,430,289,141,5,4,1,150,128,22,161,24,137,1,0,1,128,16,112,0,0,0,32,8,24,781,317,464,5.0
33,19,,1088400,0,0,VILLAGE,Vadakkalathur,Rural,224,913,458,455,90,51,39,358,182,176,0,0,0,585,319,266,328,139,189,453,290,163,447,289,158,43,33,10,338,197,141,3,3,0,63,56,7,6,1,5,3,0,3,1,0,1,0,0,0,2,1,1,460,168,292,5.0
33,19,,1088500,0,0,VILLAGE,Iluppur,Rural,296,1192,616,576,143,82,61,473,243,230,5,3,2,848,475,373,344,141,203,487,348,139,432,317,115,83,73,10,222,129,93,7,7,0,120,108,12,55,31,24,4,3,1,21,3,18,9,5,4,21,20,1,705,268,437,5.0
33,19,,1088600,0,0,VILLAGE,Serunallur,Rural,390,1615,772,843,225,110,115,1122,531,591,0,0,0,951,521,430,664,251,413,748,438,310,738,432,306,41,29,12,557,286,271,17,13,4,123,104,19,10,6,4,1,0,1,6,3,3,0,0,0,3,3,0,867,334,533,5.0
33,19,,1088700,0,0,VILLAGE,Kakkalani,Rural,507,2030,995,1035,216,110,106,752,375,377,0,0,0,1403,777,626,627,218,409,1270,665,605,659,439,220,86,74,12,388,224,164,3,2,1,182,139,43,611,226,385,32,9,23,474,173,301,82,33,49,23,11,12,760,330,430,5.0
33,19,,1088800,0,0,VILLAGE,Thevur,Rural,949,4135,2073,2062,519,254,265,1337,686,651,0,0,0,3020,1660,1360,1115,413,702,1370,1108,262,1169,965,204,122,105,17,312,253,59,28,18,10,707,589,118,201,143,58,28,15,13,138,101,37,4,1,3,31,26,5,2765,965,1800,5.0
33,19,,1088900,0,0,VILLAGE,Radhamangalam,Rural,566,2225,1082,1143,293,138,155,1434,695,739,0,0,0,1375,765,610,850,317,533,1044,607,437,962,585,377,72,61,11,692,352,340,8,4,4,190,168,22,82,22,60,12,4,8,56,10,46,4,1,3,10,7,3,1181,475,706,5.0
33,19,,1089000,0,0,VILLAGE,Irukkai,Rural,368,1463,722,741,203,94,109,743,369,374,0,0,0,930,530,400,533,192,341,662,390,272,659,388,271,68,54,14,477,240,237,23,17,6,91,77,14,3,2,1,0,0,0,1,1,0,1,0,1,1,1,0,801,332,469,5.0
33,19,,1089100,0,0,VILLAGE,Venmani,Rural,451,1740,856,884,254,133,121,1038,500,538,0,0,0,1032,591,441,708,265,443,806,468,338,802,466,336,91,74,17,608,314,294,15,9,6,88,69,19,4,2,2,1,0,1,1,0,1,0,0,0,2,2,0,934,388,546,5.0
33,19,,1089200,0,0,VILLAGE,Manallur,Rural,197,786,379,407,108,40,68,392,188,204,0,0,0,521,307,214,265,72,193,372,220,152,370,219,151,46,35,11,239,112,127,5,2,3,80,70,10,2,1,1,0,0,0,1,1,0,0,0,0,1,0,1,414,159,255,5.0
33,19,,1089300,0,0,VILLAGE,Anthagudi,Rural,580,2389,1171,1218,282,147,135,1177,580,597,0,0,0,1611,874,737,778,297,481,1138,658,480,900,538,362,86,57,29,648,349,299,10,7,3,156,125,31,238,120,118,38,29,9,184,78,106,1,0,1,15,13,2,1251,513,738,5.0
33,19,,1089400,0,0,VILLAGE,Sigar,Rural,422,1663,826,837,225,106,119,685,344,341,0,0,0,982,570,412,681,256,425,545,445,100,524,436,88,119,106,13,322,257,65,2,2,0,81,71,10,21,9,12,4,2,2,13,3,10,0,0,0,4,4,0,1118,381,737,5.0
33,19,,1089500,0,0,VILLAGE,Koorathangudi,Rural,377,1460,724,736,177,91,86,701,332,369,0,0,0,1012,570,442,448,154,294,777,448,329,754,435,319,119,108,11,490,238,252,0,0,0,145,89,56,23,13,10,6,1,5,13,8,5,0,0,0,4,4,0,683,276,407,5.0
33,19,,1089600,0,0,VILLAGE,Manalur,Rural,359,1467,729,738,193,104,89,893,442,451,0,0,0,966,532,434,501,197,304,794,429,365,775,422,353,62,36,26,587,284,303,5,3,2,121,99,22,19,7,12,12,5,7,2,1,1,1,0,1,4,1,3,673,300,373,5.0
