STATE,DISTRICT,TAHSIL,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,SUB-DISTT
33,19,,0,0,0,TALUK,Tharangambadi,Total,41629,186387,91784,94603,22646,11453,11193,54612,27225,27387,283,140,143,124044,67360,56684,62343,24424,37919,70714,50634,20080,59252,44752,14500,6316,5371,945,31076,20567,10509,1156,781,375,20704,18033,2671,11462,5882,5580,557,310,247,8663,4072,4591,331,140,191,1911,1360,551,115673,41150,74523,3.0
33,19,,0,0,0,TALUK,Tharangambadi,Rural,37466,165544,81870,83674,20313,10274,10039,52062,26005,26057,186,96,90,109037,59767,49270,56507,22103,34404,64482,45834,18648,53902,40422,13480,6139,5226,913,30321,19983,10338,1031,704,327,16411,14509,1902,10580,5412,5168,541,302,239,8248,3868,4380,305,128,177,1486,1114,372,101062,36036,65026,3.0
33,19,,0,0,0,TALUK,Tharangambadi,Urban,4163,20843,9914,10929,2333,1179,1154,2550,1220,1330,97,44,53,15007,7593,7414,5836,2321,3515,6232,4800,1432,5350,4330,1020,177,145,32,755,584,171,125,77,48,4293,3524,769,882,470,412,16,8,8,415,204,211,26,12,14,425,246,179,14611,5114,9497,3.0
33,19,,1071800,0,0,VILLAGE,Kanjanagaram,Rural,757,3209,1623,1586,444,229,215,532,253,279,0,0,0,1876,1112,764,1333,511,822,1400,984,416,1229,922,307,343,211,132,530,408,122,74,46,28,282,257,25,171,62,109,6,5,1,124,34,90,8,1,7,33,22,11,1809,639,1170,3.0
33,19,,1071900,0,0,VILLAGE,Melaiyur,Rural,461,1843,896,947,237,109,128,657,329,328,0,0,0,894,534,360,949,362,587,1064,560,504,856,469,387,66,51,15,638,312,326,25,14,11,127,92,35,208,91,117,1,0,1,175,72,103,15,7,8,17,12,5,779,336,443,3.0
33,19,,1072000,0,0,VILLAGE,Karuvazhakarai,Rural,200,895,439,456,61,32,29,246,116,130,0,0,0,640,344,296,255,95,160,477,272,205,448,257,191,14,13,1,385,207,178,14,7,7,35,30,5,29,15,14,0,0,0,11,6,5,14,5,9,4,4,0,418,167,251,3.0
33,19,,1072100,0,0,VILLAGE,Lakshiminayanapuram I,Rural,152,635,318,317,79,40,39,587,292,295,0,0,0,299,170,129,336,148,188,360,204,156,360,204,156,5,4,1,322,170,152,1,1,0,32,29,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275,114,161,3.0
33,19,,1072200,0,0,VILLAGE,Lakshminayanapuram II,Rural,186,776,395,381,86,45,41,0,0,0,0,0,0,597,335,262,179,60,119,238,224,14,232,220,12,39,39,0,40,39,1,1,1,0,152,141,11,6,4,2,0,0,0,2,0,2,0,0,0,4,4,0,538,171,367,3.0
33,19,,1072300,0,0,VILLAGE,Nadukkarai Melpathi,Rural,371,1621,790,831,201,96,105,1085,540,545,0,0,0,655,359,296,966,431,535,698,458,240,671,452,219,37,28,9,490,292,198,2,2,0,142,130,12,27,6,21,13,1,12,10,1,9,0,0,0,4,4,0,923,332,591,3.0
33,19,,1072400,0,0,VILLAGE,Nadukkarai Keelapathi,Rural,190,814,411,403,87,53,34,0,0,0,49,23,26,599,323,276,215,88,127,239,203,36,236,202,34,26,25,1,29,26,3,3,3,0,178,148,30,3,1,2,1,0,1,1,0,1,0,0,0,1,1,0,575,208,367,3.0
