STATE,DISTRICT,TAHSIL,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,SUB-DISTT
33,9,,0,0,0,TALUK,Namakkal,Total,121424,459296,232447,226849,47516,25195,22321,100421,50808,49613,24926,12522,12404,286140,165333,120807,173156,67114,106042,254309,147876,106433,229751,139380,90371,60333,33634,26699,77444,34899,42545,7674,3744,3930,84300,67103,17197,24558,8496,16062,2681,981,1700,15534,4539,10995,1486,239,1247,4857,2737,2120,204987,84571,120416,3.0
33,9,,0,0,0,TALUK,Namakkal,Rural,94032,350306,177436,172870,36317,19335,16982,83266,42137,41129,24642,12375,12267,207782,122150,85632,142524,55286,87238,207664,114986,92678,185911,107598,78313,57523,31917,25606,69151,30830,38321,6372,3307,3065,52865,41544,11321,21753,7388,14365,2625,956,1669,14145,4137,10008,1244,206,1038,3739,2089,1650,142642,62450,80192,3.0
33,9,,0,0,0,TALUK,Namakkal,Urban,27392,108990,55011,53979,11199,5860,5339,17155,8671,8484,284,147,137,78358,43183,35175,30632,11828,18804,46645,32890,13755,43840,31782,12058,2810,1717,1093,8293,4069,4224,1302,437,865,31435,25559,5876,2805,1108,1697,56,25,31,1389,402,987,242,33,209,1118,648,470,62345,22121,40224,3.0
33,9,,719500,0,0,VILLAGE,Sarkarnattamangalam,Rural,672,2322,1182,1140,199,99,100,871,439,432,0,0,0,1462,891,571,860,291,569,1522,799,723,1290,764,526,437,279,158,530,234,296,24,15,9,299,236,63,232,35,197,29,5,24,194,29,165,6,0,6,3,1,2,800,383,417,3.0
33,9,,719600,0,0,VILLAGE,Agraharanathamangalam,Rural,51,170,83,87,22,10,12,0,0,0,0,0,0,99,57,42,71,26,45,114,59,55,112,57,55,89,42,47,7,3,4,0,0,0,16,12,4,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,56,24,32,3.0
33,9,,719700,0,0,VILLAGE,Kalyani,Rural,734,2553,1309,1244,267,154,113,574,293,281,0,0,0,1302,788,514,1251,521,730,1728,905,823,1677,889,788,392,193,199,882,343,539,15,9,6,388,344,44,51,16,35,5,2,3,30,5,25,3,1,2,13,8,5,825,404,421,3.0
33,9,,719800,0,0,VILLAGE,Ananthakrishnarayasamudram,Rural,186,717,363,354,59,33,26,22,12,10,0,0,0,419,254,165,298,109,189,492,244,248,492,244,248,115,57,58,157,64,93,152,73,79,68,50,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,119,106,3.0
33,9,,719900,0,0,VILLAGE,Jekkalnayakkanpatti,Rural,37,143,71,72,14,5,9,0,0,0,0,0,0,87,54,33,56,17,39,76,46,30,75,46,29,44,27,17,24,13,11,0,0,0,7,6,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,67,25,42,3.0
33,9,,720000,0,0,VILLAGE,Pachal,Rural,671,2435,1245,1190,213,114,99,751,388,363,0,0,0,1272,795,477,1163,450,713,1417,833,584,1379,824,555,81,42,39,260,113,147,564,291,273,474,378,96,38,9,29,3,2,1,6,0,6,6,0,6,23,7,16,1018,412,606,3.0
33,9,,720100,0,0,VILLAGE,Pidaripatti,Rural,107,353,185,168,30,19,11,100,48,52,0,0,0,226,140,86,127,45,82,252,136,116,250,135,115,83,36,47,103,39,64,0,0,0,64,60,4,2,1,1,0,0,0,1,0,1,0,0,0,1,1,0,101,49,52,3.0
