STATE,DISTRICT,TAHSIL,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,SUB-DISTT
33,16,,0,0,0,TALUK,Kunnam,Total,54994,225259,111284,113975,28706,14738,13968,67173,33168,34005,1101,561,540,123553,73808,49745,101706,37476,64230,125799,65330,60469,100392,56471,43921,60451,34449,26002,25963,11583,14380,1460,843,617,12518,9596,2922,25407,8859,16548,4832,1779,3053,18577,6024,12553,594,144,450,1404,912,492,99460,45954,53506,3.0
33,16,,0,0,0,TALUK,Kunnam,Rural,53186,216518,107378,109140,27387,14105,13282,66965,33079,33886,1081,547,534,117160,70793,46367,99358,36585,62773,124658,64269,60389,99413,55559,43854,60407,34410,25997,25936,11557,14379,1449,834,615,11621,8758,2863,25245,8710,16535,4832,1779,3053,18565,6014,12551,593,143,450,1255,774,481,91860,43109,48751,3.0
33,16,,0,0,0,TALUK,Kunnam,Urban,1808,8741,3906,4835,1319,633,686,208,89,119,20,14,6,6393,3015,3378,2348,891,1457,1141,1061,80,979,912,67,44,39,5,27,26,1,11,9,2,897,838,59,162,149,13,0,0,0,12,10,2,1,1,0,149,138,11,7600,2845,4755,3.0
33,16,,938300,0,0,VILLAGE,Thirumandurai,Rural,822,3462,1729,1733,487,259,228,1720,871,849,11,7,4,1893,1118,775,1569,611,958,1743,981,762,644,497,147,120,95,25,196,123,73,5,2,3,323,277,46,1099,484,615,287,144,143,771,307,464,6,2,4,35,31,4,1719,748,971,3.0
33,16,,938400,0,0,VILLAGE,Pennakonam  (South),Rural,1023,4676,2383,2293,641,335,306,1838,945,893,0,0,0,3005,1743,1262,1671,640,1031,2069,1179,890,1431,880,551,621,448,173,609,286,323,15,8,7,186,138,48,638,299,339,27,5,22,524,247,277,25,11,14,62,36,26,2607,1204,1403,3.0
33,16,,938500,0,0,VILLAGE,Ogalur (West),Rural,189,771,382,389,97,45,52,482,235,247,0,0,0,482,294,188,289,88,201,374,219,155,365,215,150,158,101,57,184,98,86,4,4,0,19,12,7,9,4,5,3,2,1,6,2,4,0,0,0,0,0,0,397,163,234,3.0
33,16,,938600,0,0,VILLAGE,Aduthurai,Rural,406,1697,850,847,239,116,123,115,80,35,0,0,0,1066,636,430,631,214,417,663,433,230,534,382,152,71,59,12,147,67,80,24,19,5,292,237,55,129,51,78,4,2,2,64,14,50,5,0,5,56,35,21,1034,417,617,3.0
33,16,,938700,0,0,VILLAGE,Ogalur (East),Rural,927,3753,1846,1907,499,267,232,1509,781,728,0,0,0,2023,1197,826,1730,649,1081,1761,936,825,948,635,313,446,341,105,383,199,184,9,7,2,110,88,22,813,301,512,160,21,139,607,248,359,9,3,6,37,29,8,1992,910,1082,3.0
33,16,,938800,0,0,VILLAGE,Athiyur (North),Rural,972,3840,1879,1961,527,281,246,2061,1007,1054,0,0,0,2095,1247,848,1745,632,1113,2325,1105,1220,1535,891,644,653,380,273,693,368,325,43,27,16,146,116,30,790,214,576,115,17,98,645,180,465,18,9,9,12,8,4,1515,774,741,3.0
33,16,,938900,0,0,VILLAGE,Athiyur (South),Rural,136,500,226,274,63,35,28,0,0,0,0,0,0,324,176,148,176,50,126,200,131,69,127,109,18,21,16,5,89,78,11,1,1,0,16,14,2,73,22,51,4,2,2,68,20,48,1,0,1,0,0,0,300,95,205,3.0
33,16,,939000,0,0,VILLAGE,Agaram Sigoor,Rural,913,3801,1912,1889,511,264,247,1024,510,514,0,0,0,2108,1300,808,1693,612,1081,2026,1100,926,1266,836,430,518,345,173,496,279,217,15,12,3,237,200,37,760,264,496,183,87,96,514,144,370,7,2,5,56,31,25,1775,812,963,3.0
