STATE,DISTRICT,SUB-DISTT,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
33,22,1,0,0,0,TALUK,Iluppur,Rural,35340,171066,84694,86372,24305,12431,11874,35321,17530,17791,118,52,66,89576,53243,36333,81490,31451,50039,90250,49796,40454,78024,45917,32107,32599,19786,12813,23761,10732,13029,3524,1927,1597,18140,13472,4668,12226,3879,8347,1754,530,1224,8303,2232,6071,690,247,443,1479,870,609,80816,34898,45918
33,22,1,1237800,0,0,VILLAGE,Komangalam,Rural,313,1506,735,771,246,120,126,11,3,8,0,0,0,545,318,227,961,417,544,747,442,305,659,400,259,159,143,16,178,27,151,27,17,10,295,213,82,88,42,46,1,0,1,62,30,32,2,0,2,23,12,11,759,293,466
33,22,1,1237900,0,0,VILLAGE,Vittampatti,Rural,183,970,496,474,158,82,76,74,33,41,0,0,0,433,279,154,537,217,320,493,282,211,299,225,74,122,103,19,65,35,30,3,2,1,109,85,24,194,57,137,15,8,7,152,32,120,1,1,0,26,16,10,477,214,263
33,22,1,1238000,0,0,VILLAGE,Kalkudi,Rural,428,2127,1080,1047,414,217,197,190,103,87,0,0,0,883,587,296,1244,493,751,1330,683,647,1212,678,534,493,255,238,218,68,150,0,0,0,501,355,146,118,5,113,19,1,18,91,3,88,2,1,1,6,0,6,797,397,400
33,22,1,1238100,0,0,VILLAGE,Poruvai,Rural,372,1800,905,895,290,141,149,535,270,265,0,0,0,672,432,240,1128,473,655,1072,588,484,953,578,375,592,352,240,180,92,88,6,6,0,175,128,47,119,10,109,2,2,0,115,7,108,0,0,0,2,1,1,728,317,411
33,22,1,1238200,0,0,VILLAGE,Buthakudi,Rural,593,2768,1404,1364,425,213,212,281,145,136,0,0,0,1234,736,498,1534,668,866,1481,839,642,1241,792,449,409,286,123,371,129,242,18,13,5,443,364,79,240,47,193,13,4,9,201,31,170,12,4,8,14,8,6,1287,565,722
33,22,1,1238300,0,0,VILLAGE,Melapachchakudi,Rural,435,2174,1087,1087,285,136,149,101,51,50,0,0,0,1161,687,474,1013,400,613,1101,602,499,1057,585,472,384,204,180,460,216,244,26,18,8,187,147,40,44,17,27,2,1,1,38,14,24,2,0,2,2,2,0,1073,485,588
33,22,1,1238400,0,0,VILLAGE,Kumarapatti,Rural,157,692,340,352,85,50,35,19,12,7,0,0,0,285,166,119,407,174,233,330,182,148,330,182,148,56,44,12,219,98,121,8,4,4,47,36,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,362,158,204
33,22,1,1238500,0,0,VILLAGE,Kunnathur,Rural,609,2617,1312,1305,349,197,152,453,216,237,0,0,0,1278,757,521,1339,555,784,1429,759,670,1317,722,595,392,201,191,504,233,271,16,9,7,405,279,126,112,37,75,3,1,2,90,25,65,5,3,2,14,8,6,1188,553,635
33,22,1,1238600,0,0,VILLAGE,Kathalur,Rural,313,1498,738,760,188,89,99,246,129,117,0,0,0,708,425,283,790,313,477,981,486,495,974,483,491,382,191,191,513,251,262,22,2,20,57,39,18,7,3,4,2,1,1,2,2,0,0,0,0,3,0,3,517,252,265
