STATE,DISTRICT,SUB-DISTT,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
33,22,2,0,0,0,TALUK,Kulathur,Rural,28035,135554,68052,67502,17237,8771,8466,21544,10770,10774,44,25,19,76708,45724,30984,58846,22328,36518,66327,40206,26121,54165,35624,18541,28253,19462,8791,14052,7030,7022,1269,734,535,10591,8398,2193,12162,4582,7580,2221,921,1300,8137,2455,5682,264,98,166,1540,1108,432,69227,27846,41381
33,22,2,1246500,0,0,VILLAGE,Kumaramangalam     .,Rural,500,2104,1083,1021,296,151,145,452,230,222,0,0,0,1348,774,574,756,309,447,817,506,311,603,376,227,211,147,64,230,88,142,26,18,8,136,123,13,214,130,84,7,3,4,135,63,72,3,2,1,69,62,7,1287,577,710
33,22,2,1246600,0,0,VILLAGE,Mathur,Rural,877,3887,1856,2031,454,244,210,689,330,359,21,12,9,2752,1446,1306,1135,410,725,1476,1043,433,1089,798,291,314,237,77,173,67,106,10,4,6,592,490,102,387,245,142,16,11,5,123,50,73,1,1,0,247,183,64,2411,813,1598
33,22,2,1246700,0,0,VILLAGE,Singathakurichi    .,Rural,247,1118,554,564,135,71,64,106,48,58,0,0,0,626,364,262,492,190,302,580,346,234,564,339,225,166,103,63,226,111,115,10,7,3,162,118,44,16,7,9,0,0,0,16,7,9,0,0,0,0,0,0,538,208,330
33,22,2,1246800,0,0,VILLAGE,Sengalakkudi       .,Rural,289,1299,651,648,141,66,75,203,99,104,8,4,4,877,517,360,422,134,288,656,417,239,654,416,238,432,293,139,102,23,79,12,7,5,108,93,15,2,1,1,0,0,0,1,0,1,0,0,0,1,1,0,643,234,409
33,22,2,1246900,0,0,VILLAGE,Mandaiyur,Rural,682,3165,1551,1614,387,191,196,204,102,102,7,5,2,1540,908,632,1625,643,982,1660,970,690,1344,832,512,728,512,216,305,69,236,13,8,5,298,243,55,316,138,178,35,9,26,173,46,127,0,0,0,108,83,25,1505,581,924
33,22,2,1247000,0,0,VILLAGE,Lakshmanapatti ,Rural,804,3907,1944,1963,544,288,256,479,240,239,0,0,0,2216,1291,925,1691,653,1038,1639,1095,544,1437,1001,436,698,548,150,346,161,185,19,8,11,374,284,90,202,94,108,18,8,10,162,69,93,2,1,1,20,16,4,2268,849,1419
33,22,2,1247100,0,0,VILLAGE,Chettipatti,Rural,447,2148,1069,1079,302,162,140,170,88,82,0,0,0,1043,602,441,1105,467,638,1115,655,460,905,622,283,578,473,105,234,76,158,2,1,1,91,72,19,210,33,177,12,2,10,197,31,166,1,0,1,0,0,0,1033,414,619
33,22,2,1247200,0,0,VILLAGE,Vellaipillayarpatti,Rural,68,408,211,197,46,22,24,56,27,29,0,0,0,263,166,97,145,45,100,137,126,11,126,116,10,74,72,2,10,8,2,1,1,0,41,35,6,11,10,1,0,0,0,2,2,0,1,1,0,8,7,1,271,85,186
33,22,2,1247300,0,0,VILLAGE,Kannangudi,Rural,201,987,484,503,123,63,60,103,48,55,0,0,0,589,339,250,398,145,253,506,289,217,381,273,108,224,178,46,65,26,39,36,24,12,56,45,11,125,16,109,8,0,8,111,12,99,1,0,1,5,4,1,481,195,286
33,22,2,1247400,0,0,VILLAGE,Sengalur,Rural,498,2394,1178,1216,393,188,205,193,95,98,0,0,0,1227,722,505,1167,456,711,1475,776,699,994,694,300,400,309,91,457,282,175,11,8,3,126,95,31,481,82,399,107,24,83,366,53,313,1,0,1,7,5,2,919,402,517
33,22,2,1247500,0,0,VILLAGE,Kattukottaipatti,Rural,98,475,248,227,62,34,28,2,1,1,0,0,0,237,147,90,238,101,137,249,158,91,203,147,56,133,96,37,37,22,15,0,0,0,33,29,4,46,11,35,17,5,12,29,6,23,0,0,0,0,0,0,226,90,136
33,22,2,1247600,0,0,VILLAGE,Killukottai,Rural,434,2083,1067,1016,237,138,99,441,231,210,0,0,0,1476,845,631,607,222,385,853,611,242,722,573,149,363,336,27,158,90,68,23,17,6,178,130,48,131,38,93,0,0,0,127,36,91,2,1,1,2,1,1,1230,456,774
33,22,2,1247700,0,0,VILLAGE,Ulagangattanpatti,Rural,120,527,248,279,74,31,43,172,77,95,0,0,0,266,158,108,261,90,171,277,148,129,126,110,16,58,52,6,36,33,3,0,0,0,32,25,7,151,38,113,80,18,62,70,19,51,0,0,0,1,1,0,250,100,150
33,22,2,1247800,0,0,VILLAGE,Killukulavoipatti,Rural,154,830,426,404,115,59,56,146,72,74,0,0,0,358,213,145,472,213,259,386,192,194,328,173,155,141,83,58,181,87,94,1,0,1,5,3,2,58,19,39,46,12,34,12,7,5,0,0,0,0,0,0,444,234,210
33,22,2,1247900,0,0,VILLAGE,Rakkadanpatti,Rural,268,1250,600,650,154,65,89,89,50,39,0,0,0,755,437,318,495,163,332,818,411,407,716,372,344,644,328,316,40,19,21,1,1,0,31,24,7,102,39,63,94,37,57,5,0,5,0,0,0,3,2,1,432,189,243
33,22,2,1248000,0,0,VILLAGE,T.Kizhaiyur,Rural,505,2544,1288,1256,333,172,161,349,180,169,0,0,0,1307,790,517,1237,498,739,1459,836,623,757,562,195,510,407,103,132,74,58,13,8,5,102,73,29,702,274,428,426,216,210,224,27,197,5,3,2,47,28,19,1085,452,633
33,22,2,1248100,0,0,VILLAGE,Visalur,Rural,177,840,418,422,118,62,56,111,60,51,0,0,0,449,263,186,391,155,236,525,286,239,373,213,160,340,187,153,1,1,0,1,0,1,31,25,6,152,73,79,4,3,1,145,68,77,3,2,1,0,0,0,315,132,183
33,22,2,1248200,0,0,VILLAGE,Puliyur,Rural,636,3130,1557,1573,423,207,216,191,107,84,0,0,0,1568,897,671,1562,660,902,1144,910,234,1068,877,191,749,622,127,129,89,40,16,8,8,174,158,16,76,33,43,5,2,3,39,19,20,18,2,16,14,10,4,1986,647,1339
33,22,2,1248300,0,0,VILLAGE,Metturpatti,Rural,144,717,349,368,89,43,46,0,0,0,0,0,0,353,197,156,364,152,212,452,241,211,224,208,16,156,149,7,2,0,2,0,0,0,66,59,7,228,33,195,6,2,4,215,26,189,1,0,1,6,5,1,265,108,157
