STATE,DISTRICT,SUB-DISTT,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
33,22,8,0,0,0,TALUK,Manamelkudi,Rural,17319,82326,41034,41292,11327,5770,5557,10699,5283,5416,99,46,53,54582,30550,24032,27744,10484,17260,34541,23799,10742,24950,19702,5248,7081,5076,2005,5501,3436,2065,451,233,218,11917,10957,960,9591,4097,5494,2782,1378,1404,6012,2219,3793,134,33,101,663,467,196,47785,17235,30550
33,22,8,1296500,0,0,VILLAGE,Kadai-Edaiyathur,Rural,49,226,105,121,32,12,20,120,51,69,0,0,0,124,69,55,102,36,66,76,64,12,74,64,10,28,27,1,39,32,7,1,1,0,6,4,2,2,0,2,0,0,0,2,0,2,0,0,0,0,0,0,150,41,109
33,22,8,1296600,0,0,VILLAGE,Kokkumuttai,Rural,21,71,42,29,6,4,2,0,0,0,0,0,0,60,38,22,11,4,7,26,22,4,26,22,4,20,18,2,4,2,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,20,25
33,22,8,1296700,0,0,VILLAGE,Idaiyattur,Rural,54,224,118,106,22,11,11,0,0,0,0,0,0,153,94,59,71,24,47,79,66,13,78,66,12,17,16,1,61,50,11,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,145,52,93
33,22,8,1296800,0,0,VILLAGE,Silattani,Rural,25,101,59,42,10,5,5,0,0,0,0,0,0,72,48,24,29,11,18,38,35,3,38,35,3,3,3,0,34,32,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,24,39
33,22,8,1296900,0,0,VILLAGE,Solani,Rural,10,45,26,19,1,0,1,0,0,0,0,0,0,42,26,16,3,0,3,30,20,10,15,15,0,15,15,0,0,0,0,0,0,0,0,0,0,15,5,10,0,0,0,15,5,10,0,0,0,0,0,0,15,6,9
33,22,8,1297100,0,0,VILLAGE,Kumballam,Rural,42,191,103,88,10,4,6,26,17,9,0,0,0,144,89,55,47,14,33,129,65,64,52,50,2,49,48,1,0,0,0,0,0,0,3,2,1,77,15,62,3,0,3,74,15,59,0,0,0,0,0,0,62,38,24
33,22,8,1297200,0,0,VILLAGE,Tirunallivayal,Rural,30,107,58,49,5,3,2,0,0,0,0,0,0,83,51,32,24,7,17,3,2,1,3,2,1,2,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,56,48
33,22,8,1297300,0,0,VILLAGE,Mavalinganendal,Rural,43,208,99,109,30,15,15,0,0,0,0,0,0,109,62,47,99,37,62,119,59,60,33,33,0,28,28,0,5,5,0,0,0,0,0,0,0,86,26,60,1,0,1,85,26,59,0,0,0,0,0,0,89,40,49
33,22,8,1297400,0,0,VILLAGE,Kambarkovil,Rural,111,457,215,242,73,41,32,77,34,43,0,0,0,273,137,136,184,78,106,231,125,106,21,17,4,2,2,0,1,1,0,0,0,0,18,14,4,210,108,102,61,33,28,147,73,74,0,0,0,2,2,0,226,90,136
