STATE,DISTRICT,TAHSIL,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,SUB-DISTT
33,27,,0,0,0,TALUK,Kamuthi,Total,26233,113460,56442,57018,14687,7473,7214,22876,11314,11562,38,20,18,69467,40673,28794,43993,15769,28224,58198,32185,26013,49535,29311,20224,19542,11242,8300,16948,7970,8978,780,329,451,12265,9770,2495,8663,2874,5789,860,298,562,6616,2001,4615,243,38,205,944,537,407,55262,24257,31005,4.0
33,27,,0,0,0,TALUK,Kamuthi,Rural,22025,93685,46880,46805,12307,6291,6016,20517,10216,10301,1,0,1,54733,33040,21693,38952,13840,25112,51702,27269,24433,43545,24561,18984,19396,11123,8273,16255,7604,8651,683,285,398,7211,5549,1662,8157,2708,5449,858,298,560,6219,1883,4336,234,36,198,846,491,355,41983,19611,22372,4.0
33,27,,0,0,0,TALUK,Kamuthi,Urban,4208,19775,9562,10213,2380,1182,1198,2359,1098,1261,37,20,17,14734,7633,7101,5041,1929,3112,6496,4916,1580,5990,4750,1240,146,119,27,693,366,327,97,44,53,5054,4221,833,506,166,340,2,0,2,397,118,279,9,2,7,98,46,52,13279,4646,8633,4.0
33,27,,1516400,0,0,VILLAGE,T.Punavasal ,Rural,551,2492,1212,1280,363,177,186,806,387,419,0,0,0,1335,822,513,1157,390,767,1383,691,692,883,580,303,404,273,131,266,137,129,5,2,3,208,168,40,500,111,389,5,2,3,403,74,329,41,2,39,51,33,18,1109,521,588,4.0
33,27,,1516500,0,0,VILLAGE,Vangarupuram,Rural,257,1246,652,594,223,118,105,663,348,315,0,0,0,601,436,165,645,216,429,673,342,331,667,340,327,194,106,88,451,224,227,0,0,0,22,10,12,6,2,4,3,1,2,3,1,2,0,0,0,0,0,0,573,310,263,4.0
33,27,,1516600,0,0,VILLAGE,Perianaikkulam ,Rural,372,1770,893,877,232,111,121,152,75,77,0,0,0,1032,622,410,738,271,467,1045,536,509,826,488,338,424,256,168,345,183,162,1,0,1,56,49,7,219,48,171,64,25,39,152,22,130,0,0,0,3,1,2,725,357,368,4.0
33,27,,1516700,0,0,VILLAGE,Achchangulam  ,Rural,609,2611,1328,1283,301,157,144,919,452,467,1,0,1,1375,843,532,1236,485,751,1516,791,725,1267,739,528,740,431,309,213,99,114,9,5,4,305,204,101,249,52,197,13,3,10,223,40,183,1,1,0,12,8,4,1095,537,558,4.0
33,27,,1516800,0,0,VILLAGE,A.Tharaikkudi,Rural,309,1503,747,756,198,94,104,272,130,142,0,0,0,1134,621,513,369,126,243,909,458,451,590,301,289,265,141,124,300,139,161,2,1,1,23,20,3,319,157,162,3,0,3,311,153,158,0,0,0,5,4,1,594,289,305,4.0
33,27,,1516900,0,0,VILLAGE,Vallandai,Rural,166,697,336,361,111,51,60,409,196,213,0,0,0,247,159,88,450,177,273,446,217,229,413,209,204,343,167,176,27,13,14,2,1,1,41,28,13,33,8,25,2,0,2,25,6,19,0,0,0,6,2,4,251,119,132,4.0
33,27,,1517000,0,0,VILLAGE,Eluvanur ,Rural,316,1281,622,659,165,84,81,429,211,218,0,0,0,831,481,350,450,141,309,651,389,262,578,370,208,283,204,79,170,79,91,0,0,0,125,87,38,73,19,54,11,4,7,17,4,13,35,7,28,10,4,6,630,233,397,4.0
