STATE,DISTRICT,TAHSIL,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,SUB-DISTT
33,27,,0,0,0,TALUK,Mudukulathur,Total,24119,101546,49998,51548,11839,6120,5719,29276,14665,14611,0,0,0,58431,34168,24263,43115,15830,27285,54030,28310,25720,46869,26120,20749,28520,15616,12904,10816,4542,6274,362,200,162,7171,5762,1409,7161,2190,4971,1802,542,1260,4752,1352,3400,135,31,104,472,265,207,47516,21688,25828,3.0
33,27,,0,0,0,TALUK,Mudukulathur,Rural,21280,88420,43468,44952,10144,5221,4923,26438,13261,13177,0,0,0,49247,29241,20006,39173,14227,24946,49863,25134,24729,43252,23235,20017,28221,15396,12825,10319,4242,6077,284,157,127,4428,3440,988,6611,1899,4712,1781,533,1248,4417,1207,3210,120,24,96,293,135,158,38557,18334,20223,3.0
33,27,,0,0,0,TALUK,Mudukulathur,Urban,2839,13126,6530,6596,1695,899,796,2838,1404,1434,0,0,0,9184,4927,4257,3942,1603,2339,4167,3176,991,3617,2885,732,299,220,79,497,300,197,78,43,35,2743,2322,421,550,291,259,21,9,12,335,145,190,15,7,8,179,130,49,8959,3354,5605,3.0
33,27,,1511900,0,0,VILLAGE,Melakodumalur,Rural,419,1730,874,856,189,100,89,1102,567,535,0,0,0,992,587,405,738,287,451,1070,571,499,1057,567,490,533,309,224,313,96,217,0,0,0,211,162,49,13,4,9,0,0,0,6,1,5,0,0,0,7,3,4,660,303,357,3.0
33,27,,1512000,0,0,VILLAGE,Thattanendal,Rural,28,98,45,53,9,6,3,0,0,0,0,0,0,55,32,23,43,13,30,68,28,40,68,28,40,66,28,38,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,17,13,3.0
33,27,,1512200,0,0,VILLAGE,Keelakodumalur ,Rural,256,1045,515,530,174,88,86,987,488,499,0,0,0,433,278,155,612,237,375,706,341,365,694,338,356,573,277,296,84,32,52,1,1,0,36,28,8,12,3,9,9,3,6,3,0,3,0,0,0,0,0,0,339,174,165,3.0
33,27,,1512300,0,0,VILLAGE,Vikkiramapandiapuram  ,Rural,528,2505,1265,1240,339,178,161,350,193,157,0,0,0,1408,873,535,1097,392,705,1469,746,723,1159,641,518,711,453,258,382,132,250,2,2,0,64,54,10,310,105,205,94,11,83,206,86,120,0,0,0,10,8,2,1036,519,517,3.0
33,27,,1512400,0,0,VILLAGE,Sathanur    ,Rural,475,2011,1017,994,208,109,99,130,70,60,0,0,0,1185,739,446,826,278,548,1242,617,625,1152,589,563,933,472,461,111,32,79,6,4,2,102,81,21,90,28,62,30,10,20,45,4,41,0,0,0,15,14,1,769,400,369,3.0
33,27,,1512600,0,0,VILLAGE,Merkkukottagudi,Rural,83,374,181,193,41,20,21,3,1,2,0,0,0,226,126,100,148,55,93,220,101,119,175,92,83,146,81,65,20,4,16,1,0,1,8,7,1,45,9,36,2,2,0,43,7,36,0,0,0,0,0,0,154,80,74,3.0
33,27,,1512700,0,0,VILLAGE,Melakulam  ,Rural,634,2604,1250,1354,336,163,173,590,284,306,0,0,0,1235,769,466,1369,481,888,1579,760,819,1466,741,725,1122,584,538,232,73,159,10,7,3,102,77,25,113,19,94,15,5,10,97,14,83,1,0,1,0,0,0,1025,490,535,3.0
33,27,,1512800,0,0,VILLAGE,Keelakulam ,Rural,447,1891,967,924,185,96,89,758,390,368,0,0,0,1099,677,422,792,290,502,1159,594,565,1046,549,497,879,465,414,150,73,77,0,0,0,17,11,6,113,45,68,23,14,9,86,29,57,2,1,1,2,1,1,732,373,359,3.0
