STATE,DISTRICT,TAHSIL,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,SUB-DISTT
33,27,,0,0,0,TALUK,Ramanathapuram,Total,76422,351165,171225,179940,44277,22498,21779,50595,24993,25602,869,452,417,237934,126607,111327,113231,44618,68613,125756,86945,38811,103025,78350,24675,17889,10617,7272,10859,7522,3337,6042,1096,4946,68235,59115,9120,22731,8595,14136,2450,904,1546,9317,3741,5576,4838,263,4575,6126,3687,2439,225409,84280,141129,6.0
33,27,,0,0,0,TALUK,Ramanathapuram,Rural,54316,242360,117813,124547,31057,15827,15230,43703,21486,22217,283,152,131,154445,83317,71128,87915,34496,53419,94824,60368,34456,74036,53078,20958,17746,10528,7218,10781,7460,3321,5531,871,4660,39978,34219,5759,20788,7290,13498,2428,891,1537,9281,3726,5555,4684,233,4451,4395,2440,1955,147536,57445,90091,6.0
33,27,,0,0,0,TALUK,Ramanathapuram,Urban,22106,108805,53412,55393,13220,6671,6549,6892,3507,3385,586,300,286,83489,43290,40199,25316,10122,15194,30932,26577,4355,28989,25272,3717,143,89,54,78,62,16,511,225,286,28257,24896,3361,1943,1305,638,22,13,9,36,15,21,154,30,124,1731,1247,484,77873,26835,51038,6.0
33,27,,1525700,0,0,VILLAGE,Pandamangalam,Rural,58,229,119,110,24,17,7,22,11,11,0,0,0,204,101,103,25,18,7,171,82,89,167,82,85,86,52,34,24,4,20,7,0,7,50,26,24,4,0,4,2,0,2,0,0,0,0,0,0,2,0,2,58,37,21,6.0
33,27,,1525800,0,0,VILLAGE,Andichiendal,Rural,18,80,45,35,8,4,4,52,30,22,0,0,0,70,41,29,10,4,6,74,41,33,58,38,20,42,33,9,13,3,10,0,0,0,3,2,1,16,3,13,14,2,12,1,0,1,0,0,0,1,1,0,6,4,2,6.0
33,27,,1526000,0,0,VILLAGE,Vennathur ,Rural,544,2218,1063,1155,266,138,128,508,230,278,0,0,0,1471,781,690,747,282,465,1390,697,693,1236,643,593,756,392,364,201,85,116,37,7,30,242,159,83,154,54,100,63,25,38,81,25,56,3,2,1,7,2,5,828,366,462,6.0
33,27,,1526100,0,0,VILLAGE,Pathanendal,Rural,161,638,275,363,74,37,37,33,20,13,0,0,0,334,168,166,304,107,197,310,140,170,309,140,169,201,58,143,13,5,8,0,0,0,95,77,18,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,328,135,193,6.0
33,27,,1526200,0,0,VILLAGE,Naranamangalam,Rural,296,1342,654,688,150,78,72,352,166,186,0,0,0,715,408,307,627,246,381,985,469,516,899,444,455,810,397,413,16,2,14,7,3,4,66,42,24,86,25,61,67,17,50,3,2,1,4,1,3,12,5,7,357,185,172,6.0
33,27,,1526300,0,0,VILLAGE,Alamalandal,Rural,450,1961,956,1005,245,130,115,913,460,453,0,0,0,1106,611,495,855,345,510,1218,596,622,828,397,431,735,344,391,13,4,9,14,3,11,66,46,20,390,199,191,39,15,24,347,182,165,0,0,0,4,2,2,743,360,383,6.0
33,27,,1526400,0,0,VILLAGE,Devipattinam  ,Rural,2097,10166,4891,5275,1565,790,775,1830,878,952,225,119,106,6779,3482,3297,3387,1409,1978,2987,2446,541,2508,2184,324,98,74,24,106,56,50,129,99,30,2175,1955,220,479,262,217,229,108,121,67,19,48,35,16,19,148,119,29,7179,2445,4734,6.0
33,27,,1526500,0,0,VILLAGE,Peruvayal,Rural,329,1394,681,713,213,101,112,1075,519,556,0,0,0,700,399,301,694,282,412,803,416,387,798,412,386,480,242,238,12,6,6,244,113,131,62,51,11,5,4,1,2,2,0,2,1,1,0,0,0,1,1,0,591,265,326,6.0
33,27,,1526600,0,0,VILLAGE,Kumariyendal,Rural,63,298,154,144,27,17,10,28,16,12,0,0,0,145,90,55,153,64,89,207,103,104,207,103,104,204,101,103,0,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,51,40,6.0
33,27,,1526700,0,0,VILLAGE,Kavanur       ,Rural,573,2379,1145,1234,293,139,154,981,467,514,0,0,0,1437,824,613,942,321,621,1531,761,770,1136,610,526,657,313,344,307,157,150,5,3,2,167,137,30,395,151,244,221,108,113,156,30,126,1,0,1,17,13,4,848,384,464,6.0
33,27,,1526800,0,0,VILLAGE,Karendal,Rural,232,911,426,485,84,54,30,360,182,178,0,0,0,589,322,267,322,104,218,618,285,333,378,258,120,111,58,53,187,137,50,0,0,0,80,63,17,240,27,213,19,8,11,214,16,198,0,0,0,7,3,4,293,141,152,6.0
33,27,,1526900,0,0,VILLAGE,Pullangudi,Rural,323,1398,703,695,174,104,70,727,363,364,0,0,0,892,512,380,506,191,315,742,411,331,612,367,245,270,131,139,69,29,40,4,1,3,269,206,63,130,44,86,49,21,28,70,18,52,0,0,0,11,5,6,656,292,364,6.0
33,27,,1527000,0,0,VILLAGE,Chittrakkottai,Rural,1818,8111,3701,4410,1110,569,541,754,359,395,0,0,0,5331,2640,2691,2780,1061,1719,2735,1872,863,1954,1571,383,179,132,47,118,54,64,40,15,25,1617,1370,247,781,301,480,23,11,12,50,14,36,353,10,343,355,266,89,5376,1829,3547,6.0
33,27,,1527100,0,0,VILLAGE,Athyuthu,Rural,491,2448,1151,1297,375,188,187,302,144,158,0,0,0,1555,781,774,893,370,523,775,565,210,507,353,154,98,87,11,49,40,9,121,1,120,239,225,14,268,212,56,32,16,16,126,106,20,2,1,1,108,89,19,1673,586,1087,6.0
33,27,,1527200,0,0,VILLAGE,Palangulam,Rural,201,941,439,502,110,52,58,304,136,168,0,0,0,614,333,281,327,106,221,258,223,35,162,147,15,1,0,1,2,1,1,0,0,0,159,146,13,96,76,20,1,1,0,91,72,19,3,2,1,1,1,0,683,216,467,6.0
33,27,,1527300,0,0,VILLAGE,Toruvalur,Rural,647,2474,1205,1269,307,170,137,1407,700,707,0,0,0,1553,852,701,921,353,568,1535,750,785,1034,713,321,249,162,87,340,139,201,0,0,0,445,412,33,501,37,464,22,6,16,454,22,432,1,0,1,24,9,15,939,455,484,6.0
33,27,,1527400,0,0,VILLAGE,Vannivayal,Rural,407,1625,817,808,189,106,83,1019,517,502,0,0,0,851,494,357,774,323,451,920,464,456,604,411,193,355,207,148,187,150,37,0,0,0,62,54,8,316,53,263,12,7,5,256,21,235,5,1,4,43,24,19,705,353,352,6.0
33,27,,1527500,0,0,VILLAGE,Surankottai ,Rural,1014,4445,2253,2192,517,277,240,1728,855,873,3,2,1,2857,1677,1180,1588,576,1012,1330,1075,255,1300,1062,238,234,186,48,190,149,41,48,27,21,828,700,128,30,13,17,11,3,8,6,1,5,2,2,0,11,7,4,3115,1178,1937,6.0
33,27,,1527600,0,0,VILLAGE,Pattinamkattan    ,Rural,3310,14244,7122,7122,1792,909,883,2605,1324,1281,1,1,0,10246,5486,4760,3998,1636,2362,4682,3580,1102,3913,3265,648,178,157,21,662,526,136,51,18,33,3022,2564,458,769,315,454,186,82,104,327,137,190,31,3,28,225,93,132,9562,3542,6020,6.0
33,27,,1527700,0,0,VILLAGE,Thiruvolhiyakalugoorani  ,Rural,630,2960,1437,1523,361,180,181,325,158,167,0,0,0,1879,1043,836,1081,394,687,1076,776,300,747,519,228,224,128,96,159,120,39,4,0,4,360,271,89,329,257,72,5,2,3,317,251,66,4,1,3,3,3,0,1884,661,1223,6.0
33,27,,1527800,0,0,VILLAGE,Terbhogi        ,Rural,1037,4685,2128,2557,633,342,291,112,47,65,0,0,0,2927,1378,1549,1758,750,1008,1441,951,490,939,852,87,34,31,3,166,150,16,18,9,9,721,662,59,502,99,403,0,0,0,215,53,162,229,0,229,58,46,12,3244,1177,2067,6.0
33,27,,1527900,0,0,VILLAGE,Alagankulam     ,Rural,2894,13754,6262,7492,1917,967,950,500,224,276,0,0,0,9713,4654,5059,4041,1608,2433,2797,2276,521,2292,2118,174,85,75,10,24,22,2,41,32,9,2142,1989,153,505,158,347,4,2,2,0,0,0,183,7,176,318,149,169,10957,3986,6971,6.0
33,27,,1528000,0,0,VILLAGE,Attangarai,Rural,565,2764,1319,1445,339,170,169,0,0,0,0,0,0,1810,955,855,954,364,590,815,647,168,706,593,113,34,33,1,176,111,65,9,7,2,487,442,45,109,54,55,6,3,3,56,15,41,1,0,1,46,36,10,1949,672,1277,6.0
33,27,,1528100,0,0,VILLAGE,Perungulam  ,Rural,1134,5280,2616,2664,716,393,323,51,27,24,0,0,0,3336,1831,1505,1944,785,1159,2514,1478,1036,2236,1389,847,97,66,31,194,125,69,651,31,620,1294,1167,127,278,89,189,5,1,4,153,23,130,44,2,42,76,63,13,2766,1138,1628,6.0
33,27,,1528200,0,0,VILLAGE,Valantaravai,Rural,1689,7400,3665,3735,856,415,441,1354,670,684,0,0,0,4697,2687,2010,2703,978,1725,3067,1943,1124,2121,1546,575,114,77,37,1182,919,263,183,19,164,642,531,111,946,397,549,12,10,2,634,340,294,245,15,230,55,32,23,4333,1722,2611,6.0
33,27,,1528300,0,0,VILLAGE,Kusavankudi,Rural,599,2728,1288,1440,366,175,191,727,347,380,0,0,0,1717,905,812,1011,383,628,1000,629,371,721,564,157,175,134,41,207,132,75,5,2,3,334,296,38,279,65,214,11,2,9,129,23,106,90,5,85,49,35,14,1728,659,1069,6.0
