STATE,DISTRICT,TAHSIL,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,SUB-DISTT
33,8,,0,0,0,TALUK,Attur,Total,95590,384642,194692,189950,44302,23181,21121,87534,44356,43178,33086,16766,16320,219406,127517,91889,165236,67175,98061,206218,118855,87363,173067,106697,66370,71889,42838,29051,54983,27511,27472,3413,1887,1526,42782,34461,8321,33151,12158,20993,4062,1214,2848,24583,8471,16112,977,218,759,3529,2255,1274,178424,75837,102587,8.0
33,8,,0,0,0,TALUK,Attur,Rural,68371,272815,138528,134287,31795,16702,15093,63261,32172,31089,32145,16276,15869,145287,86224,59063,127528,52304,75224,158556,85894,72662,131778,76311,55467,65843,38629,27214,45725,22187,23538,2289,1222,1067,17921,14273,3648,26778,9583,17195,3535,1035,2500,20894,7200,13694,523,147,376,1826,1201,625,114259,52634,61625,8.0
33,8,,0,0,0,TALUK,Attur,Urban,27219,111827,56164,55663,12507,6479,6028,24273,12184,12089,941,490,451,74119,41293,32826,37708,14871,22837,47662,32961,14701,41289,30386,10903,6046,4209,1837,9258,5324,3934,1124,665,459,24861,20188,4673,6373,2575,3798,527,179,348,3689,1271,2418,454,71,383,1703,1054,649,64165,23203,40962,8.0
33,8,,684100,0,0,VILLAGE,Neyyamalai,Rural,368,1889,947,942,358,169,189,11,8,3,1741,866,875,333,220,113,1556,727,829,1124,570,554,1088,553,535,1016,515,501,49,27,22,14,6,8,9,5,4,36,17,19,6,3,3,30,14,16,0,0,0,0,0,0,765,377,388,8.0
33,8,,684200,0,0,VILLAGE,Tumbal,Rural,1322,5465,2743,2722,685,327,358,1872,933,939,163,94,69,2772,1630,1142,2693,1113,1580,2916,1658,1258,2223,1381,842,843,515,328,930,530,400,95,60,35,355,276,79,693,277,416,96,39,57,572,223,349,5,1,4,20,14,6,2549,1085,1464,8.0
33,8,,684300,0,0,VILLAGE,Malayalapatti,Rural,861,3323,1715,1608,319,164,155,128,68,60,2255,1169,1086,1372,831,541,1951,884,1067,1991,1071,920,1928,1052,876,989,549,440,780,373,407,1,1,0,158,129,29,63,19,44,6,3,3,52,11,41,0,0,0,5,5,0,1332,644,688,8.0
33,8,,684400,0,0,VILLAGE,Aruna RF,Rural,107,438,218,220,68,25,43,0,0,0,411,208,203,51,25,26,387,193,194,260,143,117,258,142,116,2,1,1,247,133,114,0,0,0,9,8,1,2,1,1,1,1,0,1,0,1,0,0,0,0,0,0,178,75,103,8.0
33,8,,684500,0,0,VILLAGE,ChinnakalrayanHillsTherkkunadu,Rural,1090,4816,2384,2432,674,336,338,52,23,29,4395,2177,2218,1310,790,520,3506,1594,1912,2904,1441,1463,2415,1251,1164,1842,953,889,426,222,204,71,32,39,76,44,32,489,190,299,172,78,94,229,87,142,71,17,54,17,8,9,1912,943,969,8.0
33,8,,684700,0,0,VILLAGE,ChinnakalrayanHillsvadakkunadu,Rural,2167,9441,4734,4707,1336,685,651,79,34,45,8320,4174,4146,2478,1533,945,6963,3201,3762,5758,2924,2834,4768,2615,2153,3524,1902,1622,806,435,371,90,33,57,348,245,103,990,309,681,143,58,85,779,225,554,27,8,19,41,18,23,3683,1810,1873,8.0
33,8,,684800,0,0,VILLAGE,Tumbal Extension RF,Rural,56,239,131,108,27,15,12,123,67,56,0,0,0,133,83,50,106,48,58,167,91,76,167,91,76,125,72,53,24,6,18,5,0,5,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,40,32,8.0
