STATE,DISTRICT,TAHSIL,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,SUB-DISTT
33,8,,0,0,0,TALUK,Salem,Total,255192,1071211,548109,523102,123625,64891,58734,134966,68248,66718,10687,5404,5283,684640,386436,298204,386571,161673,224898,444426,326013,118413,413140,313630,99510,25193,16114,9079,33285,17996,15289,61531,41058,20473,293131,238462,54669,31286,12383,18903,1677,416,1261,12419,3531,8888,4749,1226,3523,12441,7210,5231,626785,222096,404689,5.0
33,8,,0,0,0,TALUK,Salem,Rural,64444,258426,134422,124004,32570,17713,14857,41839,21379,20460,9012,4534,4478,130438,79829,50609,127988,54593,73395,128971,82918,46053,110887,76745,34142,21742,13728,8014,24174,12661,11513,16343,11193,5150,48628,39163,9465,18084,6173,11911,1515,356,1159,10719,3036,7683,1869,527,1342,3981,2254,1727,129455,51504,77951,5.0
33,8,,0,0,0,TALUK,Salem,Urban,190748,812785,413687,399098,91055,47178,43877,93127,46869,46258,1675,870,805,554202,306607,247595,258583,107080,151503,315455,243095,72360,302253,236885,65368,3451,2386,1065,9111,5335,3776,45188,29865,15323,244503,199299,45204,13202,6210,6992,162,60,102,1700,495,1205,2880,699,2181,8460,4956,3504,497330,170592,326738,5.0
33,8,,656900,0,0,VILLAGE,Keeraipappambadi,Rural,906,3666,1971,1695,468,257,211,292,150,142,0,0,0,1433,973,460,2233,998,1235,2156,1234,922,2069,1194,875,327,207,120,164,83,81,1118,552,566,460,352,108,87,40,47,4,1,3,19,4,15,32,9,23,32,26,6,1510,737,773,5.0
33,8,,657000,0,0,VILLAGE,Sarkar Gollappatti,Rural,555,2333,1229,1104,282,165,117,3,2,1,0,0,0,1236,762,474,1097,467,630,946,695,251,909,687,222,32,25,7,28,13,15,133,69,64,716,580,136,37,8,29,3,2,1,1,0,1,11,0,11,22,6,16,1387,534,853,5.0
33,8,,657100,0,0,VILLAGE,A.Ayyamperumalpatti,Rural,726,3172,1672,1500,401,224,177,233,124,109,0,0,0,1657,1039,618,1515,633,882,1144,921,223,1067,888,179,73,61,12,108,63,45,43,33,10,843,731,112,77,33,44,4,2,2,47,19,28,0,0,0,26,12,14,2028,751,1277,5.0
33,8,,657300,0,0,VILLAGE,Chettichavadi,Rural,1074,4300,2337,1963,558,327,231,340,190,150,9,3,6,2235,1415,820,2065,922,1143,2009,1372,637,2007,1370,637,408,256,152,616,320,296,13,8,5,970,786,184,2,2,0,0,0,0,1,1,0,1,1,0,0,0,0,2291,965,1326,5.0
33,8,,657400,0,0,VILLAGE,Kondappanayakkanpatti,Rural,1272,5325,2759,2566,658,338,320,858,444,414,138,85,53,3352,1954,1398,1973,805,1168,2077,1475,602,2001,1467,534,209,138,71,404,198,206,28,17,11,1360,1114,246,76,8,68,18,3,15,49,4,45,1,0,1,8,1,7,3248,1284,1964,5.0
33,8,,657500,0,0,VILLAGE,M.Palapatti,Rural,759,2939,1511,1428,323,180,143,550,294,256,0,0,0,1560,933,627,1379,578,801,1746,972,774,1441,860,581,446,253,193,649,323,326,2,0,2,344,284,60,305,112,193,26,6,20,271,99,172,0,0,0,8,7,1,1193,539,654,5.0
33,8,,657600,0,0,VILLAGE,Karpagam,Rural,107,378,189,189,35,19,16,121,63,58,0,0,0,151,84,67,227,105,122,260,131,129,241,126,115,112,56,56,112,55,57,0,0,0,17,15,2,19,5,14,10,2,8,5,1,4,0,0,0,4,2,2,118,58,60,5.0
