STATE,DISTRICT,TAHSIL,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,SUB-DISTT
33,23,,0,0,0,TALUK,Manamadurai,Total,42296,184765,92892,91873,22602,11508,11094,37754,18950,18804,374,186,188,113654,67086,46568,71111,25806,45305,79320,51527,27793,63711,44911,18800,21796,15633,6163,16404,9188,7216,1223,644,579,24288,19446,4842,15609,6616,8993,2041,1031,1010,10750,4027,6723,348,98,250,2470,1460,1010,105445,41365,64080,5.0
33,23,,0,0,0,TALUK,Manamadurai,Rural,31492,136923,68762,68161,16731,8514,8217,32233,16168,16065,231,114,117,78913,47899,31014,58010,20863,37147,63163,38643,24520,49221,32964,16257,21163,15097,6066,14961,8084,6877,887,476,411,12210,9307,2903,13942,5679,8263,1995,1010,985,10131,3676,6455,267,72,195,1549,921,628,73760,30119,43641,5.0
33,23,,0,0,0,TALUK,Manamadurai,Urban,10804,47842,24130,23712,5871,2994,2877,5521,2782,2739,143,72,71,34741,19187,15554,13101,4943,8158,16157,12884,3273,14490,11947,2543,633,536,97,1443,1104,339,336,168,168,12078,10139,1939,1667,937,730,46,21,25,619,351,268,81,26,55,921,539,382,31685,11246,20439,5.0
33,23,,1351900,0,0,VILLAGE,Sayanapuram,Rural,209,922,466,456,114,72,42,354,168,186,0,0,0,528,307,221,394,159,235,410,293,117,186,152,34,24,19,5,12,12,0,4,2,2,146,119,27,224,141,83,13,11,2,156,92,64,0,0,0,55,38,17,512,173,339,5.0
33,23,,1352000,0,0,VILLAGE,Sottathatti,Rural,346,1510,761,749,196,109,87,765,392,373,0,0,0,859,507,352,651,254,397,859,451,408,545,335,210,131,76,55,152,96,56,12,6,6,250,157,93,314,116,198,13,5,8,282,102,180,0,0,0,19,9,10,651,310,341,5.0
33,23,,1352100,0,0,VILLAGE,Keeladi,Rural,1025,4448,2178,2270,617,306,311,1281,590,691,0,0,0,2872,1586,1286,1576,592,984,1757,1214,543,1477,1088,389,147,114,33,499,307,192,44,22,22,787,645,142,280,126,154,10,4,6,188,84,104,9,1,8,73,37,36,2691,964,1727,5.0
33,23,,1352200,0,0,VILLAGE,Manalur,Rural,594,2446,1216,1230,346,178,168,636,321,315,0,0,0,1367,803,564,1079,413,666,1112,710,402,873,628,245,83,66,17,114,95,19,15,10,5,661,457,204,239,82,157,13,2,11,141,41,100,5,0,5,80,39,41,1334,506,828,5.0
33,23,,1352300,0,0,VILLAGE,Adikarai,Rural,163,751,371,380,106,54,52,27,12,15,0,0,0,472,272,200,279,99,180,268,213,55,256,212,44,62,59,3,101,77,24,26,13,13,67,63,4,12,1,11,1,0,1,0,0,0,9,1,8,2,0,2,483,158,325,5.0
33,23,,1352400,0,0,VILLAGE,Puvandi,Rural,657,2958,1519,1439,439,241,198,527,263,264,0,0,0,1515,989,526,1443,530,913,1480,849,631,1413,835,578,334,207,127,765,379,386,42,23,19,272,226,46,67,14,53,3,1,2,57,8,49,0,0,0,7,5,2,1478,670,808,5.0
33,23,,1352500,0,0,VILLAGE,Enathi ,Rural,604,2550,1282,1268,346,182,164,617,311,306,0,0,0,1285,852,433,1265,430,835,1164,757,407,1142,752,390,346,304,42,549,277,272,10,6,4,237,165,72,22,5,17,2,2,0,14,0,14,0,0,0,6,3,3,1386,525,861,5.0
33,23,,1352600,0,0,VILLAGE,Semboor,Rural,35,128,63,65,29,17,12,0,0,0,0,0,0,64,38,26,64,25,39,51,32,19,51,32,19,7,4,3,10,6,4,1,0,1,33,22,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,31,46,5.0
33,23,,1352700,0,0,VILLAGE,Pappagudi ,Rural,638,3038,1568,1470,336,187,149,701,356,345,0,0,0,1700,1048,652,1338,520,818,1892,967,925,1772,919,853,609,363,246,909,397,512,106,53,53,148,106,42,120,48,72,27,15,12,68,20,48,4,1,3,21,12,9,1146,601,545,5.0
33,23,,1352800,0,0,VILLAGE,Theli,Rural,179,775,386,389,90,39,51,228,106,122,0,0,0,451,275,176,324,111,213,427,224,203,422,223,199,252,124,128,139,71,68,0,0,0,31,28,3,5,1,4,1,0,1,2,1,1,2,0,2,0,0,0,348,162,186,5.0
33,23,,1352900,0,0,VILLAGE,"Madapuram,",Rural,524,2496,1291,1205,279,142,137,604,347,257,102,57,45,1581,946,635,915,345,570,880,604,276,579,415,164,89,68,21,265,166,99,10,7,3,215,174,41,301,189,112,16,7,9,211,128,83,4,3,1,70,51,19,1616,687,929,5.0
33,23,,1353000,0,0,VILLAGE,Kalugerkadai,Rural,560,2639,1312,1327,334,155,179,662,334,328,0,0,0,1655,987,668,984,325,659,1041,730,311,891,657,234,168,126,42,404,275,129,20,10,10,299,246,53,150,73,77,3,0,3,123,61,62,0,0,0,24,12,12,1598,582,1016,5.0
33,23,,1353100,0,0,VILLAGE,Kondagai ,Rural,1066,4509,2258,2251,638,313,325,1483,733,750,0,0,0,2335,1418,917,2174,840,1334,2250,1348,902,1686,1090,596,392,275,117,491,253,238,46,31,15,757,531,226,564,258,306,57,25,32,475,218,257,4,0,4,28,15,13,2259,910,1349,5.0
33,23,,1353200,0,0,VILLAGE,Pottapalaiyam,Rural,143,639,349,290,82,39,43,142,76,66,19,7,12,415,269,146,224,80,144,272,168,104,256,161,95,55,28,27,71,40,31,6,3,3,124,90,34,16,7,9,0,0,0,5,2,3,0,0,0,11,5,6,367,181,186,5.0
33,23,,1353300,0,0,VILLAGE,D.Karisalkulam ,Rural,376,1565,788,777,186,104,82,1505,758,747,0,0,0,768,473,295,797,315,482,740,432,308,533,289,244,56,31,25,375,188,187,3,2,1,99,68,31,207,143,64,80,75,5,111,61,50,1,1,0,15,6,9,825,356,469,5.0
33,23,,1353400,0,0,VILLAGE,Kaluvangulam,Rural,331,1307,676,631,186,97,89,374,190,184,0,0,0,627,410,217,680,266,414,556,388,168,464,364,100,50,47,3,179,125,54,4,2,2,231,190,41,92,24,68,5,3,2,70,18,52,1,0,1,16,3,13,751,288,463,5.0
33,23,,1353500,0,0,VILLAGE,Vellur,Rural,232,1016,528,488,137,77,60,519,272,247,0,0,0,597,374,223,419,154,265,670,345,325,662,342,320,589,305,284,72,36,36,0,0,0,1,1,0,8,3,5,8,3,5,0,0,0,0,0,0,0,0,0,346,183,163,5.0
33,23,,1353600,0,0,VILLAGE,Mankudi,Rural,131,467,237,230,66,35,31,200,96,104,0,0,0,250,166,84,217,71,146,273,157,116,146,113,33,106,81,25,8,3,5,0,0,0,32,29,3,127,44,83,6,2,4,99,23,76,0,0,0,22,19,3,194,80,114,5.0
33,23,,1353700,0,0,VILLAGE,Kaliyandur,Rural,359,1728,845,883,223,115,108,498,243,255,0,0,0,1067,628,439,661,217,444,663,530,133,631,508,123,296,279,17,231,148,83,6,4,2,98,77,21,32,22,10,7,7,0,18,9,9,0,0,0,7,6,1,1065,315,750,5.0
33,23,,1353800,0,0,VILLAGE,Allinagaram,Rural,580,2560,1327,1233,319,173,146,435,222,213,0,0,0,1335,883,452,1225,444,781,1298,787,511,1069,757,312,432,358,74,388,190,198,4,4,0,245,205,40,229,30,199,6,2,4,206,20,186,6,1,5,11,7,4,1262,540,722,5.0
33,23,,1353900,0,0,VILLAGE,Valaiyanendal,Rural,121,483,240,243,67,31,36,7,4,3,0,0,0,311,190,121,172,50,122,228,152,76,88,74,14,31,30,1,3,2,1,0,0,0,54,42,12,140,78,62,0,0,0,137,77,60,1,0,1,2,1,1,255,88,167,5.0
33,23,,1354000,0,0,VILLAGE,Panaiyanendal,Rural,97,359,173,186,29,17,12,57,23,34,0,0,0,149,101,48,210,72,138,228,117,111,223,115,108,71,40,31,145,69,76,0,0,0,7,6,1,5,2,3,0,0,0,5,2,3,0,0,0,0,0,0,131,56,75,5.0
33,23,,1354100,0,0,VILLAGE,Ladanendal ,Rural,787,3358,1691,1667,420,214,206,254,123,131,0,0,0,2238,1313,925,1120,378,742,1251,862,389,818,645,173,230,208,22,280,189,91,10,2,8,298,246,52,433,217,216,149,117,32,246,77,169,7,1,6,31,22,9,2107,829,1278,5.0
33,23,,1354200,0,0,VILLAGE,Thoothai,Rural,511,2274,1156,1118,314,152,162,296,157,139,0,0,0,1276,786,490,998,370,628,1030,697,333,888,604,284,168,131,37,595,374,221,9,5,4,116,94,22,142,93,49,6,6,0,100,59,41,4,2,2,32,26,6,1244,459,785,5.0
33,23,,1354300,0,0,VILLAGE,Kanoor,Rural,269,1095,507,588,94,37,57,258,120,138,0,0,0,748,401,347,347,106,241,592,329,263,428,259,169,278,166,112,95,48,47,4,3,1,51,42,9,164,70,94,23,6,17,133,57,76,0,0,0,8,7,1,503,178,325,5.0
33,23,,1354400,0,0,VILLAGE,Tiruppachetti North,Rural,639,2839,1430,1409,334,196,138,691,338,353,0,0,0,1912,1079,833,927,351,576,1197,800,397,1075,731,344,347,275,72,452,241,211,27,15,12,249,200,49,122,69,53,21,13,8,77,38,39,8,4,4,16,14,2,1642,630,1012,5.0
33,23,,1354500,0,0,VILLAGE,Malavarayanendal ,Rural,412,1975,992,983,278,141,137,572,298,274,0,0,0,1244,715,529,731,277,454,1068,570,498,624,413,211,141,100,41,407,250,157,3,3,0,73,60,13,444,157,287,14,4,10,421,152,269,8,0,8,1,1,0,907,422,485,5.0
33,23,,1354600,0,0,VILLAGE,Thiruppachethi South,Rural,568,2549,1263,1286,293,149,144,64,33,31,0,0,0,1732,966,766,817,297,520,1165,729,436,743,531,212,306,233,73,199,108,91,22,17,5,216,173,43,422,198,224,29,15,14,367,169,198,3,0,3,23,14,9,1384,534,850,5.0
33,23,,1354700,0,0,VILLAGE,Kottangulam ,Rural,1022,4352,2162,2190,560,301,259,624,306,318,0,0,0,2351,1465,886,2001,697,1304,2317,1278,1039,1506,904,602,438,357,81,820,384,436,12,5,7,236,158,78,811,374,437,61,46,15,742,324,418,2,1,1,6,3,3,2035,884,1151,5.0
33,23,,1354800,0,0,VILLAGE,Melachorikulam ,Rural,420,1891,953,938,244,125,119,233,112,121,0,0,0,915,571,344,976,382,594,821,490,331,426,376,50,212,204,8,131,111,20,0,0,0,83,61,22,395,114,281,24,10,14,359,98,261,2,1,1,10,5,5,1070,463,607,5.0
33,23,,1354900,0,0,VILLAGE,Piramanur,Rural,736,3180,1600,1580,401,187,214,1042,511,531,0,0,0,1567,1002,565,1613,598,1015,1916,1004,912,1834,972,862,1040,579,461,537,190,347,15,8,7,242,195,47,82,32,50,11,6,5,57,17,40,2,1,1,12,8,4,1264,596,668,5.0
33,23,,1355000,0,0,VILLAGE,Melarangiam,Rural,593,2475,1238,1237,304,169,135,288,142,146,0,0,0,1289,837,452,1186,401,785,1389,773,616,1277,735,542,150,98,52,608,313,295,34,14,20,485,310,175,112,38,74,5,2,3,82,22,60,2,0,2,23,14,9,1086,465,621,5.0
33,23,,1355100,0,0,VILLAGE,Ambalathadi ,Rural,357,1478,738,740,189,104,85,487,249,238,0,0,0,697,444,253,781,294,487,826,458,368,484,372,112,208,187,21,155,90,65,1,1,0,120,94,26,342,86,256,79,20,59,223,41,182,3,1,2,37,24,13,652,280,372,5.0
33,23,,1355200,0,0,VILLAGE,Sengulam,Rural,212,990,472,518,160,75,85,51,23,28,0,0,0,435,285,150,555,187,368,591,273,318,449,272,177,255,196,59,159,54,105,0,0,0,35,22,13,142,1,141,3,1,2,139,0,139,0,0,0,0,0,0,399,199,200,5.0
33,23,,1355300,0,0,VILLAGE,Kanjirangulam,Rural,387,1751,873,878,230,107,123,280,145,135,0,0,0,897,554,343,854,319,535,883,528,355,699,490,209,208,163,45,191,107,84,2,1,1,298,219,79,184,38,146,6,5,1,146,15,131,0,0,0,32,18,14,868,345,523,5.0
33,23,,1355400,0,0,VILLAGE,Erukkilaivellur,Rural,204,910,475,435,128,62,66,409,210,199,0,0,0,421,296,125,489,179,310,497,260,237,327,232,95,157,118,39,60,38,22,0,0,0,110,76,34,170,28,142,3,0,3,162,25,137,0,0,0,5,3,2,413,215,198,5.0
33,23,,1355500,0,0,VILLAGE,Mukkudi,Rural,166,728,360,368,102,51,51,586,290,296,0,0,0,424,263,161,304,97,207,442,206,236,387,188,199,288,145,143,38,16,22,6,1,5,55,26,29,55,18,37,1,0,1,3,1,2,5,0,5,46,17,29,286,154,132,5.0
33,23,,1355600,0,0,VILLAGE,Vallarendal ,Rural,312,1442,731,711,154,79,75,200,101,99,0,0,0,862,546,316,580,185,395,778,436,342,684,419,265,528,310,218,68,35,33,0,0,0,88,74,14,94,17,77,11,4,7,82,12,70,0,0,0,1,1,0,664,295,369,5.0
33,23,,1355700,0,0,VILLAGE,Palaiyanur,Rural,355,1574,814,760,159,79,80,152,104,48,0,0,0,990,610,380,584,204,380,654,423,231,626,408,218,412,256,156,89,56,33,14,6,8,111,90,21,28,15,13,19,10,9,4,2,2,0,0,0,5,3,2,920,391,529,5.0
33,23,,1355800,0,0,VILLAGE,Saluppanodai,Rural,140,651,333,318,98,44,54,5,2,3,0,0,0,244,164,80,407,169,238,439,225,214,417,216,201,279,172,107,114,31,83,2,1,1,22,12,10,22,9,13,16,8,8,5,1,4,0,0,0,1,0,1,212,108,104,5.0
