STATE,DISTRICT,TAHSIL,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,SUB-DISTT
33,21,,0,0,0,TALUK,Kumbakonam,Total,91470,404393,201858,202535,46427,23464,22963,68837,34538,34299,210,107,103,283963,154793,129170,120430,47065,73365,147300,113886,33414,129526,104889,24637,9341,8222,1119,36386,26097,10289,11390,7717,3673,72409,62853,9556,17774,8997,8777,609,316,293,12055,5501,6554,1126,394,732,3984,2786,1198,257093,87972,169121,2.0
33,21,,0,0,0,TALUK,Kumbakonam,Rural,48007,209461,104850,104611,25756,12978,12778,55721,27890,27831,82,45,37,134859,75701,59158,74602,29149,45453,82664,60663,22001,69318,54519,14799,8446,7393,1053,34084,24237,9847,3126,2207,919,23662,20682,2980,13346,6144,7202,559,273,286,10588,4578,6010,456,146,310,1743,1147,596,126797,44187,82610,2.0
33,21,,0,0,0,TALUK,Kumbakonam,Urban,43463,194932,97008,97924,20671,10486,10185,13116,6648,6468,128,62,66,149104,79092,70012,45828,17916,27912,64636,53223,11413,60208,50370,9838,895,829,66,2302,1860,442,8264,5510,2754,48747,42171,6576,4428,2853,1575,50,43,7,1467,923,544,670,248,422,2241,1639,602,130296,43785,86511,2.0
33,21,,1163200,0,0,VILLAGE,Athiyur ,Rural,544,2274,1150,1124,298,144,154,929,467,462,16,9,7,1121,687,434,1153,463,690,1162,706,456,567,511,56,153,140,13,258,241,17,8,6,2,148,124,24,595,195,400,15,7,8,373,141,232,11,4,7,196,43,153,1112,444,668,2.0
33,21,,1163300,0,0,VILLAGE,Vilandakandam,Rural,356,1589,751,838,201,97,104,825,403,422,0,0,0,897,472,425,692,279,413,690,403,287,479,379,100,29,24,5,297,212,85,27,26,1,126,117,9,211,24,187,0,0,0,195,23,172,16,1,15,0,0,0,899,348,551,2.0
33,21,,1163400,0,0,VILLAGE,Kovilacheri,Rural,352,1505,732,773,175,86,89,767,369,398,0,0,0,878,496,382,627,236,391,662,427,235,601,423,178,74,55,19,411,266,145,2,2,0,114,100,14,61,4,57,2,0,2,49,1,48,4,0,4,6,3,3,843,305,538,2.0
33,21,,1163500,0,0,VILLAGE,Kumarankudi,Rural,478,2091,1044,1047,329,169,160,1285,629,656,0,0,0,959,565,394,1132,479,653,688,574,114,627,544,83,130,116,14,388,327,61,4,4,0,105,97,8,61,30,31,1,0,1,52,23,29,0,0,0,8,7,1,1403,470,933,2.0
33,21,,1163600,0,0,VILLAGE,Uthamadani,Rural,138,610,313,297,81,43,38,253,133,120,0,0,0,240,153,87,370,160,210,246,181,65,218,168,50,33,27,6,146,103,43,5,4,1,34,34,0,28,13,15,2,0,2,24,12,12,1,0,1,1,1,0,364,132,232,2.0
33,21,,1163700,0,0,VILLAGE,Devanancheri,Rural,604,2737,1376,1361,363,176,187,904,451,453,0,0,0,1616,951,665,1121,425,696,1162,768,394,680,547,133,186,156,30,254,183,71,14,7,7,226,201,25,482,221,261,58,15,43,354,158,196,9,4,5,61,44,17,1575,608,967,2.0
33,21,,1163800,0,0,VILLAGE,Neerathanallur,Rural,798,3310,1642,1668,423,229,194,896,427,469,0,0,0,1751,1021,730,1559,621,938,1425,979,446,1372,952,420,252,242,10,905,532,373,23,21,2,192,157,35,53,27,26,0,0,0,35,12,23,1,0,1,17,15,2,1885,663,1222,2.0
33,21,,1163900,0,0,VILLAGE,Kothangudi,Rural,479,1959,990,969,218,95,123,661,331,330,0,0,0,1142,681,461,817,309,508,890,622,268,683,577,106,142,131,11,462,375,87,4,3,1,75,68,7,207,45,162,15,3,12,182,35,147,0,0,0,10,7,3,1069,368,701,2.0
33,21,,1164000,0,0,VILLAGE,Kothangudithattimal,Rural,168,705,343,362,101,50,51,253,127,126,0,0,0,397,241,156,308,102,206,399,199,200,399,199,200,68,53,15,311,133,178,6,5,1,14,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306,144,162,2.0
33,21,,1164100,0,0,VILLAGE,Thirunallur,Rural,243,1042,520,522,126,65,61,470,233,237,0,0,0,602,346,256,440,174,266,417,283,134,236,201,35,64,63,1,90,68,22,2,1,1,80,69,11,181,82,99,1,0,1,174,77,97,0,0,0,6,5,1,625,237,388,2.0
33,21,,1164200,0,0,VILLAGE,Kallur,Rural,607,2696,1322,1374,370,171,199,1065,523,542,0,0,0,1428,829,599,1268,493,775,1143,786,357,916,762,154,198,188,10,570,451,119,9,4,5,139,119,20,227,24,203,7,4,3,217,19,198,0,0,0,3,1,2,1553,536,1017,2.0
33,21,,1164300,0,0,VILLAGE,Kallapuliyur,Rural,491,2082,1065,1017,276,147,129,730,377,353,0,0,0,1163,661,502,919,404,515,787,598,189,708,535,173,70,68,2,300,203,97,3,1,2,335,263,72,79,63,16,9,4,5,70,59,11,0,0,0,0,0,0,1295,467,828,2.0
33,21,,1164400,0,0,VILLAGE,Koranattu Karuppur I,Rural,518,2323,1148,1175,320,158,162,1705,841,864,0,0,0,1234,729,505,1089,419,670,1082,673,409,1028,667,361,85,55,30,800,495,305,6,1,5,137,116,21,54,6,48,6,0,6,45,4,41,0,0,0,3,2,1,1241,475,766,2.0
33,21,,1164500,0,0,VILLAGE,Agarathur,Rural,326,1354,671,683,183,102,81,517,252,265,0,0,0,851,494,357,503,177,326,701,417,284,671,407,264,114,82,32,496,283,213,8,1,7,53,41,12,30,10,20,1,1,0,24,7,17,1,0,1,4,2,2,653,254,399,2.0
33,21,,1164600,0,0,VILLAGE,Kadichambadi,Rural,409,1705,867,838,205,113,92,500,250,250,0,0,0,960,561,399,745,306,439,614,508,106,505,481,24,100,96,4,287,277,10,18,16,2,100,92,8,109,27,82,0,0,0,100,25,75,5,0,5,4,2,2,1091,359,732,2.0
33,21,,1164700,0,0,VILLAGE,Valapuram,Rural,706,3140,1591,1549,395,200,195,1500,752,748,0,0,0,1852,1069,783,1288,522,766,1391,981,410,928,702,226,108,95,13,614,423,191,8,7,1,198,177,21,463,279,184,33,31,2,359,185,174,10,4,6,61,59,2,1749,610,1139,2.0
33,21,,1164800,0,0,VILLAGE,Thiruppurambiyam,Rural,1143,5114,2559,2555,667,333,334,2030,1025,1005,0,0,0,2993,1747,1246,2121,812,1309,2355,1511,844,1985,1397,588,336,258,78,1252,802,450,65,44,21,332,293,39,370,114,256,32,17,15,295,72,223,8,1,7,35,24,11,2759,1048,1711,2.0
33,21,,1164900,0,0,VILLAGE,Innambur,Rural,597,2464,1207,1257,306,141,165,1223,589,634,0,0,0,1576,892,684,888,315,573,990,706,284,947,681,266,115,102,13,574,361,213,17,16,1,241,202,39,43,25,18,5,3,2,30,14,16,0,0,0,8,8,0,1474,501,973,2.0
33,21,,1165100,0,0,VILLAGE,Eraharam ,Rural,429,1930,924,1006,241,112,129,827,408,419,0,0,0,1185,632,553,745,292,453,734,482,252,721,475,246,151,79,72,368,205,163,4,3,1,198,188,10,13,7,6,4,1,3,1,1,0,3,1,2,5,4,1,1196,442,754,2.0
33,21,,1165200,0,0,VILLAGE,Asur  ,Rural,503,2212,1095,1117,297,134,163,731,353,378,0,0,0,1292,743,549,920,352,568,866,647,219,739,613,126,75,67,8,289,213,76,2,2,0,373,331,42,127,34,93,1,1,0,118,27,91,1,1,0,7,5,2,1346,448,898,2.0
33,21,,1165300,0,0,VILLAGE,Inam Asur,Rural,127,519,248,271,77,37,40,64,34,30,0,0,0,347,185,162,172,63,109,208,148,60,170,135,35,2,2,0,66,46,20,1,0,1,101,87,14,38,13,25,1,1,0,11,3,8,5,0,5,21,9,12,311,100,211,2.0
33,21,,1165400,0,0,VILLAGE,Koranattu Karuppur II,Rural,1289,5812,2882,2930,696,374,322,403,195,208,26,15,11,4158,2250,1908,1654,632,1022,1786,1510,276,1429,1254,175,129,117,12,314,230,84,68,57,11,918,850,68,357,256,101,25,13,12,156,96,60,36,21,15,140,126,14,4026,1372,2654,2.0
33,21,,1165500,0,0,VILLAGE,Sarangapanipettai,Rural,96,428,233,195,48,29,19,109,53,56,0,0,0,302,181,121,126,52,74,160,136,24,149,132,17,16,16,0,60,51,9,1,0,1,72,65,7,11,4,7,2,2,0,5,1,4,0,0,0,4,1,3,268,97,171,2.0
33,21,,1165600,0,0,VILLAGE,Marutadi,Rural,43,209,107,102,24,12,12,0,0,0,0,0,0,152,84,68,57,23,34,65,61,4,62,59,3,4,4,0,8,8,0,0,0,0,50,47,3,3,2,1,0,0,0,0,0,0,0,0,0,3,2,1,144,46,98,2.0
33,21,,1165700,0,0,VILLAGE,Ammachatram,Rural,694,2947,1499,1448,279,151,128,43,21,22,0,0,0,2355,1262,1093,592,237,355,1006,867,139,965,841,124,44,39,5,115,92,23,191,178,13,615,532,83,41,26,15,2,1,1,19,12,7,3,2,1,17,11,6,1941,632,1309,2.0
33,21,,1165800,0,0,VILLAGE,Muppakoil ,Rural,82,342,160,182,40,23,17,140,68,72,0,0,0,262,129,133,80,31,49,107,83,24,106,83,23,5,5,0,70,52,18,16,15,1,15,11,4,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,235,77,158,2.0
33,21,,1165900,0,0,VILLAGE,Melakaveri,Rural,85,388,202,186,45,27,18,0,0,0,0,0,0,322,170,152,66,32,34,118,98,20,117,98,19,13,13,0,72,56,16,21,18,3,11,11,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,270,104,166,2.0
33,21,,1166000,0,0,VILLAGE,Bapurasapuram,Rural,713,3101,1533,1568,399,219,180,932,461,471,0,0,0,2033,1120,913,1068,413,655,1158,824,334,1121,809,312,76,61,15,611,385,226,11,9,2,423,354,69,37,15,22,4,1,3,18,5,13,1,0,1,14,9,5,1943,709,1234,2.0
33,21,,1166100,0,0,VILLAGE,Madhavapuram,Rural,31,138,67,71,17,10,7,0,0,0,0,0,0,101,54,47,37,13,24,41,36,5,39,35,4,2,2,0,20,19,1,0,0,0,17,14,3,2,1,1,0,0,0,0,0,0,0,0,0,2,1,1,97,31,66,2.0
33,21,,1166200,0,0,VILLAGE,Thimmakudi,Rural,148,664,325,339,85,48,37,145,76,69,0,0,0,476,255,221,188,70,118,280,192,88,278,190,88,0,0,0,161,90,71,0,0,0,117,100,17,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,384,133,251,2.0
33,21,,1166300,0,0,VILLAGE,Nagagudi,Rural,331,1432,737,695,191,99,92,110,60,50,0,0,0,641,400,241,791,337,454,522,455,67,473,433,40,34,31,3,382,345,37,10,10,0,47,47,0,49,22,27,7,7,0,33,11,22,5,0,5,4,4,0,910,282,628,2.0
33,21,,1166400,0,0,VILLAGE,Valaiyapettai ,Rural,1136,4810,2390,2420,576,283,293,792,394,398,0,0,0,2948,1706,1242,1862,684,1178,2120,1493,627,1685,1324,361,126,100,26,627,418,209,107,63,44,825,743,82,435,169,266,22,8,14,346,128,218,19,5,14,48,28,20,2690,897,1793,2.0
33,21,,1166500,0,0,VILLAGE,Palavathankattalai ,Rural,1324,5596,2811,2785,538,280,258,732,366,366,5,3,2,4318,2302,2016,1278,509,769,1766,1433,333,1680,1389,291,50,35,15,316,270,46,40,16,24,1274,1068,206,86,44,42,5,1,4,40,24,16,6,2,4,35,17,18,3830,1378,2452,2.0
33,21,,1166700,0,0,VILLAGE,Miruthiyanchapadaiveedu,Rural,520,2165,1088,1077,215,111,104,260,137,123,5,2,3,1570,858,712,595,230,365,781,637,144,747,623,124,39,37,2,234,190,44,5,3,2,469,393,76,34,14,20,2,0,2,12,7,5,3,0,3,17,7,10,1384,451,933,2.0
33,21,,1166900,0,0,VILLAGE,Ammathottam,Rural,18,78,39,39,6,3,3,0,0,0,0,0,0,50,29,21,28,10,18,31,26,5,21,18,3,2,2,0,5,4,1,0,0,0,14,12,2,10,8,2,1,1,0,2,2,0,2,0,2,5,5,0,47,13,34,2.0
33,21,,1167100,0,0,VILLAGE,Srinivasanallur,Rural,289,1299,665,634,152,75,77,508,271,237,0,0,0,882,497,385,417,168,249,462,355,107,372,334,38,48,45,3,161,148,13,0,0,0,163,141,22,90,21,69,1,0,1,70,6,64,1,0,1,18,15,3,837,310,527,2.0
