STATE,DISTRICT,TAHSIL,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,SUB-DISTT
33,21,,0,0,0,TALUK,Peravurani,Total,27650,117505,57595,59910,14505,7456,7049,10758,5298,5460,90,41,49,72957,41083,31874,44548,16512,28036,54340,34434,19906,45026,30857,14169,13270,10271,2999,20930,11751,9179,572,310,262,10254,8525,1729,9314,3577,5737,1053,342,711,7471,2767,4704,193,37,156,597,431,166,63165,23161,40004,8.0
33,21,,0,0,0,TALUK,Peravurani,Rural,21387,91055,44671,46384,11421,5920,5501,8745,4303,4442,32,15,17,54874,31142,23732,36181,13529,22652,42665,26728,15937,35056,23729,11327,11344,8786,2558,16725,9331,7394,384,165,219,6603,5447,1156,7609,2999,4610,963,305,658,6110,2331,3779,96,31,65,440,332,108,48390,17943,30447,8.0
33,21,,0,0,0,TALUK,Peravurani,Urban,6263,26450,12924,13526,3084,1536,1548,2013,995,1018,58,26,32,18083,9941,8142,8367,2983,5384,11675,7706,3969,9970,7128,2842,1926,1485,441,4205,2420,1785,188,145,43,3651,3078,573,1705,578,1127,90,37,53,1361,436,925,97,6,91,157,99,58,14775,5218,9557,8.0
33,21,,1230200,0,0,VILLAGE,Periyanayagipuram,Rural,778,3384,1613,1771,445,234,211,593,281,312,26,12,14,1995,1071,924,1389,542,847,1239,844,395,939,750,189,296,285,11,460,316,144,9,5,4,174,144,30,300,94,206,4,1,3,261,65,196,7,4,3,28,24,4,2145,769,1376,8.0
33,21,,1230400,0,0,VILLAGE,Arasalamkarambai,Rural,4,20,13,7,1,1,0,0,0,0,0,0,0,8,7,1,12,6,6,10,10,0,10,10,0,1,1,0,5,5,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,7,8.0
33,21,,1230500,0,0,VILLAGE,Palayanagaram,Rural,133,667,312,355,71,28,43,70,31,39,0,0,0,486,263,223,181,49,132,157,139,18,156,138,18,55,52,3,81,68,13,1,1,0,19,17,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,510,173,337,8.0
33,21,,1230600,0,0,VILLAGE,Thonthupullikkadu,Rural,124,534,285,249,49,31,18,5,2,3,0,0,0,324,203,121,210,82,128,250,169,81,112,96,16,25,25,0,85,69,16,0,0,0,2,2,0,138,73,65,2,1,1,136,72,64,0,0,0,0,0,0,284,116,168,8.0
33,21,,1230700,0,0,VILLAGE,Kalluranikkadu,Rural,231,918,443,475,96,48,48,425,200,225,0,0,0,580,337,243,338,106,232,509,270,239,480,259,221,238,134,104,144,67,77,8,4,4,90,54,36,29,11,18,7,5,2,9,2,7,6,2,4,7,2,5,409,173,236,8.0
33,21,,1230800,0,0,VILLAGE,Kalagam II,Rural,626,2737,1388,1349,279,154,125,51,18,33,3,2,1,1933,1108,825,804,280,524,1240,811,429,1088,746,342,300,251,49,637,368,269,7,4,3,144,123,21,152,65,87,8,2,6,130,56,74,3,1,2,11,6,5,1497,577,920,8.0
33,21,,1230900,0,0,VILLAGE,Kalagam I,Rural,572,2466,1177,1289,305,148,157,116,56,60,0,0,0,1468,825,643,998,352,646,1100,685,415,250,218,32,137,126,11,4,3,1,6,5,1,103,84,19,850,467,383,11,6,5,819,443,376,9,7,2,11,11,0,1366,492,874,8.0
33,21,,1231000,0,0,VILLAGE,Kottaikadu,Rural,100,397,200,197,38,26,12,378,188,190,0,0,0,290,149,141,107,51,56,231,114,117,176,94,82,60,36,24,84,40,44,2,1,1,30,17,13,55,20,35,7,2,5,46,16,30,0,0,0,2,2,0,166,86,80,8.0
33,21,,1231100,0,0,VILLAGE,Gangadharapuram,Rural,173,754,365,389,98,44,54,14,6,8,0,0,0,496,294,202,258,71,187,427,234,193,426,233,193,189,142,47,198,60,138,2,1,1,37,30,7,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,327,131,196,8.0
33,21,,1231200,0,0,VILLAGE,Seruvalakkadu,Rural,305,1218,561,657,154,59,95,4,2,2,0,0,0,684,383,301,534,178,356,794,369,425,781,365,416,175,85,90,577,265,312,6,2,4,23,13,10,13,4,9,3,0,3,7,1,6,0,0,0,3,3,0,424,192,232,8.0
33,21,,1231300,0,0,VILLAGE,Karambakkadu,Rural,130,586,293,293,57,29,28,0,0,0,0,0,0,441,241,200,145,52,93,253,187,66,113,98,15,95,85,10,0,0,0,0,0,0,18,13,5,140,89,51,2,2,0,116,74,42,17,8,9,5,5,0,333,106,227,8.0
33,21,,1231400,0,0,VILLAGE,Kuruvikarambai II,Rural,271,1050,509,541,136,77,59,273,130,143,0,0,0,490,276,214,560,233,327,569,321,248,563,320,243,78,65,13,403,203,200,18,12,6,64,40,24,6,1,5,0,0,0,2,0,2,4,1,3,0,0,0,481,188,293,8.0
