STATE,DISTRICT,TAHSIL,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,SUB-DISTT
33,11,,0,0,0,TALUK,Coonoor,Total,43379,175067,87353,87714,17835,9007,8828,58049,28636,29413,2353,1188,1165,133860,72696,61164,41207,14657,26550,76424,48317,28107,71209,45634,25575,910,582,328,4279,2212,2067,276,153,123,65744,42687,23057,5215,2683,2532,114,55,59,895,352,543,65,15,50,4141,2261,1880,98643,39036,59607,5
33,11,,0,0,0,TALUK,Coonoor,Rural,7954,30663,15081,15582,3209,1646,1563,13540,6715,6825,956,495,461,21678,12005,9673,8985,3076,5909,15676,8346,7330,15256,8169,7087,198,101,97,421,196,225,42,33,9,14595,7839,6756,420,177,243,73,37,36,34,9,25,7,1,6,306,130,176,14987,6735,8252,5
33,11,,0,0,0,TALUK,Coonoor,Urban,35425,144404,72272,72132,14626,7361,7265,44509,21921,22588,1397,693,704,112182,60691,51491,32222,11581,20641,60748,39971,20777,55953,37465,18488,712,481,231,3858,2016,1842,234,120,114,51149,34848,16301,4795,2506,2289,41,18,23,861,343,518,58,14,44,3835,2131,1704,83656,32301,51355,5
33,11,,786400,0,0,VILLAGE,Yedappalli,Rural,1455,5581,2662,2919,586,284,302,1911,940,971,29,13,16,3857,2119,1738,1724,543,1181,2875,1495,1380,2839,1475,1364,8,5,3,3,2,1,0,0,0,2828,1468,1360,36,20,16,2,1,1,0,0,0,1,0,1,33,19,14,2706,1167,1539,5
33,11,,786500,0,0,VILLAGE,Burliyar,Rural,1035,4060,1970,2090,444,224,220,1538,745,793,390,206,184,2729,1481,1248,1331,489,842,2327,1236,1091,2296,1224,1072,23,11,12,5,2,3,10,5,5,2258,1206,1052,31,12,19,16,6,10,2,0,2,0,0,0,13,6,7,1733,734,999,5
33,11,,786600,0,0,VILLAGE,Coonoor ,Rural,1277,5051,2556,2495,545,279,266,2370,1218,1152,1,1,0,3747,2095,1652,1304,461,843,2224,1385,839,2164,1346,818,59,28,31,1,0,1,4,4,0,2100,1314,786,60,39,21,33,18,15,1,0,1,3,0,3,23,21,2,2827,1171,1656,5
33,11,,786700,0,0,VILLAGE,Melur,Rural,4187,15971,7893,8078,1634,859,775,7721,3812,3909,536,275,261,11345,6310,5035,4626,1583,3043,8250,4230,4020,7957,4124,3833,108,57,51,412,192,220,28,24,4,7409,3851,3558,293,106,187,22,12,10,31,9,22,3,1,2,237,84,153,7721,3663,4058,5
33,11,,41110000,0,0,TOWN,Kethi (TP),Urban,5981,24534,12014,12520,2456,1230,1226,6078,2942,3136,157,74,83,18553,10007,8546,5981,2007,3974,10906,6347,4559,9232,5585,3647,295,168,127,2289,1269,1020,58,13,45,6590,4135,2455,1674,762,912,29,12,17,573,215,358,11,0,11,1061,535,526,13628,5667,7961,5
33,11,,41110000,1,0,WARD,Kethi (TP) - Ward No.1,Urban,368,1414,712,702,157,87,70,715,355,360,107,51,56,971,536,435,443,176,267,779,409,370,742,378,364,5,4,1,58,26,32,0,0,0,679,348,331,37,31,6,0,0,0,0,0,0,0,0,0,37,31,6,635,303,332,5
33,11,,41110000,2,0,WARD,Kethi (TP) - Ward No.2,Urban,465,2433,1332,1101,204,100,104,603,289,314,8,2,6,2041,1182,859,392,150,242,682,460,222,562,394,168,0,0,0,123,71,52,0,0,0,439,323,116,120,66,54,0,0,0,29,7,22,1,0,1,90,59,31,1751,872,879,5
