STATE,DISTRICT,TAHSIL,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,SUB-DISTT
33,11,,0,0,0,TALUK,Panthalur,Total,25333,117157,58228,58929,16204,8276,7928,46044,22882,23162,8857,4374,4483,81697,44177,37520,35460,14051,21409,51862,30468,21394,44430,26886,17544,2050,1545,505,4854,2704,2150,346,189,157,37180,22448,14732,7432,3582,3850,423,214,209,1199,541,658,155,49,106,5655,2778,2877,65295,27760,37535,1
33,11,,0,0,0,TALUK,Panthalur,Rural,16530,75320,37357,37963,10161,5170,4991,21664,10757,10907,7541,3724,3817,51888,27990,23898,23432,9367,14065,33211,19902,13309,27588,17224,10364,1894,1433,461,3902,2202,1700,291,145,146,21501,13444,8057,5623,2678,2945,385,199,186,1074,490,584,130,38,92,4034,1951,2083,42109,17455,24654,1
33,11,,0,0,0,TALUK,Panthalur,Urban,8803,41837,20871,20966,6043,3106,2937,24380,12125,12255,1316,650,666,29809,16187,13622,12028,4684,7344,18651,10566,8085,16842,9662,7180,156,112,44,952,502,450,55,44,11,15679,9004,6675,1809,904,905,38,15,23,125,51,74,25,11,14,1621,827,794,23186,10305,12881,1
33,11,,783200,0,0,VILLAGE,Erumad,Rural,2775,12635,6262,6373,1694,859,835,1218,606,612,1957,967,990,8728,4651,4077,3907,1611,2296,6056,3640,2416,5080,3304,1776,532,386,146,675,403,272,90,30,60,3783,2485,1298,976,336,640,63,30,33,162,54,108,26,2,24,725,250,475,6579,2622,3957,1
33,11,,783300,0,0,VILLAGE,Munnanad,Rural,1936,8270,4126,4144,1084,546,538,560,282,278,1861,906,955,5471,2944,2527,2799,1182,1617,3508,2468,1040,3273,2349,924,599,501,98,1090,619,471,37,20,17,1547,1209,338,235,119,116,24,15,9,190,94,96,1,0,1,20,10,10,4762,1658,3104,1
33,11,,783400,0,0,VILLAGE,Nelliyalam ,Rural,4177,20395,10112,10283,2826,1430,1396,5739,2864,2875,1360,678,682,14031,7551,6480,6364,2561,3803,8340,5012,3328,7188,4376,2812,251,176,75,909,503,406,57,43,14,5971,3654,2317,1152,636,516,166,90,76,121,68,53,28,13,15,837,465,372,12055,5100,6955,1
33,11,,783500,0,0,VILLAGE,Cherangode,Rural,7642,34020,16857,17163,4557,2335,2222,14147,7005,7142,2363,1173,1190,23658,12844,10814,10362,4013,6349,15307,8782,6525,12047,7195,4852,512,370,142,1228,677,551,107,52,55,10200,6096,4104,3260,1587,1673,132,64,68,601,274,327,75,23,52,2452,1226,1226,18713,8075,10638,1
33,11,,41101000,0,0,TOWN,Nelliyalam (TP),Urban,8803,41837,20871,20966,6043,3106,2937,24380,12125,12255,1316,650,666,29809,16187,13622,12028,4684,7344,18651,10566,8085,16842,9662,7180,156,112,44,952,502,450,55,44,11,15679,9004,6675,1809,904,905,38,15,23,125,51,74,25,11,14,1621,827,794,23186,10305,12881,1
33,11,,41101000,1,0,WARD,Nelliyalam (TP) - Ward No.1,Urban,565,2604,1283,1321,379,199,180,1148,562,586,211,101,110,1759,940,819,845,343,502,1353,727,626,953,524,429,53,45,8,96,52,44,9,6,3,795,421,374,400,203,197,31,12,19,75,30,45,9,4,5,285,157,128,1251,556,695,1
33,11,,41101000,2,0,WARD,Nelliyalam (TP) - Ward No.2,Urban,306,1551,747,804,170,79,91,1425,684,741,0,0,0,1064,596,468,487,151,336,664,333,331,647,323,324,0,0,0,0,0,0,1,1,0,646,322,324,17,10,7,0,0,0,0,0,0,0,0,0,17,10,7,887,414,473,1
33,11,,41101000,3,0,WARD,Nelliyalam (TP) - Ward No.3,Urban,901,4426,2244,2182,616,309,307,3133,1593,1540,73,39,34,3230,1810,1420,1196,434,762,2010,1111,899,1796,998,798,18,14,4,3,2,1,8,7,1,1767,975,792,214,113,101,0,0,0,0,0,0,0,0,0,214,113,101,2416,1133,1283,1
33,11,,41101000,4,0,WARD,Nelliyalam (TP) - Ward No.4,Urban,614,2837,1443,1394,428,240,188,1668,837,831,57,29,28,2038,1112,926,799,331,468,1423,787,636,1398,775,623,2,1,1,10,7,3,2,2,0,1384,765,619,25,12,13,0,0,0,2,1,1,1,0,1,22,11,11,1414,656,758,1
33,11,,41101000,5,0,WARD,Nelliyalam (TP) - Ward No.5,Urban,596,2692,1366,1326,454,247,207,1635,822,813,174,84,90,1829,991,838,863,375,488,1314,703,611,1146,654,492,5,3,2,6,6,0,10,7,3,1125,638,487,168,49,119,0,0,0,0,0,0,4,2,2,164,47,117,1378,663,715,1
33,11,,41101000,6,0,WARD,Nelliyalam (TP) - Ward No.6,Urban,375,1862,975,887,276,149,127,1201,624,577,0,0,0,1343,775,568,519,200,319,863,469,394,860,467,393,8,5,3,3,2,1,0,0,0,849,460,389,3,2,1,0,0,0,0,0,0,0,0,0,3,2,1,999,506,493,1
33,11,,41101000,7,0,WARD,Nelliyalam (TP) - Ward No.7,Urban,459,2008,1025,983,309,169,140,1582,802,780,3,2,1,1503,816,687,505,209,296,878,521,357,873,520,353,0,0,0,0,0,0,0,0,0,873,520,353,5,1,4,0,0,0,0,0,0,0,0,0,5,1,4,1130,504,626,1
33,11,,41101000,8,0,WARD,Nelliyalam (TP) - Ward No.8,Urban,436,1886,972,914,279,157,122,1789,922,867,0,0,0,1479,786,693,407,186,221,1041,554,487,1018,548,470,1,1,0,15,9,6,0,0,0,1002,538,464,23,6,17,0,0,0,0,0,0,0,0,0,23,6,17,845,418,427,1
33,11,,41101000,9,0,WARD,Nelliyalam (TP) - Ward No.9,Urban,306,1521,756,765,218,110,108,586,291,295,42,23,19,1084,585,499,437,171,266,671,368,303,651,365,286,1,1,0,0,0,0,0,0,0,650,364,286,20,3,17,0,0,0,0,0,0,0,0,0,20,3,17,850,388,462,1
33,11,,41101000,10,0,WARD,Nelliyalam (TP) - Ward No.10,Urban,366,1716,887,829,254,137,117,616,303,313,63,34,29,1294,704,590,422,183,239,648,426,222,534,370,164,1,1,0,4,4,0,0,0,0,529,365,164,114,56,58,0,0,0,0,0,0,1,0,1,113,56,57,1068,461,607,1
33,11,,41101000,11,0,WARD,Nelliyalam (TP) - Ward No.11,Urban,362,1796,906,890,274,126,148,945,471,474,48,21,27,1316,726,590,480,180,300,703,459,244,564,375,189,9,8,1,0,0,0,7,5,2,548,362,186,139,84,55,1,1,0,0,0,0,0,0,0,138,83,55,1093,447,646,1
33,11,,41101000,12,0,WARD,Nelliyalam (TP) - Ward No.12,Urban,348,1896,887,1009,295,139,156,560,248,312,269,131,138,1239,648,591,657,239,418,879,477,402,874,474,400,27,14,13,293,148,145,1,1,0,553,311,242,5,3,2,0,0,0,2,2,0,0,0,0,3,1,2,1017,410,607,1
33,11,,41101000,13,0,WARD,Nelliyalam (TP) - Ward No.13,Urban,463,2134,1024,1110,350,169,181,1560,758,802,0,0,0,1403,756,647,731,268,463,949,531,418,923,518,405,3,3,0,12,7,5,0,0,0,908,508,400,26,13,13,1,0,1,2,0,2,0,0,0,23,13,10,1185,493,692,1
33,11,,41101000,14,0,WARD,Nelliyalam (TP) - Ward No.14,Urban,444,1994,993,1001,299,164,135,612,303,309,0,0,0,1502,778,724,492,215,277,765,516,249,652,466,186,1,1,0,0,0,0,1,1,0,650,464,186,113,50,63,2,0,2,0,0,0,4,2,2,107,48,59,1229,477,752,1
33,11,,41101000,15,0,WARD,Nelliyalam (TP) - Ward No.15,Urban,281,1317,680,637,187,99,88,378,209,169,70,40,30,985,543,442,332,137,195,413,305,108,313,236,77,0,0,0,1,0,1,3,2,1,309,234,75,100,69,31,0,0,0,0,0,0,3,3,0,97,66,31,904,375,529,1
33,11,,41101000,16,0,WARD,Nelliyalam (TP) - Ward No.16,Urban,225,1034,495,539,125,60,65,846,410,436,0,0,0,692,367,325,342,128,214,465,256,209,463,255,208,0,0,0,8,5,3,4,3,1,451,247,204,2,1,1,0,0,0,0,0,0,0,0,0,2,1,1,569,239,330,1
33,11,,41101000,17,0,WARD,Nelliyalam (TP) - Ward No.17,Urban,338,1711,820,891,205,96,109,881,435,446,38,21,17,1232,644,588,479,176,303,612,358,254,594,341,253,3,3,0,2,1,1,1,1,0,588,336,252,18,17,1,0,0,0,0,0,0,0,0,0,18,17,1,1099,462,637,1
33,11,,41101000,18,0,WARD,Nelliyalam (TP) - Ward No.18,Urban,393,1792,856,936,264,125,139,751,338,413,185,86,99,1223,657,566,569,199,370,754,416,338,718,403,315,3,2,1,14,6,8,6,6,0,695,389,306,36,13,23,0,0,0,33,11,22,0,0,0,3,2,1,1038,440,598,1
33,11,,41101000,19,0,WARD,Nelliyalam (TP) - Ward No.19,Urban,339,1671,840,831,202,111,91,1033,507,526,48,24,24,1280,691,589,391,149,242,865,459,406,858,456,402,11,6,5,303,162,141,0,0,0,544,288,256,7,3,4,0,0,0,4,1,3,0,0,0,3,2,1,806,381,425,1
33,11,,41101000,20,0,WARD,Nelliyalam (TP) - Ward No.20,Urban,366,1731,834,897,232,110,122,864,419,445,35,15,20,1259,661,598,472,173,299,706,432,274,526,331,195,8,2,6,178,88,90,2,2,0,338,239,99,180,101,79,2,1,1,5,4,1,3,0,3,170,96,74,1025,402,623,1
33,11,,41101000,21,0,WARD,Nelliyalam (TP) - Ward No.21,Urban,320,1658,838,820,227,111,116,1167,587,580,0,0,0,1055,601,454,603,237,366,675,358,317,481,263,218,2,2,0,4,3,1,0,0,0,475,258,217,194,95,99,1,1,0,2,2,0,0,0,0,191,92,99,983,480,503,1
