STATE,DISTRICT,TAHSIL,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,SUB-DISTT
33,25,,0,0,0,TALUK,Uthamapalayam,Total,94744,376963,189271,187692,42695,22560,20135,57218,28716,28502,198,93,105,241179,137366,103813,135784,51905,83879,177119,107934,69185,160454,100729,59725,12052,8692,3360,93017,49442,43575,2539,1351,1188,52846,41244,11602,16665,7205,9460,437,166,271,12126,4705,7421,417,94,323,3685,2240,1445,199844,81337,118507,4
33,25,,0,0,0,TALUK,Uthamapalayam,Rural,31084,122518,61919,60599,14065,7536,6529,22995,11553,11442,8,2,6,73161,43047,30114,49357,18872,30485,65681,35552,30129,59078,32830,26248,6685,4479,2206,41017,20282,20735,1032,504,528,10344,7565,2779,6603,2722,3881,230,111,119,5389,2112,3277,197,42,155,787,457,330,56837,26367,30470,4
33,25,,0,0,0,TALUK,Uthamapalayam,Urban,63660,254445,127352,127093,28630,15024,13606,34223,17163,17060,190,91,99,168018,94319,73699,86427,33033,53394,111438,72382,39056,101376,67899,33477,5367,4213,1154,52000,29160,22840,1507,847,660,42502,33679,8823,10062,4483,5579,207,55,152,6737,2593,4144,220,52,168,2898,1783,1115,143007,54970,88037,4
33,25,,1427900,0,0,VILLAGE,Pottipuram ,Rural,2002,8207,4133,4074,887,468,419,2161,1082,1079,0,0,0,4781,2920,1861,3426,1213,2213,4638,2410,2228,3876,2105,1771,689,405,284,2340,1099,1241,116,61,55,731,540,191,762,305,457,21,8,13,710,276,434,3,3,0,28,18,10,3569,1723,1846,4
33,25,,1428100,0,0,VILLAGE,Thevaram ,Rural,2006,8206,4081,4125,878,467,411,1834,930,904,0,0,0,4733,2793,1940,3473,1288,2185,4531,2355,2176,4306,2274,2032,588,363,225,2787,1253,1534,70,42,28,861,616,245,225,81,144,9,4,5,177,58,119,21,9,12,18,10,8,3675,1726,1949,4
33,25,,1428200,0,0,VILLAGE,Sankarapuram,Rural,705,3116,1625,1491,294,177,117,311,166,145,0,0,0,2058,1253,805,1058,372,686,1838,988,850,1717,958,759,233,186,47,1200,555,645,19,17,2,265,200,65,121,30,91,3,1,2,100,16,84,2,0,2,16,13,3,1278,637,641,4
33,25,,1428300,0,0,VILLAGE,Veppampatti,Rural,504,1983,946,1037,256,127,129,173,88,85,0,0,0,1011,586,425,972,360,612,1192,550,642,840,388,452,115,61,54,618,256,362,4,3,1,103,68,35,352,162,190,36,21,15,299,131,168,2,1,1,15,9,6,791,396,395,4
33,25,,1428400,0,0,VILLAGE,Seepalakottai  ,Rural,2225,8915,4537,4378,1064,580,484,3594,1810,1784,0,0,0,5851,3370,2481,3064,1167,1897,4676,2611,2065,3911,2245,1666,455,285,170,2757,1433,1324,90,46,44,609,481,128,765,366,399,9,4,5,436,205,231,80,7,73,240,150,90,4239,1926,2313,4
33,25,,1428500,0,0,VILLAGE,Pulanandapuram,Rural,122,639,328,311,59,27,32,215,110,105,0,0,0,335,209,126,304,119,185,407,209,198,40,23,17,1,0,1,31,16,15,0,0,0,8,7,1,367,186,181,1,1,0,366,185,181,0,0,0,0,0,0,232,119,113,4
33,25,,1428600,0,0,VILLAGE,Markeyankottai ,Rural,488,1696,850,846,239,130,109,155,73,82,0,0,0,859,541,318,837,309,528,981,501,480,879,485,394,59,49,10,686,342,344,12,5,7,122,89,33,102,16,86,1,0,1,83,7,76,5,1,4,13,8,5,715,349,366,4
