STATE,DISTRICT,TAHSIL,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,SUB-DISTT
33,1,,0,0,0,TALUK,Ambattur,Total,233101,1006898,516576,490322,115184,58896,56288,129338,65409,63929,4107,2033,2074,759567,416346,343221,247331,100230,147101,341269,282143,59126,301090,253219,47871,5697,3847,1850,3905,2841,1064,5147,2957,2190,286341,243574,42767,40179,28924,11255,1209,570,639,4513,2333,2180,1853,870,983,32604,25151,7453,665629,234433,431196,8.0
33,1,,0,0,0,TALUK,Ambattur,Rural,25664,111480,56575,54905,13590,6990,6600,32108,15964,16144,1397,706,691,76483,43044,33439,34997,13531,21466,40030,30807,9223,28835,23591,5244,2886,2133,753,2453,1728,725,828,470,358,22668,19260,3408,11195,7216,3979,790,399,391,3580,1901,1679,674,296,378,6151,4620,1531,71450,25768,45682,8.0
33,1,,0,0,0,TALUK,Ambattur,Urban,207437,895418,460001,435417,101594,51906,49688,97230,49445,47785,2710,1327,1383,683084,373302,309782,212334,86699,125635,301239,251336,49903,272255,229628,42627,2811,1714,1097,1452,1113,339,4319,2487,1832,263673,224314,39359,28984,21708,7276,419,171,248,933,432,501,1179,574,605,26453,20531,5922,594179,208665,385514,8.0
33,1,,61100,0,0,VILLAGE,Kilakondaiyur,Rural,857,3570,1788,1782,456,249,207,351,174,177,22,11,11,1953,1176,777,1617,612,1005,2035,1100,935,1616,933,683,719,430,289,433,177,256,55,23,32,409,303,106,419,167,252,29,10,19,228,78,150,11,5,6,151,74,77,1535,688,847,8.0
33,1,,61200,0,0,VILLAGE,Alathur ,Rural,691,2939,1429,1510,397,200,197,848,410,438,146,66,80,1567,912,655,1372,517,855,1530,925,605,998,675,323,65,50,15,207,146,61,4,3,1,722,476,246,532,250,282,2,1,1,227,85,142,4,1,3,299,163,136,1409,504,905,8.0
33,1,,61300,0,0,VILLAGE,Pandeswaram,Rural,447,1956,976,980,232,119,113,948,465,483,19,10,9,1322,734,588,634,242,392,676,525,151,382,347,35,49,49,0,55,54,1,11,9,2,267,235,32,294,178,116,8,7,1,208,111,97,20,13,7,58,47,11,1280,451,829,8.0
33,1,,61400,0,0,VILLAGE,Arakkambakkam,Rural,328,1405,701,704,177,98,79,1125,553,572,0,0,0,914,522,392,491,179,312,642,398,244,400,354,46,58,50,8,129,107,22,2,2,0,211,195,16,242,44,198,11,6,5,208,21,187,0,0,0,23,17,6,763,303,460,8.0
33,1,,61500,0,0,VILLAGE,Morai ,Rural,795,3373,1697,1676,443,208,235,1626,797,829,22,9,13,2113,1212,901,1260,485,775,1120,909,211,829,705,124,72,62,10,152,86,66,35,33,2,570,524,46,291,204,87,13,6,7,168,98,70,67,65,2,43,35,8,2253,788,1465,8.0
33,1,,61600,0,0,VILLAGE,Melpakkam,Rural,106,455,236,219,51,22,29,163,80,83,61,30,31,282,165,117,173,71,102,197,150,47,78,69,9,10,10,0,20,16,4,0,0,0,48,43,5,119,81,38,8,6,2,45,23,22,0,0,0,66,52,14,258,86,172,8.0
33,1,,61700,0,0,VILLAGE,Kadavur,Rural,112,490,246,244,49,24,25,0,0,0,0,0,0,298,167,131,192,79,113,169,133,36,145,114,31,13,9,4,4,2,2,9,0,9,119,103,16,24,19,5,4,3,1,4,3,1,0,0,0,16,13,3,321,113,208,8.0
