STATE,DISTRICT,TAHSIL,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,SUB-DISTT
33,1,,0,0,0,TALUK,Pallipattu,Total,39496,183361,92460,90901,24922,12899,12023,38272,19244,19028,4507,2302,2205,104076,63082,40994,79285,29378,49907,83673,50919,32754,67129,44539,22590,15532,10935,4597,19180,10548,8632,15890,9859,6031,16527,13197,3330,16544,6380,10164,1368,554,814,9857,3750,6107,3227,786,2441,2092,1290,802,99688,41541,58147,5.0
33,1,,0,0,0,TALUK,Pallipattu,Rural,32082,146608,73864,72744,19305,10022,9283,34439,17349,17090,4265,2180,2085,81642,49533,32109,64966,24331,40635,67355,40842,26513,52682,34943,17739,15092,10582,4510,17920,9822,8098,7372,4800,2572,12298,9739,2559,14673,5899,8774,1340,537,803,9592,3671,5921,1949,555,1394,1792,1136,656,79253,33022,46231,5.0
33,1,,0,0,0,TALUK,Pallipattu,Urban,7414,36753,18596,18157,5617,2877,2740,3833,1895,1938,242,122,120,22434,13549,8885,14319,5047,9272,16318,10077,6241,14447,9596,4851,440,353,87,1260,726,534,8518,5059,3459,4229,3458,771,1871,481,1390,28,17,11,265,79,186,1278,231,1047,300,154,146,20435,8519,11916,5.0
33,1,,38900,0,0,VILLAGE,Venkatarajakuppam,Rural,405,1977,986,991,248,117,131,466,231,235,0,0,0,1064,654,410,913,332,581,843,557,286,790,541,249,318,224,94,241,125,116,123,120,3,108,72,36,53,16,37,4,1,3,33,8,25,5,2,3,11,5,6,1134,429,705,5.0
33,1,,39000,0,0,VILLAGE,Veliagaram ,Rural,833,3499,1771,1728,417,234,183,702,358,344,7,2,5,1845,1148,697,1654,623,1031,1667,991,676,1502,935,567,197,181,16,606,372,234,201,34,167,498,348,150,165,56,109,3,0,3,153,53,100,4,2,2,5,1,4,1832,780,1052,5.0
33,1,,39100,0,0,VILLAGE,Perumanallur ,Rural,1042,4438,2182,2256,482,249,233,273,135,138,656,328,328,2295,1362,933,2143,820,1323,1834,1181,653,1130,858,272,594,482,112,280,168,112,41,20,21,215,188,27,704,323,381,61,17,44,411,174,237,86,13,73,146,119,27,2604,1001,1603,5.0
33,1,,39200,0,0,VILLAGE,Pallipattu   ,Rural,290,1346,679,667,159,76,83,509,251,258,30,17,13,680,427,253,666,252,414,660,398,262,599,364,235,116,76,40,400,213,187,3,1,2,80,74,6,61,34,27,10,6,4,40,17,23,2,2,0,9,9,0,686,281,405,5.0
33,1,,39300,0,0,VILLAGE,Kolathur  ,Rural,2059,9395,4694,4701,1342,696,646,1741,850,891,667,337,330,5303,3233,2070,4092,1461,2631,4167,2607,1560,2412,1828,584,429,335,94,633,413,220,759,557,202,591,523,68,1755,779,976,45,27,18,888,334,554,508,183,325,314,235,79,5228,2087,3141,5.0
33,1,,39400,0,0,VILLAGE,Nediyam   ,Rural,831,3777,1887,1890,428,225,203,1623,812,811,419,213,206,2024,1202,822,1753,685,1068,1454,843,611,1320,823,497,104,92,12,947,511,436,78,63,15,191,157,34,134,20,114,5,4,1,47,7,40,69,5,64,13,4,9,2323,1044,1279,5.0
33,1,,39500,0,0,VILLAGE,Karimbedu ,Rural,1035,4602,2264,2338,585,297,288,632,315,317,69,30,39,2438,1434,1004,2164,830,1334,1877,1305,572,1508,1194,314,352,298,54,620,411,209,127,123,4,409,362,47,369,111,258,4,2,2,302,90,212,13,3,10,50,16,34,2725,959,1766,5.0
33,1,,39600,0,0,VILLAGE,Gollalakuppam ,Rural,653,2992,1511,1481,449,245,204,531,281,250,187,102,85,1306,822,484,1686,689,997,1417,819,598,1417,819,598,204,132,72,883,388,495,58,52,6,272,247,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1575,692,883,5.0
33,1,,39700,0,0,VILLAGE,Pandravedu,Rural,524,2173,1081,1092,287,162,125,720,353,367,952,489,463,1146,700,446,1027,381,646,869,570,299,459,364,95,115,112,3,101,46,55,60,46,14,183,160,23,410,206,204,14,5,9,375,189,186,12,6,6,9,6,3,1304,511,793,5.0
33,1,,39800,0,0,VILLAGE,Konasamudram  ,Rural,1020,4682,2356,2326,602,315,287,1088,550,538,231,128,103,2452,1548,904,2230,808,1422,2162,1312,850,1784,1258,526,383,321,62,893,495,398,78,73,5,430,369,61,378,54,324,24,9,15,308,31,277,18,6,12,28,8,20,2520,1044,1476,5.0
33,1,,39900,0,0,VILLAGE,Karlambakkam  ,Rural,746,3464,1786,1678,455,233,222,1597,826,771,34,17,17,1673,1057,616,1791,729,1062,1820,1020,800,1638,963,675,512,310,202,896,492,404,5,2,3,225,159,66,182,57,125,15,1,14,131,35,96,6,2,4,30,19,11,1644,766,878,5.0
33,1,,40000,0,0,VILLAGE,Athimanjeri,Rural,301,1372,685,687,173,90,83,487,248,239,66,28,38,779,462,317,593,223,370,668,404,264,662,398,264,113,79,34,254,134,120,15,10,5,280,175,105,6,6,0,0,0,0,0,0,0,0,0,0,6,6,0,704,281,423,5.0
33,1,,40100,0,0,VILLAGE,Kodivalasa,Rural,1613,7447,3772,3675,1098,526,572,1150,572,578,76,39,37,4278,2663,1615,3169,1109,2060,2903,1946,957,2498,1883,615,156,138,18,125,106,19,889,602,287,1328,1037,291,405,63,342,14,8,6,46,11,35,229,19,210,116,25,91,4544,1826,2718,5.0
33,1,,40200,0,0,VILLAGE,Nochili,Rural,713,3031,1555,1476,301,149,152,1467,766,701,44,23,21,1680,1039,641,1351,516,835,1405,874,531,368,322,46,171,165,6,12,9,3,15,13,2,170,135,35,1037,552,485,171,79,92,692,364,328,53,18,35,121,91,30,1626,681,945,5.0
33,1,,40300,0,0,VILLAGE,Pettaikandigai ,Rural,656,3034,1500,1534,428,214,214,155,81,74,32,18,14,1553,1009,544,1481,491,990,1532,877,655,1335,786,549,493,337,156,606,250,356,22,17,5,214,182,32,197,91,106,7,3,4,171,77,94,10,6,4,9,5,4,1502,623,879,5.0
