STATE,DISTRICT,TAHSIL,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,SUB-DISTT
33,1,,0,0,0,TALUK,Ponneri,Total,76809,331406,166078,165328,40253,20225,20028,105538,52546,52992,6177,3097,3080,207055,117042,90013,124351,49036,75315,125341,92819,32522,98171,77391,20780,9694,8022,1672,29926,19263,10663,2963,1849,1114,55588,48257,7331,27170,15428,11742,1429,771,658,16926,8674,8252,1135,309,826,7680,5674,2006,206065,73259,132806,2.0
33,1,,0,0,0,TALUK,Ponneri,Rural,56659,241290,120718,120572,30047,15096,14951,83801,41792,42009,5232,2622,2610,142395,81393,61002,98895,39325,59570,97138,68964,28174,72712,55410,17302,9298,7687,1611,28031,17881,10150,1721,1010,711,33662,28832,4830,24426,13554,10872,1373,740,633,16467,8382,8085,968,263,705,5618,4169,1449,144152,51754,92398,2.0
33,1,,0,0,0,TALUK,Ponneri,Urban,20150,90116,45360,44756,10206,5129,5077,21737,10754,10983,945,475,470,64660,35649,29011,25456,9711,15745,28203,23855,4348,25459,21981,3478,396,335,61,1895,1382,513,1242,839,403,21926,19425,2501,2744,1874,870,56,31,25,459,292,167,167,46,121,2062,1505,557,61913,21505,40408,2.0
33,1,,8200,0,0,VILLAGE,Poongulam ,Rural,349,1404,683,721,238,117,121,203,97,106,81,40,41,569,328,241,835,355,480,505,377,128,300,222,78,18,9,9,0,0,0,3,0,3,279,213,66,205,155,50,9,8,1,125,85,40,4,2,2,67,60,7,899,306,593,2.0
33,1,,8300,0,0,VILLAGE,Injur,Rural,154,654,328,326,95,45,50,292,134,158,0,0,0,282,174,108,372,154,218,386,204,182,16,12,4,1,1,0,0,0,0,0,0,0,15,11,4,370,192,178,77,49,28,291,141,150,0,0,0,2,2,0,268,124,144,2.0
33,1,,8400,0,0,VILLAGE,Seliambedu,Rural,258,1009,489,520,97,46,51,185,98,87,5,2,3,641,371,270,368,118,250,576,291,285,363,217,146,130,86,44,167,70,97,0,0,0,66,61,5,213,74,139,2,2,0,201,66,135,2,2,0,8,4,4,433,198,235,2.0
33,1,,8500,0,0,VILLAGE,Mangodu,Rural,250,1037,506,531,157,66,91,67,35,32,0,0,0,320,193,127,717,313,404,576,369,207,524,360,164,55,30,25,5,1,4,0,0,0,464,329,135,52,9,43,2,1,1,2,0,2,0,0,0,48,8,40,461,137,324,2.0
33,1,,8600,0,0,VILLAGE,Keerapakkam,Rural,280,1205,613,592,184,104,80,41,20,21,0,0,0,430,242,188,775,371,404,534,380,154,452,379,73,1,0,1,145,84,61,0,0,0,306,295,11,82,1,81,78,1,77,2,0,2,1,0,1,1,0,1,671,233,438,2.0
33,1,,8700,0,0,VILLAGE,Kallur,Rural,94,319,169,150,50,29,21,191,102,89,1,0,1,143,97,46,176,72,104,135,87,48,133,85,48,9,6,3,100,56,44,0,0,0,24,23,1,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,184,82,102,2.0
33,1,,8900,0,0,VILLAGE,Annamalaicheri,Rural,468,2039,1016,1023,377,184,193,105,53,52,0,0,0,701,422,279,1338,594,744,745,564,181,443,422,21,1,1,0,0,0,0,0,0,0,442,421,21,302,142,160,37,29,8,171,83,88,7,1,6,87,29,58,1294,452,842,2.0
33,1,,9000,0,0,VILLAGE,Periaveppathur,Rural,141,622,303,319,70,32,38,502,249,253,0,0,0,202,114,88,420,189,231,362,192,170,17,11,6,0,0,0,8,7,1,0,0,0,9,4,5,345,181,164,3,2,1,341,179,162,0,0,0,1,0,1,260,111,149,2.0
33,1,,9100,0,0,VILLAGE,Uppunelvoyal,Rural,124,501,257,244,65,42,23,279,147,132,0,0,0,242,139,103,259,118,141,285,150,135,284,150,134,2,2,0,274,140,134,0,0,0,8,8,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,216,107,109,2.0
33,1,,9200,0,0,VILLAGE,Agaram,Rural,111,439,226,213,52,26,26,104,59,45,0,0,0,216,143,73,223,83,140,237,136,101,201,119,82,54,31,23,114,62,52,4,1,3,29,25,4,36,17,19,0,0,0,24,10,14,4,0,4,8,7,1,202,90,112,2.0
33,1,,9300,0,0,VILLAGE,Devambattu,Rural,266,1008,501,507,141,71,70,419,208,211,22,13,9,452,267,185,556,234,322,326,262,64,216,171,45,27,26,1,94,59,35,4,2,2,91,84,7,110,91,19,0,0,0,105,86,19,1,1,0,4,4,0,682,239,443,2.0
33,1,,9400,0,0,VILLAGE,Kanganimedu,Rural,71,253,127,126,32,21,11,104,54,50,0,0,0,146,80,66,107,47,60,75,63,12,22,20,2,3,3,0,2,2,0,0,0,0,17,15,2,53,43,10,3,2,1,50,41,9,0,0,0,0,0,0,178,64,114,2.0
33,1,,9500,0,0,VILLAGE,Umipedu,Rural,44,162,74,88,42,22,20,151,69,82,0,0,0,51,23,28,111,51,60,48,41,7,6,6,0,0,0,0,3,3,0,0,0,0,3,3,0,42,35,7,0,0,0,40,34,6,1,1,0,1,0,1,114,33,81,2.0
