STATE,DISTRICT,TAHSIL,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,SUB-DISTT
33,1,,0,0,0,TALUK,Tiruttani,Total,42835,185782,93352,92430,23532,12081,11451,47602,23991,23611,6180,3100,3080,106598,63032,43566,79184,30320,48864,80162,52311,27851,61664,44118,17546,13050,10004,3046,21712,12494,9218,3429,2034,1395,23473,19586,3887,18498,8193,10305,809,381,428,14469,5738,8731,695,204,491,2525,1870,655,105620,41041,64579,4.0
33,1,,0,0,0,TALUK,Tiruttani,Rural,34259,147468,73976,73492,19049,9743,9306,43097,21700,21397,4947,2502,2445,79642,47928,31714,67826,26048,41778,67269,42159,25110,50001,34602,15399,12689,9724,2965,20565,11822,8743,2730,1625,1105,14017,11431,2586,17268,7557,9711,802,380,422,14038,5583,8455,529,162,367,1899,1432,467,80199,31817,48382,4.0
33,1,,0,0,0,TALUK,Tiruttani,Urban,8576,38314,19376,18938,4483,2338,2145,4505,2291,2214,1233,598,635,26956,15104,11852,11358,4272,7086,12893,10152,2741,11663,9516,2147,361,280,81,1147,672,475,699,409,290,9456,8155,1301,1230,636,594,7,1,6,431,155,276,166,42,124,626,438,188,25421,9224,16197,4.0
33,1,,32400,0,0,VILLAGE,Gollakuppam,Rural,244,954,474,480,105,56,49,232,120,112,1,1,0,514,304,210,440,170,270,477,259,218,431,257,174,132,110,22,240,117,123,1,1,0,58,29,29,46,2,44,2,0,2,44,2,42,0,0,0,0,0,0,477,215,262,4.0
33,1,,32500,0,0,VILLAGE,Poonimangadu,Rural,827,3374,1674,1700,379,186,193,1177,574,603,283,143,140,1668,977,691,1706,697,1009,1750,992,758,1602,927,675,411,293,118,991,492,499,3,2,1,197,140,57,148,65,83,0,0,0,136,58,78,3,0,3,9,7,2,1624,682,942,4.0
33,1,,32600,0,0,VILLAGE,Nallattur,Rural,595,2474,1242,1232,320,169,151,970,488,482,183,98,85,1032,613,419,1442,629,813,1149,688,461,693,505,188,205,169,36,396,274,122,17,12,5,75,50,25,456,183,273,45,20,25,399,161,238,9,1,8,3,1,2,1325,554,771,4.0
33,1,,32700,0,0,VILLAGE,Chivvada ,Rural,771,3273,1640,1633,397,207,190,1378,701,677,21,11,10,1550,935,615,1723,705,1018,1761,994,767,1042,719,323,174,167,7,629,374,255,5,2,3,234,176,58,719,275,444,34,10,24,636,248,388,21,3,18,28,14,14,1512,646,866,4.0
33,1,,32800,0,0,VILLAGE,Nemili,Rural,385,1679,824,855,190,99,91,917,454,463,0,0,0,761,460,301,918,364,554,900,511,389,814,479,335,97,78,19,594,302,292,16,12,4,107,87,20,86,32,54,1,0,1,71,23,48,1,0,1,13,9,4,779,313,466,4.0
33,1,,32900,0,0,VILLAGE,Santhanagopalapuram,Rural,522,2283,1150,1133,281,146,135,874,421,453,110,60,50,1205,747,458,1078,403,675,1371,742,629,965,603,362,218,188,30,671,355,316,8,6,2,68,54,14,406,139,267,2,1,1,400,137,263,2,1,1,2,0,2,912,408,504,4.0
33,1,,33000,0,0,VILLAGE,Thalavedu,Rural,1032,4341,2125,2216,566,272,294,1478,717,761,81,42,39,2162,1317,845,2179,808,1371,2112,1253,859,1561,1022,539,776,542,234,532,311,221,50,23,27,203,146,57,551,231,320,73,28,45,453,190,263,9,2,7,16,11,5,2229,872,1357,4.0
33,1,,33100,0,0,VILLAGE,Ponpadi,Rural,294,1168,585,583,151,75,76,780,387,393,76,39,37,646,381,265,522,204,318,399,324,75,394,319,75,12,10,2,328,261,67,1,1,0,53,47,6,5,5,0,1,1,0,3,3,0,0,0,0,1,1,0,769,261,508,4.0
33,1,,33200,0,0,VILLAGE,Alamelumangapuram,Rural,467,2067,1046,1021,241,134,107,1130,573,557,48,23,25,1272,723,549,795,323,472,904,628,276,892,623,269,199,173,26,537,328,209,10,7,3,146,115,31,12,5,7,3,2,1,9,3,6,0,0,0,0,0,0,1163,418,745,4.0
33,1,,33300,0,0,VILLAGE,Maddur,Rural,1405,6538,3259,3279,950,472,478,975,477,498,303,157,146,3968,2351,1617,2570,908,1662,2923,1755,1168,2755,1705,1050,216,190,26,700,361,339,1047,580,467,792,574,218,168,50,118,7,2,5,43,10,33,61,15,46,57,23,34,3615,1504,2111,4.0
33,1,,33400,0,0,VILLAGE,Krishnasamudram ,Rural,1342,5944,2960,2984,876,439,437,986,461,525,43,20,23,3068,1942,1126,2876,1018,1858,3163,1747,1416,2821,1630,1191,569,343,226,762,353,409,943,551,392,547,383,164,342,117,225,12,9,3,148,39,109,94,13,81,88,56,32,2781,1213,1568,4.0
