STATE,DISTRICT,TAHSIL,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,SUB-DISTT
33,1,,0,0,0,TALUK,Uthukkottai,Total,31346,130919,65035,65884,16594,8423,8171,42608,21227,21381,3705,1814,1891,70360,41310,29050,60559,23725,36834,63854,38608,25246,55197,34883,20314,11011,8033,2978,31304,16586,14718,2300,1432,868,10582,8832,1750,8657,3725,4932,370,124,246,7302,2944,4358,208,77,131,777,580,197,67065,26427,40638,3.0
33,1,,0,0,0,TALUK,Uthukkottai,Rural,28881,120293,59762,60531,15271,7755,7516,41302,20599,20703,3388,1652,1736,63421,37405,26016,56872,22357,34515,59867,35656,24211,51832,32242,19590,10808,7850,2958,30411,16076,14335,2217,1396,821,8396,6920,1476,8035,3414,4621,367,123,244,6807,2718,4089,175,67,108,686,506,180,60426,24106,36320,3.0
33,1,,0,0,0,TALUK,Uthukkottai,Urban,2465,10626,5273,5353,1323,668,655,1306,628,678,317,162,155,6939,3905,3034,3687,1368,2319,3987,2952,1035,3365,2641,724,203,183,20,893,510,383,83,36,47,2186,1912,274,622,311,311,3,1,2,495,226,269,33,10,23,91,74,17,6639,2321,4318,3.0
33,1,,22500,0,0,VILLAGE,Damaraikuppam,Rural,178,728,367,361,99,52,47,0,0,0,123,58,65,328,194,134,400,173,227,355,224,131,148,113,35,19,17,2,17,9,8,66,48,18,46,39,7,207,111,96,0,0,0,204,109,95,1,0,1,2,2,0,373,143,230,3.0
33,1,,22600,0,0,VILLAGE,Senjiagaram,Rural,313,1253,619,634,193,93,100,318,151,167,301,149,152,598,362,236,655,257,398,632,386,246,250,230,20,67,66,1,91,82,9,9,9,0,83,73,10,382,156,226,1,0,1,371,148,223,3,1,2,7,7,0,621,233,388,3.0
33,1,,22800,0,0,VILLAGE,Palavakkam,Rural,545,2306,1129,1177,295,142,153,1155,553,602,46,22,24,1424,807,617,882,322,560,955,618,337,862,556,306,65,58,7,582,322,260,17,13,4,198,163,35,93,62,31,4,1,3,40,16,24,13,11,2,36,34,2,1351,511,840,3.0
33,1,,23000,0,0,VILLAGE,Sengarai,Rural,260,1158,584,574,161,77,84,435,218,217,20,9,11,523,307,216,635,277,358,670,381,289,329,257,72,131,115,16,137,90,47,10,6,4,51,46,5,341,124,217,11,4,7,322,115,207,3,0,3,5,5,0,488,203,285,3.0
33,1,,23100,0,0,VILLAGE,Rallapadi,Rural,818,3639,1850,1789,455,250,205,993,497,496,37,18,19,2248,1280,968,1391,570,821,1596,1114,482,1456,1013,443,126,111,15,494,234,260,603,473,130,233,195,38,140,101,39,2,2,0,131,95,36,4,2,2,3,2,1,2043,736,1307,3.0
33,1,,23200,0,0,VILLAGE,Ellapuram,Rural,123,541,257,284,61,23,38,372,180,192,0,0,0,316,180,136,225,77,148,261,153,108,72,64,8,6,5,1,0,0,0,0,0,0,66,59,7,189,89,100,0,0,0,185,88,97,1,1,0,3,0,3,280,104,176,3.0
33,1,,23300,0,0,VILLAGE,Ariapakkam,Rural,302,1402,709,693,170,91,79,377,193,184,0,0,0,474,299,175,928,410,518,638,382,256,554,353,201,156,118,38,309,175,134,19,9,10,70,51,19,84,29,55,7,1,6,56,22,34,18,5,13,3,1,2,764,327,437,3.0
33,1,,23400,0,0,VILLAGE,Athupakkam,Rural,165,735,384,351,84,50,34,0,0,0,0,0,0,412,278,134,323,106,217,430,239,191,430,239,191,272,151,121,129,63,66,8,8,0,21,17,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305,145,160,3.0
33,1,,23500,0,0,VILLAGE,Vannankuppam,Rural,302,1240,607,633,131,59,72,218,110,108,0,0,0,642,401,241,598,206,392,703,370,333,638,341,297,96,57,39,485,246,239,1,0,1,56,38,18,65,29,36,7,5,2,57,23,34,0,0,0,1,1,0,537,237,300,3.0
33,1,,23600,0,0,VILLAGE,Thaddareddykuppam,Rural,58,281,145,136,40,26,14,108,57,51,9,7,2,159,88,71,122,57,65,127,82,45,117,78,39,32,29,3,73,41,32,2,1,1,10,7,3,10,4,6,4,2,2,4,0,4,0,0,0,2,2,0,154,63,91,3.0
33,1,,23700,0,0,VILLAGE,Kaiyadi,Rural,69,287,151,136,39,24,15,243,127,116,0,0,0,112,69,43,175,82,93,126,81,45,126,81,45,6,6,0,110,66,44,2,2,0,8,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,70,91,3.0
33,1,,23800,0,0,VILLAGE,Kilakarmanur,Rural,133,580,288,292,78,33,45,242,123,119,0,0,0,263,160,103,317,128,189,233,163,70,232,163,69,19,18,1,163,103,60,6,5,1,44,37,7,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,347,125,222,3.0
33,1,,23900,0,0,VILLAGE,Soolaimani,Rural,265,1113,551,562,137,70,67,290,152,138,0,0,0,569,337,232,544,214,330,573,352,221,333,287,46,89,74,15,145,124,21,2,0,2,97,89,8,240,65,175,18,7,11,204,48,156,1,0,1,17,10,7,540,199,341,3.0
33,1,,24000,0,0,VILLAGE,Lachivakkam,Rural,512,2148,1054,1094,211,96,115,498,230,268,11,5,6,1202,689,513,946,365,581,1233,692,541,1069,658,411,158,123,35,748,396,352,11,7,4,152,132,20,164,34,130,6,2,4,141,24,117,6,0,6,11,8,3,915,362,553,3.0
33,1,,24100,0,0,VILLAGE,Perandur,Rural,629,2543,1296,1247,233,128,105,870,449,421,112,57,55,1464,861,603,1079,435,644,1440,786,654,784,555,229,185,161,24,367,211,156,9,7,2,223,176,47,656,231,425,3,2,1,638,217,421,0,0,0,15,12,3,1103,510,593,3.0
33,1,,24200,0,0,VILLAGE,Tharatchi,Rural,756,3085,1491,1594,400,193,207,975,484,491,159,73,86,1585,951,634,1500,540,960,1592,903,689,1524,883,641,268,200,68,1036,500,536,23,18,5,197,165,32,68,20,48,4,0,4,61,19,42,2,0,2,1,1,0,1493,588,905,3.0
33,1,,24300,0,0,VILLAGE,Vadathillai,Rural,121,511,253,258,78,37,41,275,136,139,18,11,7,247,147,100,264,106,158,247,144,103,247,144,103,23,22,1,198,104,94,0,0,0,26,18,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264,109,155,3.0
33,1,,24400,0,0,VILLAGE,Avicheri,Rural,121,543,265,278,80,31,49,349,170,179,0,0,0,307,186,121,236,79,157,310,169,141,254,142,112,21,11,10,123,43,80,11,8,3,99,80,19,56,27,29,2,1,1,24,7,17,0,0,0,30,19,11,233,96,137,3.0
33,1,,24500,0,0,VILLAGE,Melakaramanur,Rural,150,707,350,357,59,27,32,236,119,117,51,24,27,383,233,150,324,117,207,355,209,146,186,155,31,115,109,6,56,35,21,0,0,0,15,11,4,169,54,115,34,0,34,126,49,77,2,0,2,7,5,2,352,141,211,3.0
33,1,,24600,0,0,VILLAGE,Chennakagavapuram,Rural,156,699,341,358,86,43,43,0,0,0,0,0,0,410,230,180,289,111,178,239,191,48,73,68,5,14,14,0,3,3,0,3,3,0,53,48,5,166,123,43,21,17,4,99,66,33,0,0,0,46,40,6,460,150,310,3.0
33,1,,24700,0,0,VILLAGE,Pennalurpet    ,Rural,833,3567,1733,1834,468,239,229,780,386,394,190,90,100,1801,1057,744,1766,676,1090,1501,946,555,868,678,190,209,194,15,432,311,121,13,7,6,214,166,48,633,268,365,6,2,4,599,253,346,6,4,2,22,9,13,2066,787,1279,3.0
33,1,,24800,0,0,VILLAGE,Puducheri,Rural,316,1315,682,633,164,86,78,627,332,295,5,1,4,626,403,223,689,279,410,668,392,276,462,286,176,160,114,46,228,124,104,19,0,19,55,48,7,206,106,100,3,3,0,192,94,98,0,0,0,11,9,2,647,290,357,3.0
33,1,,24900,0,0,VILLAGE,Pondavakkam,Rural,690,2831,1397,1434,375,199,176,883,431,452,85,42,43,1379,813,566,1452,584,868,1457,853,604,1332,796,536,202,171,31,955,481,474,19,12,7,156,132,24,125,57,68,6,2,4,102,42,60,1,0,1,16,13,3,1374,544,830,3.0
33,1,,25000,0,0,VILLAGE,Ananderi,Rural,252,1112,553,559,151,75,76,554,283,271,189,85,104,555,333,222,557,220,337,561,334,227,522,323,199,38,33,5,427,243,184,0,0,0,57,47,10,39,11,28,1,0,1,32,8,24,3,1,2,3,2,1,551,219,332,3.0
33,1,,25100,0,0,VILLAGE,Perittivakkam,Rural,153,614,285,329,76,39,37,178,79,99,81,44,37,194,113,81,420,172,248,316,166,150,29,23,6,19,14,5,0,0,0,2,2,0,8,7,1,287,143,144,0,0,0,280,138,142,0,0,0,7,5,2,298,119,179,3.0
33,1,,25200,0,0,VILLAGE,Mambakkam,Rural,465,1876,949,927,171,94,77,907,469,438,16,8,8,1224,743,481,652,206,446,885,548,337,423,367,56,100,92,8,120,103,17,13,8,5,190,164,26,462,181,281,4,2,2,432,170,262,10,1,9,16,8,8,991,401,590,3.0
33,1,,25300,0,0,VILLAGE,Panapakkam,Rural,408,1698,839,859,227,112,115,657,334,323,69,37,32,1004,597,407,694,242,452,866,522,344,855,515,340,136,114,22,644,344,300,11,10,1,64,47,17,11,7,4,0,0,0,7,6,1,0,0,0,4,1,3,832,317,515,3.0
33,1,,25400,0,0,VILLAGE,Sennankaranai,Rural,421,1631,813,818,198,96,102,84,39,45,3,2,1,764,488,276,867,325,542,956,523,433,782,462,320,141,119,22,568,284,284,9,7,2,64,52,12,174,61,113,6,2,4,161,55,106,1,1,0,6,3,3,675,290,385,3.0
33,1,,25500,0,0,VILLAGE,Tholavedu,Rural,266,1065,522,543,141,70,71,606,296,310,7,3,4,703,395,308,362,127,235,531,301,230,458,270,188,131,96,35,280,137,143,5,3,2,42,34,8,73,31,42,6,3,3,66,27,39,0,0,0,1,1,0,534,221,313,3.0
33,1,,25600,0,0,VILLAGE,Kakkavakkam,Rural,302,1278,634,644,143,71,72,708,340,368,0,0,0,831,470,361,447,164,283,541,332,209,477,305,172,89,87,2,303,159,144,4,1,3,81,58,23,64,27,37,2,1,1,59,24,35,0,0,0,3,2,1,737,302,435,3.0
33,1,,25700,0,0,VILLAGE,Paruthimerikuppam,Rural,54,210,111,99,25,15,10,0,0,0,0,0,0,108,69,39,102,42,60,115,69,46,115,69,46,32,26,6,66,29,37,2,2,0,15,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,42,53,3.0
33,1,,25800,0,0,VILLAGE,Thumbakkam,Rural,142,615,304,311,67,29,38,0,0,0,0,0,0,338,219,119,277,85,192,359,196,163,358,195,163,131,97,34,199,77,122,3,0,3,25,21,4,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,256,108,148,3.0
33,1,,25900,0,0,VILLAGE,Thandalam,Rural,286,1275,607,668,151,70,81,254,124,130,20,13,7,841,463,378,434,144,290,457,321,136,438,319,119,41,33,8,205,122,83,23,20,3,169,144,25,19,2,17,0,0,0,17,1,16,1,1,0,1,0,1,818,286,532,3.0
33,1,,26200,0,0,VILLAGE,Periyapalayam,Rural,1147,5420,2756,2664,744,393,351,1641,843,798,36,17,19,3520,1951,1569,1900,805,1095,1821,1460,361,1531,1308,223,91,87,4,413,318,95,76,55,21,951,848,103,290,152,138,6,4,2,179,64,115,2,2,0,103,82,21,3599,1296,2303,3.0
33,1,,26300,0,0,VILLAGE,Valapakkam,Rural,51,246,120,126,27,12,15,0,0,0,0,0,0,136,84,52,110,36,74,95,69,26,95,69,26,39,27,12,27,17,10,0,0,0,29,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,51,100,3.0
