STATE,DISTRICT,TAHSIL,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,SUB-DISTT
33,20,,0,0,0,TALUK,Kodavasal,Total,44226,189456,94426,95030,23049,11614,11435,60016,30015,30001,109,63,46,127758,70784,56974,61698,23642,38056,77016,53980,23036,56678,43305,13373,7967,6971,996,30896,21066,9830,1607,1019,588,16208,14249,1959,20338,10675,9663,1230,826,404,17247,8463,8784,348,189,159,1513,1197,316,112440,40446,71994,2.0
33,20,,0,0,0,TALUK,Kodavasal,Rural,39872,170224,84910,85314,20902,10524,10378,54959,27492,27467,93,57,36,114000,63398,50602,56224,21512,34712,70282,48728,21554,51126,38778,12348,7599,6640,959,28804,19608,9196,1547,975,572,13176,11555,1621,19156,9950,9206,1211,811,400,16228,7868,8360,334,178,156,1383,1093,290,99942,36182,63760,2.0
33,20,,0,0,0,TALUK,Kodavasal,Urban,4354,19232,9516,9716,2147,1090,1057,5057,2523,2534,16,6,10,13758,7386,6372,5474,2130,3344,6734,5252,1482,5552,4527,1025,368,331,37,2092,1458,634,60,44,16,3032,2694,338,1182,725,457,19,15,4,1019,595,424,14,11,3,130,104,26,12498,4264,8234,2.0
33,20,,1107800,0,0,VILLAGE,Vayalur,Rural,444,1904,992,912,209,92,117,259,131,128,0,0,0,1323,790,533,581,202,379,940,586,354,284,253,31,47,45,2,157,142,15,14,10,4,66,56,10,656,333,323,21,12,9,604,297,307,18,15,3,13,9,4,964,406,558,2.0
33,20,,1107900,0,0,VILLAGE,Vadanattam,Rural,262,1124,553,571,140,63,77,522,256,266,0,0,0,826,437,389,298,116,182,578,352,226,77,69,8,24,23,1,4,1,3,0,0,0,49,45,4,501,283,218,9,7,2,467,258,209,9,6,3,16,12,4,546,201,345,2.0
33,20,,1108000,0,0,VILLAGE,Anniyur,Rural,471,2067,1081,986,202,100,102,688,351,337,0,0,0,1559,907,652,508,174,334,1101,668,433,232,217,15,48,43,5,152,147,5,6,6,0,26,21,5,869,451,418,37,19,18,747,379,368,81,50,31,4,3,1,966,413,553,2.0
33,20,,1108100,0,0,VILLAGE,Serugudi,Rural,273,1118,573,545,159,81,78,477,238,239,0,0,0,693,394,299,425,179,246,590,366,224,349,247,102,37,36,1,255,161,94,3,2,1,54,48,6,241,119,122,1,0,1,237,119,118,1,0,1,2,0,2,528,207,321,2.0
33,20,,1108200,0,0,VILLAGE,Thiruppanburam,Rural,287,1239,597,642,107,47,60,388,192,196,0,0,0,753,408,345,486,189,297,587,362,225,425,294,131,130,84,46,225,152,73,8,5,3,62,53,9,162,68,94,35,11,24,82,32,50,9,2,7,36,23,13,652,235,417,2.0
33,20,,1108300,0,0,VILLAGE,Suraikkayur,Rural,424,1813,910,903,217,111,106,426,206,220,0,0,0,956,556,400,857,354,503,766,500,266,303,262,41,64,56,8,120,105,15,5,3,2,114,98,16,463,238,225,26,20,6,400,191,209,1,0,1,36,27,9,1047,410,637,2.0
33,20,,1108400,0,0,VILLAGE,Alathur,Rural,411,1785,913,872,198,108,90,439,231,208,0,0,0,1263,728,535,522,185,337,613,492,121,516,473,43,80,77,3,338,305,33,5,5,0,93,86,7,97,19,78,0,0,0,95,17,78,0,0,0,2,2,0,1172,421,751,2.0
