STATE,DISTRICT,TAHSIL,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,SUB-DISTT
33,20,,0,0,0,TALUK,Mannargudi,Total,67783,287019,142543,144476,31634,16009,15625,71372,35380,35992,1006,469,537,193362,107543,85819,93657,35000,58657,123890,82281,41609,102805,73344,29461,22389,18759,3630,50965,29977,20988,1940,1298,642,27511,23310,4201,21085,8937,12148,1989,946,1043,15976,6231,9745,566,141,425,2554,1619,935,163129,60262,102867,6.0
33,20,,0,0,0,TALUK,Mannargudi,Rural,54054,225541,111979,113562,25316,12828,12488,67017,33266,33751,290,140,150,145488,82204,63284,80053,29775,50278,105145,66622,38523,86048,59050,26998,21874,18326,3548,49843,29144,20699,1489,975,514,12842,10605,2237,19097,7572,11525,1932,899,1033,15380,5845,9535,460,98,362,1325,730,595,120396,45357,75039,6.0
33,20,,0,0,0,TALUK,Mannargudi,Urban,13729,61478,30564,30914,6318,3181,3137,4355,2114,2241,716,329,387,47874,25339,22535,13604,5225,8379,18745,15659,3086,16757,14294,2463,515,433,82,1122,833,289,451,323,128,14669,12705,1964,1988,1365,623,57,47,10,596,386,210,106,43,63,1229,889,340,42733,14905,27828,6.0
33,20,,1136100,0,0,VILLAGE,Moovarkottai,Rural,478,2068,973,1095,245,113,132,235,104,131,0,0,0,1211,665,546,857,308,549,899,571,328,879,563,316,105,97,8,595,323,272,15,3,12,164,140,24,20,8,12,0,0,0,11,2,9,0,0,0,9,6,3,1169,402,767,6.0
33,20,,1136200,0,0,VILLAGE,Vaduvur Melpathi ,Rural,674,2819,1367,1452,327,165,162,0,0,0,0,0,0,1410,804,606,1409,563,846,1523,899,624,1498,896,602,264,252,12,1120,568,552,51,25,26,63,51,12,25,3,22,2,0,2,23,3,20,0,0,0,0,0,0,1296,468,828,6.0
33,20,,1136300,0,0,VILLAGE,Vaduvur Agraharam,Rural,752,3196,1576,1620,323,166,157,110,51,59,0,0,0,2244,1229,1015,952,347,605,1236,921,315,949,795,154,151,142,9,283,216,67,48,37,11,467,400,67,287,126,161,3,3,0,246,95,151,5,1,4,33,27,6,1960,655,1305,6.0
33,20,,1136400,0,0,VILLAGE,Vaduvur Vadapathi ,Rural,483,2075,1016,1059,224,105,119,464,226,238,0,0,0,1144,653,491,931,363,568,1235,652,583,1218,650,568,113,99,14,1003,479,524,23,10,13,79,62,17,17,2,15,1,0,1,16,2,14,0,0,0,0,0,0,840,364,476,6.0
33,20,,1136500,0,0,VILLAGE,Melaiyur - I,Rural,443,1741,831,910,176,83,93,154,72,82,0,0,0,1027,568,459,714,263,451,783,503,280,768,498,270,177,151,26,489,266,223,22,12,10,80,69,11,15,5,10,3,0,3,10,3,7,1,1,0,1,1,0,958,328,630,6.0
33,20,,1136600,0,0,VILLAGE,Melaiyur -II,Rural,413,1728,865,863,173,91,82,205,102,103,0,0,0,1195,689,506,533,176,357,612,475,137,475,396,79,163,153,10,175,122,53,6,6,0,131,115,16,137,79,58,3,1,2,118,66,52,7,4,3,9,8,1,1116,390,726,6.0
33,20,,1136700,0,0,VILLAGE,Melaiyur -III,Rural,409,1623,800,823,157,99,58,165,84,81,0,0,0,980,563,417,643,237,406,735,441,294,728,441,287,157,129,28,491,253,238,12,5,7,68,54,14,7,0,7,0,0,0,4,0,4,3,0,3,0,0,0,888,359,529,6.0
33,20,,1136800,0,0,VILLAGE,Keelaiyur - I,Rural,429,1732,869,863,189,103,86,280,143,137,0,0,0,1071,634,437,661,235,426,709,496,213,667,477,190,210,176,34,362,212,150,3,3,0,92,86,6,42,19,23,9,4,5,26,10,16,1,0,1,6,5,1,1023,373,650,6.0
33,20,,1136900,0,0,VILLAGE,Keelaiyur - II,Rural,539,2256,1130,1126,253,139,114,105,49,56,0,0,0,1395,813,582,861,317,544,907,647,260,853,621,232,274,246,28,395,211,184,40,39,1,144,125,19,54,26,28,5,2,3,45,23,22,2,0,2,2,1,1,1349,483,866,6.0
33,20,,1137000,0,0,VILLAGE,Paruthi Kottai,Rural,470,1912,950,962,195,104,91,125,64,61,0,0,0,1138,651,487,774,299,475,875,569,306,567,412,155,172,159,13,309,192,117,2,1,1,84,60,24,308,157,151,44,25,19,256,131,125,0,0,0,8,1,7,1037,381,656,6.0
