STATE,DISTRICT,TAHSIL,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,SUB-DISTT
33,20,,0,0,0,TALUK,Needamangalam,Total,31685,137268,67685,69583,17862,9085,8777,52988,26606,26382,134,67,67,89376,48827,40549,47892,18858,29034,55718,36133,19585,44128,30746,13382,5648,4585,1063,26007,15287,10720,572,356,216,11901,10518,1383,11590,5387,6203,1181,698,483,8887,3716,5171,335,101,234,1187,872,315,81550,31552,49998,5.0
33,20,,0,0,0,TALUK,Needamangalam,Rural,24808,105543,52499,53044,13803,7073,6730,46666,23440,23226,48,30,18,66095,36953,29142,39448,15546,23902,46300,28744,17556,35797,24032,11765,5291,4260,1031,23609,13827,9782,451,296,155,6446,5649,797,10503,4712,5791,1129,649,480,8199,3372,4827,315,95,220,860,596,264,59243,23755,35488,5.0
33,20,,0,0,0,TALUK,Needamangalam,Urban,6877,31725,15186,16539,4059,2012,2047,6322,3166,3156,86,37,49,23281,11874,11407,8444,3312,5132,9418,7389,2029,8331,6714,1617,357,325,32,2398,1460,938,121,60,61,5455,4869,586,1087,675,412,52,49,3,688,344,344,20,6,14,327,276,51,22307,7797,14510,5.0
33,20,,1129600,0,0,VILLAGE,Koilvenni,Rural,795,3433,1685,1748,433,211,222,658,322,336,0,0,0,2074,1147,927,1359,538,821,1280,838,442,478,426,52,195,181,14,96,80,16,23,16,7,164,149,15,802,412,390,111,58,53,652,334,318,8,2,6,31,18,13,2153,847,1306,5.0
33,20,,1129700,0,0,VILLAGE,Nagar,Rural,332,1464,734,730,207,98,109,827,414,413,0,0,0,855,499,356,609,235,374,644,408,236,414,273,141,36,30,6,296,177,119,12,8,4,70,58,12,230,135,95,88,62,26,138,71,67,0,0,0,4,2,2,820,326,494,5.0
33,20,,1129800,0,0,VILLAGE,Pannimangalam,Rural,92,455,239,216,58,28,30,14,6,8,0,0,0,308,188,120,147,51,96,166,135,31,160,135,25,38,37,1,108,85,23,0,0,0,14,13,1,6,0,6,0,0,0,6,0,6,0,0,0,0,0,0,289,104,185,5.0
33,20,,1129900,0,0,VILLAGE,Chittamallimelpadi,Rural,616,2775,1381,1394,358,180,178,1224,606,618,18,14,4,1829,1020,809,946,361,585,1057,748,309,999,741,258,103,88,15,696,480,216,0,0,0,200,173,27,58,7,51,2,0,2,54,7,47,1,0,1,1,0,1,1718,633,1085,5.0
33,20,,1130000,0,0,VILLAGE,Adhanur,Rural,627,2777,1466,1311,330,191,139,634,311,323,0,0,0,1902,1140,762,875,326,549,1143,692,451,874,556,318,141,130,11,503,255,248,21,9,12,209,162,47,269,136,133,11,8,3,237,117,120,3,0,3,18,11,7,1634,774,860,5.0
33,20,,1130100,0,0,VILLAGE,Munnaval Kottai ,Rural,556,2323,1153,1170,316,156,160,243,120,123,0,0,0,1339,765,574,984,388,596,1134,697,437,895,626,269,155,147,8,603,376,227,12,4,8,125,99,26,239,71,168,5,3,2,213,54,159,4,0,4,17,14,3,1189,456,733,5.0
33,20,,1130200,0,0,VILLAGE,Munnaval Kottai (Part),Rural,107,445,221,224,43,20,23,0,0,0,0,0,0,357,186,171,88,35,53,246,143,103,65,59,6,47,43,4,1,1,0,0,0,0,17,15,2,181,84,97,45,31,14,134,53,81,0,0,0,2,0,2,199,78,121,5.0
