STATE,DISTRICT,TAHSIL,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,SUB-DISTT
33,20,,0,0,0,TALUK,Thiruthuraipoondi,Total,49193,199156,97834,101322,24655,12471,12184,72077,35661,36416,735,367,368,130031,71917,58114,69125,25917,43208,88197,56776,31421,68729,48658,20071,10869,8972,1897,36565,21190,15375,1049,646,403,20246,17850,2396,19468,8118,11350,1555,691,864,16178,6334,9844,342,80,262,1393,1013,380,110959,41058,69901,7.0
33,20,,0,0,0,TALUK,Thiruthuraipoondi,Rural,40048,158868,78408,80460,19730,10020,9710,64591,32029,32562,351,177,174,100597,56504,44093,58271,21904,36367,74632,46250,28382,57559,39336,18223,10403,8561,1842,34270,19714,14556,852,528,324,12034,10533,1501,17073,6914,10159,1460,642,818,14511,5599,8912,308,77,231,794,596,198,84236,32158,52078,7.0
33,20,,0,0,0,TALUK,Thiruthuraipoondi,Urban,9145,40288,19426,20862,4925,2451,2474,7486,3632,3854,384,190,194,29434,15413,14021,10854,4013,6841,13565,10526,3039,11170,9322,1848,466,411,55,2295,1476,819,197,118,79,8212,7317,895,2395,1204,1191,95,49,46,1667,735,932,34,3,31,599,417,182,26723,8900,17823,7.0
33,20,,1147900,0,0,VILLAGE,Keeralathur,Rural,279,1155,561,594,142,67,75,697,327,370,0,0,0,697,386,311,458,175,283,616,348,268,612,345,267,88,78,10,440,207,233,2,2,0,82,58,24,4,3,1,0,0,0,3,2,1,0,0,0,1,1,0,539,213,326,7.0
33,20,,1148000,0,0,VILLAGE,Thiruthangur,Rural,378,1522,753,769,198,106,92,976,494,482,0,0,0,936,523,413,586,230,356,817,447,370,382,253,129,45,38,7,134,69,65,0,0,0,203,146,57,435,194,241,24,17,7,386,166,220,0,0,0,25,11,14,705,306,399,7.0
33,20,,1148100,0,0,VILLAGE,Komal,Rural,151,638,320,318,88,43,45,465,234,231,0,0,0,316,191,125,322,129,193,360,190,170,358,190,168,15,14,1,334,169,165,1,1,0,8,6,2,2,0,2,0,0,0,2,0,2,0,0,0,0,0,0,278,130,148,7.0
33,20,,1148200,0,0,VILLAGE,Ammanur,Rural,378,1473,711,762,193,80,113,607,293,314,0,0,0,929,504,425,544,207,337,710,443,267,578,403,175,81,71,10,416,262,154,9,5,4,72,65,7,132,40,92,7,1,6,117,36,81,4,0,4,4,3,1,763,268,495,7.0
33,20,,1148300,0,0,VILLAGE,Vilathur,Rural,238,904,444,460,102,51,51,478,239,239,0,0,0,640,331,309,264,113,151,472,268,204,468,268,200,25,16,9,412,225,187,0,0,0,31,27,4,4,0,4,0,0,0,4,0,4,0,0,0,0,0,0,432,176,256,7.0
33,20,,1148400,0,0,VILLAGE,Katchanam,Rural,540,2238,1089,1149,292,150,142,828,387,441,215,110,105,1309,699,610,929,390,539,950,622,328,905,612,293,106,92,14,567,322,245,22,12,10,210,186,24,45,10,35,0,0,0,34,5,29,1,1,0,10,4,6,1288,467,821,7.0
33,20,,1148500,0,0,VILLAGE,Alathambadi,Rural,762,3087,1509,1578,362,174,188,1407,701,706,0,0,0,2114,1148,966,973,361,612,1464,918,546,1430,898,532,152,134,18,911,483,428,27,19,8,340,262,78,34,20,14,7,5,2,19,10,9,0,0,0,8,5,3,1623,591,1032,7.0
