STATE,DISTRICT,TAHSIL,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,SUB-DISTT
33,20,,0,0,0,TALUK,Valangaiman,Total,22012,94474,46949,47525,11798,6011,5787,38028,18943,19085,68,34,34,59825,33547,26278,34649,13402,21247,41332,27401,13931,29300,21282,8018,5667,4985,682,16631,10707,5924,589,340,249,6413,5250,1163,12032,6119,5913,677,530,147,10085,4856,5229,440,83,357,830,650,180,53142,19548,33594,1.0
33,20,,0,0,0,TALUK,Valangaiman,Rural,19503,83193,41394,41799,10560,5378,5182,36146,18036,18110,21,9,12,51705,29193,22512,31488,12201,19287,37370,24436,12934,26073,18709,7364,5456,4789,667,15837,10080,5757,486,277,209,4294,3563,731,11297,5727,5570,657,512,145,9661,4693,4968,407,71,336,572,451,121,45823,16958,28865,1.0
33,20,,0,0,0,TALUK,Valangaiman,Urban,2509,11281,5555,5726,1238,633,605,1882,907,975,47,25,22,8120,4354,3766,3161,1201,1960,3962,2965,997,3227,2573,654,211,196,15,794,627,167,103,63,40,2119,1687,432,735,392,343,20,18,2,424,163,261,33,12,21,258,199,59,7319,2590,4729,1.0
33,20,,1100800,0,0,VILLAGE,Annikudi,Rural,333,1465,759,706,151,69,82,253,127,126,0,0,0,976,590,386,489,169,320,560,453,107,382,310,72,49,48,1,197,139,58,0,0,0,136,123,13,178,143,35,1,1,0,145,116,29,4,2,2,28,24,4,905,306,599,1.0
33,20,,1100900,0,0,VILLAGE,Uthamadhanapuram,Rural,197,865,440,425,77,36,41,218,120,98,0,0,0,518,306,212,347,134,213,305,252,53,293,252,41,34,30,4,164,133,31,5,5,0,90,84,6,12,0,12,0,0,0,12,0,12,0,0,0,0,0,0,560,188,372,1.0
33,20,,1101000,0,0,VILLAGE,Salabogam,Rural,144,627,315,312,83,47,36,274,144,130,0,0,0,351,196,155,276,119,157,316,184,132,234,183,51,31,28,3,184,137,47,0,0,0,19,18,1,82,1,81,0,0,0,81,1,80,0,0,0,1,0,1,311,131,180,1.0
33,20,,1101100,0,0,VILLAGE,Nallur,Rural,478,2077,1068,1009,241,130,111,700,354,346,0,0,0,1227,729,498,850,339,511,1126,668,458,836,589,247,219,173,46,438,281,157,27,3,24,152,132,20,290,79,211,4,2,2,236,53,183,23,5,18,27,19,8,951,400,551,1.0
33,20,,1101200,0,0,VILLAGE,Renganathapuram,Rural,168,807,399,408,90,43,47,216,94,122,0,0,0,539,313,226,268,86,182,289,265,24,286,262,24,119,116,3,116,99,17,4,2,2,47,45,2,3,3,0,1,1,0,0,0,0,0,0,0,2,2,0,518,134,384,1.0
33,20,,1101300,0,0,VILLAGE,Inamkiliyur,Rural,235,935,447,488,141,65,76,803,382,421,0,0,0,490,267,223,445,180,265,549,265,284,549,265,284,8,6,2,526,251,275,5,3,2,10,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,386,182,204,1.0
33,20,,1101400,0,0,VILLAGE,Kiliyur,Rural,158,678,329,349,73,31,42,12,3,9,0,0,0,496,270,226,182,59,123,252,219,33,207,195,12,83,82,1,90,81,9,2,2,0,32,30,2,45,24,21,0,0,0,44,24,20,1,0,1,0,0,0,426,110,316,1.0
